Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ontevreden (%),Neutraal (%),Tevreden (%)
 Aalst ,41002,ja,Tevredenheid over onderwijsvoorzieningen,2011,0.02,0.09,0.89
 Aalst ,41002,ja,Tevredenheid over onderwijsvoorzieningen,2014,0.03,0.1,0.88
 Aalst ,41002,ja,Tevredenheid over onderwijsvoorzieningen,2017,0.03,0.08,0.9
 Aalst ,41002,ja,Tevredenheid over onderwijsvoorzieningen,2020,0.02,0.06,0.91
 Aalter ,44001,nee,Tevredenheid over onderwijsvoorzieningen,2017,0.02,0.05,0.93
 Aalter ,44084,nee,Tevredenheid over onderwijsvoorzieningen,2020,0.03,0.1,0.87
 Aarschot ,24001,nee,Tevredenheid over onderwijsvoorzieningen,2017,0.03,0.06,0.92
 Aarschot ,24001,nee,Tevredenheid over onderwijsvoorzieningen,2020,0.01,0.05,0.94
 Aartselaar ,11001,nee,Tevredenheid over onderwijsvoorzieningen,2017,0.02,0.08,0.9
 Aartselaar ,11001,nee,Tevredenheid over onderwijsvoorzieningen,2020,0.05,0.11,0.85
 Affligem ,23105,nee,Tevredenheid over onderwijsvoorzieningen,2017,0.05,0.12,0.83
 Affligem ,23105,nee,Tevredenheid over onderwijsvoorzieningen,2020,0.05,0.14,0.81
 Alken ,73001,nee,Tevredenheid over onderwijsvoorzieningen,2017,0.0,0.07,0.93
 Alken ,73001,nee,Tevredenheid over onderwijsvoorzieningen,2020,0.02,0.04,0.94
 Alveringem ,38002,nee,Tevredenheid over onderwijsvoorzieningen,2017,0.06,0.11,0.83
 Alveringem ,38002,nee,Tevredenheid over onderwijsvoorzieningen,2020,0.08,0.14,0.79
 Antwerpen ,11002,ja,Tevredenheid over onderwijsvoorzieningen,2011,0.08,0.13,0.79
 Antwerpen ,11002,ja,Tevredenheid over onderwijsvoorzieningen,2014,0.1,0.17,0.73
 Antwerpen ,11002,ja,Tevredenheid over onderwijsvoorzieningen,2017,0.07,0.15,0.79
 Antwerpen ,11002,ja,Tevredenheid over onderwijsvoorzieningen,2020,0.05,0.13,0.82
 Anzegem ,34002,nee,Tevredenheid over onderwijsvoorzieningen,2017,0.0,0.05,0.95
 Anzegem ,34002,nee,Tevredenheid over onderwijsvoorzieningen,2020,0.04,0.08,0.88
 Ardooie ,37020,nee,Tevredenheid over onderwijsvoorzieningen,2017,0.03,0.04,0.93
 Ardooie ,37020,nee,Tevredenheid over onderwijsvoorzieningen,2020,0.02,0.04,0.94
 Arendonk ,13001,nee,Tevredenheid over onderwijsvoorzieningen,2017,0.0,0.05,0.95
 Arendonk ,13001,nee,Tevredenheid over onderwijsvoorzieningen,2020,0.0,0.05,0.95
 As ,71002,nee,Tevredenheid over onderwijsvoorzieningen,2017,0.02,0.06,0.92
 As ,71002,nee,Tevredenheid over onderwijsvoorzieningen,2020,0.02,0.05,0.93
 Asse ,23002,nee,Tevredenheid over onderwijsvoorzieningen,2017,0.08,0.15,0.77
 Asse ,23002,nee,Tevredenheid over onderwijsvoorzieningen,2020,0.09,0.15,0.75
 Assenede ,43002,nee,Tevredenheid over onderwijsvoorzieningen,2017,0.04,0.12,0.84
 Assenede ,43002,nee,Tevredenheid over onderwijsvoorzieningen,2020,0.05,0.13,0.82
 Avelgem ,34003,nee,Tevredenheid over onderwijsvoorzieningen,2017,0.0,0.06,0.93
 Avelgem ,34003,nee,Tevredenheid over onderwijsvoorzieningen,2020,0.02,0.07,0.91
 Baarle-Hertog ,13002,nee,Tevredenheid over onderwijsvoorzieningen,2017,0.04,0.13,0.83
 Baarle-Hertog ,13002,nee,Tevredenheid over onderwijsvoorzieningen,2020,0.02,0.11,0.87
 Balen ,13003,nee,Tevredenheid over onderwijsvoorzieningen,2017,0.04,0.09,0.87
 Balen ,13003,nee,Tevredenheid over onderwijsvoorzieningen,2020,0.02,0.1,0.88
 Beernem ,31003,nee,Tevredenheid over onderwijsvoorzieningen,2017,0.02,0.08,0.9
 Beernem ,31003,nee,Tevredenheid over onderwijsvoorzieningen,2020,0.03,0.07,0.9
 Beerse ,13004,nee,Tevredenheid over onderwijsvoorzieningen,2017,0.01,0.09,0.9
 Beerse ,13004,nee,Tevredenheid over onderwijsvoorzieningen,2020,0.01,0.09,0.91
 Beersel ,23003,nee,Tevredenheid over onderwijsvoorzieningen,2017,0.03,0.16,0.8
 Beersel ,23003,nee,Tevredenheid over onderwijsvoorzieningen,2020,0.04,0.18,0.78
 Begijnendijk ,24007,nee,Tevredenheid over onderwijsvoorzieningen,2017,0.01,0.05,0.94
 Begijnendijk ,24007,nee,Tevredenheid over onderwijsvoorzieningen,2020,0.03,0.05,0.92
 Bekkevoort ,24008,nee,Tevredenheid over onderwijsvoorzieningen,2017,0.03,0.15,0.82
 Bekkevoort ,24008,nee,Tevredenheid over onderwijsvoorzieningen,2020,0.03,0.16,0.81
 Beringen ,71004,nee,Tevredenheid over onderwijsvoorzieningen,2017,0.05,0.09,0.87
 Beringen ,71004,nee,Tevredenheid over onderwijsvoorzieningen,2020,0.04,0.09,0.88
 Berlaar ,12002,nee,Tevredenheid over onderwijsvoorzieningen,2017,0.01,0.04,0.95
 Berlaar ,12002,nee,Tevredenheid over onderwijsvoorzieningen,2020,0.0,0.06,0.94
 Berlare ,42003,nee,Tevredenheid over onderwijsvoorzieningen,2017,0.03,0.07,0.91
 Berlare ,42003,nee,Tevredenheid over onderwijsvoorzieningen,2020,0.05,0.1,0.86
 Bertem ,24009,nee,Tevredenheid over onderwijsvoorzieningen,2017,0.04,0.14,0.82
 Bertem ,24009,nee,Tevredenheid over onderwijsvoorzieningen,2020,0.03,0.12,0.85
