Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Heel erg moeilijk om rond te komen (%),Moeilijk om rond te komen (%),Het lukt om rond te komen (%),Het lukt om comfortabel te leven (%)
 Oud-Turnhout ,13031,nee,Subjectieve armoede,2020,0.03,0.08,0.39,0.51
 Overijse ,23062,nee,Subjectieve armoede,2020,0.03,0.09,0.35,0.52
 Peer ,72030,nee,Subjectieve armoede,2020,0.02,0.1,0.42,0.46
 Pelt ,72043,nee,Subjectieve armoede,2020,0.02,0.07,0.45,0.46
 Pepingen ,23064,nee,Subjectieve armoede,2020,0.01,0.09,0.37,0.53
 Pittem ,37011,nee,Subjectieve armoede,2020,0.02,0.11,0.42,0.45
 Poperinge ,33021,nee,Subjectieve armoede,2020,0.03,0.13,0.4,0.44
 Putte ,12029,nee,Subjectieve armoede,2020,0.03,0.11,0.41,0.45
 Puurs-Sint-Amands ,12041,nee,Subjectieve armoede,2020,0.02,0.1,0.36,0.53
 Ranst ,11035,nee,Subjectieve armoede,2020,0.02,0.07,0.45,0.47
 Ravels ,13035,nee,Subjectieve armoede,2020,0.02,0.07,0.43,0.47
 Retie ,13036,nee,Subjectieve armoede,2020,0.02,0.09,0.43,0.46
 Riemst ,73066,nee,Subjectieve armoede,2020,0.02,0.11,0.41,0.46
 Rijkevorsel ,13037,nee,Subjectieve armoede,2020,0.02,0.12,0.43,0.43
 Roeselare ,36015,ja,Subjectieve armoede,2017,0.03,0.14,0.41,0.41
 Roeselare ,36015,ja,Subjectieve armoede,2020,0.03,0.1,0.39,0.48
 Ronse ,45041,nee,Subjectieve armoede,2020,0.03,0.13,0.43,0.41
 Roosdaal ,23097,nee,Subjectieve armoede,2020,0.03,0.09,0.37,0.52
 Rotselaar ,24094,nee,Subjectieve armoede,2020,0.02,0.09,0.39,0.5
 Ruiselede ,37012,nee,Subjectieve armoede,2020,0.03,0.09,0.4,0.49
 Rumst ,11037,nee,Subjectieve armoede,2020,0.03,0.09,0.42,0.46
 Schelle ,11038,nee,Subjectieve armoede,2020,0.01,0.09,0.4,0.5
 Scherpenheuvel-Zichem ,24134,nee,Subjectieve armoede,2020,0.02,0.12,0.45,0.42
 Schilde ,11039,nee,Subjectieve armoede,2020,0.01,0.09,0.35,0.55
 Schoten ,11040,nee,Subjectieve armoede,2020,0.03,0.11,0.39,0.48
 Sint-Genesius-Rode ,23101,nee,Subjectieve armoede,2020,0.04,0.08,0.34,0.53
 Sint-Gillis-Waas ,46020,nee,Subjectieve armoede,2020,0.03,0.09,0.41,0.47
 Sint-Katelijne-Waver ,12035,nee,Subjectieve armoede,2020,0.03,0.1,0.38,0.49
 Sint-Laureins ,43014,nee,Subjectieve armoede,2020,0.03,0.07,0.41,0.49
 Sint-Lievens-Houtem ,41063,nee,Subjectieve armoede,2020,0.03,0.1,0.36,0.51
 Sint-Martens-Latem ,44064,nee,Subjectieve armoede,2020,0.02,0.06,0.3,0.62
 Sint-Niklaas ,46021,ja,Subjectieve armoede,2017,0.04,0.14,0.41,0.41
 Sint-Niklaas ,46021,ja,Subjectieve armoede,2020,0.03,0.13,0.38,0.45
 Sint-Pieters-Leeuw ,23077,nee,Subjectieve armoede,2020,0.03,0.19,0.39,0.38
 Sint-Truiden ,71053,nee,Subjectieve armoede,2020,0.05,0.13,0.37,0.45
 Spiere-Helkijn ,34043,nee,Subjectieve armoede,2020,0.02,0.15,0.42,0.41
 Stabroek ,11044,nee,Subjectieve armoede,2020,0.04,0.12,0.38,0.45
 Staden ,36019,nee,Subjectieve armoede,2020,0.03,0.11,0.46,0.4
 Steenokkerzeel ,23081,nee,Subjectieve armoede,2020,0.03,0.09,0.4,0.48
 Stekene ,46024,nee,Subjectieve armoede,2020,0.03,0.11,0.39,0.47
 Temse ,46025,nee,Subjectieve armoede,2020,0.02,0.09,0.41,0.47
 Ternat ,23086,nee,Subjectieve armoede,2020,0.02,0.06,0.37,0.54
 Tervuren ,24104,nee,Subjectieve armoede,2020,0.02,0.08,0.3,0.6
 Tessenderlo ,71057,nee,Subjectieve armoede,2020,0.02,0.1,0.42,0.46
 Tielt ,37015,nee,Subjectieve armoede,2020,0.03,0.08,0.44,0.46
 Tielt-Winge ,24135,nee,Subjectieve armoede,2020,0.02,0.07,0.43,0.48
 Tienen ,24107,nee,Subjectieve armoede,2020,0.02,0.13,0.43,0.41
 Tongeren ,73083,nee,Subjectieve armoede,2020,0.03,0.12,0.42,0.43
 Torhout ,31033,nee,Subjectieve armoede,2020,0.03,0.14,0.38,0.45
 Tremelo ,24109,nee,Subjectieve armoede,2020,0.02,0.1,0.43,0.45
 Turnhout ,13040,ja,Subjectieve armoede,2017,0.05,0.13,0.42,0.39
 Turnhout ,13040,ja,Subjectieve armoede,2020,0.04,0.12,0.4,0.43
 Veurne ,38025,nee,Subjectieve armoede,2020,0.02,0.11,0.44,0.44
 Vilvoorde ,23088,nee,Subjectieve armoede,2020,0.04,0.17,0.42,0.37
 Vleteren ,33041,nee,Subjectieve armoede,2020,0.03,0.1,0.45,0.42
 Voeren ,73109,nee,Subjectieve armoede,2020,0.02,0.09,0.43,0.47
 Vorselaar ,13044,nee,Subjectieve armoede,2020,0.03,0.07,0.44,0.45
 Vosselaar ,13046,nee,Subjectieve armoede,2020,0.02,0.07,0.41,0.51
 Waasmunster ,42023,nee,Subjectieve armoede,2020,0.03,0.11,0.38,0.48
 Wachtebeke ,44073,nee,Subjectieve armoede,2020,0.03,0.08,0.44,0.46
 Waregem ,34040,nee,Subjectieve armoede,2020,0.04,0.07,0.38,0.52
 Wellen ,73098,nee,Subjectieve armoede,2020,0.03,0.12,0.38,0.48
 Wemmel ,23102,nee,Subjectieve armoede,2020,0.03,0.1,0.38,0.49
 Wervik ,33029,nee,Subjectieve armoede,2020,0.02,0.15,0.38,0.45
 Westerlo ,13049,nee,Subjectieve armoede,2020,0.02,0.09,0.42,0.47
 Wetteren ,42025,nee,Subjectieve armoede,2020,0.03,0.1,0.37,0.5
 Wevelgem ,34041,nee,Subjectieve armoede,2020,0.01,0.08,0.41,0.5
 Wezembeek-Oppem ,23103,nee,Subjectieve armoede,2020,0.06,0.07,0.32,0.56
 Wichelen ,42026,nee,Subjectieve armoede,2020,0.03,0.09,0.41,0.47
 Wielsbeke ,37017,nee,Subjectieve armoede,2020,0.02,0.1,0.37,0.52
 Wijnegem ,11050,nee,Subjectieve armoede,2020,0.03,0.09,0.4,0.49
 Willebroek ,12040,nee,Subjectieve armoede,2020,0.05,0.1,0.43,0.42
 Wingene ,37018,nee,Subjectieve armoede,2020,0.03,0.09,0.43,0.46
 Wommelgem ,11052,nee,Subjectieve armoede,2020,0.02,0.09,0.47,0.42
 Wortegem-Petegem ,45061,nee,Subjectieve armoede,2020,0.03,0.08,0.35,0.54
 Wuustwezel ,11053,nee,Subjectieve armoede,2020,0.02,0.1,0.4,0.48
 Zandhoven ,11054,nee,Subjectieve armoede,2020,0.01,0.08,0.41,0.49
 Zaventem ,23094,nee,Subjectieve armoede,2020,0.05,0.14,0.34,0.47
 Zedelgem ,31040,nee,Subjectieve armoede,2020,0.01,0.09,0.4,0.5
 Zele ,42028,nee,Subjectieve armoede,2020,0.03,0.11,0.39,0.46
 Zelzate ,43018,nee,Subjectieve armoede,2020,0.03,0.18,0.39,0.4
 Zemst ,23096,nee,Subjectieve armoede,2020,0.03,0.09,0.38,0.5
 Zoersel ,11055,nee,Subjectieve armoede,2020,0.02,0.09,0.4,0.49
 Zonhoven ,71066,nee,Subjectieve armoede,2020,0.02,0.09,0.39,0.49
 Zonnebeke ,33037,nee,Subjectieve armoede,2020,0.04,0.1,0.42,0.44
 Zottegem ,41081,nee,Subjectieve armoede,2020,0.03,0.09,0.35,0.53
 Zoutleeuw ,24130,nee,Subjectieve armoede,2020,0.04,0.1,0.38,0.48
 Zuienkerke ,31042,nee,Subjectieve armoede,2020,0.02,0.07,0.41,0.5
 Zulte ,44081,nee,Subjectieve armoede,2020,0.03,0.09,0.36,0.52
 Zutendaal ,71067,nee,Subjectieve armoede,2020,0.03,0.14,0.34,0.49
 Zwalm ,45065,nee,Subjectieve armoede,2020,0.01,0.09,0.43,0.46
 Zwevegem ,34042,nee,Subjectieve armoede,2020,0.03,0.07,0.42,0.48
 Zwijndrecht ,11056,nee,Subjectieve armoede,2020,0.02,0.11,0.38,0.49
13 centrumsteden,/,/,Subjectieve armoede,2017,0.04,0.13,0.39,0.43
13 centrumsteden,/,/,Subjectieve armoede,2020,0.03,0.11,0.37,0.48
Gemeenten groter dan 50.000 inw.,/,/,Subjectieve armoede,2020,0.03,0.11,0.37,0.48
