Date,MW
2021-11-30,718.63334375
2021-12-01,658.33764375
2021-12-02,441.4637916666667
2021-12-03,486.9814895833333
2021-12-04,378.11269375
2021-12-05,149.65074583333333
2021-12-06,345.77401041666667
2021-12-07,534.2816666666666
2021-12-08,608.6013270833333
2021-12-09,399.63860833333337
2021-12-10,476.5945916666667
2021-12-11,262.24226458333334
2021-12-12,490.48176249999995
2021-12-13,279.4872083333333
2021-12-14,247.47550625
2021-12-15,205.09071875
2021-12-16,14.529237499999999
2021-12-17,108.61638333333333
2021-12-18,70.25384166666666
2021-12-19,70.92846875000001
2021-12-20,43.001783333333336
2021-12-21,35.981087499999994
2021-12-22,141.18367708333332
2021-12-23,439.65310625
2021-12-24,155.8747833333333
2021-12-25,340.3872020833333
2021-12-26,136.84059375
2021-12-27,261.30761875
2021-12-28,676.6669229166667
2021-12-29,462.82852291666666
2021-12-30,690.75618125
2021-12-31,606.4810520833333
2022-01-01,515.7363041666666
2022-01-02,709.8909854166667
2022-01-03,618.251525
2022-01-04,274.24336875
2022-01-05,546.1182729166667
2022-01-06,345.8800708333334
2022-01-07,519.51558125
2022-01-08,548.8959770833334
2022-01-09,364.98446458333336
2022-01-10,58.788937499999996
2022-01-11,136.68347916666664
2022-01-12,28.038889583333333
2022-01-13,36.401018750000006
2022-01-14,23.625945833333333
2022-01-15,47.352031249999996
2022-01-16,153.97392291666665
2022-01-17,80.76640416666667
2022-01-18,17.89585
2022-01-19,284.9994479166667
2022-01-20,451.08098750000005
2022-01-21,179.75935625
2022-01-22,51.36854166666667
2022-01-23,16.582522916666665
2022-01-24,13.320935416666666
2022-01-25,7.856902083333334
2022-01-26,179.90593750000002
2022-01-27,487.40515208333335
2022-01-28,240.05878541666667
2022-01-29,668.00654375
2022-01-30,246.0138770833333
2022-01-31,740.1964291666667
2022-02-01,575.5459479166667
2022-02-02,313.98865208333336
2022-02-03,392.09512083333334
2022-02-04,659.6056458333334
2022-02-05,620.1895395833333
2022-02-06,785.4601041666666
2022-02-07,441.8111916666667
2022-02-08,573.2114395833333
2022-02-09,364.70973125
2022-02-10,196.61996666666667
2022-02-11,198.77160416666666
2022-02-12,501.52568541666665
2022-02-13,725.6416916666666
2022-02-14,621.4821312500001
2022-02-15,558.1163562500001
2022-02-16,748.0746458333334
2022-02-17,682.1719354166667
2022-02-18,524.86465
2022-02-19,694.29708125
2022-02-20,659.6821958333334
2022-02-21,605.4762395833333
2022-02-22,461.6936666666667
2022-02-23,350.03444375
2022-02-24,614.3344458333333
2022-02-25,399.4997
2022-02-26,109.99605416666667
2022-02-27,324.70255208333333
2022-02-28,291.8268041666667
2022-03-01,61.72575833333334
2022-03-02,69.53284583333334
2022-03-03,96.90721666666667
2022-03-04,60.42954375
2022-03-05,119.27180208333333
2022-03-06,417.0551854166667
2022-03-07,350.91464375000004
2022-03-08,289.3875375
2022-03-09,197.37216458333333
2022-03-10,200.13074583333335
2022-03-11,526.7168270833333
2022-03-12,427.883275
2022-03-13,406.4686229166667
2022-03-14,95.31807291666668
2022-03-15,67.18525625
2022-03-16,198.24022916666667
2022-03-17,182.51758958333332
2022-03-18,244.08858541666666
2022-03-19,599.6220083333334
2022-03-20,150.48307916666667
2022-03-21,47.48824166666667
2022-03-22,66.18261458333333
2022-03-23,12.67469375
2022-03-24,26.72486041666667
2022-03-25,111.25830833333333
2022-03-26,185.85207291666666
2022-03-27,93.53413125
2022-03-28,20.998558333333335
2022-03-29,83.16162083333333
2022-03-30,123.01993125
2022-03-31,441.61505625
2022-04-01,621.03578125
2022-04-02,392.98023125
2022-04-03,90.0447875
2022-04-04,741.3503166666667
2022-04-05,522.5479604166667
2022-04-06,724.3497958333334
2022-04-07,724.80671875
2022-04-08,186.79440208333332
2022-04-09,197.63063333333332
2022-04-10,25.73559583333333
2022-04-11,275.84477291666667
2022-04-12,168.61214999999999
2022-04-13,68.90893750000001
2022-04-14,25.263091666666664
2022-04-15,55.201791666666665
2022-04-16,151.21715208333336
2022-04-17,113.89950208333333
2022-04-18,77.53733125000001
2022-04-19,110.17850833333334
2022-04-20,252.13460625000002
2022-04-21,296.22564375
2022-04-22,363.53176041666666
2022-04-23,464.72333333333336
2022-04-24,401.48089791666666
2022-04-25,184.36353749999998
2022-04-26,185.29912916666666
2022-04-27,117.34980416666667
2022-04-28,144.7045625
2022-04-29,218.30459166666665
2022-04-30,108.59842291666668
2022-05-01,15.253470833333333
2022-05-02,59.46710208333333
2022-05-03,75.06831666666668
2022-05-04,20.60194166666667
2022-05-05,20.559575
2022-05-06,84.4894375
2022-05-07,88.37929375
2022-05-08,153.73018125
2022-05-09,42.74568958333334
2022-05-10,420.27549166666665
2022-05-11,455.66028958333334
2022-05-12,234.40984166666667
2022-05-13,387.8104729166667
2022-05-14,50.54112291666667
2022-05-15,172.8747104166667
2022-05-16,332.0367229166667
2022-05-17,53.69949375
2022-05-18,113.90204583333333
2022-05-19,122.12457083333334
2022-05-20,229.34053958333334
2022-05-21,162.51287083333332
2022-05-22,9.873152083333334
2022-05-23,118.62193125
2022-05-24,294.42367083333335
2022-05-25,497.9898416666667
2022-05-26,440.257625
2022-05-27,176.88843125
2022-05-28,181.98077708333332
2022-05-29,144.1780104166667
2022-05-30,15.494904166666666
2022-05-31,79.44019583333333
2022-06-01,82.82522083333333
2022-06-02,79.27789375
2022-06-03,192.50008541666665
2022-06-04,411.4046020833333
2022-06-05,174.72190625
2022-06-06,368.41848125
2022-06-07,105.08178333333333
2022-06-08,326.02796874999996
2022-06-09,211.67799375
2022-06-10,359.89585625
