Weekdag,Aardgas,Ander,Nucleair,Olie,Steenkool,Water,Wind
Maandag,2120.0594144178385,571.6564448878754,4192.003302958317,0.5455597364753579,0.0,150.63819944887877,770.0818138540478
Dinsdag,2288.6895778563244,576.2257156413197,4205.398004744618,0.5607469749076551,0.0,148.11277095274485,747.0580846388995
Woensdag,2306.8120021529885,573.5948345997974,4204.902372593719,0.6010335296352584,0.0,143.84737531661602,763.4817209979736
Donderdag,2255.4383246453003,571.2997413541931,4204.235466936914,0.4428881428933367,0.0,143.40777600076007,777.3618384849253
Vrijdag,2104.3550569668487,572.1525453130953,4204.825872539058,0.34837263431982723,0.0,144.10072084973962,798.79193534866
Zaterdag,1523.4453593253718,563.9321026235548,4170.365453246093,0.09960256003049169,0.0,124.23462209376191,783.7633087282428
Zondag,1358.8496764584195,560.0464766239139,4174.365823843926,0.23390837338085993,0.0,111.53896588268992,764.850892746889
