Date,MW
2014-12-31,137.174
2015-01-01,231.31164583333333
2015-01-02,246.1774375
2015-01-03,104.98831249999999
2015-01-04,44.9045
2015-01-05,66.35870833333334
2015-01-06,101.25560416666667
2015-01-07,151.76287499999998
2015-01-08,250.3574375
2015-01-09,303.9292291666667
2015-01-10,262.56039583333336
2015-01-11,282.2513333333334
2015-01-12,310.397125
2015-01-13,277.37052083333333
2015-01-14,258.46302083333336
2015-01-15,291.8384791666667
2015-01-16,131.53339583333334
2015-01-17,122.68335416666667
2015-01-18,102.22839583333332
2015-01-19,8.318125
2015-01-20,25.488770833333334
2015-01-21,64.56033333333333
2015-01-22,44.28277083333333
2015-01-23,35.309625
2015-01-24,180.4804375
2015-01-25,79.96139583333334
2015-01-26,142.61604166666666
2015-01-27,69.73802083333334
2015-01-28,267.4886041666667
2015-01-29,243.89920833333332
2015-01-30,95.58191666666667
2015-01-31,63.73758333333333
2015-02-01,195.29125000000002
2015-02-02,92.54620833333334
2015-02-03,28.839604166666668
2015-02-04,62.95014583333333
2015-02-05,136.15016666666668
2015-02-06,280.97964583333334
2015-02-07,121.17895833333334
2015-02-08,175.22802083333332
2015-02-09,41.87819706498952
2015-02-10,20.093700305810398
2015-02-11,10.737150684931507
2015-02-12,12.964267515923568
2015-02-13,212.23492647058825
2015-02-14,111.03925000000001
2015-02-15,27.068875
2015-02-16,26.668312500000003
2015-02-17,41.706125
2015-02-18,36.01419847328244
2015-02-19,217.34548701298704
2015-02-20,201.49227564102563
2015-02-21,58.24459119496855
2015-02-22,133.7137304075235
2015-02-23,247.3479375
2015-02-24,199.50596045197742
2015-02-25,62.30410416666667
2015-02-26,168.0143125
2015-02-27,112.9300625
2015-02-28,232.80744578313252
2015-03-01,273.85751592356684
2015-03-02,272.5181761006289
2015-03-03,225.66721712538225
2015-03-04,170.35993827160496
2015-03-05,38.71615894039736
2015-03-06,87.79381578947368
2015-03-07,195.67247058823529
2015-03-08,123.10241486068112
2015-03-09,45.95352760736196
2015-03-10,47.5391746031746
2015-03-11,37.39178125
2015-03-12,89.98538699690403
2015-03-13,86.08148148148149
2015-03-14,122.85024844720496
2015-03-15,100.07385135135135
2015-03-16,29.638913649025067
2015-03-17,27.24264583333333
2015-03-18,86.61811671087533
2015-03-19,66.60922077922078
2015-03-20,22.878296296296295
2015-03-21,163.95785416666666
2015-03-22,86.01162921348315
2015-03-23,25.18867469879518
2015-03-24,22.10965625
2015-03-25,68.70789644012946
2015-03-26,166.72974110032362
2015-03-27,106.82984177215191
2015-03-28,212.23071875
2015-03-29,311.7303184713376
2015-03-30,252.5843670886076
2015-03-31,292.86460567823343
2015-04-01,278.9057911392405
2015-04-02,148.7566975308642
2015-04-03,40.7592879256966
2015-04-04,81.52978658536585
2015-04-05,24.39882175226586
2015-04-06,24.237721518987343
2015-04-07,7.234320241691843
2015-04-08,9.554783950617283
2015-04-09,12.856781250000001
2015-04-10,32.79724550898204
2015-04-11,136.98898734177214
2015-04-12,132.4226072607261
2015-04-13,13.219579831932775
2015-04-14,131.5085
2015-04-15,50.687645833333335
2015-04-16,97.46416666666667
2015-04-17,156.88082073434126
2015-04-18,133.73375375375375
2015-04-19,46.153194888178916
2015-04-20,76.39584126984127
2015-04-21,81.26455974842767
2015-04-22,57.13270588235294
2015-04-23,10.922378048780487
2015-04-24,69.99870129870129
2015-04-25,92.44343195266272
2015-04-26,54.98664383561644
2015-04-27,88.42934523809524
2015-04-28,120.89800000000001
2015-04-29,148.27675
2015-04-30,82.51646706586827
2015-05-01,63.647487684729064
2015-05-02,50.41145061728395
2015-05-03,129.00976525821596
2015-05-04,119.5384328358209
2015-05-05,282.51486725663716
2015-05-06,262.95422360248443
2015-05-07,109.32350993377483
2015-05-08,50.35068548387097
2015-05-09,229.2577450980392
2015-05-10,29.79112852664577
2015-05-11,126.27301242236025
2015-05-12,101.60495238095238
2015-05-13,26.65651785714286
2015-05-14,57.29209302325581
2015-05-15,74.11091549295774
2015-05-16,60.41891666666667
2015-05-17,27.934014336917564
2015-05-18,197.93868263473055
2015-05-19,224.10438502673796
2015-05-20,60.517272727272726
2015-05-21,48.351451612903226
2015-05-22,34.5877734375
2015-05-23,51.43776729559748
2015-05-24,8.962646153846155
2015-05-25,45.890669144981416
2015-05-26,20.244785478547854
2015-05-27,31.567453703703702
2015-05-28,114.1210101010101
2015-05-29,166.1194533762058
2015-05-30,89.12026217228464
2015-05-31,200.84704318936878
2015-06-01,89.55951298701298
2015-06-02,266.1090522875817
2015-06-03,112.12512903225807
2015-06-04,32.03610062893082
2015-06-05,71.07955696202531
2015-06-06,82.66657718120805
2015-06-07,43.97762345679013
2015-06-08,160.31529051987766
2015-06-09,189.39852083333332
2015-06-10,166.3448125
2015-06-11,130.13366666666667
2015-06-12,89.6364705882353
2015-06-13,151.5010769230769
2015-06-14,22.867287066246057
2015-06-15,99.58394409937888
2015-06-16,30.182288401253917
2015-06-17,102.46518032786885
2015-06-18,51.0794670846395
2015-06-19,37.97710769230769
2015-06-20,17.20529595015576
2015-06-21,91.66959627329193
2015-06-22,108.54479411764707
2015-06-23,105.16101587301587
2015-06-24,38.26568181818182
2015-06-25,14.80246835443038
2015-06-26,67.98990566037736
2015-06-27,55.22442675159236
2015-06-28,29.079272237196765
2015-06-29,14.805874999999999
2015-06-30,47.2505
2015-07-01,78.9625
2015-07-02,49.04187969924812
2015-07-03,71.77427272727272
2015-07-04,122.64892638036811
2015-07-05,81.07814404432133
2015-07-06,43.84012499999999
2015-07-07,129.93608333333333
