Date,Coal Pulverized,Liquid Fuel,Natural Gas,Nuclear,Other,Water,Wind
2021-12-02,0.0,0.1294360119047619,2497.8983794642854,4958.401565476191,635.514918154762,145.32433630952383,1617.8420922619046
2021-12-03,0.0,0.2841949404761905,2557.262324404762,5042.373813988095,627.2040714285714,155.23902232142856,1580.2362470238093
2021-12-04,0.0,0.2841949404761905,2431.9977797619044,5177.620590773809,646.633494047619,149.45463690476188,1657.2968526785714
2021-12-05,0.0,0.2841949404761905,2426.828276785714,5324.901251488095,645.6619747023809,143.88377529761902,1509.619575892857
2021-12-06,0.0,0.24930505952380957,2385.0666651785714,5472.542925595239,644.3667723214286,143.05153125,1481.545706845238
2021-12-07,0.0,0.24930505952380957,2492.5798943452382,5621.485537202381,654.1246443452382,147.75472619047622,1377.641775297619
2021-12-08,0.0,0.2357589285714286,2580.2962113095236,5764.911858630953,662.5105892857143,142.28348958333333,1358.758712797619
2021-12-09,0.0,0.2357589285714286,2550.949630952381,5883.649949404762,673.0699345238096,141.05304017857142,1296.9398199404761
2021-12-10,0.0,0.081,2547.383325892857,5950.970854166667,683.7770342261905,144.20324851190477,1333.7093958333332
2021-12-11,0.0,0.081,2734.0958139880945,5964.008617559523,688.5264613095239,151.9950223214286,1277.9720877976192
2021-12-12,0.0,0.081,2584.595428571429,5962.015712797619,684.0521413690476,157.16292410714286,1453.6821324404762
2021-12-13,0.0,0.081,2572.953364583333,5959.450727678572,685.5428199404762,163.96102529761905,1435.8969508928571
2021-12-14,0.0,0.11758630952380957,2654.5630223214284,5957.593549107142,693.2457232142858,164.26041666666669,1348.2863794642856
2021-12-15,0.0,0.106014880952381,2810.4656011904763,5955.426395833333,695.6180297619048,161.57076339285715,1162.517168154762
2021-12-16,0.0,0.0944434523809524,2903.139922619048,5954.076644345238,698.5972291666666,163.93223660714284,985.2055639880953
2021-12-17,0.0,0.08287202380952384,2958.1391532738094,5951.770596726191,698.9837886904762,161.53039583333333,791.9499910714285
2021-12-18,0.0,0.07130059523809527,2854.2602589285716,5952.116479166667,704.9751220238096,148.1688511904762,696.4760491071429
2021-12-19,0.0,0.0597291666666667,2966.907787202381,5954.779830357143,707.3795342261905,146.3092142857143,493.5374330357143
2021-12-20,0.0,0.8442901785714286,3053.63446875,5958.153758928571,706.7478154761905,144.7610773809524,358.2473020833333
2021-12-21,0.0,0.8051324404761905,3111.283769345238,5963.980319940477,704.8961488095238,147.92891666666668,226.14133630952378
2021-12-22,0.0,0.8141324404761906,3116.5836502976194,5970.7480803571425,703.9020848214286,150.57410267857145,182.01380208333333
2021-12-23,0.0,3.0751964285714286,2752.2261056547623,5975.872930059523,701.5982127976189,132.85130803571428,379.45326339285714
2021-12-24,0.0,3.0751964285714286,2444.8408467261906,5979.07934970238,694.5136830357143,132.59190327380952,413.592412202381
2021-12-25,0.0,3.0751964285714286,2280.2963288690476,5981.722614583333,690.2591160714285,148.05402083333334,572.4517901785714
2021-12-26,0.0,3.0751964285714286,2143.037938988095,5984.7964672619055,693.9266636904761,155.24728273809524,606.5783645833334
2021-12-27,0.0,2.279063988095238,1738.3274806547618,5986.495875,693.7402544642856,140.91049553571426,719.0674925595239
2021-12-28,0.0,2.270063988095238,1319.6464553571427,5985.520827380953,687.6796502976191,128.10427529761904,1029.1935252976189
2021-12-29,0.0,2.261063988095238,937.9801279761905,5983.107485119047,684.6150252976191,132.57172172619048,1184.5950580357144
2021-12-30,0.0,0.0,874.4934895833334,5978.279224702381,676.3748764880953,153.1828244047619,1311.614617559524
2021-12-31,0.0,0.0,780.2819449404761,5959.099590773809,673.203875,157.92027976190477,1552.483811011905
2022-01-01,0.0,0.0,757.5415267857143,5954.865761904762,677.2267499999999,163.70411160714283,1645.9437559523813
2022-01-02,0.0,0.0,731.0529375,5950.53047172619,675.2059419642857,164.66025892857144,1911.605555059524
2022-01-03,0.0,0.0,735.6791279761904,5948.704696428571,673.3584910714286,179.34120089285713,2081.007828869048
2022-01-04,0.0,0.0,797.5064017857143,5947.339986607142,676.9838601190477,193.35343749999998,1909.7829791666668
2022-01-05,0.0,0.0,847.7383660714286,5947.952395833333,681.7951726190477,195.02848660714287,1967.3441651785718
2022-01-06,0.0,0.0,986.0186934523811,5951.533720238096,683.8377946428571,185.67265922619046,1798.4861785714288
2022-01-07,0.0,0.0,1049.723220238095,5968.5409211309525,691.5970654761906,187.64443601190473,1739.180375
2022-01-08,0.0,0.0,1084.6968333333332,5970.908913690476,692.0661056547618,173.98388541666668,1708.7091964285714
2022-01-09,0.0,0.0,1155.2227306547618,5972.3755565476185,684.3676116071429,174.70785565476191,1551.5473229166669
2022-01-10,0.0,1.6380223214285716,1600.9343363095238,5973.47805952381,684.9438020833333,169.62544791666667,1298.2890535714287
2022-01-11,0.0,1.760278273809524,2022.3531785714288,5974.412004464286,683.2402544642857,166.77509672619047,1236.7612083333333
2022-01-12,0.0,1.768903273809524,2451.747561011905,5974.415568452381,681.2495267857142,163.96691220238094,971.259549107143
2022-01-13,0.0,1.8271473214285714,2795.8504583333333,5974.56287797619,682.1271547619048,167.4475580357143,828.508886904762
2022-01-14,0.0,1.842105654761905,3227.977650297619,5977.0908526785715,680.4926770833334,161.8921488095238,582.7447738095238
2022-01-15,0.0,1.9370520833333333,3555.1285476190474,5977.744699404762,680.8680401785714,169.8277366071429,354.4428258928571
