YearMonth,MW
2014-12-15,46.078
2015-01-15,154.61702274975272
2015-02-15,115.51564613661814
2015-03-15,128.39085593731164
2015-04-15,82.61446988448846
2015-05-15,102.84786995073891
2015-06-15,84.59809582059123
2015-07-15,95.84541699920192
2015-08-15,67.33671183738541
2015-09-15,100.98366938008766
2015-10-15,59.081001211142514
2015-11-15,182.2783083737608
2015-12-15,198.06313976772125
2016-01-15,183.0005677387914
2016-02-15,156.94375185577942
2016-03-15,119.09165456012913
2016-04-15,100.56765221017515
2016-05-15,81.45318463692738
2016-06-15,75.46083560209424
2016-07-15,73.89270987038883
2016-08-15,90.03278776978418
2016-09-15,69.94346399659139
2016-10-15,80.17461554361306
2016-11-15,126.97615132253434
2016-12-15,98.4780012249898
2017-01-15,98.17587965730225
2017-02-15,148.21903662597114
2017-03-15,153.58617563162184
2017-04-15,77.1532675346493
2017-05-15,83.73887626774848
2017-06-15,115.65802793755137
2017-07-15,103.0651112471933
2017-08-15,80.87142566191446
2017-09-15,105.68983603154837
2017-10-15,182.30026816089654
2017-11-15,96.1588986232791
2017-12-15,194.46939573459716
2018-01-15,206.42925743589743
2018-02-15,169.619764949879
2018-03-15,157.57590604026845
2018-04-15,93.76091149273446
2018-11-15,214.7945007541478
2018-12-15,223.81147573988324
2019-01-15,192.5124098094852
2019-02-15,176.77838261648745
2019-03-15,240.49116599190285
2019-04-15,126.30658546829062
2019-05-15,117.45134587850276
2019-06-15,151.18769705603037
2019-07-15,114.61510423116616
2019-08-15,212.92410385259632
2019-09-15,164.02778632478632
2019-10-15,194.92426372712146
2019-11-15,203.35100811359027
2019-12-15,302.25029544120525
2020-01-15,336.28948100588553
2020-02-15,431.210574564235
2020-03-15,309.545901378579
2020-04-15,86.06061840120664
2020-05-15,97.54760393046107
2020-06-15,220.38005376344088
2020-08-15,280.1102801268499
2020-09-15,268.7138016528926
2020-10-15,353.25079748670856
2020-11-15,396.66390625
2020-12-15,290.09114827201785
2021-01-15,140.9586904761905
2021-02-15,270.3328864970646
2021-03-15,300.0747126895451
2021-04-15,221.77070445920305
2021-05-15,237.00737868020306
2021-06-15,103.1907358684481
2021-07-15,172.45563692625063
2021-08-15,222.22988118264712
2021-09-15,147.85689344953613
2021-10-15,405.36167883211675
2021-11-15,204.21647200192263
2021-12-15,279.8426858813701
2022-01-15,271.8721871227364
2022-02-15,551.1372773972603
2022-03-15,89.22234042553191
2022-04-15,172.87701388888888
2022-05-15,168.02316619490497
2022-06-15,90.01193548387097
2022-07-15,184.72057471264367
2022-10-15,388.27156187954995
2022-11-15,227.36252631578947
2023-01-15,771.1852805280529
