Date,Aardgas,Ander,Nucleair,Olie,Steenkool,Water,Wind
2017-12-31,1144.4866666666667,706.3866666666667,4949.96,0.0,0.0,198.435,985.2049999999999
2018-01-01,1142.5355737704917,599.9836507936508,4790.747384615385,0.0,0.0,186.46151515151513,770.1672857142858
2018-01-02,1522.0019047619046,726.1293846153847,4936.203731343284,0.0,0.0,213.76235294117646,805.3904545454545
2018-01-03,1346.604411764706,762.2607352941177,4935.351904761905,0.0,0.0,208.9127118644068,838.6009375
2018-01-04,1535.55078125,799.4544285714286,4937.709516129032,0.0,0.0,201.2476119402985,776.9868181818182
2018-01-05,1530.9420967741937,805.90390625,4946.965070422535,0.0,0.0,179.85209677419354,543.4050000000001
2018-01-06,1304.6701612903225,809.2215094339622,4952.291846153846,0.0,0.0,137.04183333333333,317.53391304347826
2018-01-07,1227.4862295081969,739.8170689655173,4955.35609375,0.0,0.0,183.08013888888888,952.0960714285713
2018-01-08,1971.9815942028988,814.5201538461538,4959.377101449276,16.51607142857143,0.0,316.62568965517244,640.3228571428571
2018-01-09,2620.553692307692,824.7690666666666,4958.071206896552,0.0,0.0,180.88734375,216.83092307692309
2018-01-10,2403.7954411764704,695.1682352941177,4915.747457627118,0.0,0.0,208.37157142857143,384.22258064516126
2018-01-11,2580.7278461538463,750.8866666666667,4958.098571428572,0.0,0.0,161.73145161290324,11.993174603174603
2018-01-12,2609.108260869565,743.6133333333333,4958.26884057971,0.0,0.0,179.30409836065573,15.136857142857142
2018-01-13,1935.5785294117647,751.54671875,4964.273548387097,0.4479310344827586,0.0,197.3833846153846,147.2791935483871
2018-01-14,1477.0587037037037,710.4111111111112,4962.455625,0.0,0.0,168.16852459016394,265.115
2018-01-15,1985.1642647058825,691.290606060606,4957.94537037037,0.0,0.0,251.92397058823528,952.5803333333333
2018-01-16,1716.5859016393445,656.0150847457627,4962.832142857143,0.0,0.0,258.3285714285714,1009.9343333333333
2018-01-17,1472.5,695.1779032258064,4967.976153846154,0.0,0.0,253.90621212121215,1003.3169230769231
2018-01-18,1695.274375,645.6732727272727,4965.259137931035,0.0,0.0,243.52403225806452,563.707258064516
2018-01-19,2175.881363636364,673.1766666666667,4965.063999999999,0.0,0.0,204.6733870967742,604.1564406779662
2018-01-20,1270.6232307692308,675.9350769230768,4967.83923076923,0.0,0.0,184.62986486486489,206.9808064516129
2018-01-21,1469.9138095238097,676.7194915254237,4969.965373134328,0.0,0.0,208.1593650793651,388.335873015873
2018-01-22,2061.229365079365,634.864776119403,4963.636060606061,0.0,0.0,169.1076923076923,461.17676923076925
2018-01-23,1430.8654098360657,634.4508108108108,4960.733793103448,0.0,0.0,236.4382089552239,803.8163636363636
2018-01-24,1171.9274647887326,668.1131147540984,4952.8184375,0.0,0.0,184.3620338983051,936.5021052631579
2018-01-25,1736.6020588235294,734.8876666666667,4958.5015151515145,0.0,0.0,177.76835820895522,552.60203125
2018-01-26,2482.9964615384615,701.1688235294118,4958.761428571428,0.0,0.0,182.51176470588234,90.265
2018-01-27,1052.7409375,718.0282894736843,4958.908405797101,0.0,0.0,55.43349206349206,601.52125
2018-01-28,950.6007936507937,709.6937096774194,4920.02262295082,0.0,0.0,222.87333333333333,931.0026984126984
2018-01-29,1712.2055714285714,741.3408333333333,4842.71893939394,0.0,0.0,162.5025396825397,826.74890625
2018-01-30,2359.1347826086953,755.0437878787878,4848.439298245614,0.0,0.0,229.61942857142859,115.3309375
2018-01-31,1496.793880597015,729.5927142857142,4872.436417910448,0.0,0.0,235.8089333333333,965.4586301369862
2018-02-01,2065.2819354838707,756.5966176470588,4961.362835820895,0.2676923076923077,0.0,196.3124193548387,760.4720588235294
2018-02-02,2060.8292063492063,750.88125,4960.670967741935,0.0,0.0,166.87847457627117,694.777076923077
2018-02-03,1921.859375,755.13,4967.967580645161,0.0,0.0,74.5158208955224,142.93655737704916
2018-02-04,1607.7002739726026,744.1693846153846,4969.752769230769,0.0,0.0,183.57037037037037,740.1460606060606
2018-02-05,2568.257288135593,761.2455000000001,4970.322205882352,0.0,0.0,187.91276923076924,685.6267924528302
2018-02-06,3011.5099999999998,830.8304411764706,4971.08552238806,0.0,0.0,223.80177419354837,295.89000000000004
2018-02-07,3259.9545454545455,812.1863793103448,4964.837377049181,0.0,0.0,223.84166666666667,77.32765625
2018-02-08,3446.2730434782607,797.1965573770492,4960.0035211267605,0.00015151515151515152,0.0,180.39737704918034,309.406875
2018-02-09,3395.5383333333334,684.7884126984127,4960.328484848485,0.0,0.0,182.4711290322581,769.3845161290322
2018-02-10,2074.434117647059,529.0349180327869,4966.524545454546,0.0,0.0,112.38283018867925,687.8790322580645
2018-02-11,1752.5132258064518,528.972,4970.366486486487,0.0,0.0,147.47265625,951.6052380952381
2018-02-12,2963.9953731343285,536.4152307692308,4971.85746031746,0.0,0.0,238.57048387096776,602.7033333333334
2018-02-13,2491.94234375,795.4312903225806,4970.970677966102,0.0,0.0,153.192,880.8972463768116
2018-02-14,2123.651111111111,815.0146031746032,4972.531904761905,0.42079365079365083,0.0,147.13245614035085,892.1182352941177
2018-02-15,2527.1931081081084,848.1944827586207,4965.368219178083,0.0,0.0,240.97650000000002,736.36859375
2018-02-16,1939.6210526315788,820.4683076923077,4967.776666666667,0.0,0.0,204.46233333333333,241.4175
2018-02-17,1663.5030645161291,802.66109375,4972.236285714285,0.0,0.0,107.06850746268657,40.868524590163936
2018-02-18,1742.8563636363638,801.1177777777779,4968.397121212121,0.0,0.0,105.408,116.04896551724138
