Date,Aardgas,Ander,Nucleair,Olie,Steenkool,Water,Wind
2019-12-25,1049.748851125449,627.5996739432616,5081.363701134361,0.0,0.0,176.58580815336376,1206.39306422948
2019-12-26,1034.4406231034711,639.5782937589298,5084.435645578806,0.0,0.0,181.94888286600744,1104.799700593116
2019-12-27,1092.3663541466215,640.2595889323472,5087.186625519169,0.0,0.0,171.63781673074777,890.1189442905952
2019-12-28,1139.5516460053004,632.4442433102274,5088.688751001794,0.0,0.0,161.81437464437883,706.850816940971
2019-12-29,1196.5569584071843,652.6576860103843,5090.585754617195,0.0,0.0,156.36357224997477,617.9298911167951
2019-12-30,1230.0106367330889,678.8228616544123,5088.772478661651,0.0,0.0,145.57916748807,557.6576535335898
2019-12-31,1304.950636733089,694.2937860241603,4952.862939491143,0.0,0.0,123.80936453240497,424.3172639232003
2020-01-01,1383.3701618057173,698.0301763136093,4816.424191470871,0.0,0.0,121.45281946517025,412.56438277073937
2020-01-02,1516.5980773276954,702.7056904265127,4678.2655505978555,0.0,0.0,130.30456618109798,427.76017741359647
2020-01-03,1641.531327615714,712.1662232606141,4539.831423773738,0.0,0.0,123.12765900606584,611.9063757679381
2020-01-04,1774.9270419014283,729.2158992398766,4401.214170797548,0.0,0.0,142.6804544474131,735.4011400223242
2020-01-05,1916.613769465531,736.6557431043456,4262.01406225413,0.0,0.0,127.39008620689654,745.5183456084047
2020-01-06,2163.499284688013,736.3725317460318,4127.197290940766,0.0,0.0,127.27691656403941,789.4415752551021
2020-01-07,2423.2374989737277,733.8812668650793,4126.026130226481,0.0,0.0,151.83071120689652,884.6133609693878
2020-01-08,2664.6926041666666,733.2199404761905,4122.269047619047,0.0,0.0,167.88583333333332,980.9258482142858
2020-01-09,2815.1722023809525,731.3478273809524,4120.21380952381,0.0,0.0,166.08453869047617,1064.9577232142858
2020-01-10,2899.4781342418546,733.0866686289901,4120.468782738095,0.0,0.0,180.81962143511254,970.9768801759835
2020-01-11,2863.987249888113,734.6175168432757,4120.0500978664195,0.0,0.0,161.23527024463633,1040.284023513157
2020-01-12,2795.7708218211233,733.1057155394209,4119.465998164038,0.0,0.0,170.95969484781094,1164.517887760469
2020-01-13,2787.8045340947656,735.1144424979464,4117.675243293908,0.08759637188208616,0.0,185.01324828597723,1192.8457410630804
2020-01-14,2552.315220907952,726.773975777167,4116.9614380218,0.13328867957439386,0.0,185.05497223411817,1274.1612813561205
2020-01-15,2438.9521851936665,685.1705518053056,4118.994149189601,0.13328867957439386,0.0,172.95430785682876,1343.6390647412138
2020-01-16,2423.292883245615,665.7211080694779,4119.321999297825,0.13328867957439386,0.0,174.96774116501118,1313.9800500554213
2020-01-17,2352.570215807789,657.5676950902053,4118.458183562835,0.13328867957439386,0.0,171.96316696074754,1419.5566238268063
2020-01-18,2396.8059011565556,653.794245842085,4118.746731300812,0.13328867957439386,0.0,183.40013768674288,1315.4335245655966
2020-01-19,2479.3941068209474,649.5281581886328,4119.344798572979,0.13328867957439386,0.0,182.94329425239943,1247.4993790473256
2020-01-20,2561.02977810895,647.6748138831688,4120.4169727780845,0.04569230769230769,0.0,171.10661973027322,1067.1360442237476
2020-01-21,2880.9916898179304,654.6200619684168,4121.881132312867,0.0,0.0,174.47536381208624,836.281813454517
2020-01-22,3070.184281299195,694.0696439711136,4122.099562690667,0.3646969696969697,0.0,187.3009389036613,636.9676723108031
2020-01-23,3112.6913592212727,714.6389577091874,4123.183740512845,0.3646969696969697,0.0,194.47063224891806,453.49749605048015
2020-01-24,3220.9906514795766,715.4802096352275,4124.643444002937,0.3646969696969697,0.0,196.15978009382675,258.9703322169833
2020-01-25,3401.835671913123,719.7762035262049,4124.832732922351,0.3646969696969697,0.0,183.97110401068858,178.14346076006717
2020-01-26,3483.900918125244,728.532217483512,4124.647589757326,0.3646969696969697,0.0,175.98225796090506,183.17024500721678
2020-01-27,3410.985254801696,727.8399151875936,4123.670634708064,0.3646969696969697,0.0,176.8066588067697,365.3775420043738
2020-01-28,3196.4531622319087,726.9121278707438,4123.347244731106,0.3646969696969697,0.0,175.81053601491104,586.1471104567548
2020-01-29,3038.3621630125494,726.1218329351466,4123.675463304553,0.0,0.0,177.69197946729196,804.7192122629946
2020-01-30,2886.072467395666,712.7683468614717,4099.285384778911,0.0,0.0,174.69371888528138,1012.5643555900622
2020-01-31,2707.5784672619047,706.0836160714287,4097.062306547619,0.0,0.0,176.70650297619048,1232.074136904762
2020-02-01,2313.941875,674.026994047619,4095.248586309524,0.0,0.0,191.6116517857143,1443.3866964285714
2020-02-02,2027.8103277080063,641.4968365975421,4093.547363671275,0.0,0.0,206.47115207373272,1504.2897077634245
2020-02-03,1882.8485797513608,612.0902391596541,4091.8711563731385,0.0,0.0,208.22661338325653,1523.6236865885614
2020-02-04,1902.4955936402498,583.7168554087656,4090.5350451094023,0.05181236673773987,0.0,188.74150207373273,1508.6440467076086
2020-02-05,1975.2550267468255,556.2535541073128,4089.9168146101124,0.05181236673773987,0.0,178.47174693304007,1297.3785503964082
2020-02-06,2169.422861922563,536.9158930428871,4113.993563122017,0.09178855721393034,0.0,166.68300473944132,1090.6598896821226
2020-02-07,2388.7513668245238,518.6002724196378,4114.811277407732,0.09178855721393034,0.0,149.5038028996145,962.8866690537072
2020-02-08,2505.659125167615,518.2024905568927,4114.524161606866,0.09178855721393034,0.0,146.04099323408158,887.3315757095515
2020-02-09,2492.5877532707464,517.0691849650362,4113.8750458651975,0.09178855721393034,0.0,139.68757925558697,887.4752303943671
2020-02-10,2357.420959560725,522.3807377600673,4111.181224410308,0.09178855721393034,0.0,147.3847350997428,917.2557649218688
2020-02-11,2227.330300060607,526.1644760881314,4111.827960674044,0.07269248826291079,0.0,162.23751605212377,942.1839315885355
2020-02-12,2148.0339725440926,524.5181564755406,4111.756957542381,0.07269248826291079,0.0,159.67678012138785,1153.7463873064496
2020-02-13,2044.3943490280199,525.556983140535,4111.021810372285,0.032716297786720326,0.0,167.281066687281,1354.8085502205283
2020-02-14,1980.5151673861324,524.5350633726277,4110.993875759633,0.032716297786720326,0.0,176.6058481756339,1374.0552081200058
2020-02-15,1864.2816220532447,514.787164212964,4111.014378364373,0.032716297786720326,0.0,165.6837877478592,1457.1461183501267
2020-02-16,1874.289171344148,508.09775310523725,4111.450724842297,0.032716297786720326,0.0,165.76975975204547,1501.2104025855601
2020-02-17,1999.3090095794419,501.1941077850402,4116.124877792755,0.032716297786720326,0.0,155.46750866979437,1508.7161462675538
2020-02-18,2091.0972087621003,490.3083216602455,4117.096112911802,0.022366071428571433,0.0,150.21538962217534,1508.6646135294582
2020-02-19,2140.921603172038,481.199266979051,4118.363382257041,0.022366071428571433,0.0,149.34187771741344,1497.7415082894115
2020-02-20,2083.190519488565,471.5502888784824,4118.64651305809,0.022366071428571433,0.0,149.9805148927381,1530.6058781134282
2020-02-21,1923.6121039665868,468.799748912496,4119.586286956456,0.022366071428571433,0.0,152.00282214897396,1637.8570390566515
2020-02-22,2029.4604653611445,473.4168882682383,4121.045534081152,0.022366071428571433,0.0,155.2205345041863,1635.1693025278296
2020-02-23,2071.368826330532,474.7287058702791,4122.415746221241,0.022366071428571433,0.0,155.7752767857143,1574.2024594155846
2020-02-24,2192.9485565476193,470.3700892857143,4122.380773809525,0.022366071428571433,0.0,164.15108630952383,1511.0434523809527
2020-02-25,2140.705744047619,474.7366220238095,4120.9611904761905,0.0,0.0,171.89406250000002,1456.2581845238096
2020-02-26,2238.9319196428573,482.31921130952384,4119.377023809524,0.0,0.0,173.2444642857143,1448.1576488095238
2020-02-27,2465.564761904762,493.04430059523804,4119.400997023809,0.0,0.0,174.84864583333336,1349.7218452380953
2020-02-28,2631.1202083333333,496.39569940476184,4117.919330357143,0.0,0.0,170.83020833333333,1295.7563690476193
2020-02-29,2516.561443452381,522.019613095238,4094.3000744047617,0.0,0.0,186.52208333333334,1297.5940773809525
2020-03-01,2481.950386904762,547.2236011904762,4093.728467261905,0.0,0.0,188.2510267857143,1347.535922619048
2020-03-02,2570.528020833334,582.9881398809523,4092.936934523809,0.0,0.0,185.78471726190477,1265.9712202380956
2020-03-03,2850.196026785714,617.7218750000001,4092.9135565476195,0.028288690476190474,0.0,181.99519345238096,1185.8399255952384
2020-03-04,2872.439494047619,649.1179910714285,4092.9554166666667,0.028288690476190474,0.0,186.28988095238097,1024.431592261905
2020-03-05,2830.3031101190472,673.4303869047619,4092.741696428571,0.028288690476190474,0.0,183.30797619047618,1031.0478571428573
2020-03-06,2847.1728720238093,696.9900446428572,4093.2763392857146,0.028288690476190474,0.0,182.20010416666668,1005.6699404761906
2020-03-07,2991.8614136904757,703.7321428571429,4115.62287202381,0.028288690476190474,0.0,171.6966517857143,892.809880952381
2020-03-08,3053.183526785714,699.5652232142858,4114.266294642856,0.028288690476190474,0.0,167.934375,898.3555059523811
2020-03-09,3079.926964285714,697.4990327380953,4113.454226190476,0.028288690476190474,0.0,168.00992559523812,984.8076934523812
2020-03-10,2842.6991666666668,693.3132738095237,4111.151785714285,0.0,0.0,163.5069642857143,1125.7943601190477
2020-03-11,2611.096755952381,687.7673363095238,4108.5464732142855,0.0,0.0,162.66376488095239,1271.1607291666667
2020-03-12,2254.0807291666665,676.4493898809524,4106.862723214285,0.0,0.0,161.8074404761905,1363.630654761905
