YearMonth,Aardgas,Ander,Nucleair,Olie,Steenkool,Water,Wind
2021-01-15,2793.247252124646,550.4446963562752,5271.125481781376,0.4772764063132335,0.0,177.3677894736842,1105.9614655870444
2021-02-15,2333.4717410714284,376.05439360119044,5997.160848214286,0.09247023809523809,0.0,171.884453125,1309.5813169642856
2021-03-15,2433.0682661290325,589.4838306451612,5903.031710349463,0.11832325268817204,0.0,186.00547379032258,893.4243581989248
2021-04-15,2542.7055277777777,602.7541701388889,5231.0060486111115,0.60425,0.0,101.91653124999999,723.9266909722222
2021-05-15,1451.3055813172043,444.65675739247314,5155.482993951613,0.2818077956989247,0.0,33.597543682795695,704.750504032258
2021-06-15,1781.6015555555557,538.0801840277777,5517.6605625,1.004513888888889,0.0,30.272770833333333,328.85322916666667
2021-07-15,1274.6722600806452,627.6426703629032,5756.65587063172,0.19392137096774195,0.0,62.26710080645161,593.8580194892473
2021-08-15,947.3957523521506,669.790430107527,5557.562105510752,0.14355880376344085,0.0,138.48907728494623,761.3022365591397
2021-09-15,1188.5097611111112,351.0683138888889,4978.959660069445,0.646695486111111,0.0,139.24788819444444,491.578925
2021-10-15,1186.8351737231183,373.2222802419355,5568.212896169355,0.25547345430107526,0.0,166.46065893817203,1163.768607862903
2021-11-15,2787.963976388889,584.4616496527777,4917.680452777778,0.4926989583333333,0.0,136.06819861111111,870.0821006944445
2021-12-15,2232.144725806452,682.0203471102151,5886.138618951613,0.7772456317204302,0.0,151.26396370967743,1093.1517748655915
2022-01-15,2501.7864129704303,639.1299270833333,5961.702661626344,3.2593729838709677,0.0,161.44643615591397,940.5295006720431
2022-02-15,1344.1854598214286,497.16804538690474,5453.2135312499995,0.32628683035714284,0.0,172.11033928571428,1618.3763329613093
2022-03-15,1722.7047496639784,623.16965625,4884.886826612903,1.2513363575268817,0.0,161.21958434139785,573.1525688844085
2022-04-15,1184.7165902777776,601.6977239583333,5064.150867361111,0.6872690972222222,0.0,152.16910694444445,848.8108197916666
2022-05-15,1380.061042002688,458.3457836021505,4822.961597110215,0.04638608870967741,0.0,135.54909778225806,553.7162570564516
2022-06-15,1583.9905645833335,637.0661645833334,4177.58438125,0.7689031249999999,0.0,163.49958819444444,516.7228711805556
2022-07-15,2131.053876344086,660.7176663306451,3745.484590725807,1.7141891801075269,0.0,166.37486727150537,386.5240309139785
2022-08-15,2594.360533938172,635.1787600806451,4469.21532829301,2.6539398521505375,0.0,140.92779267473117,371.37679838709676
2022-09-15,2239.5926472222222,606.0798881944445,4904.546876736112,0.26119722222222225,0.0,154.2716045138889,632.8864284722223
2022-10-15,2298.6420403225807,615.3407389112904,4307.254319892473,0.651421370967742,0.0,172.04529233870966,915.7004492607527
2022-11-15,1525.2142996527778,562.8597559027778,4844.8385836805555,0.17305555555555555,0.0,159.558696875,1310.1473163194446
2022-12-15,2508.6637012768815,594.8014025537634,4559.163241935484,0.6563040994623656,0.0,160.87455510752687,1023.7808306451612
2023-01-15,2006.9707123655915,568.3958387096775,4906.385077956989,0.14907560483870969,0.0,169.58092204301076,1374.6174284274193
2023-02-15,2531.4336004464285,583.6515859375,3946.630329613095,0.08866145833333333,0.0,154.66570200892858,884.8657678571428
2023-03-15,1965.5853884408602,421.69475974462364,3685.2989969758064,0.42858098118279575,0.0,180.17384610215055,1176.7324233870968
2023-04-15,1367.0752833333333,405.65236597222224,3277.477947222222,0.2562524305555556,0.0,171.3676548611111,758.9180482638889
2023-05-15,959.5568390456989,422.7565288978494,2910.7985729166667,0.2818027553763441,0.0,135.0296508736559,623.3314670698925
2023-06-15,1640.3063048611111,385.8671111111111,3158.026318402778,0.07005243055555556,0.0,141.20502916666666,579.2810861111111
2023-07-15,1159.2528232526881,431.8892392473118,3736.5765097446238,0.05135853494623656,0.0,147.53199663978495,952.0276105510753
2023-08-15,1315.0721139112904,449.0418501344086,3356.8710396505376,0.22492473118279568,0.0,80.56733232526882,602.1963874327957
2023-09-15,1325.7401375,346.81887569444444,2827.967607986111,0.15769444444444444,0.0,71.17711631944445,512.156259375
2023-10-15,894.8649005376344,322.5375490591398,3212.6787496639786,0.15082325268817204,0.0,163.65257493279572,1133.9458161962366
2023-11-15,992.9558958333333,300.72946180555556,3962.064009722222,0.08013993055555556,0.0,160.91083541666666,1415.1931291666665
2023-12-15,1122.0419788306451,351.9964556451613,3926.146502016129,0.06498723118279569,0.0,149.30721102150537,1549.529668346774
2024-01-15,1654.6760272177419,385.6515991263441,3974.204441532258,0.08131653225806451,0.0,135.84057022849464,1331.1354065860216
2024-02-15,728.439373088685,408.0702110091743,3944.3403873598368,0.0,0.0,99.00633231396534,1446.9743608562692
