Date,Wind,Zon
2022-06-07,105.08185416666667,172.61594345238095
2022-06-08,326.028,113.18964806547618
2022-06-09,211.67791666666665,245.2156361607143
2022-06-10,359.89566666666667,195.59718452380952
2022-06-11,234.10116666666667,311.82442038690476
2022-06-12,111.29743749999999,332.3783318452381
2022-06-13,75.85585416666666,308.38230059523806
2022-06-14,52.574104166666665,364.3069055059524
2022-06-15,57.054833333333335,342.6480811011905
2022-06-16,25.331208333333333,345.1254568452381
2022-06-17,249.69475,335.0782544642857
2022-06-18,249.486125,308.36246279761906
2022-06-19,296.930875,170.09241666666668
2022-06-20,142.18064583333336,290.4946398809524
2022-06-21,52.850249999999996,214.32836607142858
2022-06-22,111.54366666666667,347.96925
2022-06-23,71.25510416666665,301.37882291666665
2022-06-24,76.87254166666666,202.65344419642855
2022-06-25,128.96229166666666,175.8735074404762
2022-06-26,69.777875,225.74986309523808
2022-06-27,143.12247916666666,162.06538020833335
2022-06-28,49.20427083333333,327.3057522321428
2022-06-29,33.28691666666666,318.5318125
2022-06-30,94.498125,140.94123660714286
2022-07-01,355.99035416666663,273.00977529761906
2022-07-02,117.44020833333335,311.84631101190473
2022-07-03,130.6010625,285.6478467261905
2022-07-04,44.89602083333333,311.61417708333335
2022-07-05,51.0311875,295.8483668154762
2022-07-06,84.14314583333334,271.6456964285714
2022-07-07,339.31164583333333,179.05367187500002
2022-07-08,21.5899375,337.4088794642857
2022-07-09,153.2329375,279.8604025297619
2022-07-10,22.108895833333335,272.37740848214287
2022-07-11,18.365541666666665,286.3460111607143
2022-07-12,32.70608333333333,300.6791674107143
2022-07-13,116.3480625,249.99760863095239
2022-07-14,74.89204166666667,278.7124196428572
2022-07-15,38.737875,299.8386897321429
2022-07-16,78.10877083333334,329.29976636904763
2022-07-17,34.27129166666667,333.03577008928573
2022-07-18,40.79697916666667,320.541
2022-07-19,158.27964583333332,324.5391197916667
2022-07-20,227.51804166666668,172.94774776785712
2022-07-21,194.23058333333333,76.01981770833333
2022-07-22,62.4350625,219.86585788690476
2022-07-23,48.7433125,308.4918921130952
2022-07-24,122.12349999999999,331.2257023809524
2022-07-25,459.3820416666667,215.69203273809524
2022-07-26,119.9711875,171.52497991071428
2022-07-27,96.71139583333334,259.4972886904762
2022-07-28,210.94675,262.7964367559524
2022-07-29,53.037875,297.62172470238096
2022-07-30,55.506,257.0197678571428
2022-07-31,350.6144375,182.4221212797619
2022-08-01,29.11535416666667,238.31347098214286
2022-08-02,316.226625,301.6718311011905
2022-08-03,157.20133333333334,308.5470267857143
2022-08-04,46.56735416666667,210.85999925595237
2022-08-05,110.76395833333332,250.12950595238095
2022-08-06,48.54202083333333,282.04993154761905
2022-08-07,59.58675,331.42649702380953
2022-08-08,111.77266666666667,303.83328050595236
2022-08-09,213.76910416666666,325.31415104166666
2022-08-10,161.49539583333333,314.8757708333334
2022-08-11,126.04775,311.0204970238095
2022-08-12,138.0095625,309.78348958333333
2022-08-13,86.69866666666667,308.2099873511905
2022-08-14,80.85629166666666,248.5107023809524
2022-08-15,134.41910416666667,179.1996994047619
2022-08-16,48.88241666666667,213.8996726190476
2022-08-17,47.24625,96.74761607142857
2022-08-18,33.041979166666664,210.4763482142857
2022-08-19,118.53660416666666,141.69445982142855
2022-08-20,135.87927083333335,247.4568980654762
2022-08-21,73.704375,219.65313764880952
2022-08-22,38.17189583333333,220.5773988095238
2022-08-23,83.83235416666666,248.89888541666667
2022-08-24,50.6516875,236.28731026785715
2022-08-25,141.8185625,244.4117380952381
2022-08-26,102.2155625,126.16587648809524
2022-08-27,121.92470833333333,158.37259300595238
2022-08-28,230.98916666666668,282.5807447916667
2022-08-29,144.27072916666665,263.5435357142857
2022-08-30,315.1677291666667,236.57888913690476
2022-08-31,389.72056249999997,245.863890625
2022-09-01,175.96454166666666,263.09553422619047
2022-09-02,90.683125,232.30762202380953
2022-09-03,32.82310416666667,185.57189583333334
2022-09-04,54.35845833333334,249.3704040178571
2022-09-05,152.94818750000002,205.28994791666668
2022-09-06,128.6116875,237.51288839285712
2022-09-07,124.25383333333335,209.39384672619047
2022-09-08,274.1517083333334,166.0907581845238
2022-09-09,469.80262500000003,109.55864285714286
2022-09-10,256.02704166666666,108.09536904761906
2022-09-11,19.37035416666667,196.23577604166664
2022-09-12,50.6285625,249.88595982142857
2022-09-13,63.095166666666664,107.088921875
2022-09-14,59.30258333333334,32.054816220238095
2022-09-15,161.42314583333334,120.06713244047619
2022-09-16,471.9353125,134.3909806547619
2022-09-17,512.6503749999999,147.0856324404762
2022-09-18,442.81968750000004,92.49446502976191
2022-09-19,185.22379166666667,179.07789732142857
2022-09-20,54.18629166666666,125.98335788690477
2022-09-21,8.584645833333333,206.1166986607143
2022-09-22,22.645541666666666,238.98122544642857
2022-09-23,78.51950000000001,104.3490319940476
2022-09-24,307.3349791666667,63.31285119047619
2022-09-25,135.14489583333335,173.0669412202381
2022-09-26,561.6525624999999,50.02403720238095
2022-09-27,371.928375,107.3548400297619
2022-09-28,115.94018750000001,164.3998742559524
2022-09-29,17.759104166666667,171.14469642857142
2022-09-30,370.30777083333334,198.66455505952382
2022-10-01,600.9210625,163.91684523809522
2022-10-02,152.03777083333335,76.12210267857142
2022-10-03,47.11504166666667,169.0803668154762
2022-10-04,329.8265,203.9147313988095
2022-10-05,684.4139166666666,99.7546212797619
2022-10-06,344.0225625,214.2374605654762
2022-10-07,453.3513541666667,202.78292708333333
2022-10-08,174.33481250000003,180.2745989583333
2022-10-09,149.83391666666665,210.23145312499997
