YearMonth,Wind,Zon
2017-10-15,156.33755000000002,
2017-11-15,146.87754291666664,
2017-12-15,188.66454038978495,
2018-01-15,205.93774059139784,
2018-02-15,177.9804527529762,
2018-03-15,158.4449495967742,
2018-04-15,119.48472659722223,
2018-05-15,86.89227446236559,
2018-06-15,98.93712541666666,
2018-07-15,73.91983716397849,
2018-08-15,103.61000329301075,
2018-09-15,132.0420654861111,
2018-10-15,152.3167936155914,
2018-11-15,191.42636180555556,
2018-12-15,219.84710880376343,
2019-01-15,196.52514845430107,
2019-02-15,176.78264903273808,
2019-03-15,244.60764583333332,
2019-04-15,125.74268958333333,
2019-05-15,116.20287822580644,
2019-06-15,141.90204972222222,
2019-07-15,108.86444455645162,
2019-08-15,161.44084805107528,
2019-09-15,195.75721631944444,
2019-10-15,223.1738439516129,56.73628810572687
2019-11-15,200.82580847222223,34.83301949404762
2019-12-15,299.53083024193546,20.426493807603684
2020-01-15,288.87788991935486,23.298998679915517
2020-02-15,411.7214215517241,42.28238487787356
2020-03-15,306.48168313172044,110.60411405529955
2020-04-15,158.5764198611111,172.1175312251984
2020-05-15,178.0208558467742,195.91185891897084
2020-06-15,154.37733993055554,171.12637981150792
2020-07-15,154.0869251344086,157.01667595526112
2020-08-15,149.8314006048387,141.85263313652072
2020-09-15,173.83977118055557,117.50008177083333
2020-10-15,368.8795248655914,51.61836967165899
2020-11-15,287.1672929861111,37.202057390873016
2020-12-15,328.7121760752688,18.873690092165898
2021-01-15,302.1826036962366,24.77161326324885
2021-02-15,373.5604474702381,67.96780195046769
2021-03-15,269.77848521505376,127.66055551555299
2021-04-15,216.10986020833334,176.84994642857143
2021-05-15,239.00100349462366,180.72029721102152
2021-06-15,99.392940625,194.1011283234127
2021-07-15,176.52804556451613,171.1823089237711
2021-08-15,211.5423936827957,148.39715980222735
2021-09-15,144.43590395833334,140.93694384920636
2021-10-15,348.26350127860024,78.59353249807988
2021-11-15,241.4271629861111,37.10560146329365
2021-12-15,329.6614352150538,18.23954238671275
2022-01-15,277.2128531586021,28.47613152841782
2022-02-15,499.8367579613095,70.40331885097788
2022-03-15,192.7019702956989,160.28436338325653
2022-04-15,267.02185833333334,210.9977039434524
2022-05-15,169.50424905913977,253.80859158986175
2022-06-15,154.59038729166667,258.5028271577381
2022-07-15,126.26042943548387,267.6266922043011
2022-08-15,125.71373427419354,245.70822050211214
2022-09-15,192.33589062500002,160.93555334821428
2022-10-15,290.0947294971767,124.09276106150794
2022-11-15,204.36105301978478,58.601029340277776
2022-12-15,85.06171789473684,30.872003759398496
