CD_LAU|CD_MUNTY_REFNIS|TX_DESCR_DE|TX_DESCR_EN|TX_DESCR_FR|TX_DESCR_NL|DT_VLDT_STRT|DT_VLDT_STOP|CD_LVL_SUP|CD_LVL
44045|44045|Moerbeke (Gent)|Moerbeke (Gent)|Moerbeke (Gand)|Moerbeke (Gent)|1900-01-01|9999-12-31|BE234|4
44048|44048|Nazareth|Nazareth|Nazareth|Nazareth|1900-01-01|9999-12-31|BE234|4
44049|44049|Nevele|Nevele|Nevele|Nevele|1900-01-01|2019-01-01|BE234|4
44052|44052|Oosterzele|Oosterzele|Oosterzele|Oosterzele|1900-01-01|9999-12-31|BE234|4
44064|44064|Sint-Martens-Latem|Sint-Martens-Latem|Sint-Martens-Latem|Sint-Martens-Latem|1900-01-01|9999-12-31|BE234|4
44072|44072|Waarschoot|Waarschoot|Waarschoot|Waarschoot|1900-01-01|2019-01-01|BE234|4
44073|44073|Wachtebeke|Wachtebeke|Wachtebeke|Wachtebeke|1900-01-01|9999-12-31|BE234|4
44080|44080|Zomergem|Zomergem|Zomergem|Zomergem|1900-01-01|2019-01-01|BE234|4
44081|44081|Zulte|Zulte|Zulte|Zulte|1900-01-01|9999-12-31|BE234|4
45017|45017|Kruishoutem|Kruishoutem|Kruishoutem|Kruishoutem|1900-01-01|2019-01-01|BE235|4
45035|45035|Oudenaarde|Oudenaarde|Audenarde|Oudenaarde|1900-01-01|9999-12-31|BE235|4
45041|45041|Ronse|Ronse|Renaix|Ronse|1900-01-01|9999-12-31|BE235|4
45057|45057|Zingem|Zingem|Zingem|Zingem|1900-01-01|2019-01-01|BE235|4
45059|45059|Brakel|Brakel|Brakel|Brakel|1900-01-01|9999-12-31|BE235|4
45060|45060|Kluisbergen|Kluisbergen|Kluisbergen|Kluisbergen|1900-01-01|9999-12-31|BE235|4
45061|45061|Wortegem-Petegem|Wortegem-Petegem|Wortegem-Petegem|Wortegem-Petegem|1900-01-01|9999-12-31|BE235|4
45062|45062|Horebeke|Horebeke|Horebeke|Horebeke|1900-01-01|9999-12-31|BE235|4
45063|45063|Lierde|Lierde|Lierde|Lierde|1900-01-01|9999-12-31|BE235|4
45064|45064|Maarkedal|Maarkedal|Maarkedal|Maarkedal|1900-01-01|9999-12-31|BE235|4
45065|45065|Zwalm|Zwalm|Zwalm|Zwalm|1900-01-01|9999-12-31|BE235|4
46003|46003|Beveren (Sint-Niklaas)|Beveren (Sint-Niklaas)|Beveren (Saint-Nicolas)|Beveren (Sint-Niklaas)|1900-01-01|9999-12-31|BE236|4
46013|46013|Kruibeke|Kruibeke|Kruibeke|Kruibeke|1900-01-01|9999-12-31|BE236|4
46014|46014|Lokeren|Lokeren|Lokeren|Lokeren|1900-01-01|9999-12-31|BE236|4
46020|46020|Sint-Gillis-Waas|Sint-Gillis-Waas|Sint-Gillis-Waas|Sint-Gillis-Waas|1900-01-01|9999-12-31|BE236|4
46021|46021|Sint-Niklaas (Sint-Niklaas)|Sint-Niklaas (Sint-Niklaas)|Saint-Nicolas (Saint-Nicolas)|Sint-Niklaas (Sint-Niklaas)|1900-01-01|9999-12-31|BE236|4
46024|46024|Stekene|Stekene|Stekene|Stekene|1900-01-01|9999-12-31|BE236|4
46025|46025|Temse|Temse|Tamise|Temse|1900-01-01|9999-12-31|BE236|4
23002|23002|Asse|Asse|Asse|Asse|1900-01-01|9999-12-31|BE241|4
23003|23003|Beersel|Beersel|Beersel|Beersel|1900-01-01|9999-12-31|BE241|4
23009|23009|Bever|Bever|Biévène|Bever|1900-01-01|9999-12-31|BE241|4
23016|23016|Dilbeek|Dilbeek|Dilbeek|Dilbeek|1900-01-01|9999-12-31|BE241|4
23023|23023|Galmaarden|Galmaarden|Gammerages|Galmaarden|1900-01-01|9999-12-31|BE241|4
23024|23024|Gooik|Gooik|Gooik|Gooik|1900-01-01|9999-12-31|BE241|4
23025|23025|Grimbergen|Grimbergen|Grimbergen|Grimbergen|1900-01-01|9999-12-31|BE241|4
23027|23027|Halle (Halle-Vilvoorde)|Halle (Halle-Vilvoorde)|Hal (Hal-Vilvorde)|Halle (Halle-Vilvoorde)|1900-01-01|9999-12-31|BE241|4
23032|23032|Herne|Herne|Herne|Herne|1900-01-01|9999-12-31|BE241|4
23033|23033|Hoeilaart|Hoeilaart|Hoeilaart|Hoeilaart|1900-01-01|9999-12-31|BE241|4
23038|23038|Kampenhout|Kampenhout|Kampenhout|Kampenhout|1900-01-01|9999-12-31|BE241|4
23039|23039|Kapelle-op-den-Bos|Kapelle-op-den-Bos|Kapelle-op-den-Bos|Kapelle-op-den-Bos|1900-01-01|9999-12-31|BE241|4
23044|23044|Liedekerke|Liedekerke|Liedekerke|Liedekerke|1900-01-01|9999-12-31|BE241|4
23045|23045|Londerzeel|Londerzeel|Londerzeel|Londerzeel|1900-01-01|9999-12-31|BE241|4
23047|23047|Machelen (Halle-Vilvoorde)|Machelen (Halle-Vilvoorde)|Machelen (Hal-Vilvorde)|Machelen (Halle-Vilvoorde)|1900-01-01|9999-12-31|BE241|4
23050|23050|Meise|Meise|Meise|Meise|1900-01-01|9999-12-31|BE241|4
23052|23052|Merchtem|Merchtem|Merchtem|Merchtem|1900-01-01|9999-12-31|BE241|4
23060|23060|Opwijk|Opwijk|Opwijk|Opwijk|1900-01-01|9999-12-31|BE241|4
23062|23062|Overijse|Overijse|Overijse|Overijse|1900-01-01|9999-12-31|BE241|4
23064|23064|Pepingen|Pepingen|Pepingen|Pepingen|1900-01-01|9999-12-31|BE241|4
23077|23077|Sint-Pieters-Leeuw|Sint-Pieters-Leeuw|Sint-Pieters-Leeuw|Sint-Pieters-Leeuw|1900-01-01|9999-12-31|BE241|4
23081|23081|Steenokkerzeel|Steenokkerzeel|Steenokkerzeel|Steenokkerzeel|1900-01-01|9999-12-31|BE241|4
23086|23086|Ternat|Ternat|Ternat|Ternat|1900-01-01|9999-12-31|BE241|4
23088|23088|Vilvoorde|Vilvoorde|Vilvorde|Vilvoorde|1900-01-01|9999-12-31|BE241|4
23094|23094|Zaventem|Zaventem|Zaventem|Zaventem|1900-01-01|9999-12-31|BE241|4
23096|23096|Zemst|Zemst|Zemst|Zemst|1900-01-01|9999-12-31|BE241|4
23097|23097|Roosdaal|Roosdaal|Roosdaal|Roosdaal|1900-01-01|9999-12-31|BE241|4
23098|23098|Drogenbos|Drogenbos|Drogenbos|Drogenbos|1900-01-01|9999-12-31|BE241|4
23099|23099|Kraainem|Kraainem|Kraainem|Kraainem|1900-01-01|9999-12-31|BE241|4
23100|23100|Linkebeek|Linkebeek|Linkebeek|Linkebeek|1900-01-01|9999-12-31|BE241|4
23101|23101|Sint-Genesius-Rode|Sint-Genesius-Rode|Rhode-Saint-Genèse|Sint-Genesius-Rode|1900-01-01|9999-12-31|BE241|4
23102|23102|Wemmel|Wemmel|Wemmel|Wemmel|1900-01-01|9999-12-31|BE241|4
23103|23103|Wezembeek-Oppem|Wezembeek-Oppem|Wezembeek-Oppem|Wezembeek-Oppem|1900-01-01|9999-12-31|BE241|4
23104|23104|Lennik|Lennik|Lennik|Lennik|1900-01-01|9999-12-31|BE241|4
23105|23105|Affligem|Affligem|Affligem|Affligem|1900-01-01|9999-12-31|BE241|4
24001|24001|Aarschot|Aarschot|Aarschot|Aarschot|1900-01-01|9999-12-31|BE242|4
24007|24007|Begijnendijk|Begijnendijk|Begijnendijk|Begijnendijk|1900-01-01|9999-12-31|BE242|4
24008|24008|Bekkevoort|Bekkevoort|Bekkevoort|Bekkevoort|1900-01-01|9999-12-31|BE242|4
24009|24009|Bertem|Bertem|Bertem|Bertem|1900-01-01|9999-12-31|BE242|4
24011|24011|Bierbeek|Bierbeek|Bierbeek|Bierbeek|1900-01-01|9999-12-31|BE242|4
24014|24014|Boortmeerbeek|Boortmeerbeek|Boortmeerbeek|Boortmeerbeek|1900-01-01|9999-12-31|BE242|4
24016|24016|Boutersem|Boutersem|Boutersem|Boutersem|1900-01-01|9999-12-31|BE242|4
24020|24020|Diest|Diest|Diest|Diest|1900-01-01|9999-12-31|BE242|4
24028|24028|Geetbets|Geetbets|Geetbets|Geetbets|1900-01-01|9999-12-31|BE242|4
24033|24033|Haacht|Haacht|Haacht|Haacht|1900-01-01|9999-12-31|BE242|4
24038|24038|Herent|Herent|Herent|Herent|1900-01-01|9999-12-31|BE242|4
24041|24041|Hoegaarden|Hoegaarden|Hoegaarden|Hoegaarden|1900-01-01|9999-12-31|BE242|4
24043|24043|Holsbeek|Holsbeek|Holsbeek|Holsbeek|1900-01-01|9999-12-31|BE242|4
24045|24045|Huldenberg|Huldenberg|Huldenberg|Huldenberg|1900-01-01|9999-12-31|BE242|4
24048|24048|Keerbergen|Keerbergen|Keerbergen|Keerbergen|1900-01-01|9999-12-31|BE242|4
24054|24054|Kortenaken|Kortenaken|Kortenaken|Kortenaken|1900-01-01|9999-12-31|BE242|4
24055|24055|Kortenberg|Kortenberg|Kortenberg|Kortenberg|1900-01-01|9999-12-31|BE242|4
24059|24059|Landen|Landen|Landen|Landen|1900-01-01|9999-12-31|BE242|4
24062|24062|Leuven|Leuven|Louvain|Leuven|1900-01-01|9999-12-31|BE242|4
24066|24066|Lubbeek|Lubbeek|Lubbeek|Lubbeek|1900-01-01|9999-12-31|BE242|4
24086|24086|Oud-Heverlee|Oud-Heverlee|Oud-Heverlee|Oud-Heverlee|1900-01-01|9999-12-31|BE242|4
24094|24094|Rotselaar|Rotselaar|Rotselaar|Rotselaar|1900-01-01|9999-12-31|BE242|4
24104|24104|Tervuren|Tervuren|Tervuren|Tervuren|1900-01-01|9999-12-31|BE242|4
24107|24107|Tienen|Tienen|Tirlemont|Tienen|1900-01-01|9999-12-31|BE242|4
24109|24109|Tremelo|Tremelo|Tremelo|Tremelo|1900-01-01|9999-12-31|BE242|4
24130|24130|Zoutleeuw|Zoutleeuw|Léau|Zoutleeuw|1900-01-01|9999-12-31|BE242|4
24133|24133|Linter|Linter|Linter|Linter|1900-01-01|9999-12-31|BE242|4
24134|24134|Scherpenheuvel-Zichem|Scherpenheuvel-Zichem|Montaigu-Zichem|Scherpenheuvel-Zichem|1900-01-01|9999-12-31|BE242|4
24135|24135|Tielt-Winge|Tielt-Winge|Tielt-Winge|Tielt-Winge|1900-01-01|9999-12-31|BE242|4
24137|24137|Glabbeek|Glabbeek|Glabbeek|Glabbeek|1900-01-01|9999-12-31|BE242|4
31003|31003|Beernem|Beernem|Beernem|Beernem|1900-01-01|9999-12-31|BE251|4
31004|31004|Blankenberge|Blankenberge|Blankenberge|Blankenberge|1900-01-01|9999-12-31|BE251|4
31005|31005|Brugge|Brugge|Bruges|Brugge|1900-01-01|9999-12-31|BE251|4
31006|31006|Damme|Damme|Damme|Damme|1900-01-01|9999-12-31|BE251|4
31012|31012|Jabbeke|Jabbeke|Jabbeke|Jabbeke|1900-01-01|9999-12-31|BE251|4
31022|31022|Oostkamp|Oostkamp|Oostkamp|Oostkamp|1900-01-01|9999-12-31|BE251|4
31033|31033|Torhout|Torhout|Torhout|Torhout|1900-01-01|9999-12-31|BE251|4
31040|31040|Zedelgem|Zedelgem|Zedelgem|Zedelgem|1900-01-01|9999-12-31|BE251|4
31042|31042|Zuienkerke|Zuienkerke|Zuienkerke|Zuienkerke|1900-01-01|9999-12-31|BE251|4
31043|31043|Knokke-Heist|Knokke-Heist|Knokke-Heist|Knokke-Heist|1900-01-01|9999-12-31|BE251|4
32003|32003|Diksmuide|Diksmuide|Dixmude|Diksmuide|1900-01-01|9999-12-31|BE252|4
32006|32006|Houthulst|Houthulst|Houthulst|Houthulst|1900-01-01|9999-12-31|BE252|4
32010|32010|Koekelare|Koekelare|Koekelare|Koekelare|1900-01-01|9999-12-31|BE252|4
32011|32011|Kortemark|Kortemark|Kortemark|Kortemark|1900-01-01|9999-12-31|BE252|4
32030|32030|Lo-Reninge|Lo-Reninge|Lo-Reninge|Lo-Reninge|1900-01-01|9999-12-31|BE252|4
33011|33011|Ieper|Ieper|Ypres|Ieper|1900-01-01|9999-12-31|BE253|4
33016|33016|Mesen|Mesen|Messines|Mesen|1900-01-01|9999-12-31|BE253|4
33021|33021|Poperinge|Poperinge|Poperinge|Poperinge|1900-01-01|9999-12-31|BE253|4
33029|33029|Wervik|Wervik|Wervik|Wervik|1900-01-01|9999-12-31|BE253|4
33037|33037|Zonnebeke|Zonnebeke|Zonnebeke|Zonnebeke|1900-01-01|9999-12-31|BE253|4
33039|33039|Heuvelland|Heuvelland|Heuvelland|Heuvelland|1900-01-01|9999-12-31|BE253|4
33040|33040|Langemark-Poelkapelle|Langemark-Poelkapelle|Langemark-Poelkapelle|Langemark-Poelkapelle|1900-01-01|9999-12-31|BE253|4
33041|33041|Vleteren|Vleteren|Vleteren|Vleteren|1900-01-01|9999-12-31|BE253|4
34002|34002|Anzegem|Anzegem|Anzegem|Anzegem|1900-01-01|9999-12-31|BE254|4
34003|34003|Avelgem|Avelgem|Avelgem|Avelgem|1900-01-01|9999-12-31|BE254|4
34009|34009|Deerlijk|Deerlijk|Deerlijk|Deerlijk|1900-01-01|9999-12-31|BE254|4
34013|34013|Harelbeke|Harelbeke|Harelbeke|Harelbeke|1900-01-01|9999-12-31|BE254|4
34022|34022|Kortrijk|Kortrijk|Courtrai|Kortrijk|1900-01-01|9999-12-31|BE254|4
34023|34023|Kuurne|Kuurne|Kuurne|Kuurne|1900-01-01|9999-12-31|BE254|4
34025|34025|Lendelede|Lendelede|Lendelede|Lendelede|1900-01-01|9999-12-31|BE254|4
34027|34027|Menen|Menen|Menin|Menen|1900-01-01|9999-12-31|BE254|4
34040|34040|Waregem|Waregem|Waregem|Waregem|1900-01-01|9999-12-31|BE254|4
34041|34041|Wevelgem|Wevelgem|Wevelgem|Wevelgem|1900-01-01|9999-12-31|BE254|4
34042|34042|Zwevegem|Zwevegem|Zwevegem|Zwevegem|1900-01-01|9999-12-31|BE254|4
34043|34043|Spiere-Helkijn|Spiere-Helkijn|Espierres-Helchin|Spiere-Helkijn|1900-01-01|9999-12-31|BE254|4
35002|35002|Bredene|Bredene|Bredene|Bredene|1900-01-01|9999-12-31|BE255|4
35005|35005|Gistel|Gistel|Gistel|Gistel|1900-01-01|9999-12-31|BE255|4
35006|35006|Ichtegem|Ichtegem|Ichtegem|Ichtegem|1900-01-01|9999-12-31|BE255|4
35011|35011|Middelkerke|Middelkerke|Middelkerke|Middelkerke|1900-01-01|9999-12-31|BE255|4
35013|35013|Oostende|Oostende|Ostende|Oostende|1900-01-01|9999-12-31|BE255|4
35014|35014|Oudenburg|Oudenburg|Oudenburg|Oudenburg|1900-01-01|9999-12-31|BE255|4
35029|35029|De Haan|De Haan|De Haan|De Haan|1900-01-01|9999-12-31|BE255|4
36006|36006|Hooglede|Hooglede|Hooglede|Hooglede|1900-01-01|9999-12-31|BE256|4
36007|36007|Ingelmunster|Ingelmunster|Ingelmunster|Ingelmunster|1900-01-01|9999-12-31|BE256|4
36008|36008|Izegem|Izegem|Izegem|Izegem|1900-01-01|9999-12-31|BE256|4
36010|36010|Ledegem|Ledegem|Ledegem|Ledegem|1900-01-01|9999-12-31|BE256|4
36011|36011|Lichtervelde|Lichtervelde|Lichtervelde|Lichtervelde|1900-01-01|9999-12-31|BE256|4
36012|36012|Moorslede|Moorslede|Moorslede|Moorslede|1900-01-01|9999-12-31|BE256|4
36015|36015|Roeselare|Roeselare|Roulers|Roeselare|1900-01-01|9999-12-31|BE256|4
36019|36019|Staden|Staden|Staden|Staden|1900-01-01|9999-12-31|BE256|4
37002|37002|Dentergem|Dentergem|Dentergem|Dentergem|1900-01-01|9999-12-31|BE257|4
37007|37007|Meulebeke|Meulebeke|Meulebeke|Meulebeke|1900-01-01|9999-12-31|BE257|4
37010|37010|Oostrozebeke|Oostrozebeke|Oostrozebeke|Oostrozebeke|1900-01-01|9999-12-31|BE257|4
37011|37011|Pittem|Pittem|Pittem|Pittem|1900-01-01|9999-12-31|BE257|4
37012|37012|Ruiselede|Ruiselede|Ruiselede|Ruiselede|1900-01-01|9999-12-31|BE257|4
37015|37015|Tielt (Tielt)|Tielt (Tielt)|Tielt (Tielt)|Tielt (Tielt)|1900-01-01|9999-12-31|BE257|4
37017|37017|Wielsbeke|Wielsbeke|Wielsbeke|Wielsbeke|1900-01-01|9999-12-31|BE257|4
37018|37018|Wingene|Wingene|Wingene|Wingene|1900-01-01|9999-12-31|BE257|4
37020|37020|Ardooie|Ardooie|Ardooie|Ardooie|1900-01-01|9999-12-31|BE257|4
38002|38002|Alveringem|Alveringem|Alveringem|Alveringem|1900-01-01|9999-12-31|BE258|4
38008|38008|De Panne|De Panne|La Panne|De Panne|1900-01-01|9999-12-31|BE258|4
38014|38014|Koksijde|Koksijde|Koksijde|Koksijde|1900-01-01|9999-12-31|BE258|4
38016|38016|Nieuwpoort|Nieuwpoort|Nieuport|Nieuwpoort|1900-01-01|9999-12-31|BE258|4
38025|38025|Veurne|Veurne|Furnes|Veurne|1900-01-01|9999-12-31|BE258|4
25005|25005|Beauvechain|Beauvechain|Beauvechain|Bevekom|1900-01-01|9999-12-31|BE310|4
25014|25014|Braine-l’Alleud|Braine-l’Alleud|Braine-l’Alleud|Eigenbrakel|1900-01-01|9999-12-31|BE310|4
25015|25015|Braine-le-Château|Braine-le-Château|Braine-le-Château|Kasteelbrakel|1900-01-01|9999-12-31|BE310|4
25018|25018|Chaumont-Gistoux|Chaumont-Gistoux|Chaumont-Gistoux|Chaumont-Gistoux|1900-01-01|9999-12-31|BE310|4
25023|25023|Court-Saint-Etienne|Court-Saint-Etienne|Court-Saint-Etienne|Court-Saint-Etienne|1900-01-01|9999-12-31|BE310|4
25031|25031|Genappe|Genappe|Genappe|Genepiën|1900-01-01|9999-12-31|BE310|4
25037|25037|Grez-Doiceau|Grez-Doiceau|Grez-Doiceau|Graven|1900-01-01|9999-12-31|BE310|4
25043|25043|Incourt|Incourt|Incourt|Incourt|1900-01-01|9999-12-31|BE310|4
25044|25044|Ittre|Ittre|Ittre|Itter|1900-01-01|9999-12-31|BE310|4
25048|25048|Jodoigne|Jodoigne|Jodoigne|Geldenaken|1900-01-01|9999-12-31|BE310|4
25050|25050|La Hulpe|La Hulpe|La Hulpe|Terhulpen|1900-01-01|9999-12-31|BE310|4
25068|25068|Mont-Saint-Guibert|Mont-Saint-Guibert|Mont-Saint-Guibert|Mont-Saint-Guibert|1900-01-01|9999-12-31|BE310|4
25072|25072|Nivelles|Nivelles|Nivelles|Nijvel|1900-01-01|9999-12-31|BE310|4
25084|25084|Perwez (Nivelles)|Perwez (Nivelles)|Perwez (Nivelles)|Perwijs (Nijvel)|1900-01-01|9999-12-31|BE310|4
25091|25091|Rixensart|Rixensart|Rixensart|Rixensart|1900-01-01|9999-12-31|BE310|4
25105|25105|Tubize|Tubize|Tubize|Tubeke|1900-01-01|9999-12-31|BE310|4
25107|25107|Villers-la-Ville|Villers-la-Ville|Villers-la-Ville|Villers-la-Ville|1900-01-01|9999-12-31|BE310|4
25110|25110|Waterloo|Waterloo|Waterloo|Waterloo|1900-01-01|9999-12-31|BE310|4
25112|25112|Wavre|Wavre|Wavre|Waver|1900-01-01|9999-12-31|BE310|4
25117|25117|Chastre|Chastre|Chastre|Chastre|1900-01-01|9999-12-31|BE310|4
25118|25118|Hélécine|Hélécine|Hélécine|Hélécine|1900-01-01|9999-12-31|BE310|4
25119|25119|Lasne|Lasne|Lasne|Lasne|1900-01-01|9999-12-31|BE310|4
25120|25120|Orp-Jauche|Orp-Jauche|Orp-Jauche|Orp-Jauche|1900-01-01|9999-12-31|BE310|4
25121|25121|Ottignies-Louvain-la-Neuve|Ottignies-Louvain-la-Neuve|Ottignies-Louvain-la-Neuve|Ottignies-Louvain-la-Neuve|1900-01-01|9999-12-31|BE310|4
25122|25122|Ramillies|Ramillies|Ramillies|Ramillies|1900-01-01|9999-12-31|BE310|4
25123|25123|Rebecq|Rebecq|Rebecq|Rebecq|1900-01-01|9999-12-31|BE310|4
25124|25124|Walhain|Walhain|Walhain|Walhain|1900-01-01|9999-12-31|BE310|4
51004|51004|Ath|Ath|Ath|Aat|1900-01-01|2019-01-01|BE321|4
51008|51008|Beloeil|Beloeil|Beloeil|Beloeil|1900-01-01|2019-01-01|BE321|4
51009|51009|Bernissart|Bernissart|Bernissart|Bernissart|1900-01-01|2019-01-01|BE321|4
51012|51012|Brugelette|Brugelette|Brugelette|Brugelette|1900-01-01|2019-01-01|BE321|4
51014|51014|Chièvres|Chièvres|Chièvres|Chièvres|1900-01-01|2019-01-01|BE321|4
51017|51017|Ellezelles|Ellezelles|Ellezelles|Elzele|1900-01-01|2019-01-01|BE321|4
51019|51019|Flobecq|Flobecq|Flobecq|Vloesberg|1900-01-01|2019-01-01|BE321|4
51065|51065|Frasnes-lez-Anvaing|Frasnes-lez-Anvaing|Frasnes-lez-Anvaing|Frasnes-lez-Anvaing|1900-01-01|2019-01-01|BE321|4
52010|52010|Chapelle-lez-Herlaimont|Chapelle-lez-Herlaimont|Chapelle-lez-Herlaimont|Chapelle-lez-Herlaimont|1900-01-01|2019-01-01|BE322|4
52011|52011|Charleroi|Charleroi|Charleroi|Charleroi|1900-01-01|2019-01-01|BE322|4
52012|52012|Châtelet|Châtelet|Châtelet|Châtelet|1900-01-01|2019-01-01|BE322|4
52015|52015|Courcelles|Courcelles|Courcelles|Courcelles|1900-01-01|2019-01-01|BE322|4
52018|52018|Farciennes|Farciennes|Farciennes|Farciennes|1900-01-01|2019-01-01|BE322|4
52021|52021|Fleurus|Fleurus|Fleurus|Fleurus|1900-01-01|2019-01-01|BE322|4
52022|52022|Fontaine-l’Evêque|Fontaine-l’Evêque|Fontaine-l’Evêque|Fontaine-l’Evêque|1900-01-01|2019-01-01|BE322|4
52025|52025|Gerpinnes|Gerpinnes|Gerpinnes|Gerpinnes|1900-01-01|2019-01-01|BE322|4
52043|52043|Manage|Manage|Manage|Manage|1900-01-01|2019-01-01|BE322|4
52048|52048|Montigny-le-Tilleul|Montigny-le-Tilleul|Montigny-le-Tilleul|Montigny-le-Tilleul|1900-01-01|2019-01-01|BE322|4
52055|52055|Pont-à-Celles|Pont-à-Celles|Pont-à-Celles|Pont-à-Celles|1900-01-01|2019-01-01|BE322|4
52063|52063|Seneffe|Seneffe|Seneffe|Seneffe|1900-01-01|2019-01-01|BE322|4
52074|52074|Aiseau-Presles|Aiseau-Presles|Aiseau-Presles|Aiseau-Presles|1900-01-01|2019-01-01|BE322|4
52075|52075|Les Bons Villers|Les Bons Villers|Les Bons Villers|Les Bons Villers|1900-01-01|2019-01-01|BE322|4
53014|53014|Boussu|Boussu|Boussu|Boussu|1900-01-01|9999-12-31|BE323|4
53020|53020|Dour|Dour|Dour|Dour|1900-01-01|9999-12-31|BE323|4
53028|53028|Frameries|Frameries|Frameries|Frameries|1900-01-01|9999-12-31|BE323|4
53039|53039|Hensies|Hensies|Hensies|Hensies|1900-01-01|9999-12-31|BE323|4
53044|53044|Jurbise|Jurbise|Jurbise|Jurbeke|1900-01-01|9999-12-31|BE323|4
53046|53046|Lens|Lens|Lens|Lens|1900-01-01|9999-12-31|BE323|4
53053|53053|Mons|Mons|Mons|Bergen|1900-01-01|9999-12-31|BE323|4
53065|53065|Quaregnon|Quaregnon|Quaregnon|Quaregnon|1900-01-01|9999-12-31|BE323|4
53068|53068|Quiévrain|Quiévrain|Quiévrain|Quiévrain|1900-01-01|9999-12-31|BE323|4
53070|53070|Saint-Ghislain|Saint-Ghislain|Saint-Ghislain|Saint-Ghislain|1900-01-01|9999-12-31|BE323|4
53082|53082|Colfontaine|Colfontaine|Colfontaine|Colfontaine|1900-01-01|9999-12-31|BE323|4
53083|53083|Honnelles|Honnelles|Honnelles|Honnelles|1900-01-01|9999-12-31|BE323|4
53084|53084|Quévy|Quévy|Quévy|Quévy|1900-01-01|9999-12-31|BE323|4
54007|54007|Mouscron|Mouscron|Mouscron|Moeskroen|1900-01-01|2019-01-01|BE324|4
54010|54010|Comines-Warneton|Comines-Warneton|Comines-Warneton|Komen-Waasten|1900-01-01|2019-01-01|BE324|4
55004|55004|Braine-le-Comte|Braine-le-Comte|Braine-le-Comte|s Gravenbrakel|1900-01-01|2019-01-01|BE325|4
55010|55010|Enghien|Enghien|Enghien|Edingen|1900-01-01|2019-01-01|BE325|4
55022|55022|La Louvière|La Louvière|La Louvière|La Louvière|1900-01-01|2019-01-01|BE325|4
55023|55023|Lessines|Lessines|Lessines|Lessen|1900-01-01|2019-01-01|BE325|4
55035|55035|Le Roeulx|Le Roeulx|Le Roeulx|Le Roeulx|1900-01-01|2019-01-01|BE325|4
55039|55039|Silly|Silly|Silly|Opzullik|1900-01-01|2019-01-01|BE325|4
55040|55040|Soignies|Soignies|Soignies|Zinnik|1900-01-01|2019-01-01|BE325|4
55050|55050|Ecaussinnes|Ecaussinnes|Ecaussinnes|Ecaussinnes|1900-01-01|2019-01-01|BE325|4
56001|56001|Anderlues|Anderlues|Anderlues|Anderlues|1900-01-01|2019-01-01|BE326|4
56005|56005|Beaumont|Beaumont|Beaumont|Beaumont|1900-01-01|2019-01-01|BE326|4
56011|56011|Binche|Binche|Binche|Binche|1900-01-01|2019-01-01|BE326|4
56016|56016|Chimay|Chimay|Chimay|Chimay|1900-01-01|2019-01-01|BE326|4
56022|56022|Erquelinnes|Erquelinnes|Erquelinnes|Erquelinnes|1900-01-01|2019-01-01|BE326|4
56029|56029|Froidchapelle|Froidchapelle|Froidchapelle|Froidchapelle|1900-01-01|2019-01-01|BE326|4
56044|56044|Lobbes|Lobbes|Lobbes|Lobbes|1900-01-01|2019-01-01|BE326|4
56049|56049|Merbes-le-Château|Merbes-le-Château|Merbes-le-Château|Merbes-le-Château|1900-01-01|2019-01-01|BE326|4
56051|56051|Momignies|Momignies|Momignies|Momignies|1900-01-01|2019-01-01|BE326|4
56078|56078|Thuin|Thuin|Thuin|Thuin|1900-01-01|2019-01-01|BE326|4
56085|56085|Estinnes|Estinnes|Estinnes|Estinnes|1900-01-01|2019-01-01|BE326|4
56086|56086|Ham-sur-Heure-Nalinnes|Ham-sur-Heure-Nalinnes|Ham-sur-Heure-Nalinnes|Ham-sur-Heure-Nalinnes|1900-01-01|2019-01-01|BE326|4
56087|56087|Morlanwelz|Morlanwelz|Morlanwelz|Morlanwelz|1900-01-01|2019-01-01|BE326|4
56088|56088|Sivry-Rance|Sivry-Rance|Sivry-Rance|Sivry-Rance|1900-01-01|2019-01-01|BE326|4
57003|57003|Antoing|Antoing|Antoing|Antoing|1900-01-01|2019-01-01|BE327|4
57018|57018|Celles (Tournai)|Celles (Tournai)|Celles (Tournai)|Celles (Doornik)|1900-01-01|2019-01-01|BE327|4
57027|57027|Estaimpuis|Estaimpuis|Estaimpuis|Estaimpuis|1900-01-01|2019-01-01|BE327|4
57062|57062|Pecq|Pecq|Pecq|Pecq|1900-01-01|2019-01-01|BE327|4
57064|57064|Péruwelz|Péruwelz|Péruwelz|Péruwelz|1900-01-01|2019-01-01|BE327|4
57072|57072|Rumes|Rumes|Rumes|Rumes|1900-01-01|2019-01-01|BE327|4
57081|57081|Tournai|Tournai|Tournai|Doornik|1900-01-01|2019-01-01|BE327|4
57093|57093|Brunehaut|Brunehaut|Brunehaut|Brunehaut|1900-01-01|2019-01-01|BE327|4
57094|57094|Leuze-en-Hainaut|Leuze-en-Hainaut|Leuze-en-Hainaut|Leuze-en-Hainaut|1900-01-01|2019-01-01|BE327|4
57095|57095|Mont-de-l’Enclus|Mont-de-l’Enclus|Mont-de-l’Enclus|Mont-de-l’Enclus|1900-01-01|2019-01-01|BE327|4
61003|61003|Amay|Amay|Amay|Amay|1900-01-01|9999-12-31|BE331|4
61010|61010|Burdinne|Burdinne|Burdinne|Burdinne|1900-01-01|9999-12-31|BE331|4
