CD_LAU|CD_MUNTY_REFNIS|TX_DESCR_DE|TX_DESCR_EN|TX_DESCR_FR|TX_DESCR_NL|DT_VLDT_STRT|DT_VLDT_STOP|CD_LVL_SUP|CD_LVL
BE321|51000|Bezirk d’Ath|District of d’Ath|Arrondissement d’Ath|Arrondissement Aat|1900-01-01|2019-01-01|BE32|3
BE322|52000|Bezirk Charleroi|District of Charleroi|Arrondissement de Charleroi|Arrondissement Charleroi|1900-01-01|2019-01-01|BE32|3
BE323|53000|Bezirk Mons|District of Mons|Arrondissement de Mons|Arrondissement Bergen|1900-01-01|9999-12-31|BE32|3
BE324|54000|Bezirk Mouscron|District of Mouscron|Arrondissement de Mouscron|Arrondissement Moeskroen|1900-01-01|2019-01-01|BE32|3
BE325|55000|Bezirk Soignies|District of Soignies|Arrondissement de Soignies|Arrondissement Zinnik|1900-01-01|2019-01-01|BE32|3
BE326|56000|Bezirk Thuin|District of Thuin|Arrondissement de Thuin|Arrondissement Thuin|1900-01-01|2019-01-01|BE32|3
BE327|57000|Bezirk Tournai|District of Tournai|Arrondissement de Tournai|Arrondissement Doornik|1900-01-01|2019-01-01|BE32|3
BE331|61000|Bezirk Huy|District of Huy|Arrondissement de Huy|Arrondissement Hoei|1900-01-01|9999-12-31|BE33|3
BE332|62000|Bezirk Liège|District of Liège|Arrondissement de Liège|Arrondissement Luik|1900-01-01|9999-12-31|BE33|3
BE334|64000|Bezirk Waremme|District of Waremme|Arrondissement de Waremme|Arrondissement Borgworm|1900-01-01|9999-12-31|BE33|3
BE335|63000|Bezirk Verviers - Französischsprachige Gemeinden|District of Verviers - French speaking municipalities|Arrondissement de Verviers - Communes francophones|Arrondissement Verviers - Franstalige gemeenten|1900-01-01|9999-12-31|BE33|3
BE336|63000|Bezirk Verviers - Deutschsprachige Gemeinden|District of Verviers - German speaking municipalities|Arrondissement de Verviers - Communes germanophones|Arrondissement Verviers - Duitstalige gemeenten|1900-01-01|9999-12-31|BE33|3
BE341|81000|Bezirk d’Arlon|District of d’Arlon|Arrondissement d’Arlon|Arrondissement Aarlen|1900-01-01|9999-12-31|BE34|3
BE342|82000|Bezirk Bastogne|District of Bastogne|Arrondissement de Bastogne|Arrondissement Bastenaken|1900-01-01|9999-12-31|BE34|3
BE343|83000|Bezirk Marche-en-Famenne|District of Marche-en-Famenne|Arrondissement de Marche-en-Famenne|Arrondissement Marche-en-Famenne|1900-01-01|9999-12-31|BE34|3
BE344|84000|Bezirk Neufchâteau|District of Neufchâteau|Arrondissement de Neufchâteau|Arrondissement Neufchâteau|1900-01-01|9999-12-31|BE34|3
BE345|85000|Bezirk Virton|District of Virton|Arrondissement de Virton|Arrondissement Virton|1900-01-01|9999-12-31|BE34|3
