jaar,Brussel-Hoofdstad,Vlaanderen,Wallonië
2012,7,1305,545
2013,7,1305,536
2014,7,1294,517
2015,7,1281,485
2016,6,1268,477
2017,6,1260,471
2018,6,1240,467
2019,6,1231,463
2020,5,1211,446
2021,3,1208,439
2022,3,1193,434
2023,3,1191,427
