Asset Management,Audit Comité,Build,CEO office,Customer & Business Excellence,Finance & Business Administration,Human Resources & Organisation,Information & Communication Technology,Operations,"Procurement, Production & Supply Chain",Strategy & Corporate & Public Affairs
633.0,7.0,106.0,0.0,774.0,441.0,334.0,680.0,0.0,0.0,144.0
727.0,24.0,164.0,0.0,819.0,460.0,341.0,765.0,0.0,0.0,177.0
745.0,21.0,214.0,0.0,902.0,501.0,378.0,809.0,0.0,0.0,169.0
700.0,16.0,176.0,0.0,723.0,422.0,290.0,677.0,0.0,0.0,140.0
773.0,13.0,191.0,0.0,922.0,491.0,385.0,727.0,0.0,0.0,149.0
918.0,20.0,233.0,0.0,983.0,549.0,422.0,908.0,0.0,0.0,325.0
698.0,16.0,170.0,0.0,776.0,423.0,339.0,722.0,0.0,0.0,276.0
750.0,13.0,151.0,0.0,866.0,428.0,364.0,741.0,0.0,0.0,269.0
827.0,15.0,203.0,0.0,903.0,486.0,387.0,872.0,0.0,0.0,292.0
1061.0,19.0,268.0,0.0,1136.0,582.0,445.0,1031.0,0.0,0.0,346.0
949.0,16.0,223.0,0.0,1003.0,532.0,399.0,932.0,0.0,0.0,246.0
816.0,13.0,195.0,0.0,906.0,496.0,354.0,782.0,0.0,0.0,184.0
1054.0,11.0,252.0,0.0,1228.0,570.0,441.0,983.0,0.0,0.0,241.0
1139.0,11.0,279.0,0.0,1162.0,558.0,459.0,1004.0,0.0,0.0,227.0
1156.0,12.0,283.0,0.0,1260.0,586.0,491.0,1029.0,0.0,0.0,220.0
1119.0,10.0,251.0,0.0,1117.0,572.0,410.0,894.0,0.0,0.0,192.0
1272.0,16.0,308.0,0.0,1332.0,595.0,470.0,1071.0,0.0,0.0,234.0
1132.0,13.0,254.0,0.0,1126.0,550.0,386.0,968.0,0.0,0.0,203.0
1038.0,8.0,236.0,0.0,1043.0,491.0,401.0,840.0,0.0,0.0,189.0
1010.0,12.0,220.0,0.0,1111.0,479.0,356.0,832.0,0.0,0.0,172.0
1209.0,16.0,278.0,0.0,1302.0,569.0,437.0,1028.0,0.0,0.0,225.0
1814.0,29.0,474.0,4.0,1967.0,929.0,625.0,1720.0,0.0,0.0,292.0
1433.0,18.0,336.0,4.0,1590.0,667.0,471.0,1270.0,0.0,0.0,254.0
1253.0,16.0,262.0,3.0,1292.0,595.0,444.0,1033.0,0.0,0.0,228.0
1444.0,20.0,0.0,4.0,928.0,628.0,528.0,1305.0,912.0,0.0,307.0
1326.0,17.0,0.0,6.0,870.0,592.0,448.0,1118.0,862.0,0.0,276.0
16634.0,99.0,0.0,14.0,3913.0,2755.0,2297.0,8759.0,8168.0,0.0,1078.0
29060.0,141.0,0.0,20.0,5730.0,4109.0,3492.0,14131.0,12974.0,0.0,1532.0
20237.0,121.0,0.0,18.0,5046.0,3555.0,2924.0,11148.0,11380.0,0.0,1343.0
18262.0,131.0,0.0,20.0,5575.0,3895.0,2866.0,11368.0,11304.0,0.0,1489.0
12885.0,112.0,0.0,9.0,4339.0,2875.0,2033.0,8832.0,8775.0,0.0,883.0
13252.0,115.0,0.0,22.0,4240.0,2890.0,2025.0,9128.0,8435.0,0.0,889.0
15279.0,128.0,0.0,28.0,5280.0,3621.0,2414.0,11368.0,10039.0,0.0,1159.0
18916.0,128.0,0.0,35.0,7194.0,3995.0,2959.0,12493.0,8935.0,0.0,1520.0
19508.0,103.0,0.0,54.0,6593.0,3513.0,2821.0,11388.0,9011.0,0.0,1385.0
17223.0,88.0,0.0,42.0,6529.0,3366.0,2660.0,10354.0,8406.0,0.0,1276.0
20094.0,100.0,0.0,55.0,7041.0,3761.0,2962.0,11907.0,9444.0,0.0,1500.0
19085.0,99.0,0.0,55.0,6686.0,3583.0,2795.0,11342.0,8755.0,0.0,1433.0
22014.0,118.0,0.0,68.0,7813.0,4172.0,3154.0,13141.0,10056.0,0.0,1661.0
17316.0,101.0,0.0,55.0,6247.0,3417.0,2556.0,10640.0,7994.0,0.0,1331.0
16642.0,108.0,0.0,52.0,6483.0,3219.0,2486.0,10357.0,7967.0,0.0,1271.0
18924.0,120.0,0.0,60.0,7633.0,3826.0,2827.0,12166.0,9009.0,0.0,1488.0
12276.0,109.0,0.0,34.0,5495.0,2782.0,1866.0,8566.0,5910.0,0.0,924.0
12165.0,82.0,0.0,49.0,5510.0,2799.0,2012.0,8762.0,5896.0,0.0,1024.0
14708.0,129.0,0.0,61.0,6526.0,3498.0,2367.0,10913.0,7062.0,0.0,1266.0
14377.0,118.0,0.0,54.0,6395.0,3480.0,2430.0,11042.0,7056.0,0.0,1246.0
14254.0,121.0,0.0,49.0,5632.0,3028.0,2226.0,9975.0,6483.0,0.0,1143.0
16328.0,138.0,0.0,49.0,6336.0,3247.0,2492.0,10513.0,7597.0,0.0,1288.0
17475.0,131.0,0.0,61.0,6653.0,3387.0,2456.0,11424.0,7577.0,0.0,1415.0
15919.0,131.0,0.0,60.0,6613.0,3262.0,2464.0,10912.0,7227.0,0.0,1322.0
14160.0,118.0,0.0,60.0,6150.0,3071.0,2178.0,10085.0,6389.0,0.0,1178.0
7142.0,73.0,0.0,35.0,3893.0,1879.0,1215.0,5660.0,4334.0,0.0,745.0
8233.0,78.0,0.0,37.0,4666.0,2126.0,1379.0,6304.0,4947.0,0.0,864.0
7678.0,75.0,0.0,38.0,4405.0,2143.0,1254.0,6247.0,4701.0,0.0,820.0
5806.0,61.0,0.0,32.0,3272.0,1548.0,922.0,4864.0,3456.0,0.0,612.0
6635.0,72.0,0.0,38.0,3813.0,1782.0,1104.0,5389.0,3682.0,0.0,703.0
8037.0,91.0,0.0,48.0,4534.0,2208.0,1573.0,6504.0,4754.0,0.0,883.0
7794.0,86.0,0.0,38.0,4549.0,2076.0,1344.0,6361.0,4465.0,0.0,803.0
7933.0,83.0,0.0,48.0,4823.0,2171.0,1341.0,6467.0,4575.0,0.0,804.0
7029.0,69.0,0.0,41.0,4269.0,1946.0,1178.0,5599.0,4094.0,0.0,710.0
7823.0,94.0,0.0,47.0,4742.0,2235.0,1438.0,6539.0,4692.0,0.0,750.0
7273.0,84.0,0.0,49.0,4294.0,1979.0,1260.0,6009.0,4289.0,0.0,701.0
8681.0,89.0,0.0,52.0,5114.0,2393.0,1529.0,7096.0,5057.0,0.0,866.0
6580.0,71.0,0.0,40.0,4063.0,1990.0,1123.0,5759.0,3911.0,0.0,695.0
7270.0,82.0,0.0,42.0,4608.0,2158.0,1215.0,6280.0,4122.0,0.0,735.0
7911.0,95.0,0.0,54.0,4930.0,2381.0,1362.0,6835.0,4884.0,0.0,847.0
5310.0,49.0,0.0,33.0,3699.0,1081.0,1016.0,5285.0,3655.0,1210.0,636.0
5715.0,58.0,0.0,38.0,4047.0,1227.0,1047.0,5805.0,3924.0,1393.0,693.0
6758.0,87.0,0.0,40.0,4538.0,1445.0,1438.0,6492.0,4806.0,1524.0,811.0
4834.0,98.0,0.0,51.0,4891.0,1501.0,1446.0,7124.0,7284.0,1866.0,876.0
4435.0,94.0,0.0,41.0,4747.0,1404.0,1402.0,6789.0,7256.0,1880.0,818.0
3710.0,75.0,0.0,44.0,4110.0,1216.0,1169.0,5750.0,6020.0,1499.0,696.0
0.0,93.0,0.0,47.0,5078.0,1530.0,1544.0,7220.0,12412.0,2029.0,874.0
0.0,94.0,0.0,39.0,4808.0,1422.0,1443.0,6903.0,11813.0,1909.0,846.0
0.0,92.0,0.0,48.0,4839.0,1410.0,1459.0,6908.0,11978.0,1969.0,882.0
0.0,97.0,0.0,44.0,4831.0,1428.0,1459.0,6946.0,11310.0,1964.0,844.0
0.0,105.0,0.0,48.0,4828.0,1454.0,1387.0,6887.0,11428.0,1865.0,841.0
0.0,91.0,0.0,42.0,4441.0,1381.0,1437.0,6465.0,11200.0,1897.0,828.0
