maand,openbaar,prive
2010,14,1
2011,14,7
2012,12,5
2013,15,0
2014,11,0
2015,19,3
2016,20,2
2017,13,1
2018,9,7
2019,16,7
2020,17,6
2021,16,2
2022,27,1
2023,12,3
