jaar,Goederenspoorlijnen,Havenspoorlijnen,Reizigersspoorlijnen
2012,312,227,1318
2013,311,232,1305
2014,294,229,1295
2015,259,240,1274
2016,256,242,1253
2017,253,243,1241
2018,228,235,1250
2019,224,243,1233
2020,198,239,1225
2021,197,240,1213
2022,196,238,1196
