Datum,Goederen,Reizigers,Toeristische verenigingen
2007-02-15,95198.0,377781.0,0.0
2007-05-15,70946.0,364592.0,0.0
2007-08-15,61358.0,360319.0,0.0
2007-11-15,64907.0,356962.0,0.0
2008-02-15,66696.0,353983.0,31.0
2008-05-15,66666.0,349478.0,30.0
2008-08-15,65478.0,356593.0,27.0
2008-11-15,57793.0,355548.0,12.0
2009-02-15,48739.0,355514.0,24.0
2009-05-15,43049.0,359309.0,32.0
2009-08-15,40549.0,369119.0,35.0
2009-11-15,42897.0,365902.0,7.0
2010-02-15,43942.0,373424.0,25.0
2010-05-15,47229.0,379961.0,82.0
2010-08-15,45375.0,380536.0,77.0
2010-11-15,42916.0,374145.0,50.0
2011-02-15,46094.0,376171.0,14.0
2011-05-15,45381.0,373821.0,71.0
2011-08-15,43313.0,374315.0,98.0
2011-11-15,39881.0,373015.0,28.0
2012-02-15,41113.0,378983.0,57.0
2012-05-15,38679.0,378623.0,85.0
2012-08-15,36735.0,376409.0,105.0
2012-11-15,35312.0,373567.0,29.0
2013-02-15,34597.0,366718.0,63.0
2013-05-15,35425.0,371973.0,75.0
2013-08-15,34893.0,375966.0,35.0
2013-11-15,33293.0,370084.0,30.0
2014-02-15,34496.0,366167.0,1.0
2014-05-15,33426.0,361182.0,32.0
2014-08-15,33723.0,366461.0,14.0
2014-11-15,31996.0,351291.0,30.0
2015-02-15,34969.0,346073.0,11.0
2015-05-15,35205.0,337606.0,27.0
2015-08-15,35535.0,345768.0,0.0
2015-11-15,35052.0,348077.0,2.0
2016-02-15,35994.0,343308.0,7.0
2016-05-15,37294.0,327826.0,2.0
2016-08-15,37256.0,350953.0,0.0
2016-11-15,37091.0,355326.0,1.0
2017-02-15,39177.0,357418.0,0.0
2017-05-15,50107.0,354591.0,0.0
2017-08-15,49200.0,348864.0,0.0
2017-11-15,39603.0,356797.0,0.0
2018-02-15,41156.0,365816.0,0.0
2018-05-15,39898.0,358452.0,0.0
2018-08-15,40006.0,358699.0,0.0
2018-11-15,40823.0,381623.0,0.0
2019-02-15,41299.0,367077.0,0.0
2019-05-15,41288.0,369106.0,0.0
2019-08-15,40971.0,367601.0,0.0
2019-11-15,39583.0,369402.0,0.0
2020-02-15,40393.0,357380.0,0.0
2020-05-15,34153.0,301938.0,0.0
2020-08-15,37904.0,362835.0,0.0
2020-11-15,41261.0,364069.0,0.0
2021-02-15,41036.0,366763.0,0.0
2021-05-15,41925.0,369660.0,0.0
2021-08-15,40710.0,364717.0,0.0
2021-11-15,40023.0,377735.0,0.0
2022-02-15,40098.0,364060.0,0.0
2022-05-15,38677.0,366795.0,0.0
2022-08-15,37307.0,368280.0,0.0
2022-11-15,34996.0,357699.0,0.0
2023-02-15,36206.0,368216.0,0.0
2023-05-15,37186.0,363566.0,0.0
2023-08-15,35582.0,355550.0,0.0
2023-11-15,35800.0,361768.0,0.0
2024-02-15,36808.0,381986.0,0.0
