Gebied,Inflatie
Oostenrijk,8.7
België,2.7
Bulgarije,10.3
Cyprus,3.6
Tsjechië,14.3
Duitsland,6.3
Denemarken,5.6
Estland,11.2
Spanje,2.9
Finland,5.2
Frankrijk,6.0
Griekenland,4.1
Kroatië,8.3
Hongarije,24.5
Ierland,5.4
Italië,8.1
Litouwen,10.7
Luxemburg,2.0
Letland,12.3
Malta,6.4
Nederland,6.8
Polen,14.0
Portugal,5.4
Roemenië,10.4
Zweden,7.7
Slovenië,8.1
Slowakije,12.3
Europese Unie,8.1
