Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Nooit/zelden (%),Af en toe (%),Vaak/altijd (%)
 Aalst ,41002,ja,Verplaatsingen vrije tijd: per vervoermiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2020,0.92,0.04,0.03
 Aalst ,41002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2011,0.28,0.33,0.39
 Aalst ,41002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2014,0.19,0.32,0.49
 Aalst ,41002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2017,0.18,0.29,0.53
 Aalst ,41002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2020,0.12,0.29,0.59
 Aalst ,41002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2011,0.74,0.19,0.07
 Aalst ,41002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2014,0.71,0.2,0.09
 Aalst ,41002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2017,0.71,0.18,0.11
 Aalst ,41002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2020,0.67,0.21,0.12
 Aalter ,44001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als bestuurder,2017,0.18,0.14,0.68
 Aalter ,44084,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als bestuurder,2020,0.14,0.13,0.73
 Aalter ,44001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als passagier,2017,0.26,0.3,0.43
 Aalter ,44084,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als passagier,2020,0.33,0.28,0.39
 Aalter ,44001,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Bus, tram of metro",2017,0.73,0.18,0.09
 Aalter ,44084,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Bus, tram of metro",2020,0.78,0.15,0.07
 Aalter ,44084,nee,Verplaatsingen vrije tijd: per vervoermiddel,Elektrische fiets,2020,0.71,0.08,0.21
 Aalter ,44001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Fiets - algemeen,2017,0.22,0.27,0.51
 Aalter ,44084,nee,Verplaatsingen vrije tijd: per vervoermiddel,Fiets - algemeen,2020,0.2,0.27,0.53
 Aalter ,44084,nee,Verplaatsingen vrije tijd: per vervoermiddel,Gewone fiets,2020,0.27,0.28,0.45
 Aalter ,44001,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2017,0.95,0.03,0.03
 Aalter ,44084,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2020,0.95,0.04,0.01
 Aalter ,44001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2017,0.19,0.33,0.48
 Aalter ,44084,nee,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2020,0.16,0.33,0.51
 Aalter ,44001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2017,0.55,0.27,0.18
 Aalter ,44084,nee,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2020,0.64,0.24,0.12
 Aarschot ,24001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als bestuurder,2017,0.17,0.14,0.69
 Aarschot ,24001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als bestuurder,2020,0.16,0.11,0.73
 Aarschot ,24001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als passagier,2017,0.23,0.31,0.46
 Aarschot ,24001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als passagier,2020,0.3,0.31,0.4
 Aarschot ,24001,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Bus, tram of metro",2017,0.7,0.2,0.1
 Aarschot ,24001,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Bus, tram of metro",2020,0.69,0.25,0.07
 Aarschot ,24001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Elektrische fiets,2020,0.7,0.1,0.2
 Aarschot ,24001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Fiets - algemeen,2017,0.27,0.32,0.42
 Aarschot ,24001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Fiets - algemeen,2020,0.23,0.28,0.49
 Aarschot ,24001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Gewone fiets,2020,0.3,0.28,0.42
 Aarschot ,24001,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2017,0.94,0.03,0.03
 Aarschot ,24001,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2020,0.93,0.03,0.04
 Aarschot ,24001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2017,0.17,0.33,0.5
 Aarschot ,24001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2020,0.15,0.3,0.55
 Aarschot ,24001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2017,0.52,0.31,0.16
 Aarschot ,24001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2020,0.53,0.3,0.16
 Aartselaar ,11001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als bestuurder,2017,0.2,0.12,0.67
 Aartselaar ,11001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als bestuurder,2020,0.18,0.13,0.69
 Aartselaar ,11001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als passagier,2017,0.28,0.24,0.48
 Aartselaar ,11001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als passagier,2020,0.29,0.32,0.39
 Aartselaar ,11001,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Bus, tram of metro",2017,0.5,0.27,0.23
 Aartselaar ,11001,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Bus, tram of metro",2020,0.61,0.26,0.13
 Aartselaar ,11001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Elektrische fiets,2020,0.68,0.1,0.21
 Aartselaar ,11001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Fiets - algemeen,2017,0.25,0.27,0.48
 Aartselaar ,11001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Fiets - algemeen,2020,0.24,0.29,0.47
 Aartselaar ,11001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Gewone fiets,2020,0.33,0.28,0.39
 Aartselaar ,11001,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2017,0.93,0.02,0.04
 Aartselaar ,11001,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2020,0.92,0.04,0.04
 Aartselaar ,11001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2017,0.14,0.28,0.58
 Aartselaar ,11001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2020,0.16,0.28,0.56
 Aartselaar ,11001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2017,0.85,0.12,0.03
 Aartselaar ,11001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2020,0.84,0.13,0.03
 Affligem ,23105,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als bestuurder,2017,0.21,0.07,0.72
 Affligem ,23105,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als bestuurder,2020,0.17,0.11,0.73
 Affligem ,23105,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als passagier,2017,0.26,0.28,0.46
 Affligem ,23105,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als passagier,2020,0.3,0.27,0.43
 Affligem ,23105,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Bus, tram of metro",2017,0.77,0.11,0.12
 Affligem ,23105,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Bus, tram of metro",2020,0.75,0.16,0.09
 Affligem ,23105,nee,Verplaatsingen vrije tijd: per vervoermiddel,Elektrische fiets,2020,0.75,0.13,0.12
 Affligem ,23105,nee,Verplaatsingen vrije tijd: per vervoermiddel,Fiets - algemeen,2017,0.43,0.28,0.3
 Affligem ,23105,nee,Verplaatsingen vrije tijd: per vervoermiddel,Fiets - algemeen,2020,0.35,0.35,0.31
 Affligem ,23105,nee,Verplaatsingen vrije tijd: per vervoermiddel,Gewone fiets,2020,0.43,0.31,0.26
 Affligem ,23105,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2017,0.91,0.03,0.05
 Affligem ,23105,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2020,0.93,0.04,0.03
 Affligem ,23105,nee,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2017,0.13,0.42,0.46
 Affligem ,23105,nee,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2020,0.16,0.34,0.51
 Affligem ,23105,nee,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2017,0.71,0.17,0.12
 Affligem ,23105,nee,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2020,0.7,0.18,0.12
 Alken ,73001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als bestuurder,2017,0.13,0.09,0.78
 Alken ,73001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als bestuurder,2020,0.09,0.09,0.82
 Alken ,73001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als passagier,2017,0.29,0.27,0.44
 Alken ,73001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als passagier,2020,0.29,0.31,0.4
 Alken ,73001,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Bus, tram of metro",2017,0.82,0.09,0.09
 Alken ,73001,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Bus, tram of metro",2020,0.81,0.14,0.05
 Alken ,73001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Elektrische fiets,2020,0.66,0.09,0.25
 Alken ,73001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Fiets - algemeen,2017,0.28,0.28,0.45
 Alken ,73001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Fiets - algemeen,2020,0.27,0.28,0.45
 Alken ,73001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Gewone fiets,2020,0.37,0.3,0.33
 Alken ,73001,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2017,0.92,0.06,0.02
 Alken ,73001,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2020,0.89,0.07,0.04
 Alken ,73001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2017,0.21,0.37,0.42
 Alken ,73001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2020,0.18,0.36,0.45
 Alken ,73001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2017,0.71,0.21,0.08
 Alken ,73001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2020,0.73,0.22,0.05
 Alveringem ,38002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als bestuurder,2017,0.13,0.07,0.8
 Alveringem ,38002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als bestuurder,2020,0.16,0.08,0.76
 Alveringem ,38002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als passagier,2017,0.27,0.25,0.49
 Alveringem ,38002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als passagier,2020,0.29,0.24,0.47
 Alveringem ,38002,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Bus, tram of metro",2017,0.85,0.09,0.06
 Alveringem ,38002,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Bus, tram of metro",2020,0.86,0.09,0.04
 Alveringem ,38002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Elektrische fiets,2020,0.69,0.11,0.21
 Alveringem ,38002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Fiets - algemeen,2017,0.34,0.34,0.32
 Alveringem ,38002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Fiets - algemeen,2020,0.26,0.31,0.43
 Alveringem ,38002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Gewone fiets,2020,0.37,0.29,0.34
 Alveringem ,38002,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2017,0.91,0.06,0.03
 Alveringem ,38002,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2020,0.9,0.05,0.05
 Alveringem ,38002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2017,0.31,0.33,0.36
 Alveringem ,38002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2020,0.24,0.37,0.4
 Alveringem ,38002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2017,0.85,0.09,0.06
 Alveringem ,38002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2020,0.83,0.13,0.04
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Auto als bestuurder,2011,0.41,0.17,0.42
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Auto als bestuurder,2014,0.4,0.16,0.44
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Auto als bestuurder,2017,0.38,0.15,0.48
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Auto als bestuurder,2020,0.38,0.19,0.43
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Auto als passagier,2011,0.42,0.31,0.28
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Auto als passagier,2014,0.38,0.3,0.32
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Auto als passagier,2017,0.41,0.31,0.28
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Auto als passagier,2020,0.4,0.33,0.27
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,"Bus, tram of metro",2011,0.28,0.31,0.41
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,"Bus, tram of metro",2014,0.27,0.27,0.46
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,"Bus, tram of metro",2017,0.34,0.25,0.41
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,"Bus, tram of metro",2020,0.39,0.28,0.33
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Elektrische fiets,2020,0.82,0.06,0.12
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Fiets - algemeen,2011,0.43,0.22,0.35
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Fiets - algemeen,2014,0.4,0.18,0.42
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Fiets - algemeen,2017,0.35,0.19,0.45
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Fiets - algemeen,2020,0.28,0.19,0.53
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Gewone fiets,2020,0.33,0.19,0.48
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2011,0.93,0.03,0.04
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2014,0.94,0.02,0.03
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2017,0.95,0.02,0.03
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2020,0.94,0.03,0.03
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2011,0.16,0.29,0.55
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2014,0.1,0.22,0.68
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2017,0.1,0.21,0.68
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2020,0.07,0.21,0.72
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2011,0.74,0.2,0.06
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2014,0.67,0.25,0.08
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2017,0.68,0.23,0.09
 Antwerpen ,11002,ja,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2020,0.63,0.27,0.1
 Anzegem ,34002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als bestuurder,2017,0.14,0.06,0.8
 Anzegem ,34002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als bestuurder,2020,0.13,0.1,0.77
 Anzegem ,34002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als passagier,2017,0.24,0.25,0.51
