Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Oneens (%),Neutraal (%),Eens (%)
 Aalst ,41002,ja,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.39,0.24,0.37
 Aalst ,41002,ja,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.33,0.27,0.4
 Aalst ,41002,ja,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.42,0.25,0.33
 Aalst ,41002,ja,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.11,0.12,0.77
 Aalst ,41002,ja,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.49,0.21,0.31
 Aalter ,44084,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.54,0.25,0.21
 Aalter ,44084,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.57,0.26,0.17
 Aalter ,44084,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.43,0.25,0.32
 Aalter ,44084,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.22,0.17,0.61
 Aalter ,44084,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.58,0.22,0.2
 Aarschot ,24001,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.36,0.32,0.33
 Aarschot ,24001,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.69,0.21,0.1
 Aarschot ,24001,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.4,0.32,0.28
 Aarschot ,24001,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.14,0.18,0.68
 Aarschot ,24001,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.65,0.21,0.14
 Aartselaar ,11001,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.53,0.22,0.25
 Aartselaar ,11001,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.76,0.15,0.09
 Aartselaar ,11001,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.52,0.29,0.19
 Aartselaar ,11001,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.2,0.21,0.59
 Aartselaar ,11001,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.71,0.16,0.13
 Affligem ,23105,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.56,0.27,0.17
 Affligem ,23105,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.72,0.15,0.13
 Affligem ,23105,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.52,0.26,0.23
 Affligem ,23105,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.2,0.2,0.6
 Affligem ,23105,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.56,0.27,0.17
 Alken ,73001,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.5,0.29,0.21
 Alken ,73001,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.59,0.29,0.12
 Alken ,73001,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.24,0.26,0.5
 Alken ,73001,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.21,0.18,0.6
 Alken ,73001,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.54,0.25,0.21
 Alveringem ,38002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.63,0.2,0.16
 Alveringem ,38002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.8,0.15,0.06
 Alveringem ,38002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.46,0.25,0.3
 Alveringem ,38002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.64,0.17,0.19
 Alveringem ,38002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.65,0.15,0.2
 Antwerpen ,11002,ja,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.46,0.25,0.28
 Antwerpen ,11002,ja,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.14,0.19,0.67
 Antwerpen ,11002,ja,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.34,0.23,0.44
 Antwerpen ,11002,ja,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.09,0.1,0.81
 Antwerpen ,11002,ja,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.53,0.21,0.26
 Anzegem ,34002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.6,0.23,0.17
 Anzegem ,34002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.79,0.13,0.08
 Anzegem ,34002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.49,0.26,0.25
 Anzegem ,34002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.33,0.19,0.48
 Anzegem ,34002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.74,0.15,0.11
 Ardooie ,37020,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.61,0.27,0.12
 Ardooie ,37020,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.69,0.22,0.09
 Ardooie ,37020,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.47,0.28,0.25
 Ardooie ,37020,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.2,0.23,0.57
 Ardooie ,37020,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.57,0.29,0.14
 Arendonk ,13001,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.33,0.27,0.4
 Arendonk ,13001,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.64,0.22,0.15
 Arendonk ,13001,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.31,0.29,0.4
 Arendonk ,13001,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.2,0.21,0.59
 Arendonk ,13001,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.55,0.26,0.19
 As ,71002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.52,0.25,0.23
 As ,71002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.59,0.2,0.22
 As ,71002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.19,0.22,0.59
 As ,71002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.19,0.2,0.61
 As ,71002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.64,0.19,0.17
 Asse ,23002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.43,0.26,0.31
 Asse ,23002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.59,0.22,0.19
 Asse ,23002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.43,0.31,0.26
 Asse ,23002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.12,0.17,0.71
 Asse ,23002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.57,0.24,0.19
 Assenede ,43002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.68,0.16,0.16
 Assenede ,43002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.83,0.12,0.05
 Assenede ,43002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.56,0.22,0.22
 Assenede ,43002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.41,0.21,0.38
 Assenede ,43002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.76,0.17,0.07
 Avelgem ,34003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.47,0.24,0.29
 Avelgem ,34003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.79,0.15,0.06
 Avelgem ,34003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.28,0.35,0.37
 Avelgem ,34003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.25,0.21,0.54
 Avelgem ,34003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.6,0.19,0.21
 Baarle-Hertog ,13002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.57,0.25,0.17
 Baarle-Hertog ,13002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.77,0.14,0.1
 Baarle-Hertog ,13002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.37,0.2,0.43
 Baarle-Hertog ,13002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.33,0.23,0.44
 Baarle-Hertog ,13002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.56,0.2,0.25
 Balen ,13003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.53,0.29,0.18
 Balen ,13003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.59,0.24,0.17
 Balen ,13003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.23,0.31,0.46
 Balen ,13003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.25,0.25,0.5
 Balen ,13003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.67,0.23,0.1
 Beernem ,31003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.49,0.29,0.22
 Beernem ,31003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.49,0.25,0.26
 Beernem ,31003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.24,0.31,0.45
 Beernem ,31003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.21,0.17,0.62
 Beernem ,31003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.56,0.24,0.19
 Beerse ,13004,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.63,0.23,0.13
 Beerse ,13004,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.7,0.23,0.07
 Beerse ,13004,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.45,0.3,0.25
 Beerse ,13004,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.12,0.18,0.7
 Beerse ,13004,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.59,0.2,0.21
 Beersel ,23003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.48,0.29,0.24
 Beersel ,23003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.64,0.19,0.18
 Beersel ,23003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.42,0.26,0.32
 Beersel ,23003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.25,0.19,0.56
 Beersel ,23003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.58,0.17,0.26
 Begijnendijk ,24007,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.61,0.24,0.15
 Begijnendijk ,24007,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.77,0.17,0.06
 Begijnendijk ,24007,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.42,0.32,0.26
 Begijnendijk ,24007,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.46,0.25,0.29
 Begijnendijk ,24007,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.68,0.23,0.1
 Bekkevoort ,24008,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.59,0.24,0.17
 Bekkevoort ,24008,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.76,0.16,0.07
 Bekkevoort ,24008,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.44,0.27,0.29
 Bekkevoort ,24008,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.33,0.2,0.47
 Bekkevoort ,24008,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.55,0.23,0.22
 Beringen ,71004,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.48,0.29,0.23
 Beringen ,71004,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.53,0.25,0.23
 Beringen ,71004,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.25,0.31,0.44
 Beringen ,71004,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.23,0.24,0.53
