Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,15 min of minder (%),meer dan 15 tot en met 30 min (%),meer dan 30 min tot en met 1 uur (%),meer dan een uur (%)
 Aalst ,41002,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2014,0.31,0.22,0.3,0.18
 Aalst ,41002,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.26,0.26,0.3,0.18
 Aalst ,41002,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.24,0.24,0.35,0.18
 Aalter ,44001,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.24,0.27,0.36,0.13
 Aalter ,44084,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.13,0.4,0.37,0.1
 Aarschot ,24001,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.19,0.22,0.43,0.16
 Aarschot ,24001,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.2,0.24,0.42,0.13
 Aartselaar ,11001,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.18,0.3,0.39,0.13
 Aartselaar ,11001,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.24,0.34,0.33,0.09
 Affligem ,23105,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.13,0.29,0.34,0.23
 Affligem ,23105,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.19,0.23,0.47,0.11
 Alken ,73001,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.22,0.39,0.24,0.14
 Alken ,73001,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.26,0.45,0.21,0.08
 Alveringem ,38002,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.24,0.34,0.29,0.13
 Alveringem ,38002,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.22,0.43,0.23,0.13
 Antwerpen ,11002,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2014,0.26,0.39,0.26,0.09
 Antwerpen ,11002,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.23,0.36,0.29,0.12
 Antwerpen ,11002,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.22,0.36,0.3,0.13
 Anzegem ,34002,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.31,0.39,0.22,0.08
 Anzegem ,34002,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.31,0.41,0.18,0.1
 Ardooie ,37020,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.33,0.36,0.25,0.06
 Ardooie ,37020,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.38,0.32,0.23,0.07
 Arendonk ,13001,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.3,0.32,0.25,0.12
 Arendonk ,13001,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.22,0.35,0.31,0.12
 As ,71002,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.18,0.39,0.29,0.14
 As ,71002,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.27,0.42,0.23,0.08
 Asse ,23002,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.16,0.31,0.37,0.16
 Asse ,23002,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.17,0.3,0.41,0.12
 Assenede ,43002,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.15,0.35,0.35,0.15
