Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,15 min of minder (%),meer dan 15 tot en met 30 min (%),meer dan 30 min tot en met 1 uur (%),meer dan een uur (%)
 Assenede ,43002,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.2,0.34,0.37,0.09
 Avelgem ,34003,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.39,0.33,0.19,0.1
 Avelgem ,34003,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.28,0.4,0.24,0.07
 Baarle-Hertog ,13002,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.23,0.28,0.37,0.12
 Baarle-Hertog ,13002,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.23,0.41,0.29,0.07
 Balen ,13003,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.2,0.33,0.28,0.18
 Balen ,13003,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.24,0.39,0.23,0.13
 Beernem ,31003,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.25,0.35,0.31,0.08
 Beernem ,31003,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.19,0.42,0.31,0.09
 Beerse ,13004,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.2,0.37,0.28,0.14
 Beerse ,13004,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.25,0.36,0.24,0.15
 Beersel ,23003,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.15,0.24,0.41,0.2
 Beersel ,23003,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.25,0.21,0.39,0.16
 Begijnendijk ,24007,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.14,0.25,0.38,0.23
 Begijnendijk ,24007,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.16,0.27,0.43,0.14
 Bekkevoort ,24008,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.15,0.29,0.35,0.21
 Bekkevoort ,24008,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.14,0.29,0.43,0.13
 Beringen ,71004,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.26,0.31,0.27,0.16
 Beringen ,71004,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.26,0.39,0.22,0.14
 Berlaar ,12002,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.22,0.3,0.37,0.11
 Berlaar ,12002,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.2,0.32,0.33,0.15
 Berlare ,42003,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.24,0.26,0.34,0.16
 Berlare ,42003,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.13,0.4,0.32,0.15
 Bertem ,24009,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.16,0.4,0.31,0.14
 Bertem ,24009,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.23,0.41,0.28,0.08
 Bever ,23009,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.19,0.24,0.22,0.36
 Bever ,23009,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.15,0.18,0.38,0.29
 Beveren ,46003,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.27,0.29,0.35,0.1
 Beveren ,46003,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.16,0.36,0.34,0.14
 Bierbeek ,24011,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.14,0.37,0.33,0.16
 Bierbeek ,24011,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.16,0.39,0.37,0.08
 Bilzen ,73006,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.24,0.44,0.22,0.1
 Bilzen ,73006,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.31,0.42,0.2,0.07
 Blankenberge ,31004,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.31,0.32,0.25,0.13
 Blankenberge ,31004,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.29,0.39,0.24,0.08
 Bocholt ,72003,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.25,0.4,0.23,0.12
 Bocholt ,72003,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.31,0.3,0.3,0.08
 Boechout ,11004,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.18,0.26,0.4,0.15
 Boechout ,11004,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.16,0.31,0.41,0.11
 Bonheiden ,12005,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.14,0.28,0.38,0.2
 Bonheiden ,12005,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.19,0.25,0.39,0.16
 Boom ,11005,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.25,0.29,0.35,0.11
 Boom ,11005,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.24,0.36,0.29,0.11
 Boortmeerbeek ,24014,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.12,0.28,0.4,0.19
 Boortmeerbeek ,24014,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.14,0.36,0.38,0.12
 Borgloon ,73009,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.24,0.33,0.35,0.08
 Borgloon ,73009,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.31,0.35,0.24,0.1
 Bornem ,12007,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.26,0.21,0.3,0.22
 Bornem ,12007,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.23,0.23,0.38,0.16
 Borsbeek ,11007,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.13,0.34,0.4,0.13
 Borsbeek ,11007,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.16,0.4,0.33,0.12
 Boutersem ,24016,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.13,0.25,0.45,0.16
 Boutersem ,24016,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.13,0.4,0.37,0.1
 Brakel ,45059,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.24,0.29,0.24,0.23
 Brakel ,45059,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.17,0.29,0.35,0.2
 Brasschaat ,11008,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.25,0.26,0.3,0.2
 Brasschaat ,11008,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.2,0.32,0.37,0.12
 Brecht ,11009,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.21,0.25,0.39,0.15
 Brecht ,11009,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.14,0.36,0.38,0.12
 Bredene ,35002,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.21,0.29,0.28,0.22
 Bredene ,35002,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.3,0.34,0.24,0.13
 Bree ,72004,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.32,0.3,0.27,0.11
 Bree ,72004,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.31,0.26,0.29,0.14
 Brugge ,31005,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2014,0.39,0.34,0.16,0.11
 Brugge ,31005,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.35,0.33,0.2,0.12
 Brugge ,31005,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.36,0.33,0.17,0.14
 Buggenhout ,42004,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.23,0.21,0.32,0.24
 Buggenhout ,42004,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.17,0.29,0.37,0.17
 Damme ,31006,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.15,0.41,0.3,0.14
 Damme ,31006,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.16,0.51,0.26,0.07
 De Haan ,35029,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.22,0.3,0.24,0.24
 De Haan ,35029,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.23,0.3,0.34,0.12
 De Panne ,38008,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.37,0.21,0.2,0.21
 De Panne ,38008,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.38,0.26,0.21,0.15
 De Pinte ,44012,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.12,0.34,0.35,0.19
 De Pinte ,44012,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.16,0.38,0.29,0.17
 Deerlijk ,34009,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.3,0.4,0.23,0.07
 Deerlijk ,34009,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.37,0.38,0.16,0.1
 Deinze ,44011,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.23,0.31,0.36,0.11
 Deinze ,44083,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.22,0.32,0.3,0.16
 Denderleeuw ,41011,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.18,0.15,0.4,0.27
 Denderleeuw ,41011,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.13,0.22,0.5,0.15
 Dendermonde ,42006,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.24,0.3,0.28,0.19
 Dendermonde ,42006,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.23,0.25,0.39,0.13
 Dentergem ,37002,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.32,0.31,0.32,0.05
 Dentergem ,37002,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.3,0.33,0.29,0.08
 Dessel ,13006,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.21,0.4,0.28,0.11
 Dessel ,13006,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.27,0.39,0.26,0.08
 Destelbergen ,44013,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.2,0.37,0.27,0.15
 Destelbergen ,44013,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.15,0.43,0.26,0.16
 Diepenbeek ,71011,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.3,0.37,0.19,0.14
 Diepenbeek ,71011,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.32,0.44,0.18,0.06
 Diest ,24020,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.25,0.29,0.3,0.17
 Diest ,24020,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.24,0.28,0.3,0.18
 Diksmuide ,32003,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.3,0.3,0.28,0.11
 Diksmuide ,32003,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.25,0.43,0.26,0.06
 Dilbeek ,23016,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.11,0.24,0.48,0.17
 Dilbeek ,23016,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.23,0.41,0.24,0.12
 Dilsen-Stokkem ,72041,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.31,0.27,0.26,0.16
 Dilsen-Stokkem ,72041,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.3,0.38,0.2,0.12
 Drogenbos ,23098,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.11,0.27,0.42,0.19
 Drogenbos ,23098,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.07,0.28,0.58,0.08
 Duffel ,12009,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.25,0.29,0.35,0.11
 Duffel ,12009,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.19,0.35,0.39,0.07
 Edegem ,11013,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.15,0.36,0.35,0.13
 Edegem ,11013,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.19,0.41,0.31,0.09
 Eeklo ,43005,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.31,0.33,0.25,0.11
 Eeklo ,43005,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.28,0.27,0.31,0.14
 Erpe-Mere ,41082,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.17,0.31,0.27,0.25
 Erpe-Mere ,41082,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.18,0.33,0.34,0.15
 Essen ,11016,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.21,0.25,0.33,0.21
 Essen ,11016,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.23,0.26,0.36,0.15
 Evergem ,44019,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.19,0.32,0.38,0.12
 Evergem ,44019,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.16,0.5,0.31,0.04
 Galmaarden ,23023,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.13,0.16,0.33,0.39
 Galmaarden ,23023,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.15,0.19,0.44,0.22
 Gavere ,44020,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.18,0.3,0.34,0.18
 Gavere ,44020,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.19,0.38,0.34,0.1
 Geel ,13008,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.25,0.35,0.22,0.17
 Geel ,13008,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.3,0.38,0.24,0.08
 Geetbets ,24028,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.18,0.3,0.33,0.18
 Geetbets ,24028,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.2,0.38,0.28,0.14
 Genk ,71016,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2014,0.42,0.34,0.15,0.09
 Genk ,71016,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.39,0.35,0.17,0.1
 Genk ,71016,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.36,0.37,0.17,0.1
 Gent ,44021,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2014,0.33,0.33,0.2,0.13
 Gent ,44021,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.28,0.34,0.23,0.15
 Gent ,44021,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.26,0.34,0.25,0.15
 Geraardsbergen ,41018,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.28,0.15,0.28,0.29
 Geraardsbergen ,41018,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.21,0.13,0.31,0.36
 Gingelom ,71017,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.2,0.29,0.28,0.22
 Gingelom ,71017,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.17,0.3,0.35,0.18
 Gistel ,35005,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.19,0.41,0.29,0.12
 Gistel ,35005,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.22,0.4,0.27,0.11
 Glabbeek ,24137,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.17,0.25,0.37,0.21
 Glabbeek ,24137,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.19,0.36,0.31,0.14
 Gooik ,23024,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.11,0.33,0.33,0.22
 Gooik ,23024,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.11,0.37,0.33,0.19
 Grimbergen ,23025,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.19,0.3,0.35,0.15
 Grimbergen ,23025,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.19,0.37,0.35,0.09
 Grobbendonk ,13010,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.23,0.25,0.36,0.16
 Grobbendonk ,13010,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.26,0.27,0.33,0.14
 Haacht ,24033,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.15,0.23,0.47,0.15
 Haacht ,24033,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.18,0.36,0.36,0.1
 Haaltert ,41024,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.14,0.24,0.39,0.23
 Haaltert ,41024,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.21,0.26,0.36,0.17
 Halen ,71020,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.18,0.29,0.33,0.2
 Halen ,71020,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.2,0.27,0.35,0.17
 Halle ,23027,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.19,0.24,0.36,0.21
 Halle ,23027,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.25,0.28,0.4,0.07
 Ham ,71069,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.19,0.37,0.3,0.14
 Ham ,71069,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.3,0.38,0.2,0.12
 Hamme ,42008,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.23,0.33,0.26,0.18
 Hamme ,42008,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.22,0.35,0.33,0.09
 Hamont-Achel ,72037,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.26,0.34,0.27,0.13
 Hamont-Achel ,72037,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.31,0.3,0.27,0.13
 Harelbeke ,34013,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.26,0.41,0.21,0.12
 Harelbeke ,34013,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.34,0.34,0.19,0.13
 Hasselt ,71022,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2014,0.4,0.36,0.15,0.09
 Hasselt ,71022,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.3,0.36,0.17,0.16
 Hasselt ,71022,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.31,0.37,0.18,0.14
 Hechtel-Eksel,72038,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.2,0.35,0.29,0.16
 Hechtel-Eksel,72038,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.3,0.35,0.3,0.05
 Heers ,73022,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.18,0.31,0.37,0.14
 Heers ,73022,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.17,0.39,0.29,0.15
 Heist-Op-Den-Berg ,12014,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.23,0.36,0.28,0.13
 Heist-Op-Den-Berg ,12014,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.17,0.23,0.42,0.17
 Hemiksem ,11018,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.09,0.38,0.35,0.18
 Hemiksem ,11018,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.17,0.36,0.43,0.04
 Herent ,24038,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.14,0.29,0.4,0.17
 Herent ,24038,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.15,0.35,0.42,0.09
 Herentals ,13011,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.24,0.29,0.33,0.15
 Herentals ,13011,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.29,0.27,0.29,0.15
 Herenthout ,13012,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.22,0.37,0.26,0.15
 Herenthout ,13012,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.22,0.36,0.29,0.13
 Herk-De-Stad ,71024,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.21,0.4,0.24,0.15
 Herk-De-Stad ,71024,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.24,0.3,0.32,0.14
 Herne ,23032,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.18,0.22,0.32,0.28
 Herne ,23032,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.13,0.28,0.36,0.22
 Herselt ,13013,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.19,0.3,0.31,0.2
 Herselt ,13013,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.11,0.34,0.39,0.16
 Herzele ,41027,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.21,0.22,0.35,0.22
 Herzele ,41027,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.18,0.26,0.38,0.18
 Heusden-Zolder ,71070,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.2,0.45,0.24,0.1
 Heusden-Zolder ,71070,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.31,0.36,0.21,0.12
 Heuvelland ,33039,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.22,0.4,0.24,0.14
 Heuvelland ,33039,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.23,0.4,0.26,0.12
 Hoegaarden ,24041,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.15,0.25,0.35,0.25
 Hoegaarden ,24041,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.18,0.31,0.36,0.15
 Hoeilaart ,23033,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.15,0.23,0.46,0.16
 Hoeilaart ,23033,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.11,0.38,0.47,0.04
 Hoeselt ,73032,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.27,0.35,0.3,0.08
 Hoeselt ,73032,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.27,0.42,0.21,0.1
 Holsbeek ,24043,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.12,0.32,0.41,0.15
 Holsbeek ,24043,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.14,0.35,0.35,0.15
 Hooglede ,36006,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.26,0.35,0.25,0.14
 Hooglede ,36006,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.37,0.38,0.19,0.06
 Hoogstraten ,13014,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.29,0.25,0.3,0.16
 Hoogstraten ,13014,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.29,0.32,0.26,0.13
 Horebeke ,45062,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.19,0.27,0.32,0.22
 Horebeke ,45062,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.11,0.21,0.52,0.16
 Houthalen-Helchteren ,72039,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.21,0.39,0.25,0.15
 Houthalen-Helchteren ,72039,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.3,0.39,0.26,0.05
 Houthulst ,32006,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.31,0.3,0.3,0.09
