Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Oneens (%),Neutraal (%),Eens (%)
 Aalst ,41002,ja,Voldoende fietspaden,2020,0.47,0.15,0.38
 Aalter ,44001,nee,Voldoende fietspaden,2017,0.36,0.22,0.42
 Aalter ,44084,nee,Voldoende fietspaden,2020,0.46,0.17,0.36
 Aarschot ,24001,nee,Voldoende fietspaden,2017,0.39,0.26,0.35
 Aarschot ,24001,nee,Voldoende fietspaden,2020,0.45,0.21,0.34
 Aartselaar ,11001,nee,Voldoende fietspaden,2017,0.41,0.28,0.31
 Aartselaar ,11001,nee,Voldoende fietspaden,2020,0.56,0.16,0.28
 Affligem ,23105,nee,Voldoende fietspaden,2017,0.55,0.2,0.25
 Affligem ,23105,nee,Voldoende fietspaden,2020,0.61,0.18,0.21
 Alken ,73001,nee,Voldoende fietspaden,2017,0.3,0.18,0.52
 Alken ,73001,nee,Voldoende fietspaden,2020,0.35,0.2,0.45
 Alveringem ,38002,nee,Voldoende fietspaden,2017,0.47,0.2,0.33
 Alveringem ,38002,nee,Voldoende fietspaden,2020,0.44,0.19,0.37
 Antwerpen ,11002,ja,Voldoende fietspaden,2020,0.32,0.15,0.53
 Anzegem ,34002,nee,Voldoende fietspaden,2017,0.33,0.31,0.37
 Anzegem ,34002,nee,Voldoende fietspaden,2020,0.46,0.18,0.37
 Ardooie ,37020,nee,Voldoende fietspaden,2017,0.4,0.22,0.38
 Ardooie ,37020,nee,Voldoende fietspaden,2020,0.48,0.21,0.31
 Arendonk ,13001,nee,Voldoende fietspaden,2017,0.23,0.2,0.57
 Arendonk ,13001,nee,Voldoende fietspaden,2020,0.36,0.21,0.43
 As ,71002,nee,Voldoende fietspaden,2017,0.15,0.17,0.68
 As ,71002,nee,Voldoende fietspaden,2020,0.2,0.13,0.67
 Asse ,23002,nee,Voldoende fietspaden,2017,0.48,0.22,0.3
 Asse ,23002,nee,Voldoende fietspaden,2020,0.48,0.23,0.29
