Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,5 km of minder (%),meer dan 5 tot en met 10 km (%),meer dan 10 tot en met 25 km (%),meer dan 25 tot en met 50km (%),meer dan 50 km (%)
 Aalst ,41002,ja,Verplaatsingen woon-werk/woon-school: afstand,2014,0.26,0.16,0.16,0.33,0.09
 Aalst ,41002,ja,Verplaatsingen woon-werk/woon-school: afstand,2017,0.24,0.15,0.2,0.34,0.07
 Aalst ,41002,ja,Verplaatsingen woon-werk/woon-school: afstand,2020,0.22,0.14,0.19,0.4,0.05
 Aalter ,44084,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.07,0.09,0.41,0.27,0.15
 Aarschot ,24001,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.11,0.09,0.37,0.33,0.1
 Aartselaar ,11001,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.17,0.3,0.31,0.17,0.05
 Affligem ,23105,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.09,0.14,0.42,0.27,0.07
 Alken ,73001,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.11,0.29,0.3,0.14,0.16
 Alveringem ,38002,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.06,0.14,0.48,0.17,0.16
 Antwerpen ,11002,ja,Verplaatsingen woon-werk/woon-school: afstand,2014,0.34,0.22,0.2,0.15,0.09
 Antwerpen ,11002,ja,Verplaatsingen woon-werk/woon-school: afstand,2017,0.32,0.24,0.24,0.12,0.08
 Antwerpen ,11002,ja,Verplaatsingen woon-werk/woon-school: afstand,2020,0.34,0.22,0.21,0.15,0.08
 Anzegem ,34002,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.12,0.26,0.36,0.16,0.1
 Ardooie ,37020,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.2,0.3,0.27,0.18,0.06
 Arendonk ,13001,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.2,0.07,0.39,0.24,0.1
 As ,71002,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.05,0.21,0.43,0.22,0.09
 Asse ,23002,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.16,0.15,0.48,0.15,0.06
 Assenede ,43002,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.06,0.14,0.41,0.3,0.08
 Avelgem ,34003,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.17,0.12,0.45,0.18,0.08
 Baarle-Hertog ,13002,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.11,0.08,0.53,0.19,0.1
 Balen ,13003,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.15,0.22,0.3,0.17,0.16
 Beernem ,31003,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.11,0.15,0.43,0.21,0.1
 Beerse ,13004,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.18,0.25,0.26,0.23,0.08
 Beersel ,23003,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.17,0.17,0.45,0.11,0.1
 Begijnendijk ,24007,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.12,0.35,0.36,0.06
 Bekkevoort ,24008,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.06,0.1,0.37,0.35,0.12
 Beringen ,71004,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.15,0.12,0.39,0.2,0.13
 Berlaar ,12002,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.21,0.42,0.21,0.06
 Berlare ,42003,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.06,0.12,0.39,0.34,0.08
 Bertem ,24009,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.16,0.26,0.4,0.13,0.04
 Bever ,23009,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.06,0.12,0.11,0.58,0.13
 Beveren ,46003,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.12,0.18,0.44,0.17,0.08
 Bierbeek ,24011,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.13,0.32,0.2,0.26,0.09
 Bilzen ,73006,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.12,0.2,0.39,0.17,0.12
 Blankenberge ,31004,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.19,0.16,0.42,0.04,0.18
 Bocholt ,72003,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.12,0.21,0.32,0.27,0.07
 Boechout ,11004,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.17,0.26,0.34,0.17,0.07
 Bonheiden ,12005,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.15,0.19,0.32,0.27,0.06
 Boom ,11005,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.16,0.21,0.41,0.16,0.06
 Boortmeerbeek ,24014,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.07,0.19,0.51,0.18,0.05
 Borgloon ,73009,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.17,0.42,0.18,0.12
 Bornem ,12007,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.16,0.16,0.27,0.31,0.11
 Borsbeek ,11007,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.17,0.35,0.24,0.17,0.08
 Boutersem ,24016,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.07,0.09,0.5,0.25,0.09
 Brakel ,45059,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.05,0.1,0.4,0.33,0.12
 Brasschaat ,11008,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.18,0.24,0.36,0.14,0.08
 Brecht ,11009,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.09,0.06,0.45,0.28,0.11
 Bredene ,35002,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.21,0.29,0.2,0.13,0.18
 Bree ,72004,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.24,0.09,0.25,0.26,0.16
 Brugge ,31005,ja,Verplaatsingen woon-werk/woon-school: afstand,2014,0.37,0.2,0.2,0.1,0.14
 Brugge ,31005,ja,Verplaatsingen woon-werk/woon-school: afstand,2017,0.34,0.17,0.21,0.16,0.12
 Brugge ,31005,ja,Verplaatsingen woon-werk/woon-school: afstand,2020,0.33,0.22,0.17,0.15,0.13
 Buggenhout ,42004,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.15,0.18,0.35,0.29,0.03
 Damme ,31006,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.2,0.46,0.15,0.09
 De Haan ,35029,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.14,0.15,0.4,0.11,0.2
 De Panne ,38008,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.28,0.27,0.16,0.05,0.24
 De Pinte ,44012,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.28,0.22,0.19,0.2
 Deerlijk ,34009,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.2,0.29,0.28,0.11,0.12
 Deinze ,44083,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.11,0.12,0.44,0.21,0.12
 Denderleeuw ,41011,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.19,0.32,0.31,0.08
 Dendermonde ,42006,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.24,0.13,0.27,0.34,0.03
 Dentergem ,37002,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.09,0.23,0.37,0.21,0.1
 Dessel ,13006,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.14,0.21,0.41,0.14,0.09
 Destelbergen ,44013,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.14,0.31,0.21,0.12,0.21
 Diepenbeek ,71011,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.15,0.32,0.27,0.11,0.15
 Diest ,24020,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.15,0.12,0.23,0.33,0.17
 Diksmuide ,32003,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.16,0.14,0.41,0.19,0.1
 Dilbeek ,23016,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.12,0.36,0.38,0.09,0.05
 Dilsen-Stokkem ,72041,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.16,0.17,0.34,0.24,0.09
 Drogenbos ,23098,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.14,0.31,0.32,0.18,0.04
 Duffel ,12009,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.16,0.23,0.36,0.22,0.02
 Edegem ,11013,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.26,0.26,0.26,0.15,0.07
 Eeklo ,43005,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.22,0.11,0.42,0.13,0.12
