Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Nooit/een uitzonderlijke keer (%),Minstens maandelijks (%),Minstens wekelijks (%)
 Aalst ,41002,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2014,0.44,0.23,0.33
 Aalst ,41002,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2017,0.46,0.2,0.34
 Aalst ,41002,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.38,0.19,0.43
 Aalst ,41002,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2014,0.17,0.25,0.58
 Aalst ,41002,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2017,0.18,0.23,0.59
 Aalst ,41002,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.13,0.23,0.64
 Aalter ,44084,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.27,0.23,0.5
 Aalter ,44084,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.18,0.21,0.61
 Aarschot ,24001,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.32,0.25,0.43
 Aarschot ,24001,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.16,0.27,0.57
 Aartselaar ,11001,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.3,0.21,0.48
 Aartselaar ,11001,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.16,0.23,0.62
 Affligem ,23105,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.46,0.24,0.3
 Affligem ,23105,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.16,0.31,0.53
 Alken ,73001,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.33,0.28,0.39
 Alken ,73001,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.21,0.27,0.52
 Alveringem ,38002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.39,0.25,0.36
 Alveringem ,38002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.22,0.29,0.49
 Antwerpen ,11002,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2014,0.42,0.16,0.42
