Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Nooit/een uitzonderlijke keer (%),Minstens maandelijks (%),Minstens wekelijks (%)
 Aalst ,41002,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2014,0.12,0.24,0.64
 Aalst ,41002,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2017,0.12,0.22,0.65
 Aalst ,41002,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.21,0.71
 Aalter ,44084,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.2,0.71
 Aarschot ,24001,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.24,0.66
 Aartselaar ,11001,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.07,0.19,0.74
 Affligem ,23105,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.13,0.29,0.58
 Alken ,73001,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.13,0.24,0.63
 Alveringem ,38002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.18,0.27,0.56
 Antwerpen ,11002,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2014,0.06,0.13,0.81
 Antwerpen ,11002,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2017,0.06,0.12,0.83
 Antwerpen ,11002,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.04,0.1,0.86
 Anzegem ,34002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.16,0.25,0.58
 Ardooie ,37020,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.0,0.21,0.61
 Arendonk ,13001,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.14,0.78
 As ,71002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.17,0.22,0.61
 Asse ,23002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.13,0.19,0.68
 Assenede ,43002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.21,0.68
 Avelgem ,34003,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.15,0.28,0.57
 Baarle-Hertog ,13002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.05,0.13,0.82
 Balen ,13003,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.26,0.63
 Beernem ,31003,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.21,0.7
 Beerse ,13004,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.18,0.74
 Beersel ,23003,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.26,0.65
 Begijnendijk ,24007,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.26,0.63
 Bekkevoort ,24008,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.14,0.3,0.56
 Beringen ,71004,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.14,0.23,0.63
 Berlaar ,12002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.07,0.22,0.71
 Berlare ,42003,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.25,0.65
 Bertem ,24009,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.06,0.23,0.71
 Bever ,23009,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.18,0.31,0.5
 Beveren ,46003,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.06,0.17,0.77
 Bierbeek ,24011,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.19,0.72
 Bilzen ,73006,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.19,0.7
 Blankenberge ,31004,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.04,0.08,0.88
 Bocholt ,72003,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.12,0.21,0.67
 Boechout ,11004,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.05,0.14,0.81
 Bonheiden ,12005,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.17,0.72
 Boom ,11005,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.15,0.76
 Boortmeerbeek ,24014,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.21,0.69
 Borgloon ,73009,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.14,0.23,0.63
 Bornem ,12007,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.07,0.16,0.77
 Borsbeek ,11007,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.05,0.12,0.82
 Boutersem ,24016,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.12,0.24,0.65
 Brakel ,45059,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.12,0.32,0.56
 Brasschaat ,11008,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.07,0.17,0.76
 Brecht ,11009,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.19,0.72
 Bredene ,35002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.06,0.13,0.82
 Bree ,72004,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.17,0.74
 Brugge ,31005,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2014,0.06,0.16,0.78
 Brugge ,31005,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2017,0.06,0.15,0.79
 Brugge ,31005,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.04,0.12,0.83
 Buggenhout ,42004,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.21,0.69
 Damme ,31006,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.22,0.67
 De Haan ,35029,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.06,0.14,0.8
 De Panne ,38008,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.03,0.14,0.82
 De Pinte ,44012,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.17,0.75
 Deerlijk ,34009,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.24,0.65
 Deinze ,44083,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.23,0.68
 Denderleeuw ,41011,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.27,0.64
 Dendermonde ,42006,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.18,0.74
 Dentergem ,37002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.16,0.33,0.51
 Dessel ,13006,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.07,0.19,0.74
 Destelbergen ,44013,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.19,0.72
 Diepenbeek ,71011,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.21,0.68
 Diest ,24020,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.15,0.74
 Diksmuide ,32003,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.22,0.68
 Dilbeek ,23016,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.12,0.28,0.6
 Dilsen-Stokkem ,72041,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.14,0.25,0.62
 Drogenbos ,23098,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.24,0.65
 Duffel ,12009,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.19,0.72
 Edegem ,11013,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.03,0.14,0.83
 Eeklo ,43005,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.18,0.74
 Erpe-Mere ,41082,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.16,0.27,0.56
 Essen ,11016,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.17,0.75
 Evergem ,44019,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.26,0.64
 Galmaarden ,23023,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.15,0.33,0.51
 Gavere ,44020,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.29,0.6
 Geel ,13008,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.15,0.77
 Geetbets ,24028,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.19,0.25,0.56
 Genk ,71016,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2014,0.16,0.27,0.58
 Genk ,71016,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2017,0.19,0.26,0.55
 Genk ,71016,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.13,0.24,0.63
 Gent ,44021,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2014,0.07,0.15,0.78
 Gent ,44021,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2017,0.07,0.13,0.8
 Gent ,44021,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.04,0.11,0.85
 Geraardsbergen ,41018,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.12,0.33,0.55
 Gingelom ,71017,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.18,0.29,0.53
 Gistel ,35005,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.18,0.74
 Glabbeek ,24137,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.14,0.28,0.58
 Gooik ,23024,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.15,0.29,0.56
 Grimbergen ,23025,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.23,0.66
 Grobbendonk ,13010,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.24,0.68
 Haacht ,24033,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.05,0.24,0.71
 Haaltert ,41024,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.27,0.62
 Halen ,71020,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.3,0.6
 Halle ,23027,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.2,0.71
 Ham ,71069,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.13,0.26,0.61
 Hamme ,42008,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.18,0.72
 Hamont-Achel ,72037,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.06,0.17,0.77
 Harelbeke ,34013,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.22,0.7
 Hasselt ,71022,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2014,0.1,0.22,0.68
 Hasselt ,71022,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2017,0.13,0.15,0.72
 Hasselt ,71022,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.07,0.16,0.77
 Hechtel-Eksel,72038,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.12,0.19,0.69
 Heers ,73022,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.13,0.26,0.61
 Heist-Op-Den-Berg ,12014,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.2,0.71
 Hemiksem ,11018,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.04,0.17,0.79
 Herent ,24038,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.06,0.16,0.78
 Herentals ,13011,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.14,0.76
 Herenthout ,13012,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.2,0.69
 Herk-De-Stad ,71024,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.12,0.27,0.61
 Herne ,23032,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.17,0.3,0.54
 Herselt ,13013,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.24,0.68
