Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Minder dan 2 dagen (%),2 dagen of meer (%)
 Borsbeek ,11007,nee,Thuiswerk,2020,0.71,0.29
 Boutersem ,24016,nee,Thuiswerk,2020,0.6,0.4
 Brakel ,45059,nee,Thuiswerk,2020,0.73,0.27
 Brasschaat ,11008,nee,Thuiswerk,2020,0.68,0.32
 Brecht ,11009,nee,Thuiswerk,2020,0.77,0.23
 Bredene ,35002,nee,Thuiswerk,2020,0.79,0.21
 Bree ,72004,nee,Thuiswerk,2020,0.78,0.22
 Brugge ,31005,ja,Thuiswerk,2017,0.81,0.19
 Brugge ,31005,ja,Thuiswerk,2020,0.74,0.26
 Buggenhout ,42004,nee,Thuiswerk,2020,0.75,0.25
 Damme ,31006,nee,Thuiswerk,2020,0.75,0.25
 De Haan ,35029,nee,Thuiswerk,2020,0.76,0.24
 De Panne ,38008,nee,Thuiswerk,2020,0.75,0.25
 De Pinte ,44012,nee,Thuiswerk,2020,0.66,0.34
 Deerlijk ,34009,nee,Thuiswerk,2020,0.78,0.22
 Deinze ,44083,nee,Thuiswerk,2020,0.72,0.28
 Denderleeuw ,41011,nee,Thuiswerk,2020,0.61,0.39
 Dendermonde ,42006,nee,Thuiswerk,2020,0.64,0.36
 Dentergem ,37002,nee,Thuiswerk,2020,0.85,0.15
 Dessel ,13006,nee,Thuiswerk,2020,0.79,0.21
 Destelbergen ,44013,nee,Thuiswerk,2020,0.64,0.36
 Diepenbeek ,71011,nee,Thuiswerk,2020,0.69,0.31
 Diest ,24020,nee,Thuiswerk,2020,0.68,0.32
 Diksmuide ,32003,nee,Thuiswerk,2020,0.82,0.18
 Dilbeek ,23016,nee,Thuiswerk,2020,0.62,0.38
 Dilsen-Stokkem ,72041,nee,Thuiswerk,2020,0.79,0.21
 Drogenbos ,23098,nee,Thuiswerk,2020,0.67,0.33
 Duffel ,12009,nee,Thuiswerk,2020,0.66,0.34
 Edegem ,11013,nee,Thuiswerk,2020,0.62,0.38
 Eeklo ,43005,nee,Thuiswerk,2020,0.75,0.25
 Erpe-Mere ,41082,nee,Thuiswerk,2020,0.69,0.31
 Essen ,11016,nee,Thuiswerk,2020,0.78,0.22
