Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Ja (%),Nee (%)
 Aarschot ,24001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Te voet,2020,0.17,0.83
 Aarschot ,24001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Trein,2020,0.27,0.73
 Aartselaar ,11001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als bestuurder,2017,0.66,0.34
 Aartselaar ,11001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als bestuurder,2020,0.66,0.34
 Aartselaar ,11001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als passagier,2017,0.07,0.93
 Aartselaar ,11001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als passagier,2020,0.04,0.96
 Aartselaar ,11001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Bus, tram of metro",2020,0.1,0.9
 Aartselaar ,11001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Elektrische fiets,2020,0.13,0.87
 Aartselaar ,11001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Fiets - algemeen,2017,0.4,0.6
 Aartselaar ,11001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Fiets - algemeen,2020,0.43,0.57
 Aartselaar ,11001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Gewone fiets,2020,0.33,0.67
 Aartselaar ,11001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Openbaar vervoer totaal (bus, tram of metro + trein)",2017,0.2,0.8
 Aartselaar ,11001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Openbaar vervoer totaal (bus, tram of metro + trein)",2020,0.14,0.86
 Aartselaar ,11001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2017,0.07,0.93
 Aartselaar ,11001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2020,0.04,0.96
 Aartselaar ,11001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Te voet,2017,0.09,0.91
 Aartselaar ,11001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Te voet,2020,0.06,0.94
 Aartselaar ,11001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Trein,2020,0.06,0.94
 Affligem ,23105,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als bestuurder,2017,0.69,0.31
 Affligem ,23105,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als bestuurder,2020,0.73,0.27
 Affligem ,23105,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als passagier,2017,0.1,0.9
 Affligem ,23105,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als passagier,2020,0.11,0.89
 Affligem ,23105,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Bus, tram of metro",2020,0.13,0.87
 Affligem ,23105,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Elektrische fiets,2020,0.09,0.91
 Affligem ,23105,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Fiets - algemeen,2017,0.2,0.8
 Affligem ,23105,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Fiets - algemeen,2020,0.26,0.74
 Affligem ,23105,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Gewone fiets,2020,0.19,0.81
 Affligem ,23105,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Openbaar vervoer totaal (bus, tram of metro + trein)",2017,0.3,0.7
 Affligem ,23105,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Openbaar vervoer totaal (bus, tram of metro + trein)",2020,0.3,0.7
 Affligem ,23105,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2017,0.1,0.9
 Affligem ,23105,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2020,0.0,1.0
 Affligem ,23105,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Te voet,2017,0.14,0.86
 Affligem ,23105,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Te voet,2020,0.15,0.85
 Affligem ,23105,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Trein,2020,0.25,0.75
 Alken ,73001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als bestuurder,2017,0.72,0.28
 Alken ,73001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als bestuurder,2020,0.82,0.18
 Alken ,73001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als passagier,2017,0.1,0.9
 Alken ,73001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Auto als passagier,2020,0.15,0.85
 Alken ,73001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Bus, tram of metro",2020,0.11,0.89
 Alken ,73001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Elektrische fiets,2020,0.11,0.89
 Alken ,73001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Fiets - algemeen,2017,0.23,0.77
 Alken ,73001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Fiets - algemeen,2020,0.31,0.69
 Alken ,73001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Gewone fiets,2020,0.23,0.77
 Alken ,73001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Openbaar vervoer totaal (bus, tram of metro + trein)",2017,0.17,0.83
 Alken ,73001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Openbaar vervoer totaal (bus, tram of metro + trein)",2020,0.14,0.86
 Alken ,73001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2017,0.1,0.9
 Alken ,73001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2020,0.03,0.97
 Alken ,73001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Te voet,2017,0.11,0.89
 Alken ,73001,nee,Verplaatsingen woon-werk/woon-school: per vervoersmiddel,Te voet,2020,0.08,0.92
