Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Oneens (%),Neutraal (%),Eens (%)
 Aalst ,41002,ja,Veilig naar school,2014,0.4,0.28,0.33
 Aalst ,41002,ja,Veilig naar school,2017,0.49,0.22,0.29
 Aalst ,41002,ja,Veilig naar school,2020,0.51,0.18,0.31
 Aalter ,44001,nee,Veilig naar school,2017,0.36,0.24,0.41
 Aalter ,44084,nee,Veilig naar school,2020,0.36,0.19,0.45
 Aarschot ,24001,nee,Veilig naar school,2017,0.51,0.24,0.24
 Aarschot ,24001,nee,Veilig naar school,2020,0.44,0.26,0.29
 Aartselaar ,11001,nee,Veilig naar school,2017,0.45,0.25,0.3
 Aartselaar ,11001,nee,Veilig naar school,2020,0.4,0.24,0.35
 Affligem ,23105,nee,Veilig naar school,2017,0.52,0.25,0.23
 Affligem ,23105,nee,Veilig naar school,2020,0.51,0.23,0.26
 Alken ,73001,nee,Veilig naar school,2017,0.34,0.26,0.4
 Alken ,73001,nee,Veilig naar school,2020,0.32,0.17,0.5
 Alveringem ,38002,nee,Veilig naar school,2017,0.46,0.22,0.32
 Alveringem ,38002,nee,Veilig naar school,2020,0.31,0.2,0.49
 Antwerpen ,11002,ja,Veilig naar school,2014,0.37,0.25,0.38
 Antwerpen ,11002,ja,Veilig naar school,2017,0.41,0.24,0.35
 Antwerpen ,11002,ja,Veilig naar school,2020,0.43,0.2,0.37
 Anzegem ,34002,nee,Veilig naar school,2017,0.46,0.23,0.3
 Anzegem ,34002,nee,Veilig naar school,2020,0.47,0.19,0.34
 Ardooie ,37020,nee,Veilig naar school,2017,0.44,0.19,0.37
 Ardooie ,37020,nee,Veilig naar school,2020,0.4,0.18,0.41
 Arendonk ,13001,nee,Veilig naar school,2017,0.32,0.29,0.39
 Arendonk ,13001,nee,Veilig naar school,2020,0.33,0.26,0.41
 As ,71002,nee,Veilig naar school,2017,0.29,0.27,0.44
 As ,71002,nee,Veilig naar school,2020,0.32,0.19,0.49
 Asse ,23002,nee,Veilig naar school,2017,0.61,0.19,0.2
 Asse ,23002,nee,Veilig naar school,2020,0.58,0.18,0.24
 Assenede ,43002,nee,Veilig naar school,2017,0.49,0.3,0.21
 Assenede ,43002,nee,Veilig naar school,2020,0.48,0.18,0.35
 Avelgem ,34003,nee,Veilig naar school,2017,0.49,0.23,0.27
 Avelgem ,34003,nee,Veilig naar school,2020,0.42,0.27,0.31
 Baarle-Hertog ,13002,nee,Veilig naar school,2017,0.45,0.24,0.31
 Baarle-Hertog ,13002,nee,Veilig naar school,2020,0.33,0.22,0.45
 Balen ,13003,nee,Veilig naar school,2017,0.35,0.35,0.3
 Balen ,13003,nee,Veilig naar school,2020,0.31,0.26,0.43
 Beernem ,31003,nee,Veilig naar school,2017,0.4,0.32,0.29
 Beernem ,31003,nee,Veilig naar school,2020,0.37,0.24,0.39
 Beerse ,13004,nee,Veilig naar school,2017,0.47,0.28,0.25
 Beerse ,13004,nee,Veilig naar school,2020,0.57,0.18,0.25
 Beersel ,23003,nee,Veilig naar school,2017,0.46,0.26,0.28
 Beersel ,23003,nee,Veilig naar school,2020,0.48,0.23,0.3
 Begijnendijk ,24007,nee,Veilig naar school,2017,0.47,0.29,0.23
 Begijnendijk ,24007,nee,Veilig naar school,2020,0.42,0.25,0.33
 Bekkevoort ,24008,nee,Veilig naar school,2017,0.41,0.27,0.32
 Bekkevoort ,24008,nee,Veilig naar school,2020,0.44,0.26,0.3
 Beringen ,71004,nee,Veilig naar school,2017,0.44,0.22,0.34
 Beringen ,71004,nee,Veilig naar school,2020,0.38,0.24,0.38
 Berlaar ,12002,nee,Veilig naar school,2017,0.55,0.24,0.21
 Berlaar ,12002,nee,Veilig naar school,2020,0.49,0.17,0.34
 Berlare ,42003,nee,Veilig naar school,2017,0.44,0.27,0.3
 Berlare ,42003,nee,Veilig naar school,2020,0.45,0.23,0.32
 Bertem ,24009,nee,Veilig naar school,2017,0.52,0.24,0.23
 Bertem ,24009,nee,Veilig naar school,2020,0.45,0.19,0.36
 Bever ,23009,nee,Veilig naar school,2017,0.58,0.21,0.21
 Bever ,23009,nee,Veilig naar school,2020,0.6,0.11,0.28
 Beveren ,46003,nee,Veilig naar school,2017,0.48,0.26,0.26
 Beveren ,46003,nee,Veilig naar school,2020,0.46,0.21,0.33
 Bierbeek ,24011,nee,Veilig naar school,2017,0.4,0.29,0.31
 Bierbeek ,24011,nee,Veilig naar school,2020,0.39,0.19,0.42
 Bilzen ,73006,nee,Veilig naar school,2017,0.45,0.21,0.33
 Bilzen ,73006,nee,Veilig naar school,2020,0.41,0.23,0.36
