Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Ja (%),Nee (%)
 Aalst ,41002,ja,Vervoersmiddelenbezit,Abonnement openbaar vervoer,2011,0.41,0.59
 Aalst ,41002,ja,Vervoersmiddelenbezit,Abonnement openbaar vervoer,2014,0.43,0.57
 Aalst ,41002,ja,Vervoersmiddelenbezit,Abonnement openbaar vervoer,2017,0.39,0.61
 Aalst ,41002,ja,Vervoersmiddelenbezit,Abonnement openbaar vervoer,2020,0.32,0.68
 Aalst ,41002,ja,Vervoersmiddelenbezit,Auto,2011,0.87,0.13
 Aalst ,41002,ja,Vervoersmiddelenbezit,Auto,2014,0.91,0.09
 Aalst ,41002,ja,Vervoersmiddelenbezit,Auto,2017,0.9,0.1
 Aalst ,41002,ja,Vervoersmiddelenbezit,Auto,2020,0.93,0.07
 Aalst ,41002,ja,Vervoersmiddelenbezit,Bakfiets/fietskar,2014,0.03,0.97
 Aalst ,41002,ja,Vervoersmiddelenbezit,Bakfiets/fietskar,2017,0.02,0.98
 Aalst ,41002,ja,Vervoersmiddelenbezit,Bakfiets/fietskar,2020,0.02,0.98
 Aalst ,41002,ja,Vervoersmiddelenbezit,Elektrische fiets,2017,0.14,0.86
 Aalst ,41002,ja,Vervoersmiddelenbezit,Elektrische fiets,2020,0.26,0.74
 Aalst ,41002,ja,Vervoersmiddelenbezit,Elektrische step/monowheel/hoverboard,2020,0.03,0.97
 Aalst ,41002,ja,Vervoersmiddelenbezit,Fiets,2011,0.79,0.21
 Aalst ,41002,ja,Vervoersmiddelenbezit,Fiets,2014,0.73,0.27
 Aalst ,41002,ja,Vervoersmiddelenbezit,Fiets,2017,0.83,0.17
 Aalst ,41002,ja,Vervoersmiddelenbezit,Fiets,2020,0.82,0.18
 Aalst ,41002,ja,Vervoersmiddelenbezit,Lidmaatschap autodelen,2017,0.01,0.99
 Aalst ,41002,ja,Vervoersmiddelenbezit,Lidmaatschap autodelen,2020,0.0,1.0
 Aalst ,41002,ja,Vervoersmiddelenbezit,Lidmaatschap fietsdelen,2020,0.01,0.99
 Aalst ,41002,ja,Vervoersmiddelenbezit,Moto/bromfiets,2011,0.13,0.87
 Aalst ,41002,ja,Vervoersmiddelenbezit,Moto/bromfiets,2014,0.14,0.86
 Aalst ,41002,ja,Vervoersmiddelenbezit,Moto/bromfiets,2017,0.12,0.88
 Aalst ,41002,ja,Vervoersmiddelenbezit,Moto/bromfiets,2020,0.1,0.9
 Aalter ,44001,nee,Vervoersmiddelenbezit,Abonnement openbaar vervoer,2017,0.39,0.61
 Aalter ,44084,nee,Vervoersmiddelenbezit,Abonnement openbaar vervoer,2020,0.25,0.75
 Aalter ,44001,nee,Vervoersmiddelenbezit,Auto,2017,0.96,0.04
 Aalter ,44084,nee,Vervoersmiddelenbezit,Auto,2020,0.98,0.02
 Aalter ,44001,nee,Vervoersmiddelenbezit,Bakfiets/fietskar,2017,0.04,0.96
 Aalter ,44084,nee,Vervoersmiddelenbezit,Bakfiets/fietskar,2020,0.03,0.97
 Aalter ,44001,nee,Vervoersmiddelenbezit,Elektrische fiets,2017,0.19,0.81
 Aalter ,44084,nee,Vervoersmiddelenbezit,Elektrische fiets,2020,0.33,0.67
 Aalter ,44084,nee,Vervoersmiddelenbezit,Elektrische step/monowheel/hoverboard,2020,0.01,0.99
 Aalter ,44001,nee,Vervoersmiddelenbezit,Fiets,2017,0.94,0.06
 Aalter ,44084,nee,Vervoersmiddelenbezit,Fiets,2020,0.88,0.12
 Aalter ,44001,nee,Vervoersmiddelenbezit,Lidmaatschap autodelen,2017,0.01,0.99
 Aalter ,44084,nee,Vervoersmiddelenbezit,Lidmaatschap autodelen,2020,0.0,1.0
 Aalter ,44084,nee,Vervoersmiddelenbezit,Lidmaatschap fietsdelen,2020,0.01,0.99
 Aalter ,44001,nee,Vervoersmiddelenbezit,Moto/bromfiets,2017,0.1,0.9
