Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ja (%),Nee (%)
 Aalst ,41002,ja,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.42,0.58
 Aalter ,44084,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.43,0.57
 Aarschot ,24001,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.33,0.67
 Aartselaar ,11001,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.35,0.65
 Affligem ,23105,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.3,0.7
 Alken ,73001,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.39,0.61
 Alveringem ,38002,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.31,0.69
 Antwerpen ,11002,ja,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.34,0.66
 Anzegem ,34002,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.39,0.61
 Ardooie ,37020,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.39,0.61
 Arendonk ,13001,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.32,0.68
 As ,71002,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.39,0.61
 Asse ,23002,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.3,0.7
 Assenede ,43002,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.32,0.68
 Avelgem ,34003,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.38,0.62
 Baarle-Hertog ,13002,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.36,0.64
 Balen ,13003,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.41,0.59
 Beernem ,31003,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.41,0.59
 Beerse ,13004,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.29,0.71
 Beersel ,23003,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.39,0.61
 Begijnendijk ,24007,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.31,0.69
 Bekkevoort ,24008,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.5,0.5
 Beringen ,71004,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.37,0.63
 Berlaar ,12002,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.31,0.69
 Berlare ,42003,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.35,0.65
 Bertem ,24009,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.31,0.69
 Bever ,23009,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.2,0.8
 Beveren ,46003,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.44,0.56
 Bierbeek ,24011,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.39,0.61
 Bilzen ,73006,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.32,0.68
 Blankenberge ,31004,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.29,0.71
 Bocholt ,72003,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.26,0.74
 Boechout ,11004,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.4,0.6
 Bonheiden ,12005,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.46,0.54
 Boom ,11005,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.3,0.7
 Boortmeerbeek ,24014,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.27,0.73
 Borgloon ,73009,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.29,0.71
 Bornem ,12007,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.38,0.62
 Borsbeek ,11007,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.26,0.74
 Boutersem ,24016,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.24,0.76
 Brakel ,45059,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.32,0.68
 Brasschaat ,11008,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.33,0.67
 Brecht ,11009,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.35,0.65
 Bredene ,35002,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.43,0.57
 Bree ,72004,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.31,0.69
 Brugge ,31005,ja,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.48,0.52
 Buggenhout ,42004,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.37,0.63
 Damme ,31006,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.36,0.64
 De Haan ,35029,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.35,0.65
 De Panne ,38008,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.4,0.6
 De Pinte ,44012,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.42,0.58
 Deerlijk ,34009,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.32,0.68
 Deinze ,44083,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.34,0.66
 Denderleeuw ,41011,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.31,0.69
 Dendermonde ,42006,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.36,0.64
 Dentergem ,37002,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.3,0.7
 Dessel ,13006,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.41,0.59
 Destelbergen ,44013,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.4,0.6
 Diepenbeek ,71011,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.36,0.64
 Diest ,24020,nee,Tevredenheid over ondersteuning hernieuwbare energie,2020,0.32,0.68
