Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Laag (%),Middelmatig (%),Hoog (%)
 Gingelom ,71017,nee,Milieubewust handelen,2020,0.33,0.49,0.18
 Gistel ,35005,nee,Milieubewust handelen,2020,0.24,0.5,0.26
 Glabbeek ,24137,nee,Milieubewust handelen,2020,0.2,0.5,0.3
 Gooik ,23024,nee,Milieubewust handelen,2020,0.23,0.52,0.25
 Grimbergen ,23025,nee,Milieubewust handelen,2020,0.26,0.46,0.28
 Grobbendonk ,13010,nee,Milieubewust handelen,2020,0.23,0.49,0.28
 Haacht ,24033,nee,Milieubewust handelen,2020,0.16,0.54,0.31
 Haaltert ,41024,nee,Milieubewust handelen,2020,0.29,0.53,0.18
 Halen ,71020,nee,Milieubewust handelen,2020,0.28,0.47,0.25
 Halle ,23027,nee,Milieubewust handelen,2020,0.28,0.48,0.24
 Ham ,71069,nee,Milieubewust handelen,2020,0.3,0.5,0.19
 Hamme ,42008,nee,Milieubewust handelen,2020,0.27,0.48,0.25
 Hamont-Achel ,72037,nee,Milieubewust handelen,2020,0.2,0.51,0.29
 Harelbeke ,34013,nee,Milieubewust handelen,2020,0.29,0.48,0.24
 Hasselt ,71022,ja,Milieubewust handelen,2020,0.18,0.5,0.32
 Hechtel-Eksel ,72038,nee,Milieubewust handelen,2020,0.19,0.54,0.27
 Heers ,73022,nee,Milieubewust handelen,2020,0.3,0.48,0.22
 Heist-Op-Den-Berg ,12014,nee,Milieubewust handelen,2020,0.19,0.58,0.24
 Hemiksem ,11018,nee,Milieubewust handelen,2020,0.26,0.51,0.23
 Herent ,24038,nee,Milieubewust handelen,2020,0.21,0.41,0.38
 Herentals ,13011,nee,Milieubewust handelen,2020,0.18,0.5,0.32
 Herenthout ,13012,nee,Milieubewust handelen,2020,0.21,0.55,0.24
 Herk-De-Stad ,71024,nee,Milieubewust handelen,2020,0.25,0.55,0.2
 Herne ,23032,nee,Milieubewust handelen,2020,0.31,0.47,0.22
 Herselt ,13013,nee,Milieubewust handelen,2020,0.22,0.5,0.28
 Herzele ,41027,nee,Milieubewust handelen,2020,0.23,0.55,0.22
 Heusden-Zolder ,71070,nee,Milieubewust handelen,2020,0.27,0.47,0.26
 Heuvelland ,33039,nee,Milieubewust handelen,2020,0.28,0.51,0.21
 Hoegaarden ,24041,nee,Milieubewust handelen,2020,0.22,0.49,0.29
 Hoeilaart ,23033,nee,Milieubewust handelen,2020,0.18,0.45,0.37
 Hoeselt ,73032,nee,Milieubewust handelen,2020,0.25,0.55,0.2
 Holsbeek ,24043,nee,Milieubewust handelen,2020,0.17,0.45,0.38
 Hooglede ,36006,nee,Milieubewust handelen,2020,0.3,0.49,0.22
 Hoogstraten ,13014,nee,Milieubewust handelen,2020,0.18,0.49,0.33
 Horebeke ,45062,nee,Milieubewust handelen,2020,0.18,0.5,0.32
 Houthalen-Helchteren ,72039,nee,Milieubewust handelen,2020,0.34,0.45,0.21
 Houthulst ,32006,nee,Milieubewust handelen,2020,0.28,0.53,0.19
 Hove ,11021,nee,Milieubewust handelen,2020,0.15,0.49,0.37
 Huldenberg ,24045,nee,Milieubewust handelen,2020,0.2,0.52,0.29
 Hulshout ,13016,nee,Milieubewust handelen,2020,0.27,0.53,0.2
 Ichtegem ,35006,nee,Milieubewust handelen,2020,0.29,0.5,0.2
 Ieper ,33011,nee,Milieubewust handelen,2020,0.25,0.47,0.28
 Ingelmunster ,36007,nee,Milieubewust handelen,2020,0.3,0.49,0.21
 Izegem ,36008,nee,Milieubewust handelen,2020,0.22,0.54,0.25
 Jabbeke ,31012,nee,Milieubewust handelen,2020,0.23,0.51,0.26
 Kalmthout ,11022,nee,Milieubewust handelen,2020,0.18,0.46,0.36
 Kampenhout ,23038,nee,Milieubewust handelen,2020,0.2,0.5,0.3
 Kapellen ,11023,nee,Milieubewust handelen,2020,0.24,0.46,0.3
 Kapelle-Op-Den-Bos ,23039,nee,Milieubewust handelen,2020,0.2,0.53,0.27
 Kaprijke ,43007,nee,Milieubewust handelen,2020,0.22,0.5,0.28
 Kasterlee ,13017,nee,Milieubewust handelen,2020,0.19,0.53,0.27
 Keerbergen ,24048,nee,Milieubewust handelen,2020,0.21,0.47,0.32
 Kinrooi ,72018,nee,Milieubewust handelen,2020,0.18,0.5,0.32
 Kluisbergen ,45060,nee,Milieubewust handelen,2020,0.24,0.56,0.2
 Knokke-Heist ,31043,nee,Milieubewust handelen,2020,0.17,0.58,0.25
 Koekelare ,32010,nee,Milieubewust handelen,2020,0.31,0.53,0.16
 Koksijde ,38014,nee,Milieubewust handelen,2020,0.16,0.51,0.32
 Kontich ,11024,nee,Milieubewust handelen,2020,0.22,0.52,0.26
 Kortemark ,32011,nee,Milieubewust handelen,2020,0.31,0.52,0.17
 Kortenaken ,24054,nee,Milieubewust handelen,2020,0.22,0.59,0.18
 Kortenberg ,24055,nee,Milieubewust handelen,2020,0.2,0.48,0.32
 Kortessem ,73040,nee,Milieubewust handelen,2020,0.26,0.52,0.22
 Kortrijk ,34022,ja,Milieubewust handelen,2020,0.22,0.47,0.31
 Kraainem ,23099,nee,Milieubewust handelen,2020,0.15,0.44,0.41
 Kruibeke ,46013,nee,Milieubewust handelen,2020,0.23,0.46,0.31
 Kruisem ,45068,nee,Milieubewust handelen,2020,0.25,0.43,0.31
 Kuurne ,34023,nee,Milieubewust handelen,2020,0.29,0.49,0.22
 Laakdal ,13053,nee,Milieubewust handelen,2020,0.25,0.5,0.25
 Laarne ,42010,nee,Milieubewust handelen,2020,0.27,0.52,0.21
 Lanaken ,73042,nee,Milieubewust handelen,2020,0.29,0.47,0.24
 Landen ,24059,nee,Milieubewust handelen,2020,0.27,0.49,0.24
 Langemark-Poelkapelle ,33040,nee,Milieubewust handelen,2020,0.27,0.56,0.17
 Lebbeke ,42011,nee,Milieubewust handelen,2020,0.24,0.5,0.27
 Lede ,41034,nee,Milieubewust handelen,2020,0.29,0.45,0.26
 Ledegem ,36010,nee,Milieubewust handelen,2020,0.29,0.52,0.19
 Lendelede ,34025,nee,Milieubewust handelen,2020,0.25,0.51,0.24
 Lennik ,23104,nee,Milieubewust handelen,2020,0.24,0.5,0.27
 Leopoldsburg ,71034,nee,Milieubewust handelen,2020,0.31,0.51,0.18
 Leuven ,24062,ja,Milieubewust handelen,2020,0.1,0.41,0.48
 Lichtervelde ,36011,nee,Milieubewust handelen,2020,0.27,0.5,0.23
 Liedekerke ,23044,nee,Milieubewust handelen,2020,0.29,0.5,0.2
 Lier ,12021,nee,Milieubewust handelen,2020,0.21,0.51,0.28
 Lierde ,45063,nee,Milieubewust handelen,2020,0.28,0.55,0.18
 Lievegem ,44085,nee,Milieubewust handelen,2020,0.17,0.54,0.29
 Lille ,13019,nee,Milieubewust handelen,2020,0.23,0.49,0.27
 Linkebeek ,23100,nee,Milieubewust handelen,2020,0.09,0.32,0.58
 Lint ,11025,nee,Milieubewust handelen,2020,0.19,0.48,0.34
 Linter ,24133,nee,Milieubewust handelen,2020,0.26,0.48,0.26
 Lochristi ,44034,nee,Milieubewust handelen,2020,0.28,0.5,0.21
 Lokeren ,46014,nee,Milieubewust handelen,2020,0.21,0.52,0.26
 Lommel ,72020,nee,Milieubewust handelen,2020,0.24,0.48,0.28
 Londerzeel ,23045,nee,Milieubewust handelen,2020,0.22,0.5,0.28
 Lo-Reninge ,32030,nee,Milieubewust handelen,2020,0.32,0.47,0.21
 Lubbeek ,24066,nee,Milieubewust handelen,2020,0.19,0.48,0.33
 Lummen ,71037,nee,Milieubewust handelen,2020,0.26,0.54,0.2
 Maarkedal ,45064,nee,Milieubewust handelen,2020,0.25,0.47,0.28
 Maaseik ,72021,nee,Milieubewust handelen,2020,0.21,0.47,0.32
 Maasmechelen ,73107,nee,Milieubewust handelen,2020,0.33,0.51,0.15
 Machelen ,23047,nee,Milieubewust handelen,2020,0.36,0.47,0.17
 Maldegem ,43010,nee,Milieubewust handelen,2020,0.27,0.5,0.23
 Malle ,11057,nee,Milieubewust handelen,2020,0.19,0.51,0.3
 Mechelen ,12025,ja,Milieubewust handelen,2020,0.18,0.45,0.38
 Meerhout ,13021,nee,Milieubewust handelen,2020,0.25,0.51,0.24
 Meise ,23050,nee,Milieubewust handelen,2020,0.21,0.48,0.31
 Melle ,44040,nee,Milieubewust handelen,2020,0.18,0.5,0.32
 Menen ,34027,nee,Milieubewust handelen,2020,0.29,0.52,0.19
 Merchtem ,23052,nee,Milieubewust handelen,2020,0.17,0.53,0.3
 Merelbeke ,44043,nee,Milieubewust handelen,2020,0.19,0.46,0.35
 Merksplas ,13023,nee,Milieubewust handelen,2020,0.23,0.48,0.29
 Mesen ,33016,nee,Milieubewust handelen,2020,0.39,0.44,0.16
 Meulebeke ,37007,nee,Milieubewust handelen,2020,0.26,0.51,0.23
 Middelkerke ,35011,nee,Milieubewust handelen,2020,0.23,0.5,0.27
 Moerbeke ,44045,nee,Milieubewust handelen,2020,0.25,0.5,0.26
 Mol ,13025,nee,Milieubewust handelen,2020,0.19,0.51,0.3
 Moorslede ,36012,nee,Milieubewust handelen,2020,0.31,0.49,0.2
 Mortsel ,11029,nee,Milieubewust handelen,2020,0.15,0.41,0.44
 Nazareth ,44048,nee,Milieubewust handelen,2020,0.21,0.49,0.3
 Niel ,11030,nee,Milieubewust handelen,2020,0.26,0.54,0.2
 Nieuwerkerken ,71045,nee,Milieubewust handelen,2020,0.31,0.49,0.2
 Nieuwpoort ,38016,nee,Milieubewust handelen,2020,0.22,0.5,0.28
 Nijlen ,12026,nee,Milieubewust handelen,2020,0.25,0.47,0.28
 Ninove ,41048,nee,Milieubewust handelen,2020,0.28,0.47,0.24
 Olen ,13029,nee,Milieubewust handelen,2020,0.19,0.52,0.29
 Oostende ,35013,ja,Milieubewust handelen,2020,0.23,0.48,0.29
 Oosterzele ,44052,nee,Milieubewust handelen,2020,0.18,0.46,0.36
 Oostkamp ,31022,nee,Milieubewust handelen,2020,0.23,0.49,0.28
 Oostrozebeke ,37010,nee,Milieubewust handelen,2020,0.36,0.46,0.18
 Opwijk ,23060,nee,Milieubewust handelen,2020,0.23,0.47,0.31
 Oudenaarde ,45035,nee,Milieubewust handelen,2020,0.24,0.48,0.27
 Oudenburg ,35014,nee,Milieubewust handelen,2020,0.3,0.49,0.21
 Oud-Heverlee ,24086,nee,Milieubewust handelen,2020,0.14,0.51,0.35
 Oudsbergen ,72042,nee,Milieubewust handelen,2020,0.27,0.52,0.2
 Oud-Turnhout ,13031,nee,Milieubewust handelen,2020,0.21,0.51,0.28
 Overijse ,23062,nee,Milieubewust handelen,2020,0.2,0.47,0.33
 Peer ,72030,nee,Milieubewust handelen,2020,0.24,0.54,0.22
 Pelt ,72043,nee,Milieubewust handelen,2020,0.21,0.51,0.29
 Pepingen ,23064,nee,Milieubewust handelen,2020,0.2,0.51,0.29
 Pittem ,37011,nee,Milieubewust handelen,2020,0.29,0.49,0.21
 Poperinge ,33021,nee,Milieubewust handelen,2020,0.25,0.53,0.22
 Putte ,12029,nee,Milieubewust handelen,2020,0.22,0.5,0.28
 Puurs-Sint-Amands ,12041,nee,Milieubewust handelen,2020,0.21,0.5,0.3
 Ranst ,11035,nee,Milieubewust handelen,2020,0.18,0.47,0.35
 Ravels ,13035,nee,Milieubewust handelen,2020,0.27,0.5,0.24
 Retie ,13036,nee,Milieubewust handelen,2020,0.22,0.49,0.29
 Riemst ,73066,nee,Milieubewust handelen,2020,0.24,0.49,0.27
 Rijkevorsel ,13037,nee,Milieubewust handelen,2020,0.23,0.52,0.25
 Roeselare ,36015,ja,Milieubewust handelen,2020,0.25,0.52,0.23
 Ronse ,45041,nee,Milieubewust handelen,2020,0.31,0.49,0.2
 Roosdaal ,23097,nee,Milieubewust handelen,2020,0.28,0.47,0.26
 Rotselaar ,24094,nee,Milieubewust handelen,2020,0.18,0.48,0.34
 Ruiselede ,37012,nee,Milieubewust handelen,2020,0.25,0.53,0.22
 Rumst ,11037,nee,Milieubewust handelen,2020,0.27,0.47,0.26
 Schelle ,11038,nee,Milieubewust handelen,2020,0.24,0.49,0.27
 Scherpenheuvel-Zichem ,24134,nee,Milieubewust handelen,2020,0.22,0.53,0.25
 Schilde ,11039,nee,Milieubewust handelen,2020,0.22,0.46,0.32
 Schoten ,11040,nee,Milieubewust handelen,2020,0.16,0.55,0.3
 Sint-Genesius-Rode ,23101,nee,Milieubewust handelen,2020,0.18,0.46,0.36
 Sint-Gillis-Waas ,46020,nee,Milieubewust handelen,2020,0.22,0.5,0.29
 Sint-Katelijne-Waver ,12035,nee,Milieubewust handelen,2020,0.18,0.49,0.33
 Sint-Laureins ,43014,nee,Milieubewust handelen,2020,0.26,0.53,0.22
 Sint-Lievens-Houtem ,41063,nee,Milieubewust handelen,2020,0.29,0.54,0.17
 Sint-Martens-Latem ,44064,nee,Milieubewust handelen,2020,0.17,0.43,0.4
 Sint-Niklaas ,46021,ja,Milieubewust handelen,2020,0.2,0.49,0.31
 Sint-Pieters-Leeuw ,23077,nee,Milieubewust handelen,2020,0.27,0.44,0.29
 Sint-Truiden ,71053,nee,Milieubewust handelen,2020,0.28,0.45,0.26
 Spiere-Helkijn ,34043,nee,Milieubewust handelen,2020,0.29,0.53,0.18
 Stabroek ,11044,nee,Milieubewust handelen,2020,0.29,0.47,0.24
 Staden ,36019,nee,Milieubewust handelen,2020,0.22,0.56,0.22
 Steenokkerzeel ,23081,nee,Milieubewust handelen,2020,0.24,0.53,0.24
 Stekene ,46024,nee,Milieubewust handelen,2020,0.22,0.53,0.25
 Temse ,46025,nee,Milieubewust handelen,2020,0.22,0.54,0.25
 Ternat ,23086,nee,Milieubewust handelen,2020,0.27,0.47,0.26
 Tervuren ,24104,nee,Milieubewust handelen,2020,0.15,0.4,0.45
 Tessenderlo ,71057,nee,Milieubewust handelen,2020,0.31,0.48,0.21
 Tielt ,37015,nee,Milieubewust handelen,2020,0.23,0.51,0.26
 Tielt-Winge ,24135,nee,Milieubewust handelen,2020,0.27,0.48,0.25
 Tienen ,24107,nee,Milieubewust handelen,2020,0.29,0.49,0.22
 Tongeren ,73083,nee,Milieubewust handelen,2020,0.29,0.47,0.24
 Torhout ,31033,nee,Milieubewust handelen,2020,0.21,0.52,0.27
 Tremelo ,24109,nee,Milieubewust handelen,2020,0.26,0.51,0.23
 Turnhout ,13040,ja,Milieubewust handelen,2020,0.19,0.49,0.32
 Veurne ,38025,nee,Milieubewust handelen,2020,0.24,0.51,0.25
 Vilvoorde ,23088,nee,Milieubewust handelen,2020,0.27,0.44,0.3
 Vleteren ,33041,nee,Milieubewust handelen,2020,0.35,0.45,0.19
 Voeren ,73109,nee,Milieubewust handelen,2020,0.21,0.49,0.3
 Vorselaar ,13044,nee,Milieubewust handelen,2020,0.21,0.5,0.3
 Vosselaar ,13046,nee,Milieubewust handelen,2020,0.24,0.5,0.27
 Waasmunster ,42023,nee,Milieubewust handelen,2020,0.23,0.51,0.26
 Wachtebeke ,44073,nee,Milieubewust handelen,2020,0.26,0.48,0.26
 Waregem ,34040,nee,Milieubewust handelen,2020,0.24,0.52,0.24
 Wellen ,73098,nee,Milieubewust handelen,2020,0.21,0.55,0.24
 Wemmel ,23102,nee,Milieubewust handelen,2020,0.16,0.52,0.32
 Wervik ,33029,nee,Milieubewust handelen,2020,0.31,0.51,0.18
 Westerlo ,13049,nee,Milieubewust handelen,2020,0.22,0.52,0.26
 Wetteren ,42025,nee,Milieubewust handelen,2020,0.26,0.51,0.23
 Wevelgem ,34041,nee,Milieubewust handelen,2020,0.2,0.56,0.24
 Wezembeek-Oppem ,23103,nee,Milieubewust handelen,2020,0.18,0.43,0.4
 Wichelen ,42026,nee,Milieubewust handelen,2020,0.27,0.49,0.24
 Wielsbeke ,37017,nee,Milieubewust handelen,2020,0.29,0.51,0.2
 Wijnegem ,11050,nee,Milieubewust handelen,2020,0.22,0.45,0.33
 Willebroek ,12040,nee,Milieubewust handelen,2020,0.25,0.51,0.24
 Wingene ,37018,nee,Milieubewust handelen,2020,0.28,0.52,0.2
 Wommelgem ,11052,nee,Milieubewust handelen,2020,0.26,0.5,0.24
 Wortegem-Petegem ,45061,nee,Milieubewust handelen,2020,0.27,0.51,0.23
 Wuustwezel ,11053,nee,Milieubewust handelen,2020,0.23,0.52,0.25
 Zandhoven ,11054,nee,Milieubewust handelen,2020,0.19,0.5,0.3
 Zaventem ,23094,nee,Milieubewust handelen,2020,0.19,0.52,0.29
 Zedelgem ,31040,nee,Milieubewust handelen,2020,0.24,0.51,0.25
 Zele ,42028,nee,Milieubewust handelen,2020,0.26,0.49,0.25
 Zelzate ,43018,nee,Milieubewust handelen,2020,0.31,0.51,0.18
 Zemst ,23096,nee,Milieubewust handelen,2020,0.22,0.46,0.32
 Zoersel ,11055,nee,Milieubewust handelen,2020,0.17,0.52,0.31
 Zonhoven ,71066,nee,Milieubewust handelen,2020,0.25,0.53,0.22
 Zonnebeke ,33037,nee,Milieubewust handelen,2020,0.34,0.48,0.18
 Zottegem ,41081,nee,Milieubewust handelen,2020,0.19,0.55,0.26
 Zoutleeuw ,24130,nee,Milieubewust handelen,2020,0.26,0.49,0.25
 Zuienkerke ,31042,nee,Milieubewust handelen,2020,0.24,0.47,0.28
 Zulte ,44081,nee,Milieubewust handelen,2020,0.25,0.51,0.24
 Zutendaal ,71067,nee,Milieubewust handelen,2020,0.24,0.56,0.2
 Zwalm ,45065,nee,Milieubewust handelen,2020,0.21,0.53,0.25
 Zwevegem ,34042,nee,Milieubewust handelen,2020,0.27,0.51,0.22
 Zwijndrecht ,11056,nee,Milieubewust handelen,2020,0.23,0.49,0.28
13 centrumsteden,/,/,Milieubewust handelen,2020,0.19,0.45,0.36
Gemeenten groter dan 50.000 inw.,/,/,Milieubewust handelen,2020,0.19,0.45,0.36
Gemeenten kleiner dan 10.000 inw.,/,/,Milieubewust handelen,2020,0.25,0.5,0.25
Gemeenten van 10.000 tot 20.000 inw.,/,/,Milieubewust handelen,2020,0.23,0.5,0.27
Gemeenten van 20.000 tot 30.000 inw.,/,/,Milieubewust handelen,2020,0.23,0.5,0.28
Gemeenten van 30.000 tot 50.000 inw.,/,/,Milieubewust handelen,2020,0.24,0.5,0.26
Vlaams Gewest,/,/,Milieubewust handelen,2020,0.22,0.49,0.29
