Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Nooit (%),Tot 12 keer (%),Meer dan 12 keer (%),Niet aanwezig in de eigen gemeente (%)
 Aalst ,41002,ja,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.25,0.53,0.22,nvt
 Aalst ,41002,ja,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.09,0.49,0.41,0.01
 Aalter ,44001,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.23,0.5,0.27,nvt
 Aalter ,44084,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.19,0.58,0.23,nvt
 Aalter ,44001,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.13,0.47,0.39,0.01
 Aalter ,44084,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.08,0.51,0.4,0.02
 Aarschot ,24001,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.24,0.48,0.28,nvt
 Aarschot ,24001,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.2,0.49,0.31,nvt
 Aarschot ,24001,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.08,0.34,0.56,0.02
 Aarschot ,24001,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.05,0.37,0.56,0.01
 Aartselaar ,11001,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.2,0.49,0.31,nvt
 Aartselaar ,11001,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.18,0.54,0.28,nvt
 Aartselaar ,11001,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.13,0.47,0.4,0
 Aartselaar ,11001,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.11,0.51,0.37,0
 Affligem ,23105,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.26,0.5,0.24,nvt
 Affligem ,23105,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.17,0.52,0.32,nvt
 Affligem ,23105,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.19,0.42,0.33,0.06
 Affligem ,23105,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.1,0.45,0.39,0.06
 Alken ,73001,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.14,0.49,0.37,nvt
