Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Nooit/een uitzonderlijke keer (%) ,Minstens maandelijks (%),Minstens wekelijks (%) 
 Aartselaar ,11001,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.61,0.19,0.2
 Aartselaar ,11001,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.18,0.13,0.69
 Affligem ,23105,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.26,0.33,0.41
 Affligem ,23105,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.47,0.36,0.17
 Affligem ,23105,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.46,0.24,0.3
 Affligem ,23105,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.16,0.31,0.53
 Affligem ,23105,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.29,0.1,0.61
 Affligem ,23105,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.3,0.38,0.32
 Affligem ,23105,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.56,0.27,0.17
 Affligem ,23105,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.28,0.31,0.41
 Affligem ,23105,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.66,0.17,0.16
 Affligem ,23105,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.16,0.18,0.66
 Alken ,73001,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.26,0.25,0.49
 Alken ,73001,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.56,0.26,0.18
 Alken ,73001,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.33,0.28,0.39
 Alken ,73001,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.21,0.27,0.52
 Alken ,73001,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.3,0.08,0.62
 Alken ,73001,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.27,0.31,0.43
 Alken ,73001,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.63,0.24,0.13
 Alken ,73001,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.38,0.26,0.36
 Alken ,73001,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.7,0.15,0.15
 Alken ,73001,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.18,0.15,0.67
 Alveringem ,38002,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.26,0.25,0.49
 Alveringem ,38002,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.59,0.26,0.15
 Alveringem ,38002,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.39,0.25,0.36
 Alveringem ,38002,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.22,0.29,0.49
 Alveringem ,38002,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.51,0.07,0.42
 Alveringem ,38002,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.16,0.29,0.54
 Alveringem ,38002,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.67,0.19,0.14
