Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Nooit/een uitzonderlijke keer (%) ,Minstens maandelijks (%),Minstens wekelijks (%) 
 Dessel ,13006,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.6,0.26,0.15
 Dessel ,13006,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.16,0.21,0.63
 Dessel ,13006,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.17,0.26,0.58
 Dessel ,13006,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.24,0.06,0.7
 Dessel ,13006,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.28,0.38,0.35
 Dessel ,13006,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.65,0.21,0.13
 Dessel ,13006,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.31,0.27,0.42
 Dessel ,13006,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.74,0.13,0.13
 Dessel ,13006,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.18,0.12,0.7
 Destelbergen ,44013,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.23,0.25,0.53
 Destelbergen ,44013,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.43,0.28,0.29
 Destelbergen ,44013,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.23,0.21,0.55
 Destelbergen ,44013,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.16,0.22,0.62
 Destelbergen ,44013,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.3,0.06,0.64
 Destelbergen ,44013,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.34,0.34,0.32
 Destelbergen ,44013,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.54,0.26,0.2
 Destelbergen ,44013,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.24,0.24,0.52
 Destelbergen ,44013,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.48,0.22,0.3
 Destelbergen ,44013,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.16,0.1,0.73
 Diepenbeek ,71011,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.29,0.26,0.45
 Diepenbeek ,71011,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.56,0.27,0.17
 Diepenbeek ,71011,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.31,0.21,0.48
 Diepenbeek ,71011,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.22,0.23,0.55
 Diepenbeek ,71011,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.21,0.1,0.69
 Diepenbeek ,71011,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.26,0.33,0.41
 Diepenbeek ,71011,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.61,0.25,0.15
 Diepenbeek ,71011,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.3,0.29,0.41
 Diepenbeek ,71011,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.62,0.17,0.21
 Diepenbeek ,71011,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.17,0.15,0.68
 Diest ,24020,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.28,0.22,0.5
 Diest ,24020,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.51,0.26,0.23
 Diest ,24020,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.33,0.2,0.48
 Diest ,24020,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.18,0.18,0.64
 Diest ,24020,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.26,0.07,0.67
 Diest ,24020,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.29,0.33,0.38
 Diest ,24020,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.6,0.24,0.17
 Diest ,24020,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.28,0.28,0.43
 Diest ,24020,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.59,0.17,0.24
 Diest ,24020,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.18,0.1,0.71
 Diksmuide ,32003,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.27,0.27,0.46
 Diksmuide ,32003,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.57,0.25,0.18
 Diksmuide ,32003,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.32,0.22,0.47
 Diksmuide ,32003,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.16,0.22,0.61
 Diksmuide ,32003,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.49,0.08,0.43
 Diksmuide ,32003,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.18,0.3,0.52
 Diksmuide ,32003,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.61,0.24,0.14
 Diksmuide ,32003,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.24,0.27,0.48
 Diksmuide ,32003,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.72,0.14,0.14
 Diksmuide ,32003,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.18,0.12,0.7
 Dilbeek ,23016,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.2,0.31,0.48
 Dilbeek ,23016,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.42,0.34,0.24
 Dilbeek ,23016,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.53,0.22,0.25
 Dilbeek ,23016,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.15,0.28,0.57
 Dilbeek ,23016,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.33,0.08,0.59
 Dilbeek ,23016,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.3,0.38,0.32
 Dilbeek ,23016,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.53,0.29,0.18
 Dilbeek ,23016,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.27,0.27,0.46
 Dilbeek ,23016,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.59,0.23,0.18
 Dilbeek ,23016,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.16,0.18,0.66
 Dilsen-Stokkem ,72041,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.36,0.24,0.4
 Dilsen-Stokkem ,72041,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.58,0.23,0.19
 Dilsen-Stokkem ,72041,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.38,0.2,0.42
 Dilsen-Stokkem ,72041,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.19,0.28,0.53
 Dilsen-Stokkem ,72041,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.29,0.09,0.62
 Dilsen-Stokkem ,72041,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.33,0.32,0.36
 Dilsen-Stokkem ,72041,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.63,0.21,0.15
 Dilsen-Stokkem ,72041,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.38,0.26,0.36
 Dilsen-Stokkem ,72041,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.7,0.18,0.12
 Dilsen-Stokkem ,72041,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.21,0.17,0.62
 Drogenbos ,23098,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.34,0.3,0.36
 Drogenbos ,23098,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.38,0.23,0.38
 Drogenbos ,23098,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.65,0.2,0.15
 Drogenbos ,23098,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.12,0.24,0.64
 Drogenbos ,23098,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.35,0.15,0.5
 Drogenbos ,23098,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.35,0.28,0.36
 Drogenbos ,23098,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.42,0.29,0.29
 Drogenbos ,23098,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.18,0.37,0.45
 Drogenbos ,23098,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.58,0.21,0.22
 Drogenbos ,23098,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.26,0.27,0.47
 Duffel ,12009,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.29,0.29,0.42
 Duffel ,12009,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.5,0.34,0.16
 Duffel ,12009,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.24,0.24,0.52
 Duffel ,12009,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.15,0.24,0.62
 Duffel ,12009,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.33,0.08,0.59
 Duffel ,12009,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.25,0.35,0.4
 Duffel ,12009,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.61,0.27,0.12
 Duffel ,12009,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.3,0.25,0.45
 Duffel ,12009,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.6,0.2,0.21
 Duffel ,12009,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.17,0.18,0.65
 Edegem ,11013,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.23,0.27,0.49
 Edegem ,11013,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.46,0.31,0.23
 Edegem ,11013,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.25,0.17,0.59
 Edegem ,11013,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.07,0.18,0.74
 Edegem ,11013,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.27,0.06,0.66
 Edegem ,11013,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.4,0.28,0.32
 Edegem ,11013,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.56,0.29,0.15
 Edegem ,11013,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.27,0.28,0.46
 Edegem ,11013,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.51,0.23,0.26
 Edegem ,11013,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.14,0.16,0.7
 Eeklo ,43005,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.29,0.25,0.46
 Eeklo ,43005,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.56,0.25,0.19
 Eeklo ,43005,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.31,0.15,0.54
 Eeklo ,43005,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.15,0.23,0.62
 Eeklo ,43005,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.4,0.09,0.52
 Eeklo ,43005,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.36,0.3,0.34
 Eeklo ,43005,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.58,0.28,0.14
 Eeklo ,43005,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.35,0.25,0.4
 Eeklo ,43005,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.67,0.19,0.14
 Eeklo ,43005,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.2,0.13,0.67
 Erpe-Mere ,41082,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.27,0.26,0.46
 Erpe-Mere ,41082,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.56,0.26,0.18
 Erpe-Mere ,41082,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.42,0.21,0.37
 Erpe-Mere ,41082,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.23,0.28,0.49
 Erpe-Mere ,41082,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.35,0.07,0.58
 Erpe-Mere ,41082,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.32,0.35,0.33
 Erpe-Mere ,41082,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.65,0.2,0.15
 Erpe-Mere ,41082,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.29,0.27,0.44
 Erpe-Mere ,41082,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.67,0.15,0.19
 Erpe-Mere ,41082,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.2,0.17,0.63
 Essen ,11016,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.26,0.27,0.47
 Essen ,11016,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.49,0.28,0.23
 Essen ,11016,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.22,0.19,0.59
 Essen ,11016,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.16,0.19,0.65
 Essen ,11016,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.25,0.03,0.71
 Essen ,11016,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.31,0.33,0.36
 Essen ,11016,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.62,0.22,0.16
 Essen ,11016,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.31,0.25,0.44
 Essen ,11016,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.6,0.21,0.19
 Essen ,11016,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.16,0.13,0.72
 Evergem ,44019,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.25,0.28,0.47
 Evergem ,44019,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.5,0.36,0.14
 Evergem ,44019,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.27,0.25,0.47
 Evergem ,44019,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.21,0.26,0.53
 Evergem ,44019,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.37,0.09,0.54
 Evergem ,44019,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.32,0.32,0.36
 Evergem ,44019,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.61,0.27,0.12
 Evergem ,44019,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.27,0.3,0.43
 Evergem ,44019,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.6,0.25,0.15
 Evergem ,44019,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.15,0.14,0.71
 Galmaarden ,23023,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.26,0.25,0.49
 Galmaarden ,23023,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.47,0.29,0.24
 Galmaarden ,23023,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.5,0.26,0.23
 Galmaarden ,23023,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.2,0.33,0.47
 Galmaarden ,23023,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.35,0.07,0.58
 Galmaarden ,23023,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.23,0.36,0.41
 Galmaarden ,23023,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.53,0.26,0.22
 Galmaarden ,23023,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.26,0.25,0.49
 Galmaarden ,23023,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.65,0.18,0.18
 Galmaarden ,23023,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.15,0.18,0.67
 Gavere ,44020,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.25,0.26,0.48
 Gavere ,44020,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.49,0.31,0.2
 Gavere ,44020,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.33,0.3,0.37
 Gavere ,44020,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.21,0.3,0.49
 Gavere ,44020,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.34,0.1,0.57
 Gavere ,44020,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.28,0.36,0.35
 Gavere ,44020,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.61,0.21,0.18
 Gavere ,44020,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.24,0.27,0.49
 Gavere ,44020,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.65,0.2,0.15
 Gavere ,44020,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.18,0.14,0.68
 Geel ,13008,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.25,0.27,0.47
 Geel ,13008,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.52,0.25,0.22
 Geel ,13008,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.19,0.18,0.63
 Geel ,13008,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.21,0.2,0.6
 Geel ,13008,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.24,0.05,0.71
 Geel ,13008,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.25,0.28,0.47
 Geel ,13008,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.55,0.28,0.18
 Geel ,13008,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.27,0.24,0.48
 Geel ,13008,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.63,0.18,0.19
 Geel ,13008,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.18,0.14,0.68
 Geetbets ,24028,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.34,0.22,0.44
 Geetbets ,24028,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.55,0.28,0.17
 Geetbets ,24028,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.42,0.26,0.31
 Geetbets ,24028,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.25,0.22,0.53
 Geetbets ,24028,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.38,0.09,0.53
 Geetbets ,24028,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.2,0.31,0.48
 Geetbets ,24028,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.63,0.19,0.18
 Geetbets ,24028,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.3,0.25,0.45
 Geetbets ,24028,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.73,0.12,0.14
 Geetbets ,24028,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.23,0.13,0.65
 Genk ,71016,ja,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.31,0.25,0.44
 Genk ,71016,ja,Milieubewust handelen (detail),Biologische (BIO) producten,2014,0.55,0.24,0.21
 Genk ,71016,ja,Milieubewust handelen (detail),Biologische (BIO) producten,2017,0.55,0.24,0.21
 Genk ,71016,ja,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.53,0.29,0.18
 Genk ,71016,ja,Milieubewust handelen (detail),Korte afstanden per fiets,2014,0.46,0.25,0.29
 Genk ,71016,ja,Milieubewust handelen (detail),Korte afstanden per fiets,2017,0.51,0.22,0.27
 Genk ,71016,ja,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.41,0.23,0.36
 Genk ,71016,ja,Milieubewust handelen (detail),Korte afstanden te voet,2014,0.22,0.27,0.51
 Genk ,71016,ja,Milieubewust handelen (detail),Korte afstanden te voet,2017,0.25,0.26,0.5
 Genk ,71016,ja,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.18,0.26,0.56
 Genk ,71016,ja,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.24,0.08,0.69
 Genk ,71016,ja,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2014,0.57,0.24,0.19
 Genk ,71016,ja,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2017,0.63,0.21,0.16
 Genk ,71016,ja,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.4,0.28,0.32
 Genk ,71016,ja,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.6,0.24,0.16
 Genk ,71016,ja,Milieubewust handelen (detail),Seizoensgroenten,2017,0.39,0.28,0.33
 Genk ,71016,ja,Milieubewust handelen (detail),Seizoensgroenten,2020,0.36,0.27,0.37
 Genk ,71016,ja,Milieubewust handelen (detail),Vegetarisch eten,2017,0.67,0.21,0.13
 Genk ,71016,ja,Milieubewust handelen (detail),Vegetarisch eten,2020,0.62,0.19,0.19
 Genk ,71016,ja,Milieubewust handelen (detail),Weggooien eten beperken,2017,0.25,0.15,0.6
 Genk ,71016,ja,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.22,0.14,0.64
 Gent ,44021,ja,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.22,0.25,0.53
 Gent ,44021,ja,Milieubewust handelen (detail),Biologische (BIO) producten,2014,0.5,0.24,0.26
 Gent ,44021,ja,Milieubewust handelen (detail),Biologische (BIO) producten,2017,0.43,0.25,0.32
 Gent ,44021,ja,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.35,0.29,0.36
 Gent ,44021,ja,Milieubewust handelen (detail),Korte afstanden per fiets,2014,0.37,0.17,0.45
 Gent ,44021,ja,Milieubewust handelen (detail),Korte afstanden per fiets,2017,0.35,0.14,0.51
 Gent ,44021,ja,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.27,0.14,0.6
 Gent ,44021,ja,Milieubewust handelen (detail),Korte afstanden te voet,2014,0.09,0.2,0.7
 Gent ,44021,ja,Milieubewust handelen (detail),Korte afstanden te voet,2017,0.11,0.17,0.73
 Gent ,44021,ja,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.07,0.15,0.78
 Gent ,44021,ja,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.25,0.06,0.69
 Gent ,44021,ja,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2014,0.63,0.21,0.16
 Gent ,44021,ja,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2017,0.6,0.22,0.18
 Gent ,44021,ja,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.31,0.3,0.39
 Gent ,44021,ja,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.44,0.29,0.26
 Gent ,44021,ja,Milieubewust handelen (detail),Seizoensgroenten,2017,0.3,0.26,0.44
 Gent ,44021,ja,Milieubewust handelen (detail),Seizoensgroenten,2020,0.26,0.26,0.49
 Gent ,44021,ja,Milieubewust handelen (detail),Vegetarisch eten,2017,0.45,0.23,0.32
 Gent ,44021,ja,Milieubewust handelen (detail),Vegetarisch eten,2020,0.38,0.21,0.41
 Gent ,44021,ja,Milieubewust handelen (detail),Weggooien eten beperken,2017,0.18,0.14,0.68
 Gent ,44021,ja,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.14,0.14,0.72
 Geraardsbergen ,41018,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.31,0.23,0.46
 Geraardsbergen ,41018,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.47,0.34,0.19
 Geraardsbergen ,41018,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.59,0.22,0.18
 Geraardsbergen ,41018,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.16,0.32,0.52
 Geraardsbergen ,41018,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.38,0.1,0.52
 Geraardsbergen ,41018,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.33,0.32,0.35
 Geraardsbergen ,41018,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.6,0.24,0.16
 Geraardsbergen ,41018,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.32,0.27,0.41
 Geraardsbergen ,41018,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.69,0.16,0.15
 Geraardsbergen ,41018,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.19,0.14,0.67
 Gingelom ,71017,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.32,0.23,0.44
 Gingelom ,71017,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.58,0.27,0.15
 Gingelom ,71017,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.57,0.2,0.23
 Gingelom ,71017,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.21,0.29,0.5
 Gingelom ,71017,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.32,0.1,0.58
 Gingelom ,71017,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.24,0.36,0.4
 Gingelom ,71017,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.66,0.2,0.14
 Gingelom ,71017,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.32,0.27,0.41
 Gingelom ,71017,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.69,0.17,0.14
 Gingelom ,71017,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.21,0.16,0.63
 Gistel ,35005,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.3,0.26,0.44
 Gistel ,35005,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.5,0.28,0.22
 Gistel ,35005,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.26,0.23,0.52
 Gistel ,35005,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.18,0.22,0.6
 Gistel ,35005,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.47,0.09,0.44
 Gistel ,35005,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.28,0.27,0.45
 Gistel ,35005,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.6,0.25,0.15
 Gistel ,35005,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.26,0.22,0.51
 Gistel ,35005,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.71,0.15,0.14
 Gistel ,35005,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.18,0.14,0.68
 Glabbeek ,24137,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.27,0.27,0.46
 Glabbeek ,24137,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.51,0.32,0.17
