Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ja (%),Nee (%)
 Aalst ,41002,ja,Betalingsmoeilijkheden energie en water,2011,0.09,0.91
 Aalst ,41002,ja,Betalingsmoeilijkheden energie en water,2014,0.09,0.91
 Aalst ,41002,ja,Betalingsmoeilijkheden energie en water,2017,0.08,0.92
 Aalst ,41002,ja,Betalingsmoeilijkheden energie en water,2020,0.08,0.92
 Aalter ,44084,nee,Betalingsmoeilijkheden energie en water,2020,0.04,0.96
 Aarschot ,24001,nee,Betalingsmoeilijkheden energie en water,2020,0.05,0.95
 Aartselaar ,11001,nee,Betalingsmoeilijkheden energie en water,2020,0.06,0.94
 Affligem ,23105,nee,Betalingsmoeilijkheden energie en water,2020,0.05,0.95
 Alken ,73001,nee,Betalingsmoeilijkheden energie en water,2020,0.04,0.96
 Alveringem ,38002,nee,Betalingsmoeilijkheden energie en water,2020,0.06,0.94
 Antwerpen ,11002,ja,Betalingsmoeilijkheden energie en water,2011,0.13,0.87
 Antwerpen ,11002,ja,Betalingsmoeilijkheden energie en water,2014,0.11,0.89
 Antwerpen ,11002,ja,Betalingsmoeilijkheden energie en water,2017,0.11,0.89
 Antwerpen ,11002,ja,Betalingsmoeilijkheden energie en water,2020,0.09,0.91
 Anzegem ,34002,nee,Betalingsmoeilijkheden energie en water,2020,0.03,0.97
 Ardooie ,37020,nee,Betalingsmoeilijkheden energie en water,2020,0.05,0.95
 Arendonk ,13001,nee,Betalingsmoeilijkheden energie en water,2020,0.09,0.91
 As ,71002,nee,Betalingsmoeilijkheden energie en water,2020,0.08,0.92
 Asse ,23002,nee,Betalingsmoeilijkheden energie en water,2020,0.08,0.92
 Assenede ,43002,nee,Betalingsmoeilijkheden energie en water,2020,0.03,0.97
 Avelgem ,34003,nee,Betalingsmoeilijkheden energie en water,2020,0.05,0.95
 Baarle-Hertog ,13002,nee,Betalingsmoeilijkheden energie en water,2020,0.02,0.98
 Balen ,13003,nee,Betalingsmoeilijkheden energie en water,2020,0.06,0.94
 Beernem ,31003,nee,Betalingsmoeilijkheden energie en water,2020,0.05,0.95
 Beerse ,13004,nee,Betalingsmoeilijkheden energie en water,2020,0.04,0.96
 Beersel ,23003,nee,Betalingsmoeilijkheden energie en water,2020,0.06,0.94
 Begijnendijk ,24007,nee,Betalingsmoeilijkheden energie en water,2020,0.03,0.97
 Bekkevoort ,24008,nee,Betalingsmoeilijkheden energie en water,2020,0.05,0.95
 Beringen ,71004,nee,Betalingsmoeilijkheden energie en water,2020,0.09,0.91
 Berlaar ,12002,nee,Betalingsmoeilijkheden energie en water,2020,0.05,0.95
 Berlare ,42003,nee,Betalingsmoeilijkheden energie en water,2020,0.07,0.93
 Bertem ,24009,nee,Betalingsmoeilijkheden energie en water,2020,0.05,0.95
 Bever ,23009,nee,Betalingsmoeilijkheden energie en water,2020,0.09,0.91
 Beveren ,46003,nee,Betalingsmoeilijkheden energie en water,2020,0.08,0.92
 Bierbeek ,24011,nee,Betalingsmoeilijkheden energie en water,2020,0.02,0.98
 Bilzen ,73006,nee,Betalingsmoeilijkheden energie en water,2020,0.07,0.93
 Blankenberge ,31004,nee,Betalingsmoeilijkheden energie en water,2020,0.05,0.95
 Bocholt ,72003,nee,Betalingsmoeilijkheden energie en water,2020,0.06,0.94
 Boechout ,11004,nee,Betalingsmoeilijkheden energie en water,2020,0.05,0.95
 Bonheiden ,12005,nee,Betalingsmoeilijkheden energie en water,2020,0.02,0.98
 Boom ,11005,nee,Betalingsmoeilijkheden energie en water,2020,0.1,0.9
 Boortmeerbeek ,24014,nee,Betalingsmoeilijkheden energie en water,2020,0.03,0.97
 Borgloon ,73009,nee,Betalingsmoeilijkheden energie en water,2020,0.06,0.94
 Bornem ,12007,nee,Betalingsmoeilijkheden energie en water,2020,0.05,0.95
 Borsbeek ,11007,nee,Betalingsmoeilijkheden energie en water,2020,0.06,0.94
