Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ontevreden (%),Neutraal (%),Tevreden (%)
 Aalst ,41002,ja,Tevredenheid over zicht op groen vanuit de woning,2014,0.18,0.16,0.66
 Aalst ,41002,ja,Tevredenheid over zicht op groen vanuit de woning,2017,0.19,0.15,0.66
 Aalst ,41002,ja,Tevredenheid over zicht op groen vanuit de woning,2020,0.17,0.17,0.66
 Aalter ,44001,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.09,0.12,0.8
 Aalter ,44084,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.14,0.12,0.75
 Aarschot ,24001,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.09,0.08,0.82
 Aarschot ,24001,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.11,0.09,0.79
 Aartselaar ,11001,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.2,0.14,0.66
 Aartselaar ,11001,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.16,0.18,0.66
 Affligem ,23105,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.12,0.12,0.76
 Affligem ,23105,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.11,0.13,0.76
 Alken ,73001,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.1,0.08,0.81
 Alken ,73001,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.11,0.11,0.78
 Alveringem ,38002,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.08,0.06,0.86
 Alveringem ,38002,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.05,0.06,0.89
 Antwerpen ,11002,ja,Tevredenheid over zicht op groen vanuit de woning,2014,0.27,0.2,0.53
 Antwerpen ,11002,ja,Tevredenheid over zicht op groen vanuit de woning,2017,0.25,0.2,0.55
 Antwerpen ,11002,ja,Tevredenheid over zicht op groen vanuit de woning,2020,0.25,0.19,0.56
 Anzegem ,34002,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.09,0.12,0.79
 Anzegem ,34002,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.06,0.12,0.82
 Ardooie ,37020,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.09,0.14,0.77
 Ardooie ,37020,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.11,0.15,0.74
 Arendonk ,13001,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.11,0.12,0.77
 Arendonk ,13001,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.12,0.1,0.78
 As ,71002,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.07,0.09,0.84
 As ,71002,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.08,0.09,0.83
 Asse ,23002,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.15,0.13,0.72
 Asse ,23002,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.13,0.16,0.71
 Assenede ,43002,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.1,0.08,0.82
 Assenede ,43002,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.08,0.08,0.84
 Avelgem ,34003,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.14,0.13,0.72
 Avelgem ,34003,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.13,0.15,0.72
 Baarle-Hertog ,13002,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.12,0.14,0.74
 Baarle-Hertog ,13002,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.16,0.11,0.72
 Balen ,13003,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.09,0.14,0.77
 Balen ,13003,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.08,0.12,0.79
 Beernem ,31003,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.09,0.06,0.85
 Beernem ,31003,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.09,0.13,0.78
 Beerse ,13004,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.13,0.14,0.73
 Beerse ,13004,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.11,0.17,0.72
 Beersel ,23003,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.1,0.09,0.81
 Beersel ,23003,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.1,0.07,0.82
 Begijnendijk ,24007,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.09,0.07,0.85
 Begijnendijk ,24007,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.07,0.07,0.86
 Bekkevoort ,24008,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.07,0.04,0.88
 Bekkevoort ,24008,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.07,0.09,0.84
 Beringen ,71004,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.11,0.11,0.78
 Beringen ,71004,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.13,0.14,0.73
 Berlaar ,12002,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.11,0.13,0.76
 Berlaar ,12002,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.1,0.17,0.73
 Berlare ,42003,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.12,0.13,0.74
 Berlare ,42003,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.13,0.15,0.72
 Bertem ,24009,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.07,0.09,0.84
 Bertem ,24009,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.11,0.12,0.77
 Bever ,23009,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.06,0.08,0.86
 Bever ,23009,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.04,0.04,0.92
 Beveren ,46003,nee,Tevredenheid over zicht op groen vanuit de woning,2017,0.15,0.17,0.69
 Beveren ,46003,nee,Tevredenheid over zicht op groen vanuit de woning,2020,0.14,0.15,0.7
