Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ja (%),Nee (%)
 Aalst ,41002,ja,Draagvlak windmolens,2020,0.57,0.43
 Aalter ,44084,nee,Draagvlak windmolens,2020,0.5,0.5
 Aarschot ,24001,nee,Draagvlak windmolens,2020,0.66,0.34
 Aartselaar ,11001,nee,Draagvlak windmolens,2020,0.41,0.59
 Affligem ,23105,nee,Draagvlak windmolens,2020,0.45,0.55
 Alken ,73001,nee,Draagvlak windmolens,2020,0.56,0.44
 Alveringem ,38002,nee,Draagvlak windmolens,2020,0.46,0.54
 Antwerpen ,11002,ja,Draagvlak windmolens,2020,0.54,0.46
 Anzegem ,34002,nee,Draagvlak windmolens,2020,0.32,0.68
 Ardooie ,37020,nee,Draagvlak windmolens,2020,0.4,0.6
 Arendonk ,13001,nee,Draagvlak windmolens,2020,0.58,0.42
 As ,71002,nee,Draagvlak windmolens,2020,0.48,0.52
 Asse ,23002,nee,Draagvlak windmolens,2020,0.61,0.39
 Assenede ,43002,nee,Draagvlak windmolens,2020,0.56,0.44
 Avelgem ,34003,nee,Draagvlak windmolens,2020,0.52,0.48
 Baarle-Hertog ,13002,nee,Draagvlak windmolens,2020,0.28,0.72
 Balen ,13003,nee,Draagvlak windmolens,2020,0.59,0.41
 Beernem ,31003,nee,Draagvlak windmolens,2020,0.48,0.52
 Beerse ,13004,nee,Draagvlak windmolens,2020,0.56,0.44
 Beersel ,23003,nee,Draagvlak windmolens,2020,0.51,0.49
 Begijnendijk ,24007,nee,Draagvlak windmolens,2020,0.46,0.54
 Bekkevoort ,24008,nee,Draagvlak windmolens,2020,0.69,0.31
 Beringen ,71004,nee,Draagvlak windmolens,2020,0.61,0.39
 Berlaar ,12002,nee,Draagvlak windmolens,2020,0.45,0.55
 Berlare ,42003,nee,Draagvlak windmolens,2020,0.52,0.48
 Bertem ,24009,nee,Draagvlak windmolens,2020,0.46,0.54
 Bever ,23009,nee,Draagvlak windmolens,2020,0.36,0.64
 Beveren ,46003,nee,Draagvlak windmolens,2020,0.65,0.35
 Bierbeek ,24011,nee,Draagvlak windmolens,2020,0.63,0.37
 Bilzen ,73006,nee,Draagvlak windmolens,2020,0.65,0.35
