,Gemeente,NSI-code,Aantal
0,Aalst (Aalst),41002,88854
1,Aalter,44084,29340
2,Aarlen,81001,30818
3,Aarschot,24001,30594
4,Aartselaar,11001,14610
5,Aat,51004,29630
6,Affligem,23105,13466
7,Aiseau-Presles,52074,10900
8,Alken,73001,11757
9,Alveringem,38002,5025
10,Amay,61003,14448
11,Amel,63001,5569
12,Andenne,92003,27863
13,Anderlecht,21001,122547
14,Anderlues,56001,12498
15,Anhée,91005,7221
16,Ans,62003,28625
17,Anthisnes,61079,4234
18,Antoing,57003,7687
19,Antwerpen,11002,530630
20,Anzegem,34002,15029
21,Ardooie,37020,9195
22,Arendonk,13001,13297
23,As,71002,8246
24,Asse,23002,34494
25,Assenede,43002,14449
26,Assesse,92006,7274
27,Attert,81003,5624
28,Aubange,81004,17417
29,Aubel,63003,4237
30,Avelgem,34003,10291
31,Awans,62006,9152
32,Aywaille,62009,12667
33,Baarle-Hertog,13002,2997
34,Baelen,63004,4461
35,Balen,13003,23000
36,Bastenaken,82003,16618
37,Beaumont,56005,7173
38,Beauraing,91013,9327
39,Beernem,31003,15966
40,Beerse,13004,18378
41,Beersel,23003,26013
42,Begijnendijk,24007,10390
43,Bekkevoort,24008,6459
44,Beloeil,51008,14203
45,Bergen,53053,96545
46,Beringen,71004,47217
47,Berlaar,12002,11730
48,Berlare,42003,15274
49,Berloz,64008,3280
50,Bernissart,51009,11916
51,Bertem,24009,10258
52,Bertogne,82005,3743
53,Bertrix,84009,8950
54,Bevekom,25005,7173
55,Bever,23009,2265
56,Beveren (Sint-Niklaas),46003,49531
57,Beyne-Heusay,62015,11948
58,Bierbeek,24011,10277
59,Bilzen,73006,32455
60,Binche,58002,33470
61,Bitsingen,62011,8988
62,Bièvre,91015,3447
63,Blankenberge,31004,20408
64,Blegny,62119,13395
65,Bocholt,72003,13508
66,Boechout,11004,13733
67,Bonheiden,12005,15319
68,Boom,11005,18832
69,Boortmeerbeek,24014,12968
70,Borgloon,73009,11272
71,Borgworm,64074,15312
72,Bornem,12007,21599
73,Borsbeek,11007,11226
