Gemeente,Nis-code,Centrumstad?,Indicator,Nationaliteit,Jaar,Aantal personen met huidige niet-Belgische nationaliteit naar nationaliteitsgroep,Aantal inwoners,Procent
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2016,69,14262,0.00483803
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2017,132,14222,0.0092814
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU,2017,394,14222,0.0277036
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2017,129,14222,0.00907045
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2017,65,14222,0.00457038
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2017,256,14222,0.0180003
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2017,59,14222,0.0041485
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2017,199,14222,0.0139924
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2017,66,14222,0.0046407
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2018,164,14304,0.0114653
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU,2018,419,14304,0.0292925
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2018,142,14304,0.00992729
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2018,64,14304,0.00447427
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2018,298,14304,0.0208333
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2018,70,14304,0.00489374
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2018,203,14304,0.0141918
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2018,74,14304,0.00517338
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2019,169,14293,0.011824
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU,2019,444,14293,0.0310642
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2019,151,14293,0.0105646
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2019,56,14293,0.003918
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2019,291,14293,0.0203596
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2019,66,14293,0.00461765
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2019,212,14293,0.0148324
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2019,81,14293,0.00566711
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2020,189,14427,0.0131004
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU,2020,491,14427,0.0340334
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2020,177,14427,0.0122687
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2020,67,14427,0.00464407
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2020,340,14427,0.0235669
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2020,84,14427,0.00582242
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2020,213,14427,0.014764
