Gemeente,Nis-code,Centrumstad?,Indicator,Nationaliteit,Jaar,Aantal personen met huidige niet-Belgische nationaliteit naar nationaliteitsgroep,Aantal inwoners,Procent
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU,2014,834,34368,0.0242668
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2014,335,34368,0.00974744
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2014,192,34368,0.00558659
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2014,1009,34368,0.0293587
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2014,308,34368,0.00896182
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2014,346,34368,0.0100675
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2014,153,34368,0.00445182
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2015,581,34652,0.0167667
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU,2015,992,34652,0.0286275
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2015,425,34652,0.0122648
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2015,175,34652,0.00505021
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2015,1060,34652,0.0305899
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2015,304,34652,0.00877294
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2015,392,34652,0.0113125
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2015,175,34652,0.00505021
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2016,619,34905,0.0177338
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU,2016,1076,34905,0.0308265
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2016,462,34905,0.0132359
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2016,164,34905,0.00469847
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2016,1093,34905,0.0313136
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2016,310,34905,0.00888125
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2016,435,34905,0.0124624
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2016,179,34905,0.00512821
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2017,773,35244,0.0219328
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU,2017,1108,35244,0.031438
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2017,460,35244,0.0130519
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2017,164,35244,0.00465327
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2017,1256,35244,0.0356373
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2017,319,35244,0.00905119
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2017,466,35244,0.0132221
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2017,182,35244,0.005164
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2018,929,35712,0.0260137
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU,2018,1244,35712,0.0348342
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2018,549,35712,0.015373
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2018,156,35712,0.00436828
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2018,1392,35712,0.0389785
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2018,307,35712,0.00859655
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2018,513,35712,0.0143649
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2018,182,35712,0.00509633
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2019,1039,36242,0.0286684
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU,2019,1372,36242,0.0378566
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2019,625,36242,0.0172452
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2019,152,36242,0.00419403
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2019,1492,36242,0.0411677
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2019,301,36242,0.00830528
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2019,555,36242,0.0153137
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2019,192,36242,0.00529772
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2020,1134,36646,0.0309447
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU,2020,1393,36646,0.0380123
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2020,644,36646,0.0175735
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2020,185,36646,0.0050483
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2020,1633,36646,0.0445615
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2020,314,36646,0.00856847
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2020,555,36646,0.0151449
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2020,194,36646,0.00529389
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2021,1162,36923,0.0314709
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU,2021,1463,36923,0.039623
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2021,672,36923,0.0182
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2021,188,36923,0.00509168
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2021,1667,36923,0.045148
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2021,317,36923,0.00858543
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2021,596,36923,0.0161417
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2021,195,36923,0.00528126
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2022,1232,37309,0.0330215
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU,2022,1533,37309,0.0410893
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2022,665,37309,0.0178241
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2022,180,37309,0.00482457
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2022,1732,37309,0.0464231
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2022,320,37309,0.00857702
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2022,652,37309,0.0174757
Lier,12021,Nee,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2022,216,37309,0.00578949
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2011,2061,81927,0.0251565
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU,2011,2284,81927,0.0278785
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2011,337,81927,0.00411342
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2011,601,81927,0.0073358
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2011,5245,81927,0.0640204
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2011,2583,81927,0.0315281
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2011,1297,81927,0.0158312
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2011,650,81927,0.00793389
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2012,2176,82325,0.0264318
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU,2012,2550,82325,0.0309748
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2012,438,82325,0.00532038
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2012,578,82325,0.00702095
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2012,5280,82325,0.064136
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2012,2526,82325,0.0306833
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2012,1418,82325,0.0172244
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2012,694,82325,0.00843
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2013,2168,82602,0.0262463
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU,2013,2693,82602,0.0326021
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2013,536,82602,0.00648895
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2013,554,82602,0.00670686
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2013,5115,82602,0.0619234
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2013,2393,82602,0.0289702
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2013,1429,82602,0.0172998
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2013,728,82602,0.00881335
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2014,2165,83194,0.0260235
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU,2014,2949,83194,0.0354473
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2014,643,83194,0.00772892
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2014,524,83194,0.00629853
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2014,4953,83194,0.0595355
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2014,2264,83194,0.0272135
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2014,1502,83194,0.0180542
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2014,804,83194,0.00966416
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2015,2243,83975,0.0267103
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU,2015,3248,83975,0.0386782
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2015,772,83975,0.00919321
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2015,499,83975,0.00594224
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2015,5008,83975,0.0596368
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2015,2266,83975,0.0269842
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2015,1585,83975,0.0188747
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2015,891,83975,0.0106103
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2016,2311,84523,0.0273417
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU,2016,3387,84523,0.0400719
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2016,809,84523,0.00957136
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2016,495,84523,0.00585639
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2016,5085,84523,0.0601611
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2016,2279,84523,0.0269631
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2016,1629,84523,0.0192729
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2016,949,84523,0.0112277
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2017,2471,85665,0.0288449
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU,2017,3621,85665,0.0422693
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2017,907,85665,0.0105878
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2017,471,85665,0.00549816
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2017,5201,85665,0.0607132
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2017,2259,85665,0.0263702
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2017,1679,85665,0.0195996
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2017,1035,85665,0.0120819
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2018,2656,86304,0.0307749
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU,2018,3768,86304,0.0436596
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2018,962,86304,0.0111466
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2018,465,86304,0.00538793
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2018,5304,86304,0.0614572
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2018,2183,86304,0.0252943
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2018,1684,86304,0.0195124
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2018,1122,86304,0.0130006
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2019,2826,86616,0.0326268
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU,2019,3892,86616,0.044934
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2019,986,86616,0.0113836
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2019,453,86616,0.00522998
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2019,5388,86616,0.0622056
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2019,2109,86616,0.0243489
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2019,1729,86616,0.0199617
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2019,1177,86616,0.0135887
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2020,2963,86921,0.0340884
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU,2020,3959,86921,0.0455471
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2020,995,86921,0.0114472
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2020,444,86921,0.00510809
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2020,5404,86921,0.0621714
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2020,1997,86921,0.0229749
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2020,1749,86921,0.0201217
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2020,1215,86921,0.0139782
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2021,3036,86911,0.0349323
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU,2021,4097,86911,0.0471402
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2021,1069,86911,0.0122999
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2021,448,86911,0.0051547
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2021,5403,86911,0.062167
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2021,1919,86911,0.0220801
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2021,1764,86911,0.0202966
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2021,1264,86911,0.0145436
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2022,3062,86996,0.035197
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU,2022,4142,86996,0.0476114
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2022,1063,86996,0.012219
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2022,438,86996,0.00503471
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2022,5392,86996,0.0619799
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2022,1892,86996,0.0217481
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2022,1738,86996,0.0199779
Mechelen,12025,Ja,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2022,1341,86996,0.0154145
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2011,73,21824,0.00334494
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU,2011,165,21824,0.00756048
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2011,25,21824,0.00114553
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2011,54,21824,0.00247434
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2011,136,21824,0.00623167
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2011,9,21824,0.00041239
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2011,112,21824,0.00513196
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2011,28,21824,0.00128299
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2012,67,22065,0.00303648
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU,2012,194,22065,0.0087922
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2012,33,22065,0.00149558
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2012,52,22065,0.00235667
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2012,128,22065,0.00580104
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2012,9,22065,0.000407886
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2012,110,22065,0.00498527
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2012,51,22065,0.00231135
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2013,83,22198,0.00373908
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU,2013,203,22198,0.00914497
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2013,43,22198,0.00193711
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2013,67,22198,0.00301829
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2013,161,22198,0.00725291
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2013,11,22198,0.00049554
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2013,111,22198,0.00500045
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2013,49,22198,0.00220741
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2014,97,22342,0.0043416
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU,2014,217,22342,0.00971265
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2014,51,22342,0.0022827
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2014,68,22342,0.0030436
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2014,175,22342,0.00783278
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2014,10,22342,0.000447588
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2014,121,22342,0.00541581
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2014,45,22342,0.00201414
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2015,116,22559,0.00514207
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU,2015,214,22559,0.00948624
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2015,45,22559,0.00199477
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2015,65,22559,0.00288133
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2015,193,22559,0.00855534
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2015,12,22559,0.000531938
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2015,119,22559,0.00527506
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2015,50,22559,0.00221641
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2016,119,22651,0.00525363
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU,2016,230,22651,0.0101541
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2016,57,22651,0.00251645
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2016,54,22651,0.002384
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2016,192,22651,0.00847645
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2016,19,22651,0.000838815
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2016,125,22651,0.00551852
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2016,48,22651,0.00211911
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2017,118,22693,0.00519984
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU,2017,248,22693,0.0109285
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2017,68,22693,0.00299652
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2017,51,22693,0.00224739
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2017,184,22693,0.00810823
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2017,15,22693,0.000660997
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2017,130,22693,0.00572864
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2017,50,22693,0.00220332
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2018,160,22813,0.00701354
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU,2018,295,22813,0.0129312
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2018,80,22813,0.00350677
Nijlen,12026,Nee,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2018,47,22813,0.00206023
