Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Procent
Vlaams Gewest,2000,/,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2009,0.215137
Vlaams Gewest,2000,/,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2010,0.228566
Vlaams Gewest,2000,/,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2011,0.242497
Vlaams Gewest,2000,/,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2012,0.250703
Vlaams Gewest,2000,/,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2013,0.250338
Vlaams Gewest,2000,/,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2014,0.248194
Vlaams Gewest,2000,/,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2015,0.251954
Vlaams Gewest,2000,/,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2016,0.265668
Vlaams Gewest,2000,/,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2017,0.280412
Vlaams Gewest,2000,/,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2018,0.287306
Vlaams Gewest,2000,/,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2019,0.2975
Vlaams Gewest,2000,/,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2020,0.302573
Vlaams Gewest,2000,/,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2021,0.309777
Vlaams Gewest,2000,/,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2022,0.331107
Aartselaar,11001,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2009,0.118209
Aartselaar,11001,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2010,0.155388
Aartselaar,11001,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2011,0.151377
Aartselaar,11001,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2012,0.155635
Aartselaar,11001,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2013,0.166083
Aartselaar,11001,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2014,0.152783
Aartselaar,11001,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2015,0.180983
Aartselaar,11001,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2016,0.172557
Aartselaar,11001,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2017,0.185903
Aartselaar,11001,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2018,0.231248
Aartselaar,11001,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2019,0.228291
Aartselaar,11001,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2020,0.226802
Aartselaar,11001,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2021,0.264982
Aartselaar,11001,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2022,0.287126
Antwerpen,11002,Ja,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2009,0.465907
Antwerpen,11002,Ja,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2010,0.473356
Antwerpen,11002,Ja,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2011,0.493966
Antwerpen,11002,Ja,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2012,0.500213
Antwerpen,11002,Ja,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2013,0.493889
Antwerpen,11002,Ja,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2014,0.486073
Antwerpen,11002,Ja,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2015,0.4887
Antwerpen,11002,Ja,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2016,0.49808
Antwerpen,11002,Ja,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2017,0.512902
Antwerpen,11002,Ja,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2018,0.519916
Antwerpen,11002,Ja,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2019,0.528379
Antwerpen,11002,Ja,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2020,0.525639
Antwerpen,11002,Ja,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2021,0.538044
Antwerpen,11002,Ja,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2022,0.561487
Boechout,11004,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2009,0.105568
Boechout,11004,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2010,0.090405
Boechout,11004,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2011,0.113536
Boechout,11004,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2012,0.144553
Boechout,11004,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2013,0.123967
Boechout,11004,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2014,0.154569
Boechout,11004,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2015,0.168319
Boechout,11004,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2016,0.164396
Boechout,11004,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2017,0.18576
Boechout,11004,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2018,0.202115
Boechout,11004,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2019,0.215067
Boechout,11004,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2020,0.219231
Boechout,11004,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2021,0.214538
Boechout,11004,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2022,0.218786
Boom,11005,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2009,0.372494
Boom,11005,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2010,0.37831
Boom,11005,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2011,0.389515
Boom,11005,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2012,0.414567
Boom,11005,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2013,0.393246
Boom,11005,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2014,0.381052
Boom,11005,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2015,0.394055
Boom,11005,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2016,0.400768
Boom,11005,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2017,0.400639
Boom,11005,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2018,0.409731
Boom,11005,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2019,0.415941
Boom,11005,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2020,0.427532
Boom,11005,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2021,0.438838
Boom,11005,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2022,0.472479
Borsbeek,11007,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2009,0.205331
Borsbeek,11007,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2010,0.209233
