Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Procent
Borsbeek,11007,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2011,0.216746
Borsbeek,11007,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2012,0.240434
Borsbeek,11007,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2013,0.270536
Borsbeek,11007,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2014,0.257422
Borsbeek,11007,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2015,0.289478
Borsbeek,11007,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2016,0.302963
Borsbeek,11007,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2017,0.3204
Borsbeek,11007,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2018,0.320758
Borsbeek,11007,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2019,0.337084
Borsbeek,11007,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2020,0.358258
Borsbeek,11007,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2021,0.375724
Borsbeek,11007,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2022,0.408235
Brasschaat,11008,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2009,0.0731171
Brasschaat,11008,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2010,0.0891127
Brasschaat,11008,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2011,0.0995245
Brasschaat,11008,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2012,0.100141
Brasschaat,11008,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2013,0.108429
Brasschaat,11008,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2014,0.12254
Brasschaat,11008,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2015,0.13394
Brasschaat,11008,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2016,0.142635
Brasschaat,11008,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2017,0.147264
Brasschaat,11008,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2018,0.164062
Brasschaat,11008,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2019,0.190407
Brasschaat,11008,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2020,0.193911
Brasschaat,11008,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2021,0.19862
Brasschaat,11008,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2022,0.234424
Brecht,11009,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2009,0.0424658
Brecht,11009,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2010,0.053725
Brecht,11009,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2011,0.0645543
Brecht,11009,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2012,0.070436
Brecht,11009,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2013,0.0604464
Brecht,11009,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2014,0.0611204
Brecht,11009,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2015,0.0683124
Brecht,11009,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2016,0.0754735
Brecht,11009,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2017,0.0807123
Brecht,11009,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2018,0.0881745
Brecht,11009,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2019,0.0874537
Brecht,11009,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2020,0.109561
Brecht,11009,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2021,0.108782
Brecht,11009,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2022,0.124767
Edegem,11013,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2009,0.118812
Edegem,11013,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2010,0.144777
Edegem,11013,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2011,0.172884
Edegem,11013,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2012,0.19678
Edegem,11013,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2013,0.197465
Edegem,11013,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2014,0.202544
Edegem,11013,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2015,0.235164
Edegem,11013,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2016,0.252497
Edegem,11013,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2017,0.260695
Edegem,11013,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2018,0.267031
Edegem,11013,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2019,0.288038
Edegem,11013,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2020,0.293757
Edegem,11013,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2021,0.306387
Edegem,11013,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2022,0.313484
Essen,11016,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2009,0.108024
Essen,11016,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2010,0.108703
Essen,11016,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2011,0.108356
Essen,11016,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2012,0.121604
Essen,11016,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2013,0.143154
Essen,11016,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2014,0.129486
Essen,11016,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2015,0.146709
Essen,11016,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2016,0.149211
Essen,11016,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2017,0.155859
Essen,11016,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2018,0.155612
Essen,11016,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2019,0.1657
Essen,11016,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2020,0.165256
Essen,11016,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2021,0.160569
Essen,11016,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2022,0.229921
Hemiksem,11018,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2009,0.159814
Hemiksem,11018,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2010,0.206793
Hemiksem,11018,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2011,0.225039
Hemiksem,11018,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2012,0.221576
Hemiksem,11018,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2013,0.214537
Hemiksem,11018,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2014,0.22207
Hemiksem,11018,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2015,0.225133
Hemiksem,11018,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2016,0.234093
Hemiksem,11018,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2017,0.258635
Hemiksem,11018,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2018,0.256189
Hemiksem,11018,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2019,0.285345
Hemiksem,11018,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2020,0.283159
Hemiksem,11018,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2021,0.324287
Hemiksem,11018,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2022,0.32367
Hove,11021,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2009,0.0741358
Hove,11021,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2010,0.0909454
Hove,11021,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2011,0.108041
Hove,11021,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2012,0.111754
Hove,11021,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2013,0.125443
Hove,11021,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2014,0.123217
Hove,11021,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2015,0.125152
Hove,11021,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2016,0.108924
Hove,11021,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2017,0.139502
Hove,11021,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2018,0.137897
Hove,11021,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2019,0.147182
Hove,11021,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2020,0.156738
Hove,11021,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2021,0.191774
Hove,11021,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2022,0.245263
Kalmthout,11022,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2009,0.0615122
Kalmthout,11022,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2010,0.0805947
Kalmthout,11022,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2011,0.0868087
Kalmthout,11022,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2012,0.0808768
Kalmthout,11022,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2013,0.0901047
Kalmthout,11022,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2014,0.0860825
Kalmthout,11022,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2015,0.0910038
Kalmthout,11022,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2016,0.0892985
Kalmthout,11022,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2017,0.107631
Kalmthout,11022,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2018,0.136848
Kalmthout,11022,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2019,0.146869
Kalmthout,11022,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2020,0.147493
Kalmthout,11022,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2021,0.129769
Kalmthout,11022,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2022,0.16977
Kapellen,11023,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2009,0.0660212
Kapellen,11023,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2010,0.0698545
Kapellen,11023,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2011,0.0670902
Kapellen,11023,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2012,0.0736642
Kapellen,11023,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2013,0.0827712
Kapellen,11023,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2014,0.0880345
Kapellen,11023,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2015,0.0966229
Kapellen,11023,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2016,0.122651
Kapellen,11023,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2017,0.155741
Kapellen,11023,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2018,0.127952
Kapellen,11023,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2019,0.153121
Kapellen,11023,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2020,0.164351
Kapellen,11023,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2021,0.179102
Kapellen,11023,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2022,0.226022
Kontich,11024,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2009,0.13695
Kontich,11024,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2010,0.150429
Kontich,11024,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2011,0.139847
Kontich,11024,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2012,0.142834
Kontich,11024,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2013,0.140742
Kontich,11024,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2014,0.127398
Kontich,11024,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2015,0.12896
Kontich,11024,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2016,0.124303
Kontich,11024,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2017,0.140176
Kontich,11024,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2018,0.174778
Kontich,11024,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2019,0.202411
Kontich,11024,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2020,0.222688
Kontich,11024,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2021,0.239844
Kontich,11024,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2022,0.242193
Lint,11025,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2009,0.0662862
Lint,11025,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2010,0.0461538
Lint,11025,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2011,0.0649819
Lint,11025,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2012,0.0992936
Lint,11025,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2013,0.118861
Lint,11025,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2014,0.123786
Lint,11025,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2015,0.153979
Lint,11025,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2016,0.20123
Lint,11025,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2017,0.26732
Lint,11025,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2018,0.225794
Lint,11025,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2019,0.204536
Lint,11025,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2020,0.246404
Lint,11025,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2021,0.217556
Lint,11025,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2022,0.226693
Mortsel,11029,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2009,0.172192
Mortsel,11029,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2010,0.194525
Mortsel,11029,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2011,0.227226
Mortsel,11029,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2012,0.242142
Mortsel,11029,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2013,0.242908
Mortsel,11029,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2014,0.259045
Mortsel,11029,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2015,0.266329
Mortsel,11029,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2016,0.288785
Mortsel,11029,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2017,0.318979
Mortsel,11029,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2018,0.300741
Mortsel,11029,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2019,0.30906
Mortsel,11029,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2020,0.333862
Mortsel,11029,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2021,0.346405
Mortsel,11029,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2022,0.379049
Niel,11030,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2009,0.129319
Niel,11030,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2010,0.123134
Niel,11030,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2011,0.136419
Niel,11030,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2012,0.143179
Niel,11030,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2013,0.138478
Niel,11030,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2014,0.162532
Niel,11030,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2015,0.181391
Niel,11030,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2016,0.188005
Niel,11030,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2017,0.212933
Niel,11030,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2018,0.240245
Niel,11030,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2019,0.242125
Niel,11030,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2020,0.235994
Niel,11030,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2021,0.257135
Niel,11030,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2022,0.27477
Ranst,11035,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2009,0.0538628
Ranst,11035,Nee,"Werkzoekenden zonder werk van buiten de EU-27, EVA-landen of VK",2010,0.0577398
