Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Externe uitwijking van vreemdelingen,Aantal inwoners,Verhouding per 1000 inwoners
Aartselaar,11001,Nee,Externe uitwijking van vreemdelingen,2000,10,14438,0.69262
Aartselaar,11001,Nee,Externe uitwijking van vreemdelingen,2001,10,14440,0.69252
Aartselaar,11001,Nee,Externe uitwijking van vreemdelingen,2002,6,14378,0.4173
Aartselaar,11001,Nee,Externe uitwijking van vreemdelingen,2003,18,14317,1.25725
Aartselaar,11001,Nee,Externe uitwijking van vreemdelingen,2004,5,14237,0.3512
Aartselaar,11001,Nee,Externe uitwijking van vreemdelingen,2005,8,14272,0.56054
Aartselaar,11001,Nee,Externe uitwijking van vreemdelingen,2006,25,14375,1.73913
Aartselaar,11001,Nee,Externe uitwijking van vreemdelingen,2007,20,14325,1.39616
Aartselaar,11001,Nee,Externe uitwijking van vreemdelingen,2008,26,14273,1.82162
Aartselaar,11001,Nee,Externe uitwijking van vreemdelingen,2009,42,14265,2.94427
Aartselaar,11001,Nee,Externe uitwijking van vreemdelingen,2010,23,14290,1.60952
Aartselaar,11001,Nee,Externe uitwijking van vreemdelingen,2011,17,14311,1.1879
Aartselaar,11001,Nee,Externe uitwijking van vreemdelingen,2012,11,14281,0.77025
Aartselaar,11001,Nee,Externe uitwijking van vreemdelingen,2013,13,14226,0.91382
Aartselaar,11001,Nee,Externe uitwijking van vreemdelingen,2014,16,14207,1.12621
Aartselaar,11001,Nee,Externe uitwijking van vreemdelingen,2015,26,14157,1.83655
Aartselaar,11001,Nee,Externe uitwijking van vreemdelingen,2016,13,14262,0.91151
Aartselaar,11001,Nee,Externe uitwijking van vreemdelingen,2017,36,14222,2.53129
Aartselaar,11001,Nee,Externe uitwijking van vreemdelingen,2018,28,14304,1.95749
Aartselaar,11001,Nee,Externe uitwijking van vreemdelingen,2019,28,14293,1.959
Aartselaar,11001,Nee,Externe uitwijking van vreemdelingen,2020,34,14427,2.35669
Aartselaar,11001,Nee,Externe uitwijking van vreemdelingen,2021,28,14455,1.93705
Antwerpen,11002,Ja,Externe uitwijking van vreemdelingen,2000,1291,446525,2.89122
Antwerpen,11002,Ja,Externe uitwijking van vreemdelingen,2001,982,445570,2.20392
Antwerpen,11002,Ja,Externe uitwijking van vreemdelingen,2002,994,448709,2.21524
Antwerpen,11002,Ja,Externe uitwijking van vreemdelingen,2003,1096,452474,2.42224
