Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal vreemde nationaliteiten
Dessel,13006,Nee,Vreemde nationaliteiten,2005,24
Dessel,13006,Nee,Vreemde nationaliteiten,2006,26
Dessel,13006,Nee,Vreemde nationaliteiten,2007,25
Dessel,13006,Nee,Vreemde nationaliteiten,2008,27
Dessel,13006,Nee,Vreemde nationaliteiten,2009,30
Dessel,13006,Nee,Vreemde nationaliteiten,2010,37
Dessel,13006,Nee,Vreemde nationaliteiten,2011,36
Dessel,13006,Nee,Vreemde nationaliteiten,2012,40
Dessel,13006,Nee,Vreemde nationaliteiten,2013,41
Dessel,13006,Nee,Vreemde nationaliteiten,2014,40
Dessel,13006,Nee,Vreemde nationaliteiten,2015,38
Dessel,13006,Nee,Vreemde nationaliteiten,2016,38
Dessel,13006,Nee,Vreemde nationaliteiten,2017,44
Dessel,13006,Nee,Vreemde nationaliteiten,2018,45
Dessel,13006,Nee,Vreemde nationaliteiten,2019,49
Dessel,13006,Nee,Vreemde nationaliteiten,2020,58
Dessel,13006,Nee,Vreemde nationaliteiten,2021,60
Dessel,13006,Nee,Vreemde nationaliteiten,2022,59
Geel,13008,Nee,Vreemde nationaliteiten,2000,53
Geel,13008,Nee,Vreemde nationaliteiten,2001,57
Geel,13008,Nee,Vreemde nationaliteiten,2002,60
Geel,13008,Nee,Vreemde nationaliteiten,2003,65
Geel,13008,Nee,Vreemde nationaliteiten,2004,69
Geel,13008,Nee,Vreemde nationaliteiten,2005,79
Geel,13008,Nee,Vreemde nationaliteiten,2006,76
Geel,13008,Nee,Vreemde nationaliteiten,2007,81
Geel,13008,Nee,Vreemde nationaliteiten,2008,87
Geel,13008,Nee,Vreemde nationaliteiten,2009,90
Geel,13008,Nee,Vreemde nationaliteiten,2010,89
Geel,13008,Nee,Vreemde nationaliteiten,2011,91
Geel,13008,Nee,Vreemde nationaliteiten,2012,96
Geel,13008,Nee,Vreemde nationaliteiten,2013,100
Geel,13008,Nee,Vreemde nationaliteiten,2014,98
Geel,13008,Nee,Vreemde nationaliteiten,2015,106
Geel,13008,Nee,Vreemde nationaliteiten,2016,108
Geel,13008,Nee,Vreemde nationaliteiten,2017,109
Geel,13008,Nee,Vreemde nationaliteiten,2018,111
Geel,13008,Nee,Vreemde nationaliteiten,2019,113
Geel,13008,Nee,Vreemde nationaliteiten,2020,112
Geel,13008,Nee,Vreemde nationaliteiten,2021,113
Geel,13008,Nee,Vreemde nationaliteiten,2022,118
Grobbendonk,13010,Nee,Vreemde nationaliteiten,2000,22
Grobbendonk,13010,Nee,Vreemde nationaliteiten,2001,24
Grobbendonk,13010,Nee,Vreemde nationaliteiten,2002,24
Grobbendonk,13010,Nee,Vreemde nationaliteiten,2003,25
Grobbendonk,13010,Nee,Vreemde nationaliteiten,2004,25
Grobbendonk,13010,Nee,Vreemde nationaliteiten,2005,27
Grobbendonk,13010,Nee,Vreemde nationaliteiten,2006,28
Grobbendonk,13010,Nee,Vreemde nationaliteiten,2007,30
Grobbendonk,13010,Nee,Vreemde nationaliteiten,2008,34
Grobbendonk,13010,Nee,Vreemde nationaliteiten,2009,39
Grobbendonk,13010,Nee,Vreemde nationaliteiten,2010,41
Grobbendonk,13010,Nee,Vreemde nationaliteiten,2011,45
Grobbendonk,13010,Nee,Vreemde nationaliteiten,2012,43
Grobbendonk,13010,Nee,Vreemde nationaliteiten,2013,40
Grobbendonk,13010,Nee,Vreemde nationaliteiten,2014,43
Grobbendonk,13010,Nee,Vreemde nationaliteiten,2015,52
Grobbendonk,13010,Nee,Vreemde nationaliteiten,2016,50
Grobbendonk,13010,Nee,Vreemde nationaliteiten,2017,49
Grobbendonk,13010,Nee,Vreemde nationaliteiten,2018,52
Grobbendonk,13010,Nee,Vreemde nationaliteiten,2019,51
Grobbendonk,13010,Nee,Vreemde nationaliteiten,2020,52
Grobbendonk,13010,Nee,Vreemde nationaliteiten,2021,54
Grobbendonk,13010,Nee,Vreemde nationaliteiten,2022,53
Herentals,13011,Nee,Vreemde nationaliteiten,2000,52
Herentals,13011,Nee,Vreemde nationaliteiten,2001,54
Herentals,13011,Nee,Vreemde nationaliteiten,2002,53
Herentals,13011,Nee,Vreemde nationaliteiten,2003,58
Herentals,13011,Nee,Vreemde nationaliteiten,2004,61
Herentals,13011,Nee,Vreemde nationaliteiten,2005,63
Herentals,13011,Nee,Vreemde nationaliteiten,2006,67
Herentals,13011,Nee,Vreemde nationaliteiten,2007,67
Herentals,13011,Nee,Vreemde nationaliteiten,2008,67
Herentals,13011,Nee,Vreemde nationaliteiten,2009,69
Herentals,13011,Nee,Vreemde nationaliteiten,2010,73
Herentals,13011,Nee,Vreemde nationaliteiten,2011,77
Herentals,13011,Nee,Vreemde nationaliteiten,2012,82
Herentals,13011,Nee,Vreemde nationaliteiten,2013,80
Herentals,13011,Nee,Vreemde nationaliteiten,2014,88
Herentals,13011,Nee,Vreemde nationaliteiten,2015,91
Herentals,13011,Nee,Vreemde nationaliteiten,2016,91
Herentals,13011,Nee,Vreemde nationaliteiten,2017,92
Herentals,13011,Nee,Vreemde nationaliteiten,2018,94
Herentals,13011,Nee,Vreemde nationaliteiten,2019,96
Herentals,13011,Nee,Vreemde nationaliteiten,2020,100
Herentals,13011,Nee,Vreemde nationaliteiten,2021,100
Herentals,13011,Nee,Vreemde nationaliteiten,2022,102
Herenthout,13012,Nee,Vreemde nationaliteiten,2000,15
Herenthout,13012,Nee,Vreemde nationaliteiten,2001,14
Herenthout,13012,Nee,Vreemde nationaliteiten,2002,15
Herenthout,13012,Nee,Vreemde nationaliteiten,2003,17
Herenthout,13012,Nee,Vreemde nationaliteiten,2004,20
Herenthout,13012,Nee,Vreemde nationaliteiten,2005,20
Herenthout,13012,Nee,Vreemde nationaliteiten,2006,23
Herenthout,13012,Nee,Vreemde nationaliteiten,2007,18
Herenthout,13012,Nee,Vreemde nationaliteiten,2008,18
Herenthout,13012,Nee,Vreemde nationaliteiten,2009,27
Herenthout,13012,Nee,Vreemde nationaliteiten,2010,31
Herenthout,13012,Nee,Vreemde nationaliteiten,2011,34
Herenthout,13012,Nee,Vreemde nationaliteiten,2012,32
Herenthout,13012,Nee,Vreemde nationaliteiten,2013,27
Herenthout,13012,Nee,Vreemde nationaliteiten,2014,32
Herenthout,13012,Nee,Vreemde nationaliteiten,2015,32
Herenthout,13012,Nee,Vreemde nationaliteiten,2016,30
Herenthout,13012,Nee,Vreemde nationaliteiten,2017,35
Herenthout,13012,Nee,Vreemde nationaliteiten,2018,37
Herenthout,13012,Nee,Vreemde nationaliteiten,2019,37
Herenthout,13012,Nee,Vreemde nationaliteiten,2020,39
Herenthout,13012,Nee,Vreemde nationaliteiten,2021,46
Herenthout,13012,Nee,Vreemde nationaliteiten,2022,43
Herselt,13013,Nee,Vreemde nationaliteiten,2000,25
Herselt,13013,Nee,Vreemde nationaliteiten,2001,29
Herselt,13013,Nee,Vreemde nationaliteiten,2002,34
Herselt,13013,Nee,Vreemde nationaliteiten,2003,36
Herselt,13013,Nee,Vreemde nationaliteiten,2004,35
Herselt,13013,Nee,Vreemde nationaliteiten,2005,31
Herselt,13013,Nee,Vreemde nationaliteiten,2006,32
Herselt,13013,Nee,Vreemde nationaliteiten,2007,31
Herselt,13013,Nee,Vreemde nationaliteiten,2008,34
Herselt,13013,Nee,Vreemde nationaliteiten,2009,37
Herselt,13013,Nee,Vreemde nationaliteiten,2010,38
Herselt,13013,Nee,Vreemde nationaliteiten,2011,41
Herselt,13013,Nee,Vreemde nationaliteiten,2012,42
Herselt,13013,Nee,Vreemde nationaliteiten,2013,44
Herselt,13013,Nee,Vreemde nationaliteiten,2014,44
Herselt,13013,Nee,Vreemde nationaliteiten,2015,44
Herselt,13013,Nee,Vreemde nationaliteiten,2016,47
Herselt,13013,Nee,Vreemde nationaliteiten,2017,48
Herselt,13013,Nee,Vreemde nationaliteiten,2018,53
Herselt,13013,Nee,Vreemde nationaliteiten,2019,52
Herselt,13013,Nee,Vreemde nationaliteiten,2020,54
Herselt,13013,Nee,Vreemde nationaliteiten,2021,53
Herselt,13013,Nee,Vreemde nationaliteiten,2022,48
Hoogstraten,13014,Nee,Vreemde nationaliteiten,2000,38
Hoogstraten,13014,Nee,Vreemde nationaliteiten,2001,45
Hoogstraten,13014,Nee,Vreemde nationaliteiten,2002,43
Hoogstraten,13014,Nee,Vreemde nationaliteiten,2003,42
Hoogstraten,13014,Nee,Vreemde nationaliteiten,2004,45
Hoogstraten,13014,Nee,Vreemde nationaliteiten,2005,48
Hoogstraten,13014,Nee,Vreemde nationaliteiten,2006,51
Hoogstraten,13014,Nee,Vreemde nationaliteiten,2007,57
Hoogstraten,13014,Nee,Vreemde nationaliteiten,2008,59
Hoogstraten,13014,Nee,Vreemde nationaliteiten,2009,70
Hoogstraten,13014,Nee,Vreemde nationaliteiten,2010,70
Hoogstraten,13014,Nee,Vreemde nationaliteiten,2011,71
Hoogstraten,13014,Nee,Vreemde nationaliteiten,2012,74
Hoogstraten,13014,Nee,Vreemde nationaliteiten,2013,75
Hoogstraten,13014,Nee,Vreemde nationaliteiten,2014,82
Hoogstraten,13014,Nee,Vreemde nationaliteiten,2015,81
Hoogstraten,13014,Nee,Vreemde nationaliteiten,2016,86
Hoogstraten,13014,Nee,Vreemde nationaliteiten,2017,86
Hoogstraten,13014,Nee,Vreemde nationaliteiten,2018,88
Hoogstraten,13014,Nee,Vreemde nationaliteiten,2019,91
Hoogstraten,13014,Nee,Vreemde nationaliteiten,2020,89
Hoogstraten,13014,Nee,Vreemde nationaliteiten,2021,96
Hoogstraten,13014,Nee,Vreemde nationaliteiten,2022,95
Hulshout,13016,Nee,Vreemde nationaliteiten,2000,20
Hulshout,13016,Nee,Vreemde nationaliteiten,2001,23
Hulshout,13016,Nee,Vreemde nationaliteiten,2002,25
Hulshout,13016,Nee,Vreemde nationaliteiten,2003,24
Hulshout,13016,Nee,Vreemde nationaliteiten,2004,23
Hulshout,13016,Nee,Vreemde nationaliteiten,2005,24
Hulshout,13016,Nee,Vreemde nationaliteiten,2006,28
Hulshout,13016,Nee,Vreemde nationaliteiten,2007,26
Hulshout,13016,Nee,Vreemde nationaliteiten,2008,32
Hulshout,13016,Nee,Vreemde nationaliteiten,2009,40
Hulshout,13016,Nee,Vreemde nationaliteiten,2010,39
Hulshout,13016,Nee,Vreemde nationaliteiten,2011,42
Hulshout,13016,Nee,Vreemde nationaliteiten,2012,39
Hulshout,13016,Nee,Vreemde nationaliteiten,2013,44
Hulshout,13016,Nee,Vreemde nationaliteiten,2014,45
Hulshout,13016,Nee,Vreemde nationaliteiten,2015,43
Hulshout,13016,Nee,Vreemde nationaliteiten,2016,44
Hulshout,13016,Nee,Vreemde nationaliteiten,2017,47
Hulshout,13016,Nee,Vreemde nationaliteiten,2018,43
Hulshout,13016,Nee,Vreemde nationaliteiten,2019,46
Hulshout,13016,Nee,Vreemde nationaliteiten,2020,42
Hulshout,13016,Nee,Vreemde nationaliteiten,2021,44
Hulshout,13016,Nee,Vreemde nationaliteiten,2022,48
Kasterlee,13017,Nee,Vreemde nationaliteiten,2000,29
Kasterlee,13017,Nee,Vreemde nationaliteiten,2001,33
Kasterlee,13017,Nee,Vreemde nationaliteiten,2002,30
Kasterlee,13017,Nee,Vreemde nationaliteiten,2003,35
Kasterlee,13017,Nee,Vreemde nationaliteiten,2004,40
Kasterlee,13017,Nee,Vreemde nationaliteiten,2005,40
Kasterlee,13017,Nee,Vreemde nationaliteiten,2006,45
Kasterlee,13017,Nee,Vreemde nationaliteiten,2007,48
Kasterlee,13017,Nee,Vreemde nationaliteiten,2008,48
Kasterlee,13017,Nee,Vreemde nationaliteiten,2009,57
Kasterlee,13017,Nee,Vreemde nationaliteiten,2010,58
Kasterlee,13017,Nee,Vreemde nationaliteiten,2011,54
Kasterlee,13017,Nee,Vreemde nationaliteiten,2012,59
Kasterlee,13017,Nee,Vreemde nationaliteiten,2013,58
Kasterlee,13017,Nee,Vreemde nationaliteiten,2014,50
Kasterlee,13017,Nee,Vreemde nationaliteiten,2015,57
Kasterlee,13017,Nee,Vreemde nationaliteiten,2016,63
Kasterlee,13017,Nee,Vreemde nationaliteiten,2017,62
Kasterlee,13017,Nee,Vreemde nationaliteiten,2018,68
Kasterlee,13017,Nee,Vreemde nationaliteiten,2019,69
Kasterlee,13017,Nee,Vreemde nationaliteiten,2020,69
Kasterlee,13017,Nee,Vreemde nationaliteiten,2021,72
Kasterlee,13017,Nee,Vreemde nationaliteiten,2022,73
Lille,13019,Nee,Vreemde nationaliteiten,2000,21
Lille,13019,Nee,Vreemde nationaliteiten,2001,23
Lille,13019,Nee,Vreemde nationaliteiten,2002,28
Lille,13019,Nee,Vreemde nationaliteiten,2003,32
Lille,13019,Nee,Vreemde nationaliteiten,2004,29
Lille,13019,Nee,Vreemde nationaliteiten,2005,34
Lille,13019,Nee,Vreemde nationaliteiten,2006,31
Lille,13019,Nee,Vreemde nationaliteiten,2007,35
Lille,13019,Nee,Vreemde nationaliteiten,2008,34
Lille,13019,Nee,Vreemde nationaliteiten,2009,34
Lille,13019,Nee,Vreemde nationaliteiten,2010,38
Lille,13019,Nee,Vreemde nationaliteiten,2011,46
Lille,13019,Nee,Vreemde nationaliteiten,2012,44
Lille,13019,Nee,Vreemde nationaliteiten,2013,46
Lille,13019,Nee,Vreemde nationaliteiten,2014,44
Lille,13019,Nee,Vreemde nationaliteiten,2015,45
Lille,13019,Nee,Vreemde nationaliteiten,2016,46
Lille,13019,Nee,Vreemde nationaliteiten,2017,49
Lille,13019,Nee,Vreemde nationaliteiten,2018,56
Lille,13019,Nee,Vreemde nationaliteiten,2019,54
Lille,13019,Nee,Vreemde nationaliteiten,2020,61
Lille,13019,Nee,Vreemde nationaliteiten,2021,58
Lille,13019,Nee,Vreemde nationaliteiten,2022,58
Meerhout,13021,Nee,Vreemde nationaliteiten,2000,11
Meerhout,13021,Nee,Vreemde nationaliteiten,2001,15
Meerhout,13021,Nee,Vreemde nationaliteiten,2002,15
Meerhout,13021,Nee,Vreemde nationaliteiten,2003,17
Meerhout,13021,Nee,Vreemde nationaliteiten,2004,19
Meerhout,13021,Nee,Vreemde nationaliteiten,2005,23
Meerhout,13021,Nee,Vreemde nationaliteiten,2006,25
Meerhout,13021,Nee,Vreemde nationaliteiten,2007,25
Meerhout,13021,Nee,Vreemde nationaliteiten,2008,29
Meerhout,13021,Nee,Vreemde nationaliteiten,2009,33
Meerhout,13021,Nee,Vreemde nationaliteiten,2010,36
Meerhout,13021,Nee,Vreemde nationaliteiten,2011,38
Meerhout,13021,Nee,Vreemde nationaliteiten,2012,42
Meerhout,13021,Nee,Vreemde nationaliteiten,2013,41
Meerhout,13021,Nee,Vreemde nationaliteiten,2014,43
Meerhout,13021,Nee,Vreemde nationaliteiten,2015,50
Meerhout,13021,Nee,Vreemde nationaliteiten,2016,48
Meerhout,13021,Nee,Vreemde nationaliteiten,2017,49
Meerhout,13021,Nee,Vreemde nationaliteiten,2018,48
Meerhout,13021,Nee,Vreemde nationaliteiten,2019,51
Meerhout,13021,Nee,Vreemde nationaliteiten,2020,45
Meerhout,13021,Nee,Vreemde nationaliteiten,2021,47
Meerhout,13021,Nee,Vreemde nationaliteiten,2022,48
Merksplas,13023,Nee,Vreemde nationaliteiten,2000,29
Merksplas,13023,Nee,Vreemde nationaliteiten,2001,24
Merksplas,13023,Nee,Vreemde nationaliteiten,2002,26
Merksplas,13023,Nee,Vreemde nationaliteiten,2003,22
Merksplas,13023,Nee,Vreemde nationaliteiten,2004,25
Merksplas,13023,Nee,Vreemde nationaliteiten,2005,22
Merksplas,13023,Nee,Vreemde nationaliteiten,2006,26
Merksplas,13023,Nee,Vreemde nationaliteiten,2007,28
Merksplas,13023,Nee,Vreemde nationaliteiten,2008,29
Merksplas,13023,Nee,Vreemde nationaliteiten,2009,34
Merksplas,13023,Nee,Vreemde nationaliteiten,2010,30
Merksplas,13023,Nee,Vreemde nationaliteiten,2011,35
Merksplas,13023,Nee,Vreemde nationaliteiten,2012,33
Merksplas,13023,Nee,Vreemde nationaliteiten,2013,35
Merksplas,13023,Nee,Vreemde nationaliteiten,2014,35
Merksplas,13023,Nee,Vreemde nationaliteiten,2015,39
Merksplas,13023,Nee,Vreemde nationaliteiten,2016,46
Merksplas,13023,Nee,Vreemde nationaliteiten,2017,43
Merksplas,13023,Nee,Vreemde nationaliteiten,2018,44
Merksplas,13023,Nee,Vreemde nationaliteiten,2019,42
Merksplas,13023,Nee,Vreemde nationaliteiten,2020,38
Merksplas,13023,Nee,Vreemde nationaliteiten,2021,45
Merksplas,13023,Nee,Vreemde nationaliteiten,2022,48
Mol,13025,Nee,Vreemde nationaliteiten,2000,45
Mol,13025,Nee,Vreemde nationaliteiten,2001,53
Mol,13025,Nee,Vreemde nationaliteiten,2002,58
Mol,13025,Nee,Vreemde nationaliteiten,2003,65
Mol,13025,Nee,Vreemde nationaliteiten,2004,61
Mol,13025,Nee,Vreemde nationaliteiten,2005,71
Mol,13025,Nee,Vreemde nationaliteiten,2006,71
Mol,13025,Nee,Vreemde nationaliteiten,2007,76
Mol,13025,Nee,Vreemde nationaliteiten,2008,76
Mol,13025,Nee,Vreemde nationaliteiten,2009,84
Mol,13025,Nee,Vreemde nationaliteiten,2010,91
Mol,13025,Nee,Vreemde nationaliteiten,2011,92
Mol,13025,Nee,Vreemde nationaliteiten,2012,96
Mol,13025,Nee,Vreemde nationaliteiten,2013,98
Mol,13025,Nee,Vreemde nationaliteiten,2014,104
Mol,13025,Nee,Vreemde nationaliteiten,2015,108
Mol,13025,Nee,Vreemde nationaliteiten,2016,111
Mol,13025,Nee,Vreemde nationaliteiten,2017,108
Mol,13025,Nee,Vreemde nationaliteiten,2018,110
Mol,13025,Nee,Vreemde nationaliteiten,2019,107
Mol,13025,Nee,Vreemde nationaliteiten,2020,107
Mol,13025,Nee,Vreemde nationaliteiten,2021,106
Mol,13025,Nee,Vreemde nationaliteiten,2022,115
Olen,13029,Nee,Vreemde nationaliteiten,2000,19
Olen,13029,Nee,Vreemde nationaliteiten,2001,17
Olen,13029,Nee,Vreemde nationaliteiten,2002,24
Olen,13029,Nee,Vreemde nationaliteiten,2003,24
Olen,13029,Nee,Vreemde nationaliteiten,2004,27
Olen,13029,Nee,Vreemde nationaliteiten,2005,24
Olen,13029,Nee,Vreemde nationaliteiten,2006,27
Olen,13029,Nee,Vreemde nationaliteiten,2007,32
Olen,13029,Nee,Vreemde nationaliteiten,2008,37
Olen,13029,Nee,Vreemde nationaliteiten,2009,39
Olen,13029,Nee,Vreemde nationaliteiten,2010,44
Olen,13029,Nee,Vreemde nationaliteiten,2011,44
Olen,13029,Nee,Vreemde nationaliteiten,2012,46
Olen,13029,Nee,Vreemde nationaliteiten,2013,42
Olen,13029,Nee,Vreemde nationaliteiten,2014,41
Olen,13029,Nee,Vreemde nationaliteiten,2015,45
Olen,13029,Nee,Vreemde nationaliteiten,2016,45
Olen,13029,Nee,Vreemde nationaliteiten,2017,46
Olen,13029,Nee,Vreemde nationaliteiten,2018,43
Olen,13029,Nee,Vreemde nationaliteiten,2019,48
Olen,13029,Nee,Vreemde nationaliteiten,2020,48
Olen,13029,Nee,Vreemde nationaliteiten,2021,53
Olen,13029,Nee,Vreemde nationaliteiten,2022,54
Oud-Turnhout,13031,Nee,Vreemde nationaliteiten,2000,26
Oud-Turnhout,13031,Nee,Vreemde nationaliteiten,2001,30
Oud-Turnhout,13031,Nee,Vreemde nationaliteiten,2002,29
Oud-Turnhout,13031,Nee,Vreemde nationaliteiten,2003,27
Oud-Turnhout,13031,Nee,Vreemde nationaliteiten,2004,27
Oud-Turnhout,13031,Nee,Vreemde nationaliteiten,2005,25
Oud-Turnhout,13031,Nee,Vreemde nationaliteiten,2006,32
Oud-Turnhout,13031,Nee,Vreemde nationaliteiten,2007,31
Oud-Turnhout,13031,Nee,Vreemde nationaliteiten,2008,38
Oud-Turnhout,13031,Nee,Vreemde nationaliteiten,2009,40
Oud-Turnhout,13031,Nee,Vreemde nationaliteiten,2010,44
Oud-Turnhout,13031,Nee,Vreemde nationaliteiten,2011,48
Oud-Turnhout,13031,Nee,Vreemde nationaliteiten,2012,50
Oud-Turnhout,13031,Nee,Vreemde nationaliteiten,2013,47
Oud-Turnhout,13031,Nee,Vreemde nationaliteiten,2014,45
Oud-Turnhout,13031,Nee,Vreemde nationaliteiten,2015,38
Oud-Turnhout,13031,Nee,Vreemde nationaliteiten,2016,43
Oud-Turnhout,13031,Nee,Vreemde nationaliteiten,2017,47
Oud-Turnhout,13031,Nee,Vreemde nationaliteiten,2018,55
Oud-Turnhout,13031,Nee,Vreemde nationaliteiten,2019,62
Oud-Turnhout,13031,Nee,Vreemde nationaliteiten,2020,67
Oud-Turnhout,13031,Nee,Vreemde nationaliteiten,2021,71
Oud-Turnhout,13031,Nee,Vreemde nationaliteiten,2022,67
Ravels,13035,Nee,Vreemde nationaliteiten,2000,26
Ravels,13035,Nee,Vreemde nationaliteiten,2001,24
Ravels,13035,Nee,Vreemde nationaliteiten,2002,25
Ravels,13035,Nee,Vreemde nationaliteiten,2003,29
Ravels,13035,Nee,Vreemde nationaliteiten,2004,31
Ravels,13035,Nee,Vreemde nationaliteiten,2005,32
Ravels,13035,Nee,Vreemde nationaliteiten,2006,36
Ravels,13035,Nee,Vreemde nationaliteiten,2007,44
Ravels,13035,Nee,Vreemde nationaliteiten,2008,43
Ravels,13035,Nee,Vreemde nationaliteiten,2009,52
Ravels,13035,Nee,Vreemde nationaliteiten,2010,57
Ravels,13035,Nee,Vreemde nationaliteiten,2011,61
Ravels,13035,Nee,Vreemde nationaliteiten,2012,64
Ravels,13035,Nee,Vreemde nationaliteiten,2013,62
Ravels,13035,Nee,Vreemde nationaliteiten,2014,71
Ravels,13035,Nee,Vreemde nationaliteiten,2015,69
Ravels,13035,Nee,Vreemde nationaliteiten,2016,65
Ravels,13035,Nee,Vreemde nationaliteiten,2017,69
Ravels,13035,Nee,Vreemde nationaliteiten,2018,71
Ravels,13035,Nee,Vreemde nationaliteiten,2019,76
Ravels,13035,Nee,Vreemde nationaliteiten,2020,76
Ravels,13035,Nee,Vreemde nationaliteiten,2021,81
Ravels,13035,Nee,Vreemde nationaliteiten,2022,82
Retie,13036,Nee,Vreemde nationaliteiten,2000,17
Retie,13036,Nee,Vreemde nationaliteiten,2001,19
Retie,13036,Nee,Vreemde nationaliteiten,2002,20
Retie,13036,Nee,Vreemde nationaliteiten,2003,25
Retie,13036,Nee,Vreemde nationaliteiten,2004,26
Retie,13036,Nee,Vreemde nationaliteiten,2005,32
Retie,13036,Nee,Vreemde nationaliteiten,2006,36
Retie,13036,Nee,Vreemde nationaliteiten,2007,39
Retie,13036,Nee,Vreemde nationaliteiten,2008,39
Retie,13036,Nee,Vreemde nationaliteiten,2009,43
Retie,13036,Nee,Vreemde nationaliteiten,2010,47
Retie,13036,Nee,Vreemde nationaliteiten,2011,50
Retie,13036,Nee,Vreemde nationaliteiten,2012,49
Retie,13036,Nee,Vreemde nationaliteiten,2013,51
Retie,13036,Nee,Vreemde nationaliteiten,2014,53
Retie,13036,Nee,Vreemde nationaliteiten,2015,56
Retie,13036,Nee,Vreemde nationaliteiten,2016,59
Retie,13036,Nee,Vreemde nationaliteiten,2017,60
Retie,13036,Nee,Vreemde nationaliteiten,2018,61
Retie,13036,Nee,Vreemde nationaliteiten,2019,62
Retie,13036,Nee,Vreemde nationaliteiten,2020,57
Retie,13036,Nee,Vreemde nationaliteiten,2021,60
Retie,13036,Nee,Vreemde nationaliteiten,2022,61
Rijkevorsel,13037,Nee,Vreemde nationaliteiten,2000,17
Rijkevorsel,13037,Nee,Vreemde nationaliteiten,2001,16
Rijkevorsel,13037,Nee,Vreemde nationaliteiten,2002,22
Rijkevorsel,13037,Nee,Vreemde nationaliteiten,2003,23
Rijkevorsel,13037,Nee,Vreemde nationaliteiten,2004,29
Rijkevorsel,13037,Nee,Vreemde nationaliteiten,2005,28
Rijkevorsel,13037,Nee,Vreemde nationaliteiten,2006,28
Rijkevorsel,13037,Nee,Vreemde nationaliteiten,2007,29
Rijkevorsel,13037,Nee,Vreemde nationaliteiten,2008,31
Rijkevorsel,13037,Nee,Vreemde nationaliteiten,2009,31
Rijkevorsel,13037,Nee,Vreemde nationaliteiten,2010,35
Rijkevorsel,13037,Nee,Vreemde nationaliteiten,2011,32
Rijkevorsel,13037,Nee,Vreemde nationaliteiten,2012,31
Rijkevorsel,13037,Nee,Vreemde nationaliteiten,2013,30
Rijkevorsel,13037,Nee,Vreemde nationaliteiten,2014,36
Rijkevorsel,13037,Nee,Vreemde nationaliteiten,2015,36
Rijkevorsel,13037,Nee,Vreemde nationaliteiten,2016,40
Rijkevorsel,13037,Nee,Vreemde nationaliteiten,2017,46
Rijkevorsel,13037,Nee,Vreemde nationaliteiten,2018,41
Rijkevorsel,13037,Nee,Vreemde nationaliteiten,2019,47
Rijkevorsel,13037,Nee,Vreemde nationaliteiten,2020,43
Rijkevorsel,13037,Nee,Vreemde nationaliteiten,2021,41
Rijkevorsel,13037,Nee,Vreemde nationaliteiten,2022,46
Turnhout,13040,Ja,Vreemde nationaliteiten,2000,76
Turnhout,13040,Ja,Vreemde nationaliteiten,2001,79
Turnhout,13040,Ja,Vreemde nationaliteiten,2002,78
Turnhout,13040,Ja,Vreemde nationaliteiten,2003,78
Turnhout,13040,Ja,Vreemde nationaliteiten,2004,92
Turnhout,13040,Ja,Vreemde nationaliteiten,2005,96
Turnhout,13040,Ja,Vreemde nationaliteiten,2006,98
Turnhout,13040,Ja,Vreemde nationaliteiten,2007,103
Turnhout,13040,Ja,Vreemde nationaliteiten,2008,109
Turnhout,13040,Ja,Vreemde nationaliteiten,2009,110
Turnhout,13040,Ja,Vreemde nationaliteiten,2010,113
Turnhout,13040,Ja,Vreemde nationaliteiten,2011,117
Turnhout,13040,Ja,Vreemde nationaliteiten,2012,109
Turnhout,13040,Ja,Vreemde nationaliteiten,2013,115
Turnhout,13040,Ja,Vreemde nationaliteiten,2014,114
Turnhout,13040,Ja,Vreemde nationaliteiten,2015,112
Turnhout,13040,Ja,Vreemde nationaliteiten,2016,122
Turnhout,13040,Ja,Vreemde nationaliteiten,2017,125
Turnhout,13040,Ja,Vreemde nationaliteiten,2018,125
Turnhout,13040,Ja,Vreemde nationaliteiten,2019,124
Turnhout,13040,Ja,Vreemde nationaliteiten,2020,122
Turnhout,13040,Ja,Vreemde nationaliteiten,2021,123
Turnhout,13040,Ja,Vreemde nationaliteiten,2022,127
Vorselaar,13044,Nee,Vreemde nationaliteiten,2000,20
Vorselaar,13044,Nee,Vreemde nationaliteiten,2001,19
Vorselaar,13044,Nee,Vreemde nationaliteiten,2002,21
Vorselaar,13044,Nee,Vreemde nationaliteiten,2003,18
Vorselaar,13044,Nee,Vreemde nationaliteiten,2004,16
Vorselaar,13044,Nee,Vreemde nationaliteiten,2005,18
Vorselaar,13044,Nee,Vreemde nationaliteiten,2006,22
Vorselaar,13044,Nee,Vreemde nationaliteiten,2007,22
Vorselaar,13044,Nee,Vreemde nationaliteiten,2008,20
Vorselaar,13044,Nee,Vreemde nationaliteiten,2009,23
Vorselaar,13044,Nee,Vreemde nationaliteiten,2010,26
Vorselaar,13044,Nee,Vreemde nationaliteiten,2011,29
Vorselaar,13044,Nee,Vreemde nationaliteiten,2012,29
Vorselaar,13044,Nee,Vreemde nationaliteiten,2013,26
Vorselaar,13044,Nee,Vreemde nationaliteiten,2014,28
Vorselaar,13044,Nee,Vreemde nationaliteiten,2015,28
Vorselaar,13044,Nee,Vreemde nationaliteiten,2016,31
Vorselaar,13044,Nee,Vreemde nationaliteiten,2017,35
