Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal vreemde nationaliteiten
Boechout,11004,Nee,Vreemde nationaliteiten,2017,74
Boechout,11004,Nee,Vreemde nationaliteiten,2018,79
Boechout,11004,Nee,Vreemde nationaliteiten,2019,77
Boechout,11004,Nee,Vreemde nationaliteiten,2020,75
Boechout,11004,Nee,Vreemde nationaliteiten,2021,76
Boechout,11004,Nee,Vreemde nationaliteiten,2022,81
Boom,11005,Nee,Vreemde nationaliteiten,2000,49
Boom,11005,Nee,Vreemde nationaliteiten,2001,53
Boom,11005,Nee,Vreemde nationaliteiten,2002,54
Boom,11005,Nee,Vreemde nationaliteiten,2003,54
Boom,11005,Nee,Vreemde nationaliteiten,2004,56
Boom,11005,Nee,Vreemde nationaliteiten,2005,56
Boom,11005,Nee,Vreemde nationaliteiten,2006,57
Boom,11005,Nee,Vreemde nationaliteiten,2007,74
Boom,11005,Nee,Vreemde nationaliteiten,2008,74
Boom,11005,Nee,Vreemde nationaliteiten,2009,72
Boom,11005,Nee,Vreemde nationaliteiten,2010,74
Boom,11005,Nee,Vreemde nationaliteiten,2011,78
Boom,11005,Nee,Vreemde nationaliteiten,2012,87
Boom,11005,Nee,Vreemde nationaliteiten,2013,83
Boom,11005,Nee,Vreemde nationaliteiten,2014,83
Boom,11005,Nee,Vreemde nationaliteiten,2015,83
Boom,11005,Nee,Vreemde nationaliteiten,2016,84
Boom,11005,Nee,Vreemde nationaliteiten,2017,85
Boom,11005,Nee,Vreemde nationaliteiten,2018,84
Boom,11005,Nee,Vreemde nationaliteiten,2019,86
Boom,11005,Nee,Vreemde nationaliteiten,2020,87
Boom,11005,Nee,Vreemde nationaliteiten,2021,87
Boom,11005,Nee,Vreemde nationaliteiten,2022,88
Borsbeek,11007,Nee,Vreemde nationaliteiten,2000,40
Borsbeek,11007,Nee,Vreemde nationaliteiten,2001,35
Borsbeek,11007,Nee,Vreemde nationaliteiten,2002,39
Borsbeek,11007,Nee,Vreemde nationaliteiten,2003,48
Borsbeek,11007,Nee,Vreemde nationaliteiten,2004,43
Borsbeek,11007,Nee,Vreemde nationaliteiten,2005,42
Borsbeek,11007,Nee,Vreemde nationaliteiten,2006,47
Borsbeek,11007,Nee,Vreemde nationaliteiten,2007,56
Borsbeek,11007,Nee,Vreemde nationaliteiten,2008,57
Borsbeek,11007,Nee,Vreemde nationaliteiten,2009,56
Borsbeek,11007,Nee,Vreemde nationaliteiten,2010,58
Borsbeek,11007,Nee,Vreemde nationaliteiten,2011,62
Borsbeek,11007,Nee,Vreemde nationaliteiten,2012,62
Borsbeek,11007,Nee,Vreemde nationaliteiten,2013,64
Borsbeek,11007,Nee,Vreemde nationaliteiten,2014,65
Borsbeek,11007,Nee,Vreemde nationaliteiten,2015,73
Borsbeek,11007,Nee,Vreemde nationaliteiten,2016,74
Borsbeek,11007,Nee,Vreemde nationaliteiten,2017,71
Borsbeek,11007,Nee,Vreemde nationaliteiten,2018,73
Borsbeek,11007,Nee,Vreemde nationaliteiten,2019,72
Borsbeek,11007,Nee,Vreemde nationaliteiten,2020,72
Borsbeek,11007,Nee,Vreemde nationaliteiten,2021,77
Borsbeek,11007,Nee,Vreemde nationaliteiten,2022,76
Brasschaat,11008,Nee,Vreemde nationaliteiten,2000,80
Brasschaat,11008,Nee,Vreemde nationaliteiten,2001,81
Brasschaat,11008,Nee,Vreemde nationaliteiten,2002,85
Brasschaat,11008,Nee,Vreemde nationaliteiten,2003,85
Brasschaat,11008,Nee,Vreemde nationaliteiten,2004,91
Brasschaat,11008,Nee,Vreemde nationaliteiten,2005,90
Brasschaat,11008,Nee,Vreemde nationaliteiten,2006,89
Brasschaat,11008,Nee,Vreemde nationaliteiten,2007,90
Brasschaat,11008,Nee,Vreemde nationaliteiten,2008,90
Brasschaat,11008,Nee,Vreemde nationaliteiten,2009,95
Brasschaat,11008,Nee,Vreemde nationaliteiten,2010,99
Brasschaat,11008,Nee,Vreemde nationaliteiten,2011,100
Brasschaat,11008,Nee,Vreemde nationaliteiten,2012,99
Brasschaat,11008,Nee,Vreemde nationaliteiten,2013,101
Brasschaat,11008,Nee,Vreemde nationaliteiten,2014,107
