Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Nationaliteit,Aantal inburgeraars die zich hebben aangemeld bij een onthaalbureau naar nationaliteitsgroep,Aantal inburgeraars die zich hebben aangemeld bij een onthaalbureau,Procent
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2020,Derdelander,12743,17187,0.741432
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2020,EU+ (excl. Nederland),4137,17187,0.240705
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2020,Nederland,156,17187,0.00907663
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2020,Onbepaalde nationaliteit,151,17187,0.00878571
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2021,Derdelander,15999,21305,0.75095
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2021,EU+ (excl. Nederland),4922,21305,0.231026
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2021,Nederland,205,21305,0.00962215
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2021,Onbepaalde nationaliteit,179,21305,0.00840178
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2010,Derdelander,10,13,0.769231
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2010,EU+,3,13,0.230769
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2010,Onbepaalde nationaliteit,0,13,0.0
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2011,Derdelander,14,17,0.823529
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2011,EU+,3,17,0.176471
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2011,Onbepaalde nationaliteit,0,17,0.0
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2012,Derdelander,15,18,0.833333
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2012,EU+ (excl. Nederland),2,18,0.111111
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2012,Nederland,1,18,0.0555556
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2012,Onbepaalde nationaliteit,0,18,0.0
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2013,Derdelander,14,18,0.777778
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2013,EU+ (excl. Nederland),4,18,0.222222
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2013,Nederland,0,18,0.0
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2013,Onbepaalde nationaliteit,0,18,0.0
