Gemeente,Nis-code,Centrumstad?,Indicator,Herkomst,Jaar,Aantal personen van buitenlandse herkomst naar nationaliteitshistoriek,Aantal personen van buitenlandse herkomst,Procent
Aartselaar,11001,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2021,1024,2772,0.369408
Aartselaar,11001,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2021,909,2772,0.327922
Aartselaar,11001,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2021,839,2772,0.30267
Aartselaar,11001,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2022,1103,3023,0.364869
Aartselaar,11001,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2022,979,3023,0.32385
Aartselaar,11001,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2022,941,3023,0.31128
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2000,17448,101788,0.171415
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2000,24820,101788,0.24384
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2000,59520,101788,0.584745
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2001,19226,105440,0.182341
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2001,31152,105440,0.295448
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2001,55062,105440,0.522212
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2002,21123,112516,0.187733
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2002,41014,112516,0.364517
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2002,50379,112516,0.44775
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2003,23267,120593,0.192938
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2003,45996,120593,0.381415
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2003,51330,120593,0.425647
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2004,25607,127995,0.200063
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2004,49395,127995,0.385914
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2004,52993,127995,0.414024
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2005,28104,135177,0.207905
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2005,52199,135177,0.386153
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2005,54874,135177,0.405942
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2006,30492,144503,0.211013
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2006,54679,144503,0.378394
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2006,59332,144503,0.410594
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2007,33129,154605,0.214282
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2007,57817,154605,0.373966
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2007,63659,154605,0.411753
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2008,35739,165811,0.215541
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2008,61263,165811,0.369475
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2008,68809,165811,0.414985
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2009,38655,177139,0.218218
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2009,63672,177139,0.359447
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2009,74812,177139,0.422335
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2010,41609,187389,0.222046
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2010,66424,187389,0.354471
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2010,79356,187389,0.423483
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2011,44743,202018,0.22148
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2011,70493,202018,0.348944
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2011,86782,202018,0.429576
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2012,47782,215808,0.22141
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2012,73870,215808,0.342295
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2012,94156,215808,0.436295
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2013,50737,226041,0.224459
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2013,77191,226041,0.341491
