Gemeente,Nis-code,Centrumstad?,Indicator,Nationaliteitsgroep,Jaar,Aantal cursisten volwassenenonderwijs per nationaliteitsgroep,Totaal aantal cursisten,Procent
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2015,580,751,0.772304
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2015,39,751,0.0519308
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2015,15,751,0.0199734
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2015,16,751,0.0213049
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2015,132,751,0.175766
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2015,9,751,0.011984
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2015,16,751,0.0213049
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2015,8,751,0.0106525
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2016,134,775,0.172903
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2016,563,775,0.726452
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2016,43,775,0.0554839
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2016,19,775,0.0245161
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2016,22,775,0.0283871
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2016,169,775,0.218065
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2016,13,775,0.0167742
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2016,13,775,0.0167742
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2016,11,775,0.0141935
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2017,140,725,0.193103
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2017,525,725,0.724138
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2017,33,725,0.0455172
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2017,11,725,0.0151724
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2017,13,725,0.017931
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2017,167,725,0.230345
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2017,14,725,0.0193103
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2017,14,725,0.0193103
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2017,8,725,0.0110345
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2018,138,702,0.196581
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2018,496,702,0.706553
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2018,48,702,0.0683761
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2018,20,702,0.02849
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2018,11,702,0.0156695
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2018,158,702,0.225071
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2018,9,702,0.0128205
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2018,19,702,0.0270655
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2018,9,702,0.0128205
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2019,126,707,0.178218
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2019,510,707,0.721358
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2019,43,707,0.0608204
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2019,20,707,0.0282885
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2019,15,707,0.0212164
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2019,154,707,0.217822
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2019,13,707,0.0183876
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2019,13,707,0.0183876
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2019,10,707,0.0141443
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2020,130,642,0.202492
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2020,426,642,0.663551
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2020,50,642,0.0778816
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2020,19,642,0.029595
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2020,17,642,0.0264798
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2020,166,642,0.258567
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2020,19,642,0.029595
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2020,19,642,0.029595
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2020,12,642,0.0186916
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2021,114,453,0.251656
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2021,367,453,0.810155
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2021,43,453,0.0949227
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2021,14,453,0.0309051
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2021,15,453,0.0331126
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2021,43,453,0.0949227
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2021,13,453,0.0286976
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2021,14,453,0.0309051
Edegem,11013,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2021,15,453,0.0331126
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2014,42,347,0.121037
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2014,234,347,0.674352
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2014,46,347,0.132565
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2014,16,347,0.0461095
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2014,4,347,0.0115274
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2014,67,347,0.193084
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2014,21,347,0.0605187
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2014,28,347,0.0806916
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2014,2,347,0.00576369
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2015,48,328,0.146341
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2015,222,328,0.676829
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2015,32,328,0.097561
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2015,11,328,0.0335366
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2015,5,328,0.0152439
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2015,74,328,0.22561
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2015,21,328,0.0640244
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2015,20,328,0.0609756
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2015,1,328,0.00304878
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2016,60,366,0.163934
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2016,236,366,0.644809
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2016,51,366,0.139344
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2016,23,366,0.0628415
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2016,3,366,0.00819672
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2016,79,366,0.215847
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2016,16,366,0.0437158
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2016,24,366,0.0655738
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2016,4,366,0.010929
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2017,85,370,0.22973
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2017,227,370,0.613514
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2017,32,370,0.0864865
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2017,16,370,0.0432432
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2017,4,370,0.0108108
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2017,111,370,0.3
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2017,22,370,0.0594595
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2017,16,370,0.0432432
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2017,0,370,0.0
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2018,85,367,0.231608
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2018,215,367,0.585831
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2018,32,367,0.0871935
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2018,11,367,0.0299728
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2018,9,367,0.0245232
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2018,120,367,0.326975
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2018,26,367,0.0708447
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2018,19,367,0.0517711
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2018,2,367,0.00544959
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2019,66,341,0.193548
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2019,218,341,0.639296
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2019,21,341,0.0615836
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2019,8,341,0.0234604
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2019,10,341,0.0293255
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2019,102,341,0.29912
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2019,26,341,0.0762463
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2019,11,341,0.0322581
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2019,2,341,0.0058651
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2020,61,279,0.218638
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2020,153,279,0.548387
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2020,39,279,0.139785
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2020,17,279,0.0609319
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2020,6,279,0.0215054
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2020,87,279,0.311828
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2020,20,279,0.0716846
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2020,19,279,0.0681004
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2020,3,279,0.0107527
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2021,56,206,0.271845
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2021,140,206,0.679612
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2021,33,206,0.160194
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2021,12,206,0.0582524
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2021,5,206,0.0242718
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2021,33,206,0.160194
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2021,17,206,0.0825243
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2021,17,206,0.0825243
Essen,11016,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2021,4,206,0.0194175
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2014,24,312,0.0769231
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2014,245,312,0.785256
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2014,27,312,0.0865385
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2014,17,312,0.0544872
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2014,7,312,0.0224359
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2014,40,312,0.128205
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2014,9,312,0.0288462
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2014,7,312,0.0224359
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2014,3,312,0.00961538
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2015,31,322,0.0962733
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2015,252,322,0.782609
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2015,21,322,0.0652174
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2015,14,322,0.0434783
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2015,8,322,0.0248447
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2015,49,322,0.152174
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2015,10,322,0.0310559
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2015,3,322,0.00931677
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2015,4,322,0.0124224
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2016,40,297,0.13468
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2016,222,297,0.747475
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2016,11,297,0.037037
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2016,10,297,0.03367
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2016,15,297,0.0505051
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2016,64,297,0.215488
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2016,9,297,0.030303
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2016,0,297,0.0
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2016,1,297,0.003367
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2017,44,280,0.157143
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2017,203,280,0.725
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2017,11,280,0.0392857
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2017,4,280,0.0142857
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2017,12,280,0.0428571
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2017,66,280,0.235714
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2017,10,280,0.0357143
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2017,3,280,0.0107143
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2017,4,280,0.0142857
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2018,50,300,0.166667
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2018,222,300,0.74
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2018,11,300,0.0366667
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2018,6,300,0.02
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2018,8,300,0.0266667
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2018,67,300,0.223333
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2018,9,300,0.03
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2018,1,300,0.00333333
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2018,4,300,0.0133333
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2019,56,319,0.175549
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2019,222,319,0.695925
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2019,19,319,0.0595611
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2019,15,319,0.0470219
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2019,8,319,0.0250784
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2019,78,319,0.244514
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2019,14,319,0.0438871
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2019,2,319,0.00626959
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2019,2,319,0.00626959
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2020,47,256,0.183594
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2020,160,256,0.625
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2020,29,256,0.113281
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2020,19,256,0.0742188
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2020,7,256,0.0273438
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2020,67,256,0.261719
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2020,13,256,0.0507813
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2020,4,256,0.015625
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2020,6,256,0.0234375
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2021,44,208,0.211538
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2021,154,208,0.740385
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2021,27,208,0.129808
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2021,14,208,0.0673077
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2021,7,208,0.0336538
Hemiksem,11018,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2021,27,208,0.129808
