Gemeente,Nis-code,Centrumstad?,Indicator,Nationaliteitsgroep,Jaar,Aantal cursisten volwassenenonderwijs per nationaliteitsgroep,Totaal aantal cursisten,Procent
Boom,11005,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2014,13,669,0.019432
Boom,11005,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2014,22,669,0.0328849
Boom,11005,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2015,73,692,0.105491
Boom,11005,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2015,482,692,0.696532
Boom,11005,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2015,57,692,0.0823699
Boom,11005,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2015,16,692,0.0231214
Boom,11005,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2015,29,692,0.0419075
Boom,11005,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2015,153,692,0.221098
Boom,11005,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2015,51,692,0.0736994
Boom,11005,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2015,14,692,0.0202312
Boom,11005,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2015,27,692,0.0390173
Boom,11005,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Andere landen                                     ,2016,89,696,0.127874
Boom,11005,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",België,2016,449,696,0.645115
Boom,11005,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU,2016,61,696,0.0876437
Boom,11005,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",EU13                                              ,2016,21,696,0.0301724
Boom,11005,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Europa niet-EU                                    ,2016,39,696,0.0560345
Boom,11005,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Niet-EU,2016,186,696,0.267241
Boom,11005,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Turkije en Maghreb                                ,2016,58,696,0.0833333
Boom,11005,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",West- en Noord-EU15,2016,21,696,0.0301724
Boom,11005,Nee,"Deelnemers volwassenenonderwijs, naar nationaliteit, naar woonplaats",Zuid-EU15,2016,19,696,0.0272989
