Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Interne uitwijking van vreemdelingen,Aantal inwoners,Verhouding per 1000 inwoners
Vlaams Gewest,2000,/,Interne uitwijking van vreemdelingen,2000,11867,5940251,1.99773
Vlaams Gewest,2000,/,Interne uitwijking van vreemdelingen,2001,11812,5952552,1.98436
Vlaams Gewest,2000,/,Interne uitwijking van vreemdelingen,2002,12688,5972781,2.1243
Vlaams Gewest,2000,/,Interne uitwijking van vreemdelingen,2003,13479,5995553,2.24817
Vlaams Gewest,2000,/,Interne uitwijking van vreemdelingen,2004,14221,6016024,2.36385
Vlaams Gewest,2000,/,Interne uitwijking van vreemdelingen,2005,15232,6043161,2.52054
Vlaams Gewest,2000,/,Interne uitwijking van vreemdelingen,2006,16674,6078600,2.74307
Vlaams Gewest,2000,/,Interne uitwijking van vreemdelingen,2007,18539,6117440,3.03052
Vlaams Gewest,2000,/,Interne uitwijking van vreemdelingen,2008,20472,6161438,3.3226
Vlaams Gewest,2000,/,Interne uitwijking van vreemdelingen,2009,22035,6208877,3.54895
Vlaams Gewest,2000,/,Interne uitwijking van vreemdelingen,2010,26384,6251983,4.2201
Vlaams Gewest,2000,/,Interne uitwijking van vreemdelingen,2011,27881,6306638,4.4209
Vlaams Gewest,2000,/,Interne uitwijking van vreemdelingen,2012,28778,6350765,4.53142
Vlaams Gewest,2000,/,Interne uitwijking van vreemdelingen,2013,30222,6381859,4.73561
Vlaams Gewest,2000,/,Interne uitwijking van vreemdelingen,2014,31467,6410705,4.90851
Vlaams Gewest,2000,/,Interne uitwijking van vreemdelingen,2015,33515,6444127,5.20086
Vlaams Gewest,2000,/,Interne uitwijking van vreemdelingen,2016,38696,6477804,5.97363
Vlaams Gewest,2000,/,Interne uitwijking van vreemdelingen,2017,42074,6516011,6.45702
Vlaams Gewest,2000,/,Interne uitwijking van vreemdelingen,2018,43875,6552967,6.69544
Vlaams Gewest,2000,/,Interne uitwijking van vreemdelingen,2019,42268,6589069,6.41487
Vlaams Gewest,2000,/,Interne uitwijking van vreemdelingen,2020,40892,6629143,6.16852
Vlaams Gewest,2000,/,Interne uitwijking van vreemdelingen,2021,44300,6653062,6.65859
Aartselaar,11001,Nee,Interne uitwijking van vreemdelingen,2000,18,14438,1.24671
Aartselaar,11001,Nee,Interne uitwijking van vreemdelingen,2001,28,14440,1.93906
