Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Nationaliteit,Aantal inburgeraars die een inburgeringsattest hebben behaald naar nationaliteitsgroep,Aantal inburgeraars die een inburgeringsattest hebben behaald,Procent
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,EU+ (excl. Nederland),640,2902,0.220538
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,Nederland,10,2902,0.0034459
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,Onbepaalde nationaliteit,225,2902,0.0775327
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,Derdelander,3212,4223,0.760597
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,EU+ (excl. Nederland),771,4223,0.182572
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,Nederland,13,4223,0.00307838
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,Onbepaalde nationaliteit,227,4223,0.0537533
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,Derdelander,2969,3980,0.74598
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,EU+ (excl. Nederland),849,3980,0.213317
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,Nederland,17,3980,0.00427136
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,Onbepaalde nationaliteit,145,3980,0.0364322
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2013,Derdelander,3291,4370,0.753089
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2013,EU+ (excl. Nederland),1062,4370,0.243021
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2013,Nederland,17,4370,0.00389016
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,Derdelander,2820,4157,0.678374
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,EU+ (excl. Nederland),1207,4157,0.290354
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,Nederland,34,4157,0.00817898
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,Onbepaalde nationaliteit,96,4157,0.0230936
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,Derdelander,2716,3689,0.736243
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,EU+ (excl. Nederland),847,3689,0.229602
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,Nederland,24,3689,0.00650583
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,Onbepaalde nationaliteit,102,3689,0.0276498
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,Derdelander,2609,3566,0.731632
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,EU+ (excl. Nederland),849,3566,0.238082
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,Nederland,19,3566,0.0053281
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,Onbepaalde nationaliteit,89,3566,0.0249579
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,Derdelander,2941,3955,0.743616
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,EU+ (excl. Nederland),882,3955,0.223009
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,Nederland,27,3955,0.0068268
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,Onbepaalde nationaliteit,105,3955,0.0265487
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,Derdelander,3076,3967,0.775397
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,EU+ (excl. Nederland),783,3967,0.197378
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,Nederland,20,3967,0.00504159
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,Onbepaalde nationaliteit,88,3967,0.022183
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,Derdelander,2786,3455,0.806368
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,EU+ (excl. Nederland),550,3455,0.15919
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,Nederland,19,3455,0.00549928
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,Onbepaalde nationaliteit,100,3455,0.0289436
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,Derdelander,2389,2970,0.804377
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,EU+ (excl. Nederland),496,2970,0.167003
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,Nederland,15,2970,0.00505051
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,Onbepaalde nationaliteit,70,2970,0.023569
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,Derdelander,3082,3762,0.819245
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,EU+ (excl. Nederland),586,3762,0.155768
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,Nederland,22,3762,0.00584795
