Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Nationaliteit,Aantal inburgeraars die een inburgeringsattest hebben behaald naar nationaliteitsgroep,Aantal inburgeraars die een inburgeringsattest hebben behaald,Procent
Essen,11016,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,Onbepaalde nationaliteit,1,22,0.0454545
Essen,11016,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,Derdelander,23,26,0.884615
Essen,11016,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,EU+ (excl. Nederland),2,26,0.0769231
Essen,11016,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,Nederland,1,26,0.0384615
Essen,11016,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,Onbepaalde nationaliteit,0,26,0.0
Essen,11016,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,Derdelander,17,20,0.85
Essen,11016,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,EU+ (excl. Nederland),2,20,0.1
Essen,11016,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,Nederland,1,20,0.05
Essen,11016,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,Onbepaalde nationaliteit,0,20,0.0
Essen,11016,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,Derdelander,31,37,0.837838
Essen,11016,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,EU+ (excl. Nederland),4,37,0.108108
Essen,11016,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,Nederland,0,37,0.0
Essen,11016,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,Onbepaalde nationaliteit,2,37,0.0540541
Essen,11016,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,Derdelander,33,36,0.916667
Essen,11016,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,EU+ (excl. Nederland),2,36,0.0555556
Essen,11016,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,Nederland,1,36,0.0277778
Essen,11016,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,Onbepaalde nationaliteit,0,36,0.0
Essen,11016,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,Derdelander,28,29,0.965517
Essen,11016,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,EU+ (excl. Nederland),0,29,0.0
Essen,11016,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,Nederland,1,29,0.0344828
Essen,11016,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,Onbepaalde nationaliteit,0,29,0.0
Essen,11016,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,Derdelander,24,26,0.923077
Essen,11016,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,EU+ (excl. Nederland),1,26,0.0384615
Essen,11016,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,Nederland,1,26,0.0384615
Essen,11016,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,Onbepaalde nationaliteit,0,26,0.0
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,Derdelander,10,10,1.0
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,EU+ (excl. Nederland),0,10,0.0
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,Nederland,0,10,0.0
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,Onbepaalde nationaliteit,0,10,0.0
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,Derdelander,12,15,0.8
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,EU+ (excl. Nederland),1,15,0.0666667
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,Nederland,0,15,0.0
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,Onbepaalde nationaliteit,2,15,0.133333
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,Derdelander,14,15,0.933333
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,EU+ (excl. Nederland),1,15,0.0666667
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,Nederland,0,15,0.0
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,Onbepaalde nationaliteit,0,15,0.0
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2013,Derdelander,5,9,0.555556
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2013,EU+ (excl. Nederland),4,9,0.444444
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2013,Nederland,0,9,0.0
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,Derdelander,8,17,0.470588
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,EU+ (excl. Nederland),5,17,0.294118
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,Nederland,0,17,0.0
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,Onbepaalde nationaliteit,4,17,0.235294
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,Derdelander,10,14,0.714286
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,EU+ (excl. Nederland),2,14,0.142857
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,Nederland,0,14,0.0
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,Onbepaalde nationaliteit,2,14,0.142857
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,Derdelander,10,12,0.833333
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,EU+ (excl. Nederland),2,12,0.166667
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,Nederland,0,12,0.0
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,Onbepaalde nationaliteit,0,12,0.0
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,Derdelander,15,19,0.789474
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,EU+ (excl. Nederland),4,19,0.210526
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,Nederland,0,19,0.0
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,Onbepaalde nationaliteit,0,19,0.0
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,Derdelander,9,14,0.642857
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,EU+ (excl. Nederland),3,14,0.214286
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,Nederland,0,14,0.0
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,Onbepaalde nationaliteit,2,14,0.142857
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,Derdelander,15,17,0.882353
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,EU+ (excl. Nederland),1,17,0.0588235
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,Nederland,0,17,0.0
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,Onbepaalde nationaliteit,1,17,0.0588235
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,Derdelander,13,16,0.8125
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,EU+ (excl. Nederland),3,16,0.1875
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,Nederland,0,16,0.0
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,Onbepaalde nationaliteit,0,16,0.0
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,Derdelander,24,34,0.705882
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,EU+ (excl. Nederland),9,34,0.264706
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,Nederland,1,34,0.0294118
Hemiksem,11018,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,Onbepaalde nationaliteit,0,34,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,Derdelander,3,4,0.75
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,EU+ (excl. Nederland),1,4,0.25
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,Nederland,0,4,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,Onbepaalde nationaliteit,0,4,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,Derdelander,9,9,1.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,EU+ (excl. Nederland),0,9,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,Nederland,0,9,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,Onbepaalde nationaliteit,0,9,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,Derdelander,7,7,1.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,EU+ (excl. Nederland),0,7,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,Nederland,0,7,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,Onbepaalde nationaliteit,0,7,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2013,Derdelander,10,10,1.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2013,EU+ (excl. Nederland),0,10,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2013,Nederland,0,10,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,Derdelander,4,9,0.444444
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,EU+ (excl. Nederland),4,9,0.444444
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,Nederland,0,9,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,Onbepaalde nationaliteit,1,9,0.111111
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,Derdelander,3,5,0.6
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,EU+ (excl. Nederland),1,5,0.2
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,Nederland,0,5,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,Onbepaalde nationaliteit,1,5,0.2
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,Derdelander,1,2,0.5
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,EU+ (excl. Nederland),1,2,0.5
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,Nederland,0,2,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,Onbepaalde nationaliteit,0,2,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,Derdelander,5,5,1.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,EU+ (excl. Nederland),0,5,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,Nederland,0,5,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,Onbepaalde nationaliteit,0,5,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,Derdelander,4,5,0.8
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,EU+ (excl. Nederland),1,5,0.2
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,Nederland,0,5,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,Onbepaalde nationaliteit,0,5,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,Derdelander,4,4,1.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,EU+ (excl. Nederland),0,4,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,Nederland,0,4,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,Onbepaalde nationaliteit,0,4,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,Derdelander,4,4,1.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,EU+ (excl. Nederland),0,4,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,Nederland,0,4,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,Onbepaalde nationaliteit,0,4,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,Derdelander,7,11,0.636364
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,EU+ (excl. Nederland),4,11,0.363636
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,Nederland,0,11,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,Onbepaalde nationaliteit,0,11,0.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,Derdelander,11,13,0.846154
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,EU+ (excl. Nederland),1,13,0.0769231
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,Nederland,0,13,0.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,Onbepaalde nationaliteit,1,13,0.0769231
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,Derdelander,12,13,0.923077
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,EU+ (excl. Nederland),1,13,0.0769231
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,Nederland,0,13,0.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,Onbepaalde nationaliteit,0,13,0.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,Derdelander,14,16,0.875
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,EU+ (excl. Nederland),2,16,0.125
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,Nederland,0,16,0.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,Onbepaalde nationaliteit,0,16,0.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2013,Derdelander,10,10,1.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2013,EU+ (excl. Nederland),0,10,0.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2013,Nederland,0,10,0.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,Derdelander,11,13,0.846154
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,EU+ (excl. Nederland),0,13,0.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,Nederland,0,13,0.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,Onbepaalde nationaliteit,2,13,0.153846
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,Derdelander,17,20,0.85
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,EU+ (excl. Nederland),2,20,0.1
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,Nederland,1,20,0.05
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,Onbepaalde nationaliteit,0,20,0.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,Derdelander,5,10,0.5
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,EU+ (excl. Nederland),5,10,0.5
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,Nederland,0,10,0.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,Onbepaalde nationaliteit,0,10,0.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,Derdelander,15,19,0.789474
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,EU+ (excl. Nederland),4,19,0.210526
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,Nederland,0,19,0.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,Onbepaalde nationaliteit,0,19,0.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,Derdelander,18,21,0.857143
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,EU+ (excl. Nederland),1,21,0.047619
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,Nederland,0,21,0.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,Onbepaalde nationaliteit,2,21,0.0952381
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,Derdelander,12,16,0.75
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,EU+ (excl. Nederland),4,16,0.25
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,Nederland,0,16,0.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,Onbepaalde nationaliteit,0,16,0.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,Derdelander,9,12,0.75
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,EU+ (excl. Nederland),2,12,0.166667
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,Nederland,0,12,0.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,Onbepaalde nationaliteit,1,12,0.0833333
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,Derdelander,15,20,0.75
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,EU+ (excl. Nederland),4,20,0.2
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,Nederland,1,20,0.05
Kalmthout,11022,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,Onbepaalde nationaliteit,0,20,0.0
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,Derdelander,14,17,0.823529
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,EU+ (excl. Nederland),1,17,0.0588235
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,Nederland,0,17,0.0
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,Onbepaalde nationaliteit,2,17,0.117647
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,Derdelander,25,33,0.757576
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,EU+ (excl. Nederland),6,33,0.181818
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,Nederland,1,33,0.030303
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,Onbepaalde nationaliteit,1,33,0.030303
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,Derdelander,23,27,0.851852
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,EU+ (excl. Nederland),4,27,0.148148
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,Nederland,0,27,0.0
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,Onbepaalde nationaliteit,0,27,0.0
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2013,Derdelander,16,19,0.842105
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2013,EU+ (excl. Nederland),2,19,0.105263
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2013,Nederland,1,19,0.0526316
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,Derdelander,26,30,0.866667
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,EU+ (excl. Nederland),4,30,0.133333
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,Nederland,0,30,0.0
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,Onbepaalde nationaliteit,0,30,0.0
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,Derdelander,16,21,0.761905
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,EU+ (excl. Nederland),4,21,0.190476
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,Nederland,0,21,0.0
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,Onbepaalde nationaliteit,1,21,0.047619
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,Derdelander,27,33,0.818182
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,EU+ (excl. Nederland),5,33,0.151515
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,Nederland,1,33,0.030303
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,Onbepaalde nationaliteit,0,33,0.0
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,Derdelander,26,38,0.684211
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,EU+ (excl. Nederland),9,38,0.236842
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,Nederland,1,38,0.0263158
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,Onbepaalde nationaliteit,2,38,0.0526316
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,Derdelander,22,29,0.758621
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,EU+ (excl. Nederland),5,29,0.172414
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,Nederland,0,29,0.0
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2018,Onbepaalde nationaliteit,2,29,0.0689655
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,Derdelander,30,33,0.909091
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,EU+ (excl. Nederland),2,33,0.0606061
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,Nederland,0,33,0.0
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2019,Onbepaalde nationaliteit,1,33,0.030303
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,Derdelander,42,45,0.933333
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,EU+ (excl. Nederland),3,45,0.0666667
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,Nederland,0,45,0.0
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2020,Onbepaalde nationaliteit,0,45,0.0
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,Derdelander,42,48,0.875
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,EU+ (excl. Nederland),6,48,0.125
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,Nederland,0,48,0.0
Kapellen,11023,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,Onbepaalde nationaliteit,0,48,0.0
Kontich,11024,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,Derdelander,12,14,0.857143
Kontich,11024,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,EU+ (excl. Nederland),2,14,0.142857
Kontich,11024,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,Nederland,0,14,0.0
Kontich,11024,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,Onbepaalde nationaliteit,0,14,0.0
Kontich,11024,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,Derdelander,11,18,0.611111
Kontich,11024,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,EU+ (excl. Nederland),5,18,0.277778
Kontich,11024,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,Nederland,0,18,0.0
Kontich,11024,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,Onbepaalde nationaliteit,2,18,0.111111
Kontich,11024,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,Derdelander,16,21,0.761905
Kontich,11024,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,EU+ (excl. Nederland),5,21,0.238095
Kontich,11024,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,Nederland,0,21,0.0
Kontich,11024,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,Onbepaalde nationaliteit,0,21,0.0
Kontich,11024,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2013,Derdelander,12,16,0.75
Kontich,11024,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2013,EU+ (excl. Nederland),4,16,0.25
Kontich,11024,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2013,Nederland,0,16,0.0
