Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal inburgeraars die een inburgeringscontract hebben ondertekend,Aantal inwoners,Verhouding per 10000 inwoners
Meerhout,13021,Nee,Inburgeraars met inburgeringscontract,2011,14,9803,14.2813
Meerhout,13021,Nee,Inburgeraars met inburgeringscontract,2012,16,9913,16.1404
Meerhout,13021,Nee,Inburgeraars met inburgeringscontract,2013,14,9961,14.0548
Meerhout,13021,Nee,Inburgeraars met inburgeringscontract,2014,12,10086,11.8977
Meerhout,13021,Nee,Inburgeraars met inburgeringscontract,2015,10,10190,9.81354
Meerhout,13021,Nee,Inburgeraars met inburgeringscontract,2016,12,10162,11.8087
Meerhout,13021,Nee,Inburgeraars met inburgeringscontract,2017,13,10256,12.6755
Meerhout,13021,Nee,Inburgeraars met inburgeringscontract,2018,13,10326,12.5896
Meerhout,13021,Nee,Inburgeraars met inburgeringscontract,2019,15,10361,14.4774
Meerhout,13021,Nee,Inburgeraars met inburgeringscontract,2020,17,10324,16.4665
Meerhout,13021,Nee,Inburgeraars met inburgeringscontract,2021,17,10279,16.5386
Merksplas,13023,Nee,Inburgeraars met inburgeringscontract,2010,10,8465,11.8133
Merksplas,13023,Nee,Inburgeraars met inburgeringscontract,2011,10,8557,11.6863
Merksplas,13023,Nee,Inburgeraars met inburgeringscontract,2012,10,8576,11.6604
Merksplas,13023,Nee,Inburgeraars met inburgeringscontract,2013,7,8682,8.06266
Merksplas,13023,Nee,Inburgeraars met inburgeringscontract,2014,16,8637,18.525
Merksplas,13023,Nee,Inburgeraars met inburgeringscontract,2015,32,8693,36.8112
Merksplas,13023,Nee,Inburgeraars met inburgeringscontract,2016,21,8642,24.2999
Merksplas,13023,Nee,Inburgeraars met inburgeringscontract,2017,13,8626,15.0707
Merksplas,13023,Nee,Inburgeraars met inburgeringscontract,2018,20,8619,23.2045
Merksplas,13023,Nee,Inburgeraars met inburgeringscontract,2019,16,8600,18.6047
Merksplas,13023,Nee,Inburgeraars met inburgeringscontract,2020,16,8588,18.6306
Merksplas,13023,Nee,Inburgeraars met inburgeringscontract,2021,15,8616,17.4095
Mol,13025,Nee,Inburgeraars met inburgeringscontract,2010,82,34114,24.0371
Mol,13025,Nee,Inburgeraars met inburgeringscontract,2011,73,34446,21.1926
Mol,13025,Nee,Inburgeraars met inburgeringscontract,2012,51,34827,14.6438
Mol,13025,Nee,Inburgeraars met inburgeringscontract,2013,63,35089,17.9543
Mol,13025,Nee,Inburgeraars met inburgeringscontract,2014,49,35382,13.8488
Mol,13025,Nee,Inburgeraars met inburgeringscontract,2015,107,35685,29.9846
Mol,13025,Nee,Inburgeraars met inburgeringscontract,2016,106,36034,29.4167
Mol,13025,Nee,Inburgeraars met inburgeringscontract,2017,81,36151,22.406
Mol,13025,Nee,Inburgeraars met inburgeringscontract,2018,76,36544,20.7968
Mol,13025,Nee,Inburgeraars met inburgeringscontract,2019,108,36825,29.3279
Mol,13025,Nee,Inburgeraars met inburgeringscontract,2020,74,37022,19.9881
Mol,13025,Nee,Inburgeraars met inburgeringscontract,2021,119,37021,32.1439
Olen,13029,Nee,Inburgeraars met inburgeringscontract,2010,9,11749,7.66023
Olen,13029,Nee,Inburgeraars met inburgeringscontract,2011,7,11784,5.94026
Olen,13029,Nee,Inburgeraars met inburgeringscontract,2012,5,11923,4.19358
Olen,13029,Nee,Inburgeraars met inburgeringscontract,2013,6,12016,4.99334
Olen,13029,Nee,Inburgeraars met inburgeringscontract,2014,11,12125,9.07216
Olen,13029,Nee,Inburgeraars met inburgeringscontract,2015,11,12186,9.02675
Olen,13029,Nee,Inburgeraars met inburgeringscontract,2016,18,12242,14.7035
Olen,13029,Nee,Inburgeraars met inburgeringscontract,2017,14,12381,11.3076
Olen,13029,Nee,Inburgeraars met inburgeringscontract,2018,17,12491,13.6098
Olen,13029,Nee,Inburgeraars met inburgeringscontract,2019,18,12505,14.3942
Olen,13029,Nee,Inburgeraars met inburgeringscontract,2020,13,12560,10.3503
Olen,13029,Nee,Inburgeraars met inburgeringscontract,2021,15,12600,11.9048
Oud-Turnhout,13031,Nee,Inburgeraars met inburgeringscontract,2010,20,12872,15.5376
Oud-Turnhout,13031,Nee,Inburgeraars met inburgeringscontract,2011,19,12915,14.7116
Oud-Turnhout,13031,Nee,Inburgeraars met inburgeringscontract,2012,14,12905,10.8485
Oud-Turnhout,13031,Nee,Inburgeraars met inburgeringscontract,2013,18,12965,13.8835
Oud-Turnhout,13031,Nee,Inburgeraars met inburgeringscontract,2014,11,13040,8.43558
Oud-Turnhout,13031,Nee,Inburgeraars met inburgeringscontract,2015,15,13163,11.3956
Oud-Turnhout,13031,Nee,Inburgeraars met inburgeringscontract,2016,29,13307,21.793
Oud-Turnhout,13031,Nee,Inburgeraars met inburgeringscontract,2017,15,13447,11.1549
Oud-Turnhout,13031,Nee,Inburgeraars met inburgeringscontract,2018,25,13517,18.4952
Oud-Turnhout,13031,Nee,Inburgeraars met inburgeringscontract,2019,19,13662,13.9072
Oud-Turnhout,13031,Nee,Inburgeraars met inburgeringscontract,2020,8,13977,5.72369
Oud-Turnhout,13031,Nee,Inburgeraars met inburgeringscontract,2021,12,14201,8.45011
Ravels,13035,Nee,Inburgeraars met inburgeringscontract,2010,17,14446,11.768
Ravels,13035,Nee,Inburgeraars met inburgeringscontract,2011,19,14442,13.1561
Ravels,13035,Nee,Inburgeraars met inburgeringscontract,2012,23,14515,15.8457
Ravels,13035,Nee,Inburgeraars met inburgeringscontract,2013,30,14556,20.6101
Ravels,13035,Nee,Inburgeraars met inburgeringscontract,2014,21,14661,14.3237
Ravels,13035,Nee,Inburgeraars met inburgeringscontract,2015,19,14712,12.9146
Ravels,13035,Nee,Inburgeraars met inburgeringscontract,2016,38,14735,25.7889
Ravels,13035,Nee,Inburgeraars met inburgeringscontract,2017,30,14810,20.2566
Ravels,13035,Nee,Inburgeraars met inburgeringscontract,2018,21,14871,14.1214
Ravels,13035,Nee,Inburgeraars met inburgeringscontract,2019,21,15009,13.9916
Ravels,13035,Nee,Inburgeraars met inburgeringscontract,2020,21,15023,13.9786
Ravels,13035,Nee,Inburgeraars met inburgeringscontract,2021,21,15104,13.9036
Retie,13036,Nee,Inburgeraars met inburgeringscontract,2010,18,10741,16.7582
Retie,13036,Nee,Inburgeraars met inburgeringscontract,2011,20,10806,18.5082
Retie,13036,Nee,Inburgeraars met inburgeringscontract,2012,12,10799,11.1121
Retie,13036,Nee,Inburgeraars met inburgeringscontract,2013,13,10817,12.0181
Retie,13036,Nee,Inburgeraars met inburgeringscontract,2014,11,10897,10.0945
Retie,13036,Nee,Inburgeraars met inburgeringscontract,2015,15,10980,13.6612
Retie,13036,Nee,Inburgeraars met inburgeringscontract,2016,43,11096,38.7527
Retie,13036,Nee,Inburgeraars met inburgeringscontract,2017,21,11184,18.7768
Retie,13036,Nee,Inburgeraars met inburgeringscontract,2018,24,11240,21.3523
Retie,13036,Nee,Inburgeraars met inburgeringscontract,2019,23,11396,20.1825
Retie,13036,Nee,Inburgeraars met inburgeringscontract,2020,19,11508,16.5103
Retie,13036,Nee,Inburgeraars met inburgeringscontract,2021,25,11582,21.5852
Rijkevorsel,13037,Nee,Inburgeraars met inburgeringscontract,2010,15,11259,13.3227
Rijkevorsel,13037,Nee,Inburgeraars met inburgeringscontract,2011,14,11271,12.4213
Rijkevorsel,13037,Nee,Inburgeraars met inburgeringscontract,2012,18,11434,15.7425
Rijkevorsel,13037,Nee,Inburgeraars met inburgeringscontract,2013,20,11512,17.3732
Rijkevorsel,13037,Nee,Inburgeraars met inburgeringscontract,2014,8,11535,6.93541
Rijkevorsel,13037,Nee,Inburgeraars met inburgeringscontract,2015,28,11691,23.95
Rijkevorsel,13037,Nee,Inburgeraars met inburgeringscontract,2016,20,11823,16.9162
Rijkevorsel,13037,Nee,Inburgeraars met inburgeringscontract,2017,15,11879,12.6273
Rijkevorsel,13037,Nee,Inburgeraars met inburgeringscontract,2018,13,11932,10.8951
Rijkevorsel,13037,Nee,Inburgeraars met inburgeringscontract,2019,15,12060,12.4378
Rijkevorsel,13037,Nee,Inburgeraars met inburgeringscontract,2020,12,12178,9.85383
Rijkevorsel,13037,Nee,Inburgeraars met inburgeringscontract,2021,18,12262,14.6795
Turnhout,13040,Ja,Inburgeraars met inburgeringscontract,2010,200,40763,49.0641
Turnhout,13040,Ja,Inburgeraars met inburgeringscontract,2011,226,41266,54.7666
Turnhout,13040,Ja,Inburgeraars met inburgeringscontract,2012,189,41572,45.4633
Turnhout,13040,Ja,Inburgeraars met inburgeringscontract,2013,223,42008,53.0851
Turnhout,13040,Ja,Inburgeraars met inburgeringscontract,2014,239,42281,56.5266
Turnhout,13040,Ja,Inburgeraars met inburgeringscontract,2015,287,42637,67.3124
Turnhout,13040,Ja,Inburgeraars met inburgeringscontract,2016,358,42965,83.3236
Turnhout,13040,Ja,Inburgeraars met inburgeringscontract,2017,311,43467,71.5485
Turnhout,13040,Ja,Inburgeraars met inburgeringscontract,2018,292,44136,66.1591
Turnhout,13040,Ja,Inburgeraars met inburgeringscontract,2019,274,44664,61.3469
Turnhout,13040,Ja,Inburgeraars met inburgeringscontract,2020,173,45280,38.2067
Turnhout,13040,Ja,Inburgeraars met inburgeringscontract,2021,221,45874,48.1754
Vorselaar,13044,Nee,Inburgeraars met inburgeringscontract,2010,8,7526,10.6298
Vorselaar,13044,Nee,Inburgeraars met inburgeringscontract,2011,8,7559,10.5834
Vorselaar,13044,Nee,Inburgeraars met inburgeringscontract,2012,13,7640,17.0157
Vorselaar,13044,Nee,Inburgeraars met inburgeringscontract,2013,4,7702,5.19346
Vorselaar,13044,Nee,Inburgeraars met inburgeringscontract,2014,3,7689,3.90168
Vorselaar,13044,Nee,Inburgeraars met inburgeringscontract,2015,5,7773,6.43252
Vorselaar,13044,Nee,Inburgeraars met inburgeringscontract,2016,9,7777,11.5726
Vorselaar,13044,Nee,Inburgeraars met inburgeringscontract,2017,4,7778,5.14271
Vorselaar,13044,Nee,Inburgeraars met inburgeringscontract,2018,4,7848,5.09684
Vorselaar,13044,Nee,Inburgeraars met inburgeringscontract,2019,7,7861,8.90472
Vorselaar,13044,Nee,Inburgeraars met inburgeringscontract,2020,4,7936,5.04032
Vorselaar,13044,Nee,Inburgeraars met inburgeringscontract,2021,9,7995,11.257
Vosselaar,13046,Nee,Inburgeraars met inburgeringscontract,2010,19,10300,18.4466
Vosselaar,13046,Nee,Inburgeraars met inburgeringscontract,2011,3,10475,2.86396
Vosselaar,13046,Nee,Inburgeraars met inburgeringscontract,2012,7,10700,6.54206
Vosselaar,13046,Nee,Inburgeraars met inburgeringscontract,2013,9,10704,8.40807
Vosselaar,13046,Nee,Inburgeraars met inburgeringscontract,2014,11,10747,10.2354
Vosselaar,13046,Nee,Inburgeraars met inburgeringscontract,2015,5,10961,4.56163
Vosselaar,13046,Nee,Inburgeraars met inburgeringscontract,2016,14,10935,12.8029
Vosselaar,13046,Nee,Inburgeraars met inburgeringscontract,2017,13,11005,11.8128
Vosselaar,13046,Nee,Inburgeraars met inburgeringscontract,2018,14,11159,12.5459
Vosselaar,13046,Nee,Inburgeraars met inburgeringscontract,2019,10,11187,8.93895
Vosselaar,13046,Nee,Inburgeraars met inburgeringscontract,2020,7,11343,6.17121
Vosselaar,13046,Nee,Inburgeraars met inburgeringscontract,2021,16,11443,13.9823
Westerlo,13049,Nee,Inburgeraars met inburgeringscontract,2010,30,23896,12.5544
Westerlo,13049,Nee,Inburgeraars met inburgeringscontract,2011,32,24200,13.2231
Westerlo,13049,Nee,Inburgeraars met inburgeringscontract,2012,27,24379,11.0751
Westerlo,13049,Nee,Inburgeraars met inburgeringscontract,2013,21,24497,8.57248
Westerlo,13049,Nee,Inburgeraars met inburgeringscontract,2014,22,24494,8.98179
Westerlo,13049,Nee,Inburgeraars met inburgeringscontract,2015,25,24594,10.1651
Westerlo,13049,Nee,Inburgeraars met inburgeringscontract,2016,23,24705,9.30986
Westerlo,13049,Nee,Inburgeraars met inburgeringscontract,2017,46,24688,18.6325
Westerlo,13049,Nee,Inburgeraars met inburgeringscontract,2018,22,24884,8.84102
Westerlo,13049,Nee,Inburgeraars met inburgeringscontract,2019,32,25051,12.7739
Westerlo,13049,Nee,Inburgeraars met inburgeringscontract,2020,12,25119,4.77726
Westerlo,13049,Nee,Inburgeraars met inburgeringscontract,2021,31,25288,12.2588
Laakdal,13053,Nee,Inburgeraars met inburgeringscontract,2010,10,15328,6.52401
Laakdal,13053,Nee,Inburgeraars met inburgeringscontract,2011,15,15430,9.72132
Laakdal,13053,Nee,Inburgeraars met inburgeringscontract,2012,10,15533,6.43791
Laakdal,13053,Nee,Inburgeraars met inburgeringscontract,2013,14,15598,8.97551
Laakdal,13053,Nee,Inburgeraars met inburgeringscontract,2014,8,15657,5.10954
Laakdal,13053,Nee,Inburgeraars met inburgeringscontract,2015,4,15810,2.53004
Laakdal,13053,Nee,Inburgeraars met inburgeringscontract,2016,13,15851,8.20138
Laakdal,13053,Nee,Inburgeraars met inburgeringscontract,2017,8,15874,5.03969
Laakdal,13053,Nee,Inburgeraars met inburgeringscontract,2018,15,16020,9.3633
Laakdal,13053,Nee,Inburgeraars met inburgeringscontract,2019,8,16101,4.96864
Laakdal,13053,Nee,Inburgeraars met inburgeringscontract,2020,13,16186,8.03163
Laakdal,13053,Nee,Inburgeraars met inburgeringscontract,2021,13,16293,7.97889
Asse,23002,Nee,Inburgeraars met inburgeringscontract,2010,50,30228,16.541
Asse,23002,Nee,Inburgeraars met inburgeringscontract,2011,59,30557,19.3082
Asse,23002,Nee,Inburgeraars met inburgeringscontract,2012,58,30875,18.7854
Asse,23002,Nee,Inburgeraars met inburgeringscontract,2013,39,31417,12.4137
Asse,23002,Nee,Inburgeraars met inburgeringscontract,2014,33,31754,10.3924
Asse,23002,Nee,Inburgeraars met inburgeringscontract,2015,94,32069,29.3118
Asse,23002,Nee,Inburgeraars met inburgeringscontract,2016,84,32402,25.9243
Asse,23002,Nee,Inburgeraars met inburgeringscontract,2017,86,32706,26.2949
Asse,23002,Nee,Inburgeraars met inburgeringscontract,2018,91,32958,27.6109
Asse,23002,Nee,Inburgeraars met inburgeringscontract,2019,72,33158,21.7142
Asse,23002,Nee,Inburgeraars met inburgeringscontract,2020,73,33505,21.7878
Asse,23002,Nee,Inburgeraars met inburgeringscontract,2021,100,33827,29.5622
Beersel,23003,Nee,Inburgeraars met inburgeringscontract,2010,29,23903,12.1324
Beersel,23003,Nee,Inburgeraars met inburgeringscontract,2011,35,24209,14.4574
Beersel,23003,Nee,Inburgeraars met inburgeringscontract,2012,45,24244,18.5613
Beersel,23003,Nee,Inburgeraars met inburgeringscontract,2013,23,24322,9.45646
Beersel,23003,Nee,Inburgeraars met inburgeringscontract,2014,20,24496,8.1646
Beersel,23003,Nee,Inburgeraars met inburgeringscontract,2015,13,24588,5.28713
Beersel,23003,Nee,Inburgeraars met inburgeringscontract,2016,60,24745,24.2473
Beersel,23003,Nee,Inburgeraars met inburgeringscontract,2017,32,24992,12.8041
Beersel,23003,Nee,Inburgeraars met inburgeringscontract,2018,41,25069,16.3549
Beersel,23003,Nee,Inburgeraars met inburgeringscontract,2019,46,25251,18.2171
Beersel,23003,Nee,Inburgeraars met inburgeringscontract,2020,38,25343,14.9943
Beersel,23003,Nee,Inburgeraars met inburgeringscontract,2021,41,25756,15.9186
Bever,23009,Nee,Inburgeraars met inburgeringscontract,2010,1,2133,4.68823
Bever,23009,Nee,Inburgeraars met inburgeringscontract,2011,0,2155,0.0
Bever,23009,Nee,Inburgeraars met inburgeringscontract,2012,1,2171,4.60617
Bever,23009,Nee,Inburgeraars met inburgeringscontract,2013,1,2174,4.59982
Bever,23009,Nee,Inburgeraars met inburgeringscontract,2014,0,2171,0.0
Bever,23009,Nee,Inburgeraars met inburgeringscontract,2015,1,2185,4.57666
Bever,23009,Nee,Inburgeraars met inburgeringscontract,2016,1,2151,4.649
Bever,23009,Nee,Inburgeraars met inburgeringscontract,2017,2,2160,9.25926
Bever,23009,Nee,Inburgeraars met inburgeringscontract,2018,3,2204,13.6116
Bever,23009,Nee,Inburgeraars met inburgeringscontract,2019,0,2159,0.0
Bever,23009,Nee,Inburgeraars met inburgeringscontract,2020,0,2178,0.0
Bever,23009,Nee,Inburgeraars met inburgeringscontract,2021,1,2201,4.54339
Dilbeek,23016,Nee,Inburgeraars met inburgeringscontract,2010,43,39998,10.7505
Dilbeek,23016,Nee,Inburgeraars met inburgeringscontract,2011,58,40201,14.4275
Dilbeek,23016,Nee,Inburgeraars met inburgeringscontract,2012,47,40388,11.6371
Dilbeek,23016,Nee,Inburgeraars met inburgeringscontract,2013,44,40737,10.801
Dilbeek,23016,Nee,Inburgeraars met inburgeringscontract,2014,41,41034,9.99171
Dilbeek,23016,Nee,Inburgeraars met inburgeringscontract,2015,56,41243,13.5781
Dilbeek,23016,Nee,Inburgeraars met inburgeringscontract,2016,43,41450,10.3739
Dilbeek,23016,Nee,Inburgeraars met inburgeringscontract,2017,71,42024,16.8951
Dilbeek,23016,Nee,Inburgeraars met inburgeringscontract,2018,75,42434,17.6745
Dilbeek,23016,Nee,Inburgeraars met inburgeringscontract,2019,70,42847,16.3372
Dilbeek,23016,Nee,Inburgeraars met inburgeringscontract,2020,84,43423,19.3446
Dilbeek,23016,Nee,Inburgeraars met inburgeringscontract,2021,76,43732,17.3786
Galmaarden,23023,Nee,Inburgeraars met inburgeringscontract,2010,1,8398,1.19076
Galmaarden,23023,Nee,Inburgeraars met inburgeringscontract,2011,3,8515,3.52319
Galmaarden,23023,Nee,Inburgeraars met inburgeringscontract,2012,4,8535,4.68658
Galmaarden,23023,Nee,Inburgeraars met inburgeringscontract,2013,1,8588,1.16442
Galmaarden,23023,Nee,Inburgeraars met inburgeringscontract,2014,8,8557,9.34907
Galmaarden,23023,Nee,Inburgeraars met inburgeringscontract,2015,5,8632,5.7924
Galmaarden,23023,Nee,Inburgeraars met inburgeringscontract,2016,5,8670,5.76701
Galmaarden,23023,Nee,Inburgeraars met inburgeringscontract,2017,3,8702,3.44748
Galmaarden,23023,Nee,Inburgeraars met inburgeringscontract,2018,4,8725,4.58453
Galmaarden,23023,Nee,Inburgeraars met inburgeringscontract,2019,6,8746,6.86028
Galmaarden,23023,Nee,Inburgeraars met inburgeringscontract,2020,1,8836,1.13173
Galmaarden,23023,Nee,Inburgeraars met inburgeringscontract,2021,6,8814,6.80735
Gooik,23024,Nee,Inburgeraars met inburgeringscontract,2010,4,9015,4.43705
Gooik,23024,Nee,Inburgeraars met inburgeringscontract,2011,7,9104,7.68893
Gooik,23024,Nee,Inburgeraars met inburgeringscontract,2012,4,9181,4.35682
Gooik,23024,Nee,Inburgeraars met inburgeringscontract,2013,3,9156,3.27654
Gooik,23024,Nee,Inburgeraars met inburgeringscontract,2014,10,9198,10.8719
Gooik,23024,Nee,Inburgeraars met inburgeringscontract,2015,8,9218,8.67867
Gooik,23024,Nee,Inburgeraars met inburgeringscontract,2016,5,9212,5.4277
Gooik,23024,Nee,Inburgeraars met inburgeringscontract,2017,5,9238,5.41243
Gooik,23024,Nee,Inburgeraars met inburgeringscontract,2018,7,9236,7.57904
Gooik,23024,Nee,Inburgeraars met inburgeringscontract,2019,8,9170,8.7241
Gooik,23024,Nee,Inburgeraars met inburgeringscontract,2020,10,9189,10.8826
Gooik,23024,Nee,Inburgeraars met inburgeringscontract,2021,3,9230,3.25027
Grimbergen,23025,Nee,Inburgeraars met inburgeringscontract,2010,29,35169,8.2459
Grimbergen,23025,Nee,Inburgeraars met inburgeringscontract,2011,36,35443,10.1572
Grimbergen,23025,Nee,Inburgeraars met inburgeringscontract,2012,37,35810,10.3323
Grimbergen,23025,Nee,Inburgeraars met inburgeringscontract,2013,52,36188,14.3694
Grimbergen,23025,Nee,Inburgeraars met inburgeringscontract,2014,43,36524,11.7731
Grimbergen,23025,Nee,Inburgeraars met inburgeringscontract,2015,50,36558,13.6769
Grimbergen,23025,Nee,Inburgeraars met inburgeringscontract,2016,89,36742,24.223
Grimbergen,23025,Nee,Inburgeraars met inburgeringscontract,2017,80,37030,21.6041
Grimbergen,23025,Nee,Inburgeraars met inburgeringscontract,2018,91,37355,24.3609
Grimbergen,23025,Nee,Inburgeraars met inburgeringscontract,2019,74,37542,19.7113
Grimbergen,23025,Nee,Inburgeraars met inburgeringscontract,2020,69,37972,18.1713
Grimbergen,23025,Nee,Inburgeraars met inburgeringscontract,2021,79,38314,20.6191
Halle,23027,Nee,Inburgeraars met inburgeringscontract,2010,48,36000,13.3333
Halle,23027,Nee,Inburgeraars met inburgeringscontract,2011,59,36277,16.2637
Halle,23027,Nee,Inburgeraars met inburgeringscontract,2012,54,36852,14.6532
Halle,23027,Nee,Inburgeraars met inburgeringscontract,2013,56,37104,15.0927
Halle,23027,Nee,Inburgeraars met inburgeringscontract,2014,76,37453,20.2921
Halle,23027,Nee,Inburgeraars met inburgeringscontract,2015,70,38023,18.4099
Halle,23027,Nee,Inburgeraars met inburgeringscontract,2016,71,38289,18.5432
Halle,23027,Nee,Inburgeraars met inburgeringscontract,2017,63,38680,16.2875
Halle,23027,Nee,Inburgeraars met inburgeringscontract,2018,71,39096,18.1604
Halle,23027,Nee,Inburgeraars met inburgeringscontract,2019,72,39540,18.2094
Halle,23027,Nee,Inburgeraars met inburgeringscontract,2020,72,40182,17.9185
Halle,23027,Nee,Inburgeraars met inburgeringscontract,2021,90,40656,22.137
Herne,23032,Nee,Inburgeraars met inburgeringscontract,2010,2,6573,3.04275
Herne,23032,Nee,Inburgeraars met inburgeringscontract,2011,1,6618,1.51103
Herne,23032,Nee,Inburgeraars met inburgeringscontract,2012,3,6572,4.56482
Herne,23032,Nee,Inburgeraars met inburgeringscontract,2013,0,6560,0.0
Herne,23032,Nee,Inburgeraars met inburgeringscontract,2014,4,6565,6.09292
Herne,23032,Nee,Inburgeraars met inburgeringscontract,2015,7,6612,10.5868
Herne,23032,Nee,Inburgeraars met inburgeringscontract,2016,7,6617,10.5788
Herne,23032,Nee,Inburgeraars met inburgeringscontract,2017,2,6592,3.03398
Herne,23032,Nee,Inburgeraars met inburgeringscontract,2018,2,6643,3.01069
Herne,23032,Nee,Inburgeraars met inburgeringscontract,2019,8,6665,12.003
Herne,23032,Nee,Inburgeraars met inburgeringscontract,2020,13,6699,19.4059
Herne,23032,Nee,Inburgeraars met inburgeringscontract,2021,4,6706,5.96481
Hoeilaart,23033,Nee,Inburgeraars met inburgeringscontract,2010,10,10298,9.71062
Hoeilaart,23033,Nee,Inburgeraars met inburgeringscontract,2011,11,10419,10.5576
Hoeilaart,23033,Nee,Inburgeraars met inburgeringscontract,2012,8,10539,7.59085
Hoeilaart,23033,Nee,Inburgeraars met inburgeringscontract,2013,6,10545,5.6899
Hoeilaart,23033,Nee,Inburgeraars met inburgeringscontract,2014,4,10630,3.76294
Hoeilaart,23033,Nee,Inburgeraars met inburgeringscontract,2015,5,10796,4.63134
Hoeilaart,23033,Nee,Inburgeraars met inburgeringscontract,2016,15,10915,13.7426
Hoeilaart,23033,Nee,Inburgeraars met inburgeringscontract,2017,19,11104,17.111
Hoeilaart,23033,Nee,Inburgeraars met inburgeringscontract,2018,25,11172,22.3774
Hoeilaart,23033,Nee,Inburgeraars met inburgeringscontract,2019,19,11321,16.783
Hoeilaart,23033,Nee,Inburgeraars met inburgeringscontract,2020,13,11408,11.3955
Hoeilaart,23033,Nee,Inburgeraars met inburgeringscontract,2021,17,11509,14.771
Kampenhout,23038,Nee,Inburgeraars met inburgeringscontract,2010,7,11222,6.23775
Kampenhout,23038,Nee,Inburgeraars met inburgeringscontract,2011,11,11243,9.78387
Kampenhout,23038,Nee,Inburgeraars met inburgeringscontract,2012,5,11316,4.41852
Kampenhout,23038,Nee,Inburgeraars met inburgeringscontract,2013,5,11470,4.3592
Kampenhout,23038,Nee,Inburgeraars met inburgeringscontract,2014,5,11517,4.34141
Kampenhout,23038,Nee,Inburgeraars met inburgeringscontract,2015,4,11597,3.44917
Kampenhout,23038,Nee,Inburgeraars met inburgeringscontract,2016,8,11689,6.84404
Kampenhout,23038,Nee,Inburgeraars met inburgeringscontract,2017,9,11768,7.64786
Kampenhout,23038,Nee,Inburgeraars met inburgeringscontract,2018,20,11898,16.8095
Kampenhout,23038,Nee,Inburgeraars met inburgeringscontract,2019,17,11972,14.1998
Kampenhout,23038,Nee,Inburgeraars met inburgeringscontract,2020,7,12129,5.77129
Kampenhout,23038,Nee,Inburgeraars met inburgeringscontract,2021,12,12280,9.77199
Kapelle-op-den-Bos,23039,Nee,Inburgeraars met inburgeringscontract,2010,7,9027,7.75451
Kapelle-op-den-Bos,23039,Nee,Inburgeraars met inburgeringscontract,2011,17,9083,18.7163
Kapelle-op-den-Bos,23039,Nee,Inburgeraars met inburgeringscontract,2012,11,9161,12.0074
Kapelle-op-den-Bos,23039,Nee,Inburgeraars met inburgeringscontract,2013,7,9244,7.57248
Kapelle-op-den-Bos,23039,Nee,Inburgeraars met inburgeringscontract,2014,3,9200,3.26087
Kapelle-op-den-Bos,23039,Nee,Inburgeraars met inburgeringscontract,2015,4,9316,4.29369
Kapelle-op-den-Bos,23039,Nee,Inburgeraars met inburgeringscontract,2016,16,9370,17.0758
Kapelle-op-den-Bos,23039,Nee,Inburgeraars met inburgeringscontract,2017,15,9382,15.9881
Kapelle-op-den-Bos,23039,Nee,Inburgeraars met inburgeringscontract,2018,10,9396,10.6428
Kapelle-op-den-Bos,23039,Nee,Inburgeraars met inburgeringscontract,2019,14,9413,14.873
Kapelle-op-den-Bos,23039,Nee,Inburgeraars met inburgeringscontract,2020,10,9501,10.5252
Kapelle-op-den-Bos,23039,Nee,Inburgeraars met inburgeringscontract,2021,11,9524,11.5498
Liedekerke,23044,Nee,Inburgeraars met inburgeringscontract,2010,7,12354,5.66618
Liedekerke,23044,Nee,Inburgeraars met inburgeringscontract,2011,20,12526,15.9668
Liedekerke,23044,Nee,Inburgeraars met inburgeringscontract,2012,11,12646,8.6984
Liedekerke,23044,Nee,Inburgeraars met inburgeringscontract,2013,12,12643,9.49142
Liedekerke,23044,Nee,Inburgeraars met inburgeringscontract,2014,20,12818,15.6031
Liedekerke,23044,Nee,Inburgeraars met inburgeringscontract,2015,20,12902,15.5015
Liedekerke,23044,Nee,Inburgeraars met inburgeringscontract,2016,18,12919,13.933
Liedekerke,23044,Nee,Inburgeraars met inburgeringscontract,2017,15,13103,11.4478
Liedekerke,23044,Nee,Inburgeraars met inburgeringscontract,2018,25,13188,18.9566
Liedekerke,23044,Nee,Inburgeraars met inburgeringscontract,2019,27,13295,20.3084
Liedekerke,23044,Nee,Inburgeraars met inburgeringscontract,2020,25,13397,18.6609
Liedekerke,23044,Nee,Inburgeraars met inburgeringscontract,2021,29,13482,21.5102
Londerzeel,23045,Nee,Inburgeraars met inburgeringscontract,2010,11,17655,6.23053
Londerzeel,23045,Nee,Inburgeraars met inburgeringscontract,2011,16,17778,8.99989
Londerzeel,23045,Nee,Inburgeraars met inburgeringscontract,2012,15,17869,8.39443
Londerzeel,23045,Nee,Inburgeraars met inburgeringscontract,2013,17,17976,9.45705
Londerzeel,23045,Nee,Inburgeraars met inburgeringscontract,2014,11,18055,6.0925
Londerzeel,23045,Nee,Inburgeraars met inburgeringscontract,2015,11,18233,6.03302
Londerzeel,23045,Nee,Inburgeraars met inburgeringscontract,2016,26,18274,14.2279
Londerzeel,23045,Nee,Inburgeraars met inburgeringscontract,2017,17,18385,9.24667
Londerzeel,23045,Nee,Inburgeraars met inburgeringscontract,2018,16,18620,8.59291
Londerzeel,23045,Nee,Inburgeraars met inburgeringscontract,2019,26,18749,13.8674
