Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal inburgeraars die zich hebben aangemeld bij een onthaalbureau,Aantal inwoners,Verhouding per 10.000 inwoners
Vorselaar,13044,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,4,7773,5.14602
Vorselaar,13044,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,8,7777,10.2867
Vorselaar,13044,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,5,7778,6.42839
Vorselaar,13044,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,7,7848,8.91947
Vorselaar,13044,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,8,7861,10.1768
Vorselaar,13044,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,4,7936,5.04032
Vorselaar,13044,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,9,7995,11.257
Vosselaar,13046,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,21,10300,20.3883
Vosselaar,13046,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,10,10475,9.54654
Vosselaar,13046,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,12,10700,11.215
Vosselaar,13046,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,12,10704,11.2108
Vosselaar,13046,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,11,10747,10.2354
Vosselaar,13046,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,11,10961,10.0356
Vosselaar,13046,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,23,10935,21.0334
Vosselaar,13046,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,12,11005,10.9041
Vosselaar,13046,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,14,11159,12.5459
Vosselaar,13046,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,18,11187,16.0901
Vosselaar,13046,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,10,11343,8.81601
Vosselaar,13046,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,8,11443,6.99117
Westerlo,13049,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,32,23896,13.3914
Westerlo,13049,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,30,24200,12.3967
Westerlo,13049,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,33,24379,13.5362
Westerlo,13049,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,22,24497,8.98069
Westerlo,13049,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,27,24494,11.0231
Westerlo,13049,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,32,24594,13.0113
Westerlo,13049,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,28,24705,11.3337
Westerlo,13049,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,41,24688,16.6073
Westerlo,13049,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,29,24884,11.6541
Westerlo,13049,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,38,25051,15.1691
Westerlo,13049,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,13,25119,5.17537
Westerlo,13049,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,31,25288,12.2588
Laakdal,13053,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,9,15328,5.87161
Laakdal,13053,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,18,15430,11.6656
Laakdal,13053,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,9,15533,5.79412
Laakdal,13053,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,17,15598,10.8988
Laakdal,13053,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,15,15657,9.58038
Laakdal,13053,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,9,15810,5.6926
Laakdal,13053,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,12,15851,7.5705
Laakdal,13053,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,12,15874,7.55953
Laakdal,13053,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,18,16020,11.236
Laakdal,13053,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,7,16101,4.34756
Laakdal,13053,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,13,16186,8.03163
Laakdal,13053,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,13,16293,7.97889
Asse,23002,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,94,30228,31.097
Asse,23002,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,92,30557,30.1077
Asse,23002,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,101,30875,32.7126
Asse,23002,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,77,31417,24.509
Asse,23002,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,70,31754,22.0445
Asse,23002,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,115,32069,35.8602
Asse,23002,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,123,32402,37.9606
Asse,23002,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,119,32706,36.3848
Asse,23002,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,105,32958,31.8587
Asse,23002,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,97,33158,29.2539
Asse,23002,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,83,33505,24.7724
Asse,23002,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,102,33827,30.1534
Beersel,23003,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,76,23903,31.7952
Beersel,23003,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,145,24209,59.8951
Beersel,23003,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,127,24244,52.3841
Beersel,23003,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,34,24322,13.9791
Beersel,23003,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,32,24496,13.0634
Beersel,23003,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,25,24588,10.1676
Beersel,23003,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,91,24745,36.7751
Beersel,23003,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,42,24992,16.8054
Beersel,23003,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,64,25069,25.5295
Beersel,23003,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,66,25251,26.1376
Beersel,23003,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,49,25343,19.3347
Beersel,23003,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,54,25756,20.966
Bever,23009,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,2,2133,9.37647
Bever,23009,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,1,2155,4.64037
Bever,23009,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,0,2171,0.0
Bever,23009,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,1,2174,4.59982
Bever,23009,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,0,2171,0.0
Bever,23009,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,1,2185,4.57666
Bever,23009,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,0,2151,0.0
Bever,23009,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,2,2160,9.25926
Bever,23009,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,3,2204,13.6116
Bever,23009,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,0,2159,0.0
Bever,23009,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,0,2178,0.0
Bever,23009,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,1,2201,4.54339
Dilbeek,23016,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,66,39998,16.5008
Dilbeek,23016,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,76,40201,18.905
Dilbeek,23016,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,59,40388,14.6083
Dilbeek,23016,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,61,40737,14.9741
Dilbeek,23016,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,47,41034,11.4539
Dilbeek,23016,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,61,41243,14.7904
Dilbeek,23016,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,56,41450,13.5103
Dilbeek,23016,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,84,42024,19.9886
Dilbeek,23016,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,89,42434,20.9737
Dilbeek,23016,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,88,42847,20.5382
Dilbeek,23016,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,85,43423,19.5749
Dilbeek,23016,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,97,43732,22.1806
Galmaarden,23023,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,2,8398,2.38152
Galmaarden,23023,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,5,8515,5.87199
Galmaarden,23023,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,3,8535,3.51494
Galmaarden,23023,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,0,8588,0.0
Galmaarden,23023,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,8,8557,9.34907
Galmaarden,23023,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,8,8632,9.26784
Galmaarden,23023,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,6,8670,6.92042
Galmaarden,23023,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,4,8702,4.59664
Galmaarden,23023,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,4,8725,4.58453
Galmaarden,23023,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,8,8746,9.14704
Galmaarden,23023,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,4,8836,4.52694
Galmaarden,23023,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,3,8814,3.40368
Gooik,23024,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,12,9015,13.3111
Gooik,23024,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,5,9104,5.49209
Gooik,23024,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,3,9181,3.26762
Gooik,23024,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,9,9156,9.82962
Gooik,23024,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,11,9198,11.9591
Gooik,23024,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,8,9218,8.67867
Gooik,23024,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,7,9212,7.59878
Gooik,23024,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,5,9238,5.41243
Gooik,23024,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,8,9236,8.66176
Gooik,23024,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,8,9170,8.7241
Gooik,23024,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,8,9189,8.70606
Gooik,23024,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,3,9230,3.25027
Grimbergen,23025,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,53,35169,15.0701
Grimbergen,23025,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,49,35443,13.825
Grimbergen,23025,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,57,35810,15.9173
Grimbergen,23025,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,61,36188,16.8564
Grimbergen,23025,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,51,36524,13.9634
Grimbergen,23025,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,67,36558,18.327
Grimbergen,23025,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,110,36742,29.9385
Grimbergen,23025,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,88,37030,23.7645
Grimbergen,23025,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,94,37355,25.164
Grimbergen,23025,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,84,37542,22.3749
Grimbergen,23025,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,82,37972,21.5949
Grimbergen,23025,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,80,38314,20.8801
Halle,23027,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,82,36000,22.7778
Halle,23027,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,88,36277,24.2578
Halle,23027,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,65,36852,17.6381
Halle,23027,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,70,37104,18.8659
Halle,23027,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,91,37453,24.2971
Halle,23027,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,81,38023,21.3029
Halle,23027,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,86,38289,22.4608
Halle,23027,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,81,38680,20.9411
Halle,23027,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,90,39096,23.0203
Halle,23027,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,80,39540,20.2327
Halle,23027,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,75,40182,18.6651
Halle,23027,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,105,40656,25.8264
Herne,23032,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,1,6573,1.52138
Herne,23032,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,2,6618,3.02206
Herne,23032,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,3,6572,4.56482
Herne,23032,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,1,6560,1.52439
Herne,23032,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,4,6565,6.09292
Herne,23032,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,10,6612,15.124
Herne,23032,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,5,6617,7.55629
Herne,23032,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,1,6592,1.51699
Herne,23032,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,5,6643,7.52672
Herne,23032,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,11,6665,16.5041
Herne,23032,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,11,6699,16.4204
Herne,23032,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,5,6706,7.45601
Hoeilaart,23033,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,15,10298,14.5659
Hoeilaart,23033,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,14,10419,13.437
Hoeilaart,23033,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,7,10539,6.642
Hoeilaart,23033,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,12,10545,11.3798
Hoeilaart,23033,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,8,10630,7.52587
Hoeilaart,23033,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,5,10796,4.63134
Hoeilaart,23033,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,19,10915,17.4072
Hoeilaart,23033,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,20,11104,18.0115
Hoeilaart,23033,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,28,11172,25.0627
Hoeilaart,23033,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,18,11321,15.8997
Hoeilaart,23033,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,18,11408,15.7784
Hoeilaart,23033,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,15,11509,13.0333
Kampenhout,23038,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,11,11222,9.80217
Kampenhout,23038,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,11,11243,9.78387
Kampenhout,23038,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,8,11316,7.06964
Kampenhout,23038,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,13,11470,11.3339
Kampenhout,23038,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,6,11517,5.20969
Kampenhout,23038,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,7,11597,6.03604
Kampenhout,23038,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,11,11689,9.41056
Kampenhout,23038,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,9,11768,7.64786
Kampenhout,23038,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,21,11898,17.65
Kampenhout,23038,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,15,11972,12.5292
Kampenhout,23038,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,8,12129,6.59576
Kampenhout,23038,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,14,12280,11.4007
Kapelle-op-den-Bos,23039,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,7,9027,7.75451
Kapelle-op-den-Bos,23039,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,18,9083,19.8172
Kapelle-op-den-Bos,23039,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,10,9161,10.9158
Kapelle-op-den-Bos,23039,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,7,9244,7.57248
Kapelle-op-den-Bos,23039,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,4,9200,4.34783
Kapelle-op-den-Bos,23039,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,6,9316,6.44053
Kapelle-op-den-Bos,23039,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,17,9370,18.143
Kapelle-op-den-Bos,23039,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,17,9382,18.1198
Kapelle-op-den-Bos,23039,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,10,9396,10.6428
Kapelle-op-den-Bos,23039,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,14,9413,14.873
Kapelle-op-den-Bos,23039,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,12,9501,12.6302
Kapelle-op-den-Bos,23039,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,11,9524,11.5498
Liedekerke,23044,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,15,12354,12.1418
Liedekerke,23044,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,15,12526,11.9751
Liedekerke,23044,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,18,12646,14.2337
Liedekerke,23044,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,17,12643,13.4462
Liedekerke,23044,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,24,12818,18.7237
Liedekerke,23044,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,24,12902,18.6018
Liedekerke,23044,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,23,12919,17.8032
Liedekerke,23044,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,17,13103,12.9741
Liedekerke,23044,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,33,13188,25.0227
Liedekerke,23044,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,28,13295,21.0605
Liedekerke,23044,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,30,13397,22.3931
Liedekerke,23044,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,33,13482,24.4771
Londerzeel,23045,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,17,17655,9.629
Londerzeel,23045,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,18,17778,10.1249
Londerzeel,23045,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,17,17869,9.51368
Londerzeel,23045,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,18,17976,10.0134
Londerzeel,23045,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,13,18055,7.20022
Londerzeel,23045,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,11,18233,6.03302
Londerzeel,23045,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,33,18274,18.0584
Londerzeel,23045,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,20,18385,10.8784
Londerzeel,23045,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,20,18620,10.7411
Londerzeel,23045,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,29,18749,15.4675
Londerzeel,23045,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,19,18861,10.0737
Londerzeel,23045,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,10,19016,5.25873
Machelen,23047,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,47,13330,35.2588
Machelen,23047,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,38,13566,28.0112
Machelen,23047,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,49,13738,35.6675
Machelen,23047,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,38,13987,27.1681
Machelen,23047,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,36,14271,25.226
Machelen,23047,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,56,14454,38.7436
Machelen,23047,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,60,14764,40.6394
Machelen,23047,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,62,15135,40.9647
Machelen,23047,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,51,15417,33.0804
Machelen,23047,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,50,15469,32.3227
Machelen,23047,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,84,15605,53.8289
Machelen,23047,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,123,15895,77.3828
Meise,23050,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,23,18382,12.5122
Meise,23050,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,30,18338,16.3595
Meise,23050,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,28,18418,15.2025
Meise,23050,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,23,18417,12.4885
Meise,23050,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,7,18569,3.76972
Meise,23050,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,10,18612,5.37288
Meise,23050,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,34,18742,18.1411
Meise,23050,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,27,18925,14.2668
Meise,23050,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,30,19164,15.6544
Meise,23050,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,37,19411,19.0614
Meise,23050,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,17,19627,8.66154
Meise,23050,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,40,19790,20.2122
Merchtem,23052,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,18,15341,11.7333
Merchtem,23052,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,23,15558,14.7834
Merchtem,23052,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,19,15693,12.1073
Merchtem,23052,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,20,15866,12.6056
Merchtem,23052,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,20,15900,12.5786
Merchtem,23052,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,30,15920,18.8442
Merchtem,23052,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,28,16083,17.4097
Merchtem,23052,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,30,16100,18.6335
Merchtem,23052,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,38,16294,23.3215
Merchtem,23052,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,27,16583,16.2817
Merchtem,23052,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,23,16766,13.7182
Merchtem,23052,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,29,17154,16.9057
Opwijk,23060,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,20,13270,15.0716
Opwijk,23060,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,15,13450,11.1524
Opwijk,23060,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,13,13679,9.50362
Opwijk,23060,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,19,13985,13.586
Opwijk,23060,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,6,13975,4.29338
Opwijk,23060,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,11,14140,7.77935
Opwijk,23060,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,26,14208,18.2995
Opwijk,23060,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,26,14356,18.1109
Opwijk,23060,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,21,14378,14.6056
Opwijk,23060,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,17,14547,11.6863
Opwijk,23060,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,10,14746,6.7815
Opwijk,23060,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,15,14793,10.1399
Overijse,23062,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,19,24430,7.77732
Overijse,23062,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,38,24517,15.4994
Overijse,23062,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,45,24716,18.2068
Overijse,23062,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,31,24704,12.5486
Overijse,23062,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,23,24643,9.33328
Overijse,23062,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,20,24774,8.07298
Overijse,23062,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,40,24959,16.0263
Overijse,23062,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,40,25024,15.9847
Overijse,23062,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,59,25169,23.4415
Overijse,23062,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,56,25403,22.0446
Overijse,23062,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,39,25497,15.2959
Overijse,23062,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,53,25655,20.6587
Pepingen,23064,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,5,4390,11.3895
Pepingen,23064,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,3,4445,6.74916
Pepingen,23064,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,0,4417,0.0
Pepingen,23064,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,5,4436,11.2714
Pepingen,23064,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,4,4374,9.14495
Pepingen,23064,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,5,4402,11.3585
Pepingen,23064,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,10,4424,22.604
Pepingen,23064,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,3,4409,6.80426
Pepingen,23064,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,2,4372,4.57457
Pepingen,23064,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,11,4479,24.5591
Pepingen,23064,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,5,4537,11.0205
Pepingen,23064,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,10,4499,22.2272
Sint-Pieters-Leeuw,23077,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,53,31572,16.787
Sint-Pieters-Leeuw,23077,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,48,31868,15.0621
Sint-Pieters-Leeuw,23077,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,70,32246,21.7081
Sint-Pieters-Leeuw,23077,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,62,32677,18.9736
Sint-Pieters-Leeuw,23077,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,63,32933,19.1297
