Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal inburgeraars die zich hebben aangemeld bij een onthaalbureau,Aantal inwoners,Verhouding per 10.000 inwoners
Boom,11005,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,78,17788,43.8498
Boom,11005,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,64,17970,35.6149
Boom,11005,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,78,18244,42.7538
Boom,11005,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,55,18555,29.6416
Boom,11005,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,71,18799,37.768
Borsbeek,11007,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,31,10125,30.6173
Borsbeek,11007,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,26,10207,25.4727
Borsbeek,11007,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,24,10233,23.4535
Borsbeek,11007,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,39,10278,37.9451
Borsbeek,11007,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,27,10451,25.8348
Borsbeek,11007,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,39,10465,37.2671
Borsbeek,11007,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,43,10540,40.797
Borsbeek,11007,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,51,10581,48.1996
Borsbeek,11007,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,28,10685,26.205
Borsbeek,11007,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,36,10854,33.1675
Borsbeek,11007,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,36,10949,32.8797
Borsbeek,11007,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,45,11077,40.6247
Brasschaat,11008,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,67,36949,18.1331
Brasschaat,11008,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,54,37189,14.5204
Brasschaat,11008,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,40,37301,10.7236
Brasschaat,11008,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,56,37286,15.019
Brasschaat,11008,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,53,37502,14.1326
Brasschaat,11008,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,46,37480,12.2732
Brasschaat,11008,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,64,37673,16.9883
Brasschaat,11008,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,79,37792,20.9039
Brasschaat,11008,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,69,37850,18.2299
Brasschaat,11008,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,80,37946,21.0826
Brasschaat,11008,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,71,38223,18.5752
Brasschaat,11008,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,59,38211,15.4406
Brecht,11009,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,39,27597,14.132
Brecht,11009,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,34,27801,12.2298
Brecht,11009,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,21,27906,7.52526
Brecht,11009,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,36,28016,12.8498
Brecht,11009,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,38,28174,13.4876
Brecht,11009,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,20,28248,7.08015
Brecht,11009,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,47,28534,16.4716
Brecht,11009,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,40,28786,13.8956
Brecht,11009,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,45,29010,15.5119
Brecht,11009,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,41,29268,14.0085
Brecht,11009,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,30,29454,10.1854
Brecht,11009,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,24,29809,8.05126
Edegem,11013,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,62,21171,29.2853
Edegem,11013,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,45,21103,21.324
Edegem,11013,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,45,21064,21.3635
Edegem,11013,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,48,21159,22.6854
Edegem,11013,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,40,21251,18.8226
Edegem,11013,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,56,21291,26.3022
Edegem,11013,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,54,21578,25.0255
Edegem,11013,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,69,21835,31.6006
Edegem,11013,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,53,21947,24.1491
Edegem,11013,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,48,22063,21.7559
Edegem,11013,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,42,22261,18.8671
Edegem,11013,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,43,22244,19.3311
Essen,11016,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,57,17797,32.0279
Essen,11016,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,31,17919,17.3001
Essen,11016,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,42,18075,23.2365
Essen,11016,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,43,18066,23.8016
Essen,11016,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,24,18256,13.1464
Essen,11016,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,28,18427,15.1951
Essen,11016,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,50,18615,26.8601
Essen,11016,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,63,18792,33.5249
Essen,11016,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,46,19079,24.1103
Essen,11016,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,60,19038,31.5159
Essen,11016,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,36,19162,18.7872
Essen,11016,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,44,19196,22.9214
Hemiksem,11018,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,27,10166,26.5591
Hemiksem,11018,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,13,10318,12.5993
Hemiksem,11018,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,16,10605,15.0872
Hemiksem,11018,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,34,10765,31.5838
Hemiksem,11018,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,24,10866,22.0872
Hemiksem,11018,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,32,11040,28.9855
Hemiksem,11018,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,28,11148,25.1166
Hemiksem,11018,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,22,11233,19.5852
Hemiksem,11018,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,24,11368,21.1119
Hemiksem,11018,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,23,11559,19.8979
Hemiksem,11018,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,20,11634,17.191
Hemiksem,11018,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,31,11722,26.446
Hove,11021,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,8,8199,9.75729
Hove,11021,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,9,8190,10.989
Hove,11021,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,10,8199,12.1966
Hove,11021,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,13,8198,15.8575
Hove,11021,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,7,8216,8.51996
Hove,11021,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,9,8193,10.985
Hove,11021,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,10,8141,12.2835
Hove,11021,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,15,8152,18.4004
Hove,11021,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,9,8115,11.0906
Hove,11021,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,16,8125,19.6923
Hove,11021,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,7,8277,8.45717
Hove,11021,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,20,8287,24.1342
Kalmthout,11022,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,20,17731,11.2797
Kalmthout,11022,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,27,17952,15.0401
Kalmthout,11022,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,17,18126,9.37879
Kalmthout,11022,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,15,18184,8.24901
Kalmthout,11022,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,21,18165,11.5607
Kalmthout,11022,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,14,18192,7.69569
Kalmthout,11022,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,38,18336,20.7243
Kalmthout,11022,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,24,18490,12.98
Kalmthout,11022,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,32,18608,17.1969
Kalmthout,11022,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,28,18695,14.9773
Kalmthout,11022,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,15,18872,7.94828
Kalmthout,11022,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,25,19020,13.1441
Kapellen,11023,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,120,26427,45.4081
Kapellen,11023,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,164,26437,62.0343
Kapellen,11023,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,183,26546,68.9369
Kapellen,11023,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,55,26506,20.75
Kapellen,11023,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,43,26540,16.202
Kapellen,11023,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,45,26702,16.8527
Kapellen,11023,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,129,26745,48.2333
Kapellen,11023,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,85,26750,31.7757
Kapellen,11023,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,57,26771,21.2917
Kapellen,11023,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,102,26850,37.9888
Kapellen,11023,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,72,26981,26.6854
Kapellen,11023,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,100,27157,36.8229
Kontich,11024,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,41,20489,20.0107
Kontich,11024,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,38,20584,18.4609
Kontich,11024,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,23,20739,11.0902
Kontich,11024,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,26,20883,12.4503
Kontich,11024,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,34,20913,16.2578
Kontich,11024,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,50,20886,23.9395
Kontich,11024,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,48,20873,22.9962
Kontich,11024,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,37,20952,17.6594
Kontich,11024,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,28,21074,13.2865
Kontich,11024,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,52,21115,24.627
Kontich,11024,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,32,21203,15.0922
Kontich,11024,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,29,21260,13.6406
Lint,11025,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,61,8363,72.9403
Lint,11025,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,78,8522,91.5278
Lint,11025,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,89,8620,103.248
Lint,11025,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,17,8668,19.6124
Lint,11025,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,10,8752,11.426
Lint,11025,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,38,8767,43.3444
Lint,11025,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,78,8821,88.4253
Lint,11025,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,29,8781,33.0259
Lint,11025,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,30,8787,34.1413
