Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal personen met huidige nationaliteit uit de MOE-landen,Aantal inwoners,Procent
Sint-Katelijne-Waver,12035,Nee,Vreemdelingen met nationaliteit MOE-landen,2013,221,20412,0.010827
Sint-Katelijne-Waver,12035,Nee,Vreemdelingen met nationaliteit MOE-landen,2014,254,20401,0.0124504
Sint-Katelijne-Waver,12035,Nee,Vreemdelingen met nationaliteit MOE-landen,2015,274,20427,0.0134136
Sint-Katelijne-Waver,12035,Nee,Vreemdelingen met nationaliteit MOE-landen,2016,303,20609,0.0147023
Sint-Katelijne-Waver,12035,Nee,Vreemdelingen met nationaliteit MOE-landen,2017,319,20681,0.0154248
Sint-Katelijne-Waver,12035,Nee,Vreemdelingen met nationaliteit MOE-landen,2018,424,20870,0.0203162
Sint-Katelijne-Waver,12035,Nee,Vreemdelingen met nationaliteit MOE-landen,2019,402,20792,0.0193344
Sint-Katelijne-Waver,12035,Nee,Vreemdelingen met nationaliteit MOE-landen,2020,449,21026,0.0213545
Sint-Katelijne-Waver,12035,Nee,Vreemdelingen met nationaliteit MOE-landen,2021,439,21197,0.0207105
Sint-Katelijne-Waver,12035,Nee,Vreemdelingen met nationaliteit MOE-landen,2022,474,21391,0.0221589
Willebroek,12040,Nee,Vreemdelingen met nationaliteit MOE-landen,2000,585,22508,0.0259908
Willebroek,12040,Nee,Vreemdelingen met nationaliteit MOE-landen,2001,312,22556,0.0138322
Willebroek,12040,Nee,Vreemdelingen met nationaliteit MOE-landen,2002,284,22622,0.0125542
Willebroek,12040,Nee,Vreemdelingen met nationaliteit MOE-landen,2003,339,22687,0.0149425
Willebroek,12040,Nee,Vreemdelingen met nationaliteit MOE-landen,2004,353,22838,0.0154567
Willebroek,12040,Nee,Vreemdelingen met nationaliteit MOE-landen,2005,327,22889,0.0142863
Willebroek,12040,Nee,Vreemdelingen met nationaliteit MOE-landen,2006,326,23044,0.0141468
Willebroek,12040,Nee,Vreemdelingen met nationaliteit MOE-landen,2007,310,23300,0.0133047
Willebroek,12040,Nee,Vreemdelingen met nationaliteit MOE-landen,2008,327,23660,0.0138208
Willebroek,12040,Nee,Vreemdelingen met nationaliteit MOE-landen,2009,335,23965,0.0139787
Willebroek,12040,Nee,Vreemdelingen met nationaliteit MOE-landen,2010,373,24204,0.0154107
Willebroek,12040,Nee,Vreemdelingen met nationaliteit MOE-landen,2011,407,24527,0.016594
Willebroek,12040,Nee,Vreemdelingen met nationaliteit MOE-landen,2012,452,24825,0.0182075
Willebroek,12040,Nee,Vreemdelingen met nationaliteit MOE-landen,2013,478,25059,0.019075
Willebroek,12040,Nee,Vreemdelingen met nationaliteit MOE-landen,2014,497,25327,0.0196233
Willebroek,12040,Nee,Vreemdelingen met nationaliteit MOE-landen,2015,555,25446,0.0218109
Willebroek,12040,Nee,Vreemdelingen met nationaliteit MOE-landen,2016,664,25745,0.0257914
Willebroek,12040,Nee,Vreemdelingen met nationaliteit MOE-landen,2017,720,26088,0.0275989
Willebroek,12040,Nee,Vreemdelingen met nationaliteit MOE-landen,2018,764,26223,0.0291347
Willebroek,12040,Nee,Vreemdelingen met nationaliteit MOE-landen,2019,812,26462,0.0306855
Willebroek,12040,Nee,Vreemdelingen met nationaliteit MOE-landen,2020,919,26826,0.0342578
Willebroek,12040,Nee,Vreemdelingen met nationaliteit MOE-landen,2021,1023,27081,0.0377756
Willebroek,12040,Nee,Vreemdelingen met nationaliteit MOE-landen,2022,1082,27436,0.0394372
Puurs-Sint-Amands,12041,Nee,Vreemdelingen met nationaliteit MOE-landen,2000,151,23296,0.0064818
Puurs-Sint-Amands,12041,Nee,Vreemdelingen met nationaliteit MOE-landen,2001,119,23331,0.00510051
Puurs-Sint-Amands,12041,Nee,Vreemdelingen met nationaliteit MOE-landen,2002,84,23391,0.00359112
Puurs-Sint-Amands,12041,Nee,Vreemdelingen met nationaliteit MOE-landen,2003,80,23463,0.00340962
Puurs-Sint-Amands,12041,Nee,Vreemdelingen met nationaliteit MOE-landen,2004,84,23449,0.00358224
Puurs-Sint-Amands,12041,Nee,Vreemdelingen met nationaliteit MOE-landen,2005,72,23626,0.00304749
Puurs-Sint-Amands,12041,Nee,Vreemdelingen met nationaliteit MOE-landen,2006,83,23810,0.00348593
Puurs-Sint-Amands,12041,Nee,Vreemdelingen met nationaliteit MOE-landen,2007,101,24069,0.00419627
Puurs-Sint-Amands,12041,Nee,Vreemdelingen met nationaliteit MOE-landen,2008,114,24289,0.00469348
Puurs-Sint-Amands,12041,Nee,Vreemdelingen met nationaliteit MOE-landen,2009,133,24476,0.00543389
Puurs-Sint-Amands,12041,Nee,Vreemdelingen met nationaliteit MOE-landen,2010,152,24607,0.0061771
Puurs-Sint-Amands,12041,Nee,Vreemdelingen met nationaliteit MOE-landen,2011,159,24744,0.0064258
Puurs-Sint-Amands,12041,Nee,Vreemdelingen met nationaliteit MOE-landen,2012,182,24828,0.00733043
Puurs-Sint-Amands,12041,Nee,Vreemdelingen met nationaliteit MOE-landen,2013,188,25021,0.00751369
Puurs-Sint-Amands,12041,Nee,Vreemdelingen met nationaliteit MOE-landen,2014,237,25213,0.00939991
Puurs-Sint-Amands,12041,Nee,Vreemdelingen met nationaliteit MOE-landen,2015,230,25338,0.00907728
Puurs-Sint-Amands,12041,Nee,Vreemdelingen met nationaliteit MOE-landen,2016,233,25331,0.00919822
Puurs-Sint-Amands,12041,Nee,Vreemdelingen met nationaliteit MOE-landen,2017,254,25602,0.0099211
Puurs-Sint-Amands,12041,Nee,Vreemdelingen met nationaliteit MOE-landen,2018,282,25932,0.0108746
Puurs-Sint-Amands,12041,Nee,Vreemdelingen met nationaliteit MOE-landen,2019,261,25882,0.0100842
Puurs-Sint-Amands,12041,Nee,Vreemdelingen met nationaliteit MOE-landen,2020,306,26142,0.0117053
Puurs-Sint-Amands,12041,Nee,Vreemdelingen met nationaliteit MOE-landen,2021,332,26208,0.0126679
Puurs-Sint-Amands,12041,Nee,Vreemdelingen met nationaliteit MOE-landen,2022,328,26311,0.0124663
Arendonk,13001,Nee,Vreemdelingen met nationaliteit MOE-landen,2000,18,11805,0.00152478
Arendonk,13001,Nee,Vreemdelingen met nationaliteit MOE-landen,2001,16,11883,0.00134646
Arendonk,13001,Nee,Vreemdelingen met nationaliteit MOE-landen,2002,14,11934,0.00117312
Arendonk,13001,Nee,Vreemdelingen met nationaliteit MOE-landen,2003,14,12040,0.00116279
Arendonk,13001,Nee,Vreemdelingen met nationaliteit MOE-landen,2004,19,12119,0.00156779
Arendonk,13001,Nee,Vreemdelingen met nationaliteit MOE-landen,2005,20,12179,0.00164217
Arendonk,13001,Nee,Vreemdelingen met nationaliteit MOE-landen,2006,23,12215,0.00188293
Arendonk,13001,Nee,Vreemdelingen met nationaliteit MOE-landen,2007,33,12329,0.00267662
Arendonk,13001,Nee,Vreemdelingen met nationaliteit MOE-landen,2008,69,12528,0.00550766
Arendonk,13001,Nee,Vreemdelingen met nationaliteit MOE-landen,2009,87,12679,0.00686174
Arendonk,13001,Nee,Vreemdelingen met nationaliteit MOE-landen,2010,74,12758,0.00580028
Arendonk,13001,Nee,Vreemdelingen met nationaliteit MOE-landen,2011,107,12855,0.00832361
Arendonk,13001,Nee,Vreemdelingen met nationaliteit MOE-landen,2012,127,12894,0.00984954
Arendonk,13001,Nee,Vreemdelingen met nationaliteit MOE-landen,2013,129,12941,0.00996832
Arendonk,13001,Nee,Vreemdelingen met nationaliteit MOE-landen,2014,119,12956,0.00918493
Arendonk,13001,Nee,Vreemdelingen met nationaliteit MOE-landen,2015,136,13053,0.0104191
Arendonk,13001,Nee,Vreemdelingen met nationaliteit MOE-landen,2016,145,13142,0.0110333
Arendonk,13001,Nee,Vreemdelingen met nationaliteit MOE-landen,2017,154,13261,0.011613
Arendonk,13001,Nee,Vreemdelingen met nationaliteit MOE-landen,2018,172,13281,0.0129508
Arendonk,13001,Nee,Vreemdelingen met nationaliteit MOE-landen,2019,186,13293,0.0139923
Arendonk,13001,Nee,Vreemdelingen met nationaliteit MOE-landen,2020,226,13290,0.0170053
Arendonk,13001,Nee,Vreemdelingen met nationaliteit MOE-landen,2021,238,13207,0.0180207
Arendonk,13001,Nee,Vreemdelingen met nationaliteit MOE-landen,2022,262,13297,0.0197037
Baarle-Hertog,13002,Nee,Vreemdelingen met nationaliteit MOE-landen,2000,3,2120,0.00141509
Baarle-Hertog,13002,Nee,Vreemdelingen met nationaliteit MOE-landen,2001,3,2156,0.00139147
Baarle-Hertog,13002,Nee,Vreemdelingen met nationaliteit MOE-landen,2002,3,2200,0.00136364
Baarle-Hertog,13002,Nee,Vreemdelingen met nationaliteit MOE-landen,2003,4,2235,0.00178971
Baarle-Hertog,13002,Nee,Vreemdelingen met nationaliteit MOE-landen,2004,4,2247,0.00178015
Baarle-Hertog,13002,Nee,Vreemdelingen met nationaliteit MOE-landen,2005,6,2276,0.0026362
Baarle-Hertog,13002,Nee,Vreemdelingen met nationaliteit MOE-landen,2006,6,2306,0.00260191
Baarle-Hertog,13002,Nee,Vreemdelingen met nationaliteit MOE-landen,2007,5,2337,0.0021395
Baarle-Hertog,13002,Nee,Vreemdelingen met nationaliteit MOE-landen,2008,14,2384,0.00587248
Baarle-Hertog,13002,Nee,Vreemdelingen met nationaliteit MOE-landen,2009,14,2431,0.00575895
Baarle-Hertog,13002,Nee,Vreemdelingen met nationaliteit MOE-landen,2010,18,2504,0.0071885
Baarle-Hertog,13002,Nee,Vreemdelingen met nationaliteit MOE-landen,2011,32,2594,0.0123362
Baarle-Hertog,13002,Nee,Vreemdelingen met nationaliteit MOE-landen,2012,35,2592,0.0135031
Baarle-Hertog,13002,Nee,Vreemdelingen met nationaliteit MOE-landen,2013,42,2630,0.0159696
Baarle-Hertog,13002,Nee,Vreemdelingen met nationaliteit MOE-landen,2014,54,2618,0.0206264
Baarle-Hertog,13002,Nee,Vreemdelingen met nationaliteit MOE-landen,2015,53,2680,0.0197761
Baarle-Hertog,13002,Nee,Vreemdelingen met nationaliteit MOE-landen,2016,57,2663,0.0214044
Baarle-Hertog,13002,Nee,Vreemdelingen met nationaliteit MOE-landen,2017,64,2695,0.0237477
Baarle-Hertog,13002,Nee,Vreemdelingen met nationaliteit MOE-landen,2018,76,2705,0.0280961
Baarle-Hertog,13002,Nee,Vreemdelingen met nationaliteit MOE-landen,2019,84,2760,0.0304348
Baarle-Hertog,13002,Nee,Vreemdelingen met nationaliteit MOE-landen,2020,102,2865,0.0356021
Baarle-Hertog,13002,Nee,Vreemdelingen met nationaliteit MOE-landen,2021,117,2935,0.0398637
Baarle-Hertog,13002,Nee,Vreemdelingen met nationaliteit MOE-landen,2022,114,2997,0.038038
Balen,13003,Nee,Vreemdelingen met nationaliteit MOE-landen,2000,45,19290,0.00233281
Balen,13003,Nee,Vreemdelingen met nationaliteit MOE-landen,2001,38,19410,0.00195775
Balen,13003,Nee,Vreemdelingen met nationaliteit MOE-landen,2002,21,19581,0.00107247
Balen,13003,Nee,Vreemdelingen met nationaliteit MOE-landen,2003,35,19716,0.00177521
Balen,13003,Nee,Vreemdelingen met nationaliteit MOE-landen,2004,38,19871,0.00191233
Balen,13003,Nee,Vreemdelingen met nationaliteit MOE-landen,2005,29,20111,0.001442
Balen,13003,Nee,Vreemdelingen met nationaliteit MOE-landen,2006,40,20276,0.00197278
Balen,13003,Nee,Vreemdelingen met nationaliteit MOE-landen,2007,49,20379,0.00240444
Balen,13003,Nee,Vreemdelingen met nationaliteit MOE-landen,2008,68,20638,0.00329489
Balen,13003,Nee,Vreemdelingen met nationaliteit MOE-landen,2009,48,20811,0.00230647
Balen,13003,Nee,Vreemdelingen met nationaliteit MOE-landen,2010,69,21022,0.00328228
Balen,13003,Nee,Vreemdelingen met nationaliteit MOE-landen,2011,76,21305,0.00356724
Balen,13003,Nee,Vreemdelingen met nationaliteit MOE-landen,2012,104,21570,0.00482151
Balen,13003,Nee,Vreemdelingen met nationaliteit MOE-landen,2013,151,21772,0.00693551
Balen,13003,Nee,Vreemdelingen met nationaliteit MOE-landen,2014,167,21817,0.00765458
Balen,13003,Nee,Vreemdelingen met nationaliteit MOE-landen,2015,158,21969,0.00719195
Balen,13003,Nee,Vreemdelingen met nationaliteit MOE-landen,2016,176,22168,0.00793937
Balen,13003,Nee,Vreemdelingen met nationaliteit MOE-landen,2017,180,22356,0.00805153
Balen,13003,Nee,Vreemdelingen met nationaliteit MOE-landen,2018,188,22426,0.00838313
Balen,13003,Nee,Vreemdelingen met nationaliteit MOE-landen,2019,206,22618,0.00910779
Balen,13003,Nee,Vreemdelingen met nationaliteit MOE-landen,2020,224,22813,0.00981896
Balen,13003,Nee,Vreemdelingen met nationaliteit MOE-landen,2021,249,22853,0.0108957
Balen,13003,Nee,Vreemdelingen met nationaliteit MOE-landen,2022,270,23000,0.0117391
Beerse,13004,Nee,Vreemdelingen met nationaliteit MOE-landen,2000,13,15698,0.000828131
Beerse,13004,Nee,Vreemdelingen met nationaliteit MOE-landen,2001,19,15850,0.00119874
Beerse,13004,Nee,Vreemdelingen met nationaliteit MOE-landen,2002,19,16029,0.00118535
Beerse,13004,Nee,Vreemdelingen met nationaliteit MOE-landen,2003,22,16091,0.00136722
Beerse,13004,Nee,Vreemdelingen met nationaliteit MOE-landen,2004,26,16185,0.00160643
Beerse,13004,Nee,Vreemdelingen met nationaliteit MOE-landen,2005,29,16296,0.00177958
Beerse,13004,Nee,Vreemdelingen met nationaliteit MOE-landen,2006,43,16482,0.00260891
Beerse,13004,Nee,Vreemdelingen met nationaliteit MOE-landen,2007,36,16600,0.00216867
Beerse,13004,Nee,Vreemdelingen met nationaliteit MOE-landen,2008,60,16755,0.00358102
Beerse,13004,Nee,Vreemdelingen met nationaliteit MOE-landen,2009,63,16931,0.00372099
Beerse,13004,Nee,Vreemdelingen met nationaliteit MOE-landen,2010,83,17003,0.00488149
Beerse,13004,Nee,Vreemdelingen met nationaliteit MOE-landen,2011,106,17035,0.00622248
Beerse,13004,Nee,Vreemdelingen met nationaliteit MOE-landen,2012,121,17167,0.00704841
Beerse,13004,Nee,Vreemdelingen met nationaliteit MOE-landen,2013,133,17340,0.00767013
Beerse,13004,Nee,Vreemdelingen met nationaliteit MOE-landen,2014,114,17550,0.00649573
Beerse,13004,Nee,Vreemdelingen met nationaliteit MOE-landen,2015,116,17600,0.00659091
Beerse,13004,Nee,Vreemdelingen met nationaliteit MOE-landen,2016,137,17829,0.00768411
Beerse,13004,Nee,Vreemdelingen met nationaliteit MOE-landen,2017,154,17907,0.00859999
Beerse,13004,Nee,Vreemdelingen met nationaliteit MOE-landen,2018,185,17931,0.0103173
Beerse,13004,Nee,Vreemdelingen met nationaliteit MOE-landen,2019,210,18084,0.0116125
Beerse,13004,Nee,Vreemdelingen met nationaliteit MOE-landen,2020,222,18128,0.0122462
Beerse,13004,Nee,Vreemdelingen met nationaliteit MOE-landen,2021,218,18194,0.011982
Beerse,13004,Nee,Vreemdelingen met nationaliteit MOE-landen,2022,285,18378,0.0155077
Dessel,13006,Nee,Vreemdelingen met nationaliteit MOE-landen,2000,31,8545,0.00362785
Dessel,13006,Nee,Vreemdelingen met nationaliteit MOE-landen,2001,19,8489,0.00223819
Dessel,13006,Nee,Vreemdelingen met nationaliteit MOE-landen,2002,26,8555,0.00303916
Dessel,13006,Nee,Vreemdelingen met nationaliteit MOE-landen,2003,22,8607,0.00255606
Dessel,13006,Nee,Vreemdelingen met nationaliteit MOE-landen,2004,21,8718,0.00240881
Dessel,13006,Nee,Vreemdelingen met nationaliteit MOE-landen,2005,21,8747,0.00240082
Dessel,13006,Nee,Vreemdelingen met nationaliteit MOE-landen,2006,16,8773,0.00182378
Dessel,13006,Nee,Vreemdelingen met nationaliteit MOE-landen,2007,18,8865,0.00203046
Dessel,13006,Nee,Vreemdelingen met nationaliteit MOE-landen,2008,23,8931,0.0025753
Dessel,13006,Nee,Vreemdelingen met nationaliteit MOE-landen,2009,32,9049,0.0035363
Dessel,13006,Nee,Vreemdelingen met nationaliteit MOE-landen,2010,43,9107,0.00472164
Dessel,13006,Nee,Vreemdelingen met nationaliteit MOE-landen,2011,56,9177,0.00610221
Dessel,13006,Nee,Vreemdelingen met nationaliteit MOE-landen,2012,61,9231,0.00660817
Dessel,13006,Nee,Vreemdelingen met nationaliteit MOE-landen,2013,76,9286,0.00818436
Dessel,13006,Nee,Vreemdelingen met nationaliteit MOE-landen,2014,93,9350,0.00994652
Dessel,13006,Nee,Vreemdelingen met nationaliteit MOE-landen,2015,96,9400,0.0102128
Dessel,13006,Nee,Vreemdelingen met nationaliteit MOE-landen,2016,104,9420,0.0110403
Dessel,13006,Nee,Vreemdelingen met nationaliteit MOE-landen,2017,116,9527,0.0121759
Dessel,13006,Nee,Vreemdelingen met nationaliteit MOE-landen,2018,119,9540,0.0124738
Dessel,13006,Nee,Vreemdelingen met nationaliteit MOE-landen,2019,146,9598,0.0152115
Dessel,13006,Nee,Vreemdelingen met nationaliteit MOE-landen,2020,169,9605,0.017595
Dessel,13006,Nee,Vreemdelingen met nationaliteit MOE-landen,2021,170,9659,0.0176002
Dessel,13006,Nee,Vreemdelingen met nationaliteit MOE-landen,2022,187,9686,0.0193062
Geel,13008,Nee,Vreemdelingen met nationaliteit MOE-landen,2000,50,33677,0.00148469
Geel,13008,Nee,Vreemdelingen met nationaliteit MOE-landen,2001,52,33879,0.00153487
Geel,13008,Nee,Vreemdelingen met nationaliteit MOE-landen,2002,59,34169,0.00172671
Geel,13008,Nee,Vreemdelingen met nationaliteit MOE-landen,2003,63,34350,0.00183406
Geel,13008,Nee,Vreemdelingen met nationaliteit MOE-landen,2004,66,34444,0.00191615
Geel,13008,Nee,Vreemdelingen met nationaliteit MOE-landen,2005,91,34758,0.0026181
Geel,13008,Nee,Vreemdelingen met nationaliteit MOE-landen,2006,122,35189,0.00346699
Geel,13008,Nee,Vreemdelingen met nationaliteit MOE-landen,2007,173,35502,0.00487296
Geel,13008,Nee,Vreemdelingen met nationaliteit MOE-landen,2008,228,36013,0.00633105
Geel,13008,Nee,Vreemdelingen met nationaliteit MOE-landen,2009,269,36711,0.0073275
Geel,13008,Nee,Vreemdelingen met nationaliteit MOE-landen,2010,293,36990,0.00792106
Geel,13008,Nee,Vreemdelingen met nationaliteit MOE-landen,2011,353,37483,0.0094176
Geel,13008,Nee,Vreemdelingen met nationaliteit MOE-landen,2012,398,37848,0.0105157
Geel,13008,Nee,Vreemdelingen met nationaliteit MOE-landen,2013,427,38101,0.0112071
Geel,13008,Nee,Vreemdelingen met nationaliteit MOE-landen,2014,476,38450,0.0123797
Geel,13008,Nee,Vreemdelingen met nationaliteit MOE-landen,2015,550,38837,0.0141618
Geel,13008,Nee,Vreemdelingen met nationaliteit MOE-landen,2016,594,39225,0.0151434
Geel,13008,Nee,Vreemdelingen met nationaliteit MOE-landen,2017,636,39560,0.0160768
Geel,13008,Nee,Vreemdelingen met nationaliteit MOE-landen,2018,707,39923,0.0177091
Geel,13008,Nee,Vreemdelingen met nationaliteit MOE-landen,2019,797,40353,0.0197507
Geel,13008,Nee,Vreemdelingen met nationaliteit MOE-landen,2020,917,40709,0.0225257
Geel,13008,Nee,Vreemdelingen met nationaliteit MOE-landen,2021,1003,40781,0.0245948
Geel,13008,Nee,Vreemdelingen met nationaliteit MOE-landen,2022,1155,41146,0.0280708
Grobbendonk,13010,Nee,Vreemdelingen met nationaliteit MOE-landen,2000,7,10449,0.000669921
Grobbendonk,13010,Nee,Vreemdelingen met nationaliteit MOE-landen,2001,10,10483,0.000953925
Grobbendonk,13010,Nee,Vreemdelingen met nationaliteit MOE-landen,2002,9,10534,0.000854376
Grobbendonk,13010,Nee,Vreemdelingen met nationaliteit MOE-landen,2003,11,10599,0.00103783
Grobbendonk,13010,Nee,Vreemdelingen met nationaliteit MOE-landen,2004,11,10690,0.001029
Grobbendonk,13010,Nee,Vreemdelingen met nationaliteit MOE-landen,2005,16,10706,0.00149449
Grobbendonk,13010,Nee,Vreemdelingen met nationaliteit MOE-landen,2006,24,10747,0.00223318
Grobbendonk,13010,Nee,Vreemdelingen met nationaliteit MOE-landen,2007,25,10801,0.0023146
Grobbendonk,13010,Nee,Vreemdelingen met nationaliteit MOE-landen,2008,45,10814,0.00416127
Grobbendonk,13010,Nee,Vreemdelingen met nationaliteit MOE-landen,2009,49,10890,0.00449954
Grobbendonk,13010,Nee,Vreemdelingen met nationaliteit MOE-landen,2010,59,10975,0.00537585
Grobbendonk,13010,Nee,Vreemdelingen met nationaliteit MOE-landen,2011,61,11051,0.00551986
Grobbendonk,13010,Nee,Vreemdelingen met nationaliteit MOE-landen,2012,61,11047,0.00552186
Grobbendonk,13010,Nee,Vreemdelingen met nationaliteit MOE-landen,2013,59,11026,0.00535099
Grobbendonk,13010,Nee,Vreemdelingen met nationaliteit MOE-landen,2014,66,11095,0.00594863
Grobbendonk,13010,Nee,Vreemdelingen met nationaliteit MOE-landen,2015,75,11128,0.00673976
Grobbendonk,13010,Nee,Vreemdelingen met nationaliteit MOE-landen,2016,77,11204,0.00687255
Grobbendonk,13010,Nee,Vreemdelingen met nationaliteit MOE-landen,2017,79,11237,0.00703035
Grobbendonk,13010,Nee,Vreemdelingen met nationaliteit MOE-landen,2018,79,11123,0.0071024
Grobbendonk,13010,Nee,Vreemdelingen met nationaliteit MOE-landen,2019,98,11155,0.0087853
Grobbendonk,13010,Nee,Vreemdelingen met nationaliteit MOE-landen,2020,108,11172,0.00966702
Grobbendonk,13010,Nee,Vreemdelingen met nationaliteit MOE-landen,2021,125,11249,0.0111121
Grobbendonk,13010,Nee,Vreemdelingen met nationaliteit MOE-landen,2022,123,11442,0.0107499
Herentals,13011,Nee,Vreemdelingen met nationaliteit MOE-landen,2000,59,25474,0.00231609
Herentals,13011,Nee,Vreemdelingen met nationaliteit MOE-landen,2001,62,25582,0.00242358
Herentals,13011,Nee,Vreemdelingen met nationaliteit MOE-landen,2002,80,25572,0.00312842
Herentals,13011,Nee,Vreemdelingen met nationaliteit MOE-landen,2003,79,25689,0.00307525
Herentals,13011,Nee,Vreemdelingen met nationaliteit MOE-landen,2004,84,25869,0.00324713
Herentals,13011,Nee,Vreemdelingen met nationaliteit MOE-landen,2005,81,25904,0.00312693
Herentals,13011,Nee,Vreemdelingen met nationaliteit MOE-landen,2006,85,26071,0.00326033
Herentals,13011,Nee,Vreemdelingen met nationaliteit MOE-landen,2007,105,26152,0.00401499
Herentals,13011,Nee,Vreemdelingen met nationaliteit MOE-landen,2008,127,26266,0.00483515
Herentals,13011,Nee,Vreemdelingen met nationaliteit MOE-landen,2009,169,26446,0.00639038
Herentals,13011,Nee,Vreemdelingen met nationaliteit MOE-landen,2010,212,26759,0.00792257
Herentals,13011,Nee,Vreemdelingen met nationaliteit MOE-landen,2011,263,27124,0.00969621
Herentals,13011,Nee,Vreemdelingen met nationaliteit MOE-landen,2012,303,27368,0.0110713
Herentals,13011,Nee,Vreemdelingen met nationaliteit MOE-landen,2013,308,27438,0.0112253
Herentals,13011,Nee,Vreemdelingen met nationaliteit MOE-landen,2014,298,27637,0.0107826
Herentals,13011,Nee,Vreemdelingen met nationaliteit MOE-landen,2015,306,27677,0.0110561
Herentals,13011,Nee,Vreemdelingen met nationaliteit MOE-landen,2016,313,27728,0.0112882
Herentals,13011,Nee,Vreemdelingen met nationaliteit MOE-landen,2017,353,27800,0.0126978
Herentals,13011,Nee,Vreemdelingen met nationaliteit MOE-landen,2018,417,28117,0.0148309
Herentals,13011,Nee,Vreemdelingen met nationaliteit MOE-landen,2019,474,28177,0.0168222
Herentals,13011,Nee,Vreemdelingen met nationaliteit MOE-landen,2020,518,28272,0.018322
Herentals,13011,Nee,Vreemdelingen met nationaliteit MOE-landen,2021,508,28194,0.018018
Herentals,13011,Nee,Vreemdelingen met nationaliteit MOE-landen,2022,506,28455,0.0177825
Herenthout,13012,Nee,Vreemdelingen met nationaliteit MOE-landen,2000,2,8302,0.000240906
Herenthout,13012,Nee,Vreemdelingen met nationaliteit MOE-landen,2001,6,8315,0.000721587
Herenthout,13012,Nee,Vreemdelingen met nationaliteit MOE-landen,2002,6,8295,0.000723327
Herenthout,13012,Nee,Vreemdelingen met nationaliteit MOE-landen,2003,8,8324,0.000961076
Herenthout,13012,Nee,Vreemdelingen met nationaliteit MOE-landen,2004,9,8359,0.00107668
Herenthout,13012,Nee,Vreemdelingen met nationaliteit MOE-landen,2005,10,8415,0.00118835
Herenthout,13012,Nee,Vreemdelingen met nationaliteit MOE-landen,2006,8,8361,0.000956823
Herenthout,13012,Nee,Vreemdelingen met nationaliteit MOE-landen,2007,13,8462,0.00153628
Herenthout,13012,Nee,Vreemdelingen met nationaliteit MOE-landen,2008,16,8530,0.00187573
Herenthout,13012,Nee,Vreemdelingen met nationaliteit MOE-landen,2009,18,8628,0.00208623
Herenthout,13012,Nee,Vreemdelingen met nationaliteit MOE-landen,2010,19,8703,0.00218316
Herenthout,13012,Nee,Vreemdelingen met nationaliteit MOE-landen,2011,29,8724,0.00332416
Herenthout,13012,Nee,Vreemdelingen met nationaliteit MOE-landen,2012,20,8747,0.0022865
Herenthout,13012,Nee,Vreemdelingen met nationaliteit MOE-landen,2013,23,8781,0.00261929
Herenthout,13012,Nee,Vreemdelingen met nationaliteit MOE-landen,2014,17,8803,0.00193116
Herenthout,13012,Nee,Vreemdelingen met nationaliteit MOE-landen,2015,29,8804,0.00329396
Herenthout,13012,Nee,Vreemdelingen met nationaliteit MOE-landen,2016,35,8806,0.00397456
Herenthout,13012,Nee,Vreemdelingen met nationaliteit MOE-landen,2017,37,8845,0.00418315
Herenthout,13012,Nee,Vreemdelingen met nationaliteit MOE-landen,2018,38,8951,0.00424534
Herenthout,13012,Nee,Vreemdelingen met nationaliteit MOE-landen,2019,51,9061,0.00562852
Herenthout,13012,Nee,Vreemdelingen met nationaliteit MOE-landen,2020,57,9109,0.00625755
Herenthout,13012,Nee,Vreemdelingen met nationaliteit MOE-landen,2021,76,9185,0.00827436
Herenthout,13012,Nee,Vreemdelingen met nationaliteit MOE-landen,2022,107,9287,0.0115215
Herselt,13013,Nee,Vreemdelingen met nationaliteit MOE-landen,2000,22,13632,0.00161385
Herselt,13013,Nee,Vreemdelingen met nationaliteit MOE-landen,2001,15,13653,0.00109866
Herselt,13013,Nee,Vreemdelingen met nationaliteit MOE-landen,2002,22,13581,0.00161991
Herselt,13013,Nee,Vreemdelingen met nationaliteit MOE-landen,2003,20,13553,0.00147569
Herselt,13013,Nee,Vreemdelingen met nationaliteit MOE-landen,2004,23,13613,0.00168956
Herselt,13013,Nee,Vreemdelingen met nationaliteit MOE-landen,2005,21,13732,0.0015292700000000001
Herselt,13013,Nee,Vreemdelingen met nationaliteit MOE-landen,2006,29,13836,0.00209598
Herselt,13013,Nee,Vreemdelingen met nationaliteit MOE-landen,2007,58,13929,0.00416397
Herselt,13013,Nee,Vreemdelingen met nationaliteit MOE-landen,2008,75,14109,0.00531576
Herselt,13013,Nee,Vreemdelingen met nationaliteit MOE-landen,2009,105,14267,0.00735964
Herselt,13013,Nee,Vreemdelingen met nationaliteit MOE-landen,2010,114,14247,0.00800168
Herselt,13013,Nee,Vreemdelingen met nationaliteit MOE-landen,2011,129,14386,0.00896705
Herselt,13013,Nee,Vreemdelingen met nationaliteit MOE-landen,2012,130,14399,0.0090284
Herselt,13013,Nee,Vreemdelingen met nationaliteit MOE-landen,2013,147,14396,0.0102112
Herselt,13013,Nee,Vreemdelingen met nationaliteit MOE-landen,2014,131,14439,0.00907265
Herselt,13013,Nee,Vreemdelingen met nationaliteit MOE-landen,2015,131,14516,0.00902452
Herselt,13013,Nee,Vreemdelingen met nationaliteit MOE-landen,2016,127,14491,0.00876406
