Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal personen met huidige nationaliteit uit de MOE-landen,Aantal inwoners,Procent
Essen,11016,Nee,Vreemdelingen met nationaliteit MOE-landen,2006,65,17001,0.0038233
Essen,11016,Nee,Vreemdelingen met nationaliteit MOE-landen,2007,67,17143,0.0039083
Essen,11016,Nee,Vreemdelingen met nationaliteit MOE-landen,2008,78,17417,0.00447838
Essen,11016,Nee,Vreemdelingen met nationaliteit MOE-landen,2009,104,17636,0.00589703
Essen,11016,Nee,Vreemdelingen met nationaliteit MOE-landen,2010,120,17797,0.00674271
Essen,11016,Nee,Vreemdelingen met nationaliteit MOE-landen,2011,133,17919,0.00742229
Essen,11016,Nee,Vreemdelingen met nationaliteit MOE-landen,2012,137,18075,0.00757953
Essen,11016,Nee,Vreemdelingen met nationaliteit MOE-landen,2013,155,18066,0.00857965
Essen,11016,Nee,Vreemdelingen met nationaliteit MOE-landen,2014,161,18256,0.00881902
Essen,11016,Nee,Vreemdelingen met nationaliteit MOE-landen,2015,164,18427,0.00889998
Essen,11016,Nee,Vreemdelingen met nationaliteit MOE-landen,2016,175,18615,0.00940102
Essen,11016,Nee,Vreemdelingen met nationaliteit MOE-landen,2017,196,18792,0.01043
Essen,11016,Nee,Vreemdelingen met nationaliteit MOE-landen,2018,223,19079,0.0116882
Essen,11016,Nee,Vreemdelingen met nationaliteit MOE-landen,2019,215,19038,0.0112932
Essen,11016,Nee,Vreemdelingen met nationaliteit MOE-landen,2020,233,19162,0.0121595
Essen,11016,Nee,Vreemdelingen met nationaliteit MOE-landen,2021,239,19196,0.0124505
Essen,11016,Nee,Vreemdelingen met nationaliteit MOE-landen,2022,246,19341,0.0127191
Hemiksem,11018,Nee,Vreemdelingen met nationaliteit MOE-landen,2000,31,9151,0.00338761
Hemiksem,11018,Nee,Vreemdelingen met nationaliteit MOE-landen,2001,21,9112,0.00230465
Hemiksem,11018,Nee,Vreemdelingen met nationaliteit MOE-landen,2002,21,9225,0.00227642
Hemiksem,11018,Nee,Vreemdelingen met nationaliteit MOE-landen,2003,23,9319,0.00246808
Hemiksem,11018,Nee,Vreemdelingen met nationaliteit MOE-landen,2004,32,9436,0.00339127
Hemiksem,11018,Nee,Vreemdelingen met nationaliteit MOE-landen,2005,35,9550,0.00366492
Hemiksem,11018,Nee,Vreemdelingen met nationaliteit MOE-landen,2006,35,9663,0.00362206
Hemiksem,11018,Nee,Vreemdelingen met nationaliteit MOE-landen,2007,59,9755,0.00604818
Hemiksem,11018,Nee,Vreemdelingen met nationaliteit MOE-landen,2008,79,9866,0.0080073
Hemiksem,11018,Nee,Vreemdelingen met nationaliteit MOE-landen,2009,92,10047,0.00915696
Hemiksem,11018,Nee,Vreemdelingen met nationaliteit MOE-landen,2010,109,10166,0.010722
