Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal personen van buitenlandse herkomst zonder personen van Nederlandse herkomst,Aantal inwoners ,Procent
Antwerpen,11002,Ja,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2008,148329,471598,0.314524
Antwerpen,11002,Ja,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2009,158163,477936,0.330929
Antwerpen,11002,Ja,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2010,167878,483505,0.34721
Antwerpen,11002,Ja,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2011,181201,493517,0.367163
Antwerpen,11002,Ja,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2012,193748,502604,0.385488
Antwerpen,11002,Ja,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2013,202768,507911,0.39922
Antwerpen,11002,Ja,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2014,209443,510610,0.410182
Antwerpen,11002,Ja,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2015,216015,513570,0.420615
Antwerpen,11002,Ja,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2016,223204,517042,0.431694
Antwerpen,11002,Ja,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2017,230472,520504,0.442786
Antwerpen,11002,Ja,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2018,237472,523248,0.453842
Antwerpen,11002,Ja,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2019,243799,525935,0.463553
Antwerpen,11002,Ja,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2020,251083,529247,0.474416
Antwerpen,11002,Ja,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2021,256084,529417,0.483709
Antwerpen,11002,Ja,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2022,261866,530630,0.4935
Boechout,11004,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2000,444,11919,0.0372514
Boechout,11004,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2001,424,11953,0.0354723
Boechout,11004,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2002,418,11886,0.0351674
Boechout,11004,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2003,431,11974,0.0359947
Boechout,11004,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2004,464,11953,0.0388187
Boechout,11004,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2005,487,11992,0.0406104
Boechout,11004,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2006,539,12090,0.0445823
Boechout,11004,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2007,585,12149,0.0481521
Boechout,11004,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2008,650,12333,0.0527041
Boechout,11004,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2009,683,12589,0.0542537
Boechout,11004,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2010,731,12749,0.0573378
Boechout,11004,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2011,770,12728,0.0604965
Boechout,11004,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2012,795,12724,0.0624804
Boechout,11004,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2013,841,12774,0.0658369
Boechout,11004,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2014,906,12804,0.0707591
Boechout,11004,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2015,969,12792,0.0757505
Boechout,11004,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2016,1039,12844,0.0808938
Boechout,11004,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2017,1128,12908,0.0873877
Boechout,11004,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2018,1284,13120,0.0978659
Boechout,11004,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2019,1393,13266,0.105005
Boechout,11004,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2020,1485,13372,0.111053
Boechout,11004,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2021,1534,13527,0.113403
Boechout,11004,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2022,1629,13733,0.118619
Boom,11005,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2000,1707,15057,0.113369
Boom,11005,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2001,1755,14986,0.117109
Boom,11005,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2002,1874,15089,0.124196
