Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Externe inwijking van vreemdelingen,Aantal inwoners,Verhouding per 1000 inwoners
Boechout,11004,Nee,Externe inwijking van vreemdelingen,2004,33,11953,2.76081
Boechout,11004,Nee,Externe inwijking van vreemdelingen,2005,30,11992,2.50167
Boechout,11004,Nee,Externe inwijking van vreemdelingen,2006,44,12090,3.63937
Boechout,11004,Nee,Externe inwijking van vreemdelingen,2007,32,12149,2.63396
Boechout,11004,Nee,Externe inwijking van vreemdelingen,2008,21,12333,1.70275
Boechout,11004,Nee,Externe inwijking van vreemdelingen,2009,31,12589,2.46247
Boechout,11004,Nee,Externe inwijking van vreemdelingen,2010,44,12749,3.45125
Boechout,11004,Nee,Externe inwijking van vreemdelingen,2011,36,12728,2.82841
Boechout,11004,Nee,Externe inwijking van vreemdelingen,2012,39,12724,3.06507
Boechout,11004,Nee,Externe inwijking van vreemdelingen,2013,33,12774,2.58337
Boechout,11004,Nee,Externe inwijking van vreemdelingen,2014,50,12804,3.90503
Boechout,11004,Nee,Externe inwijking van vreemdelingen,2015,45,12792,3.51782
Boechout,11004,Nee,Externe inwijking van vreemdelingen,2016,40,12844,3.11429
Boechout,11004,Nee,Externe inwijking van vreemdelingen,2017,64,12908,4.95817
Boechout,11004,Nee,Externe inwijking van vreemdelingen,2018,36,13120,2.7439
Boechout,11004,Nee,Externe inwijking van vreemdelingen,2019,38,13266,2.86447
Boechout,11004,Nee,Externe inwijking van vreemdelingen,2020,34,13372,2.54263
Boechout,11004,Nee,Externe inwijking van vreemdelingen,2021,49,13527,3.62238
Boom,11005,Nee,Externe inwijking van vreemdelingen,2000,39,15057,2.59016
Boom,11005,Nee,Externe inwijking van vreemdelingen,2001,41,14986,2.73589
Boom,11005,Nee,Externe inwijking van vreemdelingen,2002,50,15089,3.31367
Boom,11005,Nee,Externe inwijking van vreemdelingen,2003,60,15330,3.91389
Boom,11005,Nee,Externe inwijking van vreemdelingen,2004,59,15567,3.79007
Boom,11005,Nee,Externe inwijking van vreemdelingen,2005,65,15729,4.13249
Boom,11005,Nee,Externe inwijking van vreemdelingen,2006,80,16096,4.97018
Boom,11005,Nee,Externe inwijking van vreemdelingen,2007,80,16326,4.90016
Boom,11005,Nee,Externe inwijking van vreemdelingen,2008,119,16444,7.23668
Boom,11005,Nee,Externe inwijking van vreemdelingen,2009,121,16598,7.29003
Boom,11005,Nee,Externe inwijking van vreemdelingen,2010,162,16709,9.69537
Boom,11005,Nee,Externe inwijking van vreemdelingen,2011,160,16989,9.41786
Boom,11005,Nee,Externe inwijking van vreemdelingen,2012,120,17166,6.99056
Boom,11005,Nee,Externe inwijking van vreemdelingen,2013,106,17227,6.15313
Boom,11005,Nee,Externe inwijking van vreemdelingen,2014,96,17231,5.57135
Boom,11005,Nee,Externe inwijking van vreemdelingen,2015,114,17559,6.4924
Boom,11005,Nee,Externe inwijking van vreemdelingen,2016,115,17737,6.48362
Boom,11005,Nee,Externe inwijking van vreemdelingen,2017,133,17788,7.47695
Boom,11005,Nee,Externe inwijking van vreemdelingen,2018,140,17970,7.79076
Boom,11005,Nee,Externe inwijking van vreemdelingen,2019,172,18244,9.42776
Boom,11005,Nee,Externe inwijking van vreemdelingen,2020,140,18555,7.54514
Boom,11005,Nee,Externe inwijking van vreemdelingen,2021,123,18799,6.5429
Borsbeek,11007,Nee,Externe inwijking van vreemdelingen,2000,26,10373,2.50651
Borsbeek,11007,Nee,Externe inwijking van vreemdelingen,2001,32,10295,3.10831
Borsbeek,11007,Nee,Externe inwijking van vreemdelingen,2002,39,10278,3.79451
Borsbeek,11007,Nee,Externe inwijking van vreemdelingen,2003,31,10298,3.01029
Borsbeek,11007,Nee,Externe inwijking van vreemdelingen,2004,28,10304,2.71739
