Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Herkomst,Aantal personen dat zich als kiezer heeft ingeschreven per nationaliteitsgroep,Aantal potentiële kiezers per nationaliteitsgroep,Procent
Vlaams Gewest,2000,/,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,31627,226157,0.139845
Vlaams Gewest,2000,/,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,6284,62069,0.101242
Vlaams Gewest,2000,/,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,33082,283482,0.116699
Vlaams Gewest,2000,/,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,8051,84330,0.0954702
Aartselaar,11001,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,42,240,0.175
Aartselaar,11001,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,4,91,0.043956
Aartselaar,11001,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,41,351,0.116809
Aartselaar,11001,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,6,130,0.0461538
Antwerpen,11002,ja,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,3528,33827,0.104295
Antwerpen,11002,ja,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,1697,18706,0.0907196
Antwerpen,11002,ja,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,3556,41390,0.0859145
Antwerpen,11002,ja,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,1881,23089,0.0814674
Boechout,11004,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,35,214,0.163551
Boechout,11004,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,4,57,0.0701754
Boechout,11004,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,34,308,0.11039
Boechout,11004,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,4,96,0.0416667
Boom,11005,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,103,471,0.218684
Boom,11005,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,118,344,0.343023
Boom,11005,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,140,704,0.198864
Boom,11005,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,133,490,0.271429
Borsbeek,11007,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,18,314,0.0573248
Borsbeek,11007,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,6,111,0.0540541
Borsbeek,11007,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,18,441,0.0408163
Borsbeek,11007,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,5,178,0.0280899
Brasschaat,11008,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,351,2089,0.168023
Brasschaat,11008,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,22,260,0.0846154
Brasschaat,11008,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,302,2182,0.138405
Brasschaat,11008,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,9,330,0.0272727
Brecht,11009,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,90,987,0.0911854
Brecht,11009,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,8,46,0.173913
Brecht,11009,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,87,1157,0.0751945
Brecht,11009,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,5,87,0.0574713
Edegem,11013,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,98,523,0.18738
Edegem,11013,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,16,200,0.08
Edegem,11013,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,76,691,0.109986
Edegem,11013,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,14,277,0.0505415
Essen,11016,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,378,2691,0.140468
Essen,11016,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,4,64,0.0625
Essen,11016,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,321,2871,0.111808
Essen,11016,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,3,122,0.0245902
Hemiksem,11018,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,29,183,0.15847
Hemiksem,11018,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,24,102,0.235294
Hemiksem,11018,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,57,353,0.161473
Hemiksem,11018,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,41,140,0.292857
Hove,11021,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,21,108,0.194444
Hove,11021,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,3,23,0.130435
Hove,11021,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,20,139,0.143885
Hove,11021,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,3,31,0.0967742
Kalmthout,11022,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,127,1502,0.0845539
Kalmthout,11022,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,1,45,0.0222222
Kalmthout,11022,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,108,1450,0.0744828
Kalmthout,11022,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,2,84,0.0238095
Kapellen,11023,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,291,1683,0.172906
Kapellen,11023,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,11,98,0.112245
Kapellen,11023,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,252,1617,0.155844
Kapellen,11023,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,5,143,0.034965
Kontich,11024,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,58,389,0.1491
Kontich,11024,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,6,118,0.0508475
Kontich,11024,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,69,548,0.125912
Kontich,11024,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,23,145,0.158621
Lint,11025,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,16,100,0.16
Lint,11025,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,1,17,0.0588235
Lint,11025,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,12,184,0.0652174
Lint,11025,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,2,51,0.0392157
Mortsel,11029,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,71,657,0.108067
Mortsel,11029,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,19,248,0.0766129
Mortsel,11029,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,95,878,0.1082
Mortsel,11029,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,32,380,0.0842105
Niel,11030,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,15,152,0.0986842
Niel,11030,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,5,58,0.0862069
Niel,11030,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,23,235,0.0978723
Niel,11030,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,4,105,0.0380952
Ranst,11035,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,29,221,0.131222
Ranst,11035,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,2,44,0.0454545
Ranst,11035,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,32,269,0.118959
Ranst,11035,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,2,58,0.0344828
Rumst,11037,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,25,200,0.125
Rumst,11037,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,6,62,0.0967742
Rumst,11037,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,31,265,0.116981
Rumst,11037,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,21,107,0.196262
Schelle,11038,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,10,94,0.106383
Schelle,11038,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,0,40,0.0
Schelle,11038,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,9,137,0.0656934
Schelle,11038,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,1,65,0.0153846
Schilde,11039,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,333,1217,0.273624
Schilde,11039,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,11,59,0.186441
Schilde,11039,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,266,1165,0.228326
Schilde,11039,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,3,94,0.0319149
Schoten,11040,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,153,1190,0.128571
Schoten,11040,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,13,198,0.0656566
Schoten,11040,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,148,1374,0.107715
Schoten,11040,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,14,336,0.0416667
Stabroek,11044,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,47,443,0.106095
Stabroek,11044,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,1,52,0.0192308
Stabroek,11044,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,37,598,0.0618729
Stabroek,11044,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,2,106,0.0188679
Wijnegem,11050,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,22,194,0.113402
Wijnegem,11050,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,4,41,0.097561
Wijnegem,11050,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,24,331,0.0725076
Wijnegem,11050,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,4,77,0.0519481
Wommelgem,11052,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,12,280,0.0428571
Wommelgem,11052,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,0,58,0.0
Wommelgem,11052,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,20,379,0.0527704
Wommelgem,11052,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,1,127,0.00787402
Wuustwezel,11053,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,83,1082,0.0767098
Wuustwezel,11053,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,0,66,0.0
Wuustwezel,11053,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,71,1314,0.0540335
Wuustwezel,11053,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,2,101,0.019802
Zandhoven,11054,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,25,200,0.125
Zandhoven,11054,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,2,35,0.0571429
Zandhoven,11054,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,37,250,0.148
Zandhoven,11054,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,6,49,0.122449
Zoersel,11055,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,97,527,0.184061
Zoersel,11055,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,6,50,0.12
Zoersel,11055,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,82,516,0.158915
Zoersel,11055,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,10,83,0.120482
Zwijndrecht,11056,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,30,344,0.0872093
Zwijndrecht,11056,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,9,132,0.0681818
Zwijndrecht,11056,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,36,537,0.0670391
Zwijndrecht,11056,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,15,267,0.0561798
Malle,11057,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,20,395,0.0506329
Malle,11057,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,1,49,0.0204082
Malle,11057,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,26,518,0.0501931
Malle,11057,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,2,58,0.0344828
Berlaar,12002,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,16,128,0.125
Berlaar,12002,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,1,39,0.025641
Berlaar,12002,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,13,235,0.0553191
Berlaar,12002,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,1,48,0.0208333
Bonheiden,12005,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,26,228,0.114035
Bonheiden,12005,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,6,44,0.136364
Bonheiden,12005,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,28,274,0.10219
Bonheiden,12005,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,9,78,0.115385
Bornem,12007,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,30,225,0.133333
Bornem,12007,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,4,76,0.0526316
Bornem,12007,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,29,314,0.0923567
Bornem,12007,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,5,113,0.0442478
Duffel,12009,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,21,276,0.076087
Duffel,12009,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,7,75,0.0933333
Duffel,12009,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,42,515,0.0815534
Duffel,12009,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,15,137,0.109489
Heist-op-den-berg,12014,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,27,424,0.0636792
Heist-op-den-berg,12014,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,4,124,0.0322581
Heist-op-den-berg,12014,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,40,687,0.0582242
Heist-op-den-berg,12014,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,17,192,0.0885417
Lier,12021,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,59,643,0.0917574
Lier,12021,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,96,386,0.248705
Lier,12021,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,86,1059,0.0812087
Lier,12021,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,116,549,0.211293
Mechelen,12025,ja,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,292,2059,0.141816
Mechelen,12025,ja,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,158,2357,0.0670344
Mechelen,12025,ja,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,391,2937,0.133129
