Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal inburgeraars die een inburgeringsattest hebben behaald,Aantal inwoners,Verhouding per 10000 inwoners
Antwerpen,11002,Ja,Inburgeraars met inburgeringsattest,2016,3566,517042,68.9693
Antwerpen,11002,Ja,Inburgeraars met inburgeringsattest,2017,3955,520504,75.984
Antwerpen,11002,Ja,Inburgeraars met inburgeringsattest,2018,3967,523248,75.8149
Antwerpen,11002,Ja,Inburgeraars met inburgeringsattest,2019,3455,525935,65.6925
Antwerpen,11002,Ja,Inburgeraars met inburgeringsattest,2020,2970,529247,56.1175
Antwerpen,11002,Ja,Inburgeraars met inburgeringsattest,2021,3762,529417,71.0593
Boechout,11004,Nee,Inburgeraars met inburgeringsattest,2010,8,12749,6.275
Boechout,11004,Nee,Inburgeraars met inburgeringsattest,2011,13,12728,10.2137
Boechout,11004,Nee,Inburgeraars met inburgeringsattest,2012,11,12724,8.64508
Boechout,11004,Nee,Inburgeraars met inburgeringsattest,2013,14,12774,10.9598
Boechout,11004,Nee,Inburgeraars met inburgeringsattest,2014,16,12804,12.4961
Boechout,11004,Nee,Inburgeraars met inburgeringsattest,2015,15,12792,11.7261
Boechout,11004,Nee,Inburgeraars met inburgeringsattest,2016,19,12844,14.7929
Boechout,11004,Nee,Inburgeraars met inburgeringsattest,2017,30,12908,23.2414
Boechout,11004,Nee,Inburgeraars met inburgeringsattest,2018,23,13120,17.5305
Boechout,11004,Nee,Inburgeraars met inburgeringsattest,2019,21,13266,15.8299
Boechout,11004,Nee,Inburgeraars met inburgeringsattest,2020,24,13372,17.948
Boechout,11004,Nee,Inburgeraars met inburgeringsattest,2021,22,13527,16.2638
Boom,11005,Nee,Inburgeraars met inburgeringsattest,2010,16,16709,9.57568
Boom,11005,Nee,Inburgeraars met inburgeringsattest,2011,39,16989,22.956
Boom,11005,Nee,Inburgeraars met inburgeringsattest,2012,29,17166,16.8939
Boom,11005,Nee,Inburgeraars met inburgeringsattest,2013,27,17227,15.6731
Boom,11005,Nee,Inburgeraars met inburgeringsattest,2014,49,17231,28.4371
Boom,11005,Nee,Inburgeraars met inburgeringsattest,2015,40,17559,22.7803
Boom,11005,Nee,Inburgeraars met inburgeringsattest,2016,53,17737,29.881
Boom,11005,Nee,Inburgeraars met inburgeringsattest,2017,47,17788,26.4223
Boom,11005,Nee,Inburgeraars met inburgeringsattest,2018,31,17970,17.251
Boom,11005,Nee,Inburgeraars met inburgeringsattest,2019,54,18244,29.5988
Boom,11005,Nee,Inburgeraars met inburgeringsattest,2020,49,18555,26.408
Boom,11005,Nee,Inburgeraars met inburgeringsattest,2021,53,18799,28.193
Borsbeek,11007,Nee,Inburgeraars met inburgeringsattest,2010,17,10125,16.7901
Borsbeek,11007,Nee,Inburgeraars met inburgeringsattest,2011,28,10207,27.4322
Borsbeek,11007,Nee,Inburgeraars met inburgeringsattest,2012,19,10233,18.5674
Borsbeek,11007,Nee,Inburgeraars met inburgeringsattest,2013,24,10278,23.3508
Borsbeek,11007,Nee,Inburgeraars met inburgeringsattest,2014,22,10451,21.0506
Borsbeek,11007,Nee,Inburgeraars met inburgeringsattest,2015,27,10465,25.8003
Borsbeek,11007,Nee,Inburgeraars met inburgeringsattest,2016,27,10540,25.6167
Borsbeek,11007,Nee,Inburgeraars met inburgeringsattest,2017,60,10581,56.7054
Borsbeek,11007,Nee,Inburgeraars met inburgeringsattest,2018,33,10685,30.8844
Borsbeek,11007,Nee,Inburgeraars met inburgeringsattest,2019,30,10854,27.6396
Borsbeek,11007,Nee,Inburgeraars met inburgeringsattest,2020,28,10949,25.5731
Borsbeek,11007,Nee,Inburgeraars met inburgeringsattest,2021,33,11077,29.7915
Brasschaat,11008,Nee,Inburgeraars met inburgeringsattest,2010,32,36949,8.66059
Brasschaat,11008,Nee,Inburgeraars met inburgeringsattest,2011,38,37189,10.2181
Brasschaat,11008,Nee,Inburgeraars met inburgeringsattest,2012,32,37301,8.57886
Brasschaat,11008,Nee,Inburgeraars met inburgeringsattest,2013,31,37286,8.31411
Brasschaat,11008,Nee,Inburgeraars met inburgeringsattest,2014,37,37502,9.86614
Brasschaat,11008,Nee,Inburgeraars met inburgeringsattest,2015,47,37480,12.54
Brasschaat,11008,Nee,Inburgeraars met inburgeringsattest,2016,41,37673,10.8831
Brasschaat,11008,Nee,Inburgeraars met inburgeringsattest,2017,67,37792,17.7286
Brasschaat,11008,Nee,Inburgeraars met inburgeringsattest,2018,48,37850,12.6816
Brasschaat,11008,Nee,Inburgeraars met inburgeringsattest,2019,51,37946,13.4402
Brasschaat,11008,Nee,Inburgeraars met inburgeringsattest,2020,48,38223,12.5579
Brasschaat,11008,Nee,Inburgeraars met inburgeringsattest,2021,65,38211,17.0108
Brecht,11009,Nee,Inburgeraars met inburgeringsattest,2010,14,27597,5.07302
Brecht,11009,Nee,Inburgeraars met inburgeringsattest,2011,12,27801,4.31639
Brecht,11009,Nee,Inburgeraars met inburgeringsattest,2012,19,27906,6.80857
Brecht,11009,Nee,Inburgeraars met inburgeringsattest,2013,14,28016,4.99714
Brecht,11009,Nee,Inburgeraars met inburgeringsattest,2014,24,28174,8.51849
Brecht,11009,Nee,Inburgeraars met inburgeringsattest,2015,20,28248,7.08015
Brecht,11009,Nee,Inburgeraars met inburgeringsattest,2016,20,28534,7.00918
Brecht,11009,Nee,Inburgeraars met inburgeringsattest,2017,23,28786,7.99
Brecht,11009,Nee,Inburgeraars met inburgeringsattest,2018,17,29010,5.86005
Brecht,11009,Nee,Inburgeraars met inburgeringsattest,2019,25,29268,8.54175
Brecht,11009,Nee,Inburgeraars met inburgeringsattest,2020,24,29454,8.1483
Brecht,11009,Nee,Inburgeraars met inburgeringsattest,2021,32,29809,10.735
Edegem,11013,Nee,Inburgeraars met inburgeringsattest,2010,13,21171,6.14048
Edegem,11013,Nee,Inburgeraars met inburgeringsattest,2011,35,21103,16.5853
Edegem,11013,Nee,Inburgeraars met inburgeringsattest,2012,29,21064,13.7676
Edegem,11013,Nee,Inburgeraars met inburgeringsattest,2013,28,21159,13.2331
Edegem,11013,Nee,Inburgeraars met inburgeringsattest,2014,51,21251,23.9989
Edegem,11013,Nee,Inburgeraars met inburgeringsattest,2015,43,21291,20.1963
Edegem,11013,Nee,Inburgeraars met inburgeringsattest,2016,52,21578,24.0986
Edegem,11013,Nee,Inburgeraars met inburgeringsattest,2017,55,21835,25.1889
Edegem,11013,Nee,Inburgeraars met inburgeringsattest,2018,36,21947,16.4032
Edegem,11013,Nee,Inburgeraars met inburgeringsattest,2019,45,22063,20.3961
Edegem,11013,Nee,Inburgeraars met inburgeringsattest,2020,36,22261,16.1718
Edegem,11013,Nee,Inburgeraars met inburgeringsattest,2021,44,22244,19.7806
Essen,11016,Nee,Inburgeraars met inburgeringsattest,2010,32,17797,17.9806
Essen,11016,Nee,Inburgeraars met inburgeringsattest,2011,18,17919,10.0452
Essen,11016,Nee,Inburgeraars met inburgeringsattest,2012,21,18075,11.6183
Essen,11016,Nee,Inburgeraars met inburgeringsattest,2013,18,18066,9.96347
Essen,11016,Nee,Inburgeraars met inburgeringsattest,2014,24,18256,13.1464
Essen,11016,Nee,Inburgeraars met inburgeringsattest,2015,22,18427,11.939
Essen,11016,Nee,Inburgeraars met inburgeringsattest,2016,26,18615,13.9672
Essen,11016,Nee,Inburgeraars met inburgeringsattest,2017,20,18792,10.6428
Essen,11016,Nee,Inburgeraars met inburgeringsattest,2018,37,19079,19.393
Essen,11016,Nee,Inburgeraars met inburgeringsattest,2019,36,19038,18.9095
Essen,11016,Nee,Inburgeraars met inburgeringsattest,2020,29,19162,15.1341
Essen,11016,Nee,Inburgeraars met inburgeringsattest,2021,26,19196,13.5445
Hemiksem,11018,Nee,Inburgeraars met inburgeringsattest,2010,10,10166,9.83671
Hemiksem,11018,Nee,Inburgeraars met inburgeringsattest,2011,15,10318,14.5377
Hemiksem,11018,Nee,Inburgeraars met inburgeringsattest,2012,15,10605,14.1443
Hemiksem,11018,Nee,Inburgeraars met inburgeringsattest,2013,9,10765,8.36043
Hemiksem,11018,Nee,Inburgeraars met inburgeringsattest,2014,17,10866,15.6451
Hemiksem,11018,Nee,Inburgeraars met inburgeringsattest,2015,14,11040,12.6812
Hemiksem,11018,Nee,Inburgeraars met inburgeringsattest,2016,12,11148,10.7643
Hemiksem,11018,Nee,Inburgeraars met inburgeringsattest,2017,19,11233,16.9144
Hemiksem,11018,Nee,Inburgeraars met inburgeringsattest,2018,14,11368,12.3153
Hemiksem,11018,Nee,Inburgeraars met inburgeringsattest,2019,17,11559,14.7072
Hemiksem,11018,Nee,Inburgeraars met inburgeringsattest,2020,16,11634,13.7528
Hemiksem,11018,Nee,Inburgeraars met inburgeringsattest,2021,34,11722,29.0053
Hove,11021,Nee,Inburgeraars met inburgeringsattest,2010,4,8199,4.87864
Hove,11021,Nee,Inburgeraars met inburgeringsattest,2011,9,8190,10.989
Hove,11021,Nee,Inburgeraars met inburgeringsattest,2012,7,8199,8.53763
Hove,11021,Nee,Inburgeraars met inburgeringsattest,2013,10,8198,12.1981
Hove,11021,Nee,Inburgeraars met inburgeringsattest,2014,9,8216,10.9542
Hove,11021,Nee,Inburgeraars met inburgeringsattest,2015,5,8193,6.10277
Hove,11021,Nee,Inburgeraars met inburgeringsattest,2016,2,8141,2.4567
Hove,11021,Nee,Inburgeraars met inburgeringsattest,2017,5,8152,6.13346
Hove,11021,Nee,Inburgeraars met inburgeringsattest,2018,5,8115,6.16143
Hove,11021,Nee,Inburgeraars met inburgeringsattest,2019,4,8125,4.92308
Hove,11021,Nee,Inburgeraars met inburgeringsattest,2020,4,8277,4.83267
Hove,11021,Nee,Inburgeraars met inburgeringsattest,2021,11,8287,13.2738
Kalmthout,11022,Nee,Inburgeraars met inburgeringsattest,2010,13,17731,7.33179
Kalmthout,11022,Nee,Inburgeraars met inburgeringsattest,2011,13,17952,7.24153
Kalmthout,11022,Nee,Inburgeraars met inburgeringsattest,2012,16,18126,8.8271
Kalmthout,11022,Nee,Inburgeraars met inburgeringsattest,2013,10,18184,5.49934
Kalmthout,11022,Nee,Inburgeraars met inburgeringsattest,2014,13,18165,7.15662
Kalmthout,11022,Nee,Inburgeraars met inburgeringsattest,2015,20,18192,10.9938
Kalmthout,11022,Nee,Inburgeraars met inburgeringsattest,2016,10,18336,5.45375
Kalmthout,11022,Nee,Inburgeraars met inburgeringsattest,2017,19,18490,10.2758
Kalmthout,11022,Nee,Inburgeraars met inburgeringsattest,2018,21,18608,11.2855
Kalmthout,11022,Nee,Inburgeraars met inburgeringsattest,2019,16,18695,8.55844
Kalmthout,11022,Nee,Inburgeraars met inburgeringsattest,2020,12,18872,6.35863
Kalmthout,11022,Nee,Inburgeraars met inburgeringsattest,2021,20,19020,10.5152
Kapellen,11023,Nee,Inburgeraars met inburgeringsattest,2010,17,26427,6.43281
Kapellen,11023,Nee,Inburgeraars met inburgeringsattest,2011,33,26437,12.4825
Kapellen,11023,Nee,Inburgeraars met inburgeringsattest,2012,27,26546,10.171
Kapellen,11023,Nee,Inburgeraars met inburgeringsattest,2013,19,26506,7.16819
Kapellen,11023,Nee,Inburgeraars met inburgeringsattest,2014,30,26540,11.3037
Kapellen,11023,Nee,Inburgeraars met inburgeringsattest,2015,21,26702,7.86458
Kapellen,11023,Nee,Inburgeraars met inburgeringsattest,2016,33,26745,12.3388
Kapellen,11023,Nee,Inburgeraars met inburgeringsattest,2017,38,26750,14.2056
Kapellen,11023,Nee,Inburgeraars met inburgeringsattest,2018,29,26771,10.8326
Kapellen,11023,Nee,Inburgeraars met inburgeringsattest,2019,33,26850,12.2905
